OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.68,6800.0,0.68,2010-06-22,0.68,0.68
0.99,9900.0,0.99,2010-06-23,0.99,0.99
0.89,17800.0,0.89,2010-09-28,0.89,0.89
0.79,23700.0,0.79,2010-10-18,0.79,0.79
0.7,21000.0,0.7,2010-11-24,0.7,0.7
0.7,21000.0,0.7,2010-11-26,0.7,0.7
0.61,66800.0,0.6,2011-01-17,0.61,0.6
0.51,18870.0,0.51,2011-02-16,0.51,0.51
0.51,18870.0,0.51,2011-02-16,0.51,0.51
0.74,7400.0,0.74,2011-02-21,0.74,0.74
0.74,7400.0,0.74,2011-02-21,0.74,0.74
0.54,2700.0,0.54,2011-03-17,0.54,0.54
0.6,1200.0,0.6,2011-04-07,0.6,0.6
0.82,4100.0,0.82,2011-05-18,0.82,0.82
0.82,820.0,0.82,2011-05-31,0.82,0.82
0.75,15000.0,0.75,2011-07-15,0.75,0.75
0.84,54550.0,1.02,2011-07-19,1.02,0.84
0.84,21040.0,0.92,2011-07-20,0.92,0.84
1.02,25640.0,1.04,2011-08-01,1.04,1.02
0.8,118630.0,1.04,2011-08-04,1.04,0.75
0.82,48740.0,1.02,2011-11-17,1.02,0.82
1.05,66800.0,1.1,2011-11-24,1.1,1.05
1.65,265650.0,1.65,2011-11-29,1.65,1.65
2.47,197600.0,2.47,2011-12-01,2.47,2.47
3.7,381100.0,3.7,2011-12-02,3.7,3.7
5.0,1992580.0,3.01,2011-12-05,5.0,3.01
2.1,424570.0,2.8,2011-12-06,2.98,2.1
2.24,13770.0,2.57,2011-12-07,2.57,2.24
2.57,21350.0,2.3,2011-12-08,2.88,2.3
2.7,10960.0,2.78,2011-12-19,2.78,2.7
2.47,12350.0,2.47,2011-12-21,2.47,2.47
1.6,13620.0,1.52,2011-12-27,1.6,1.5
2.28,383060.0,2.28,2011-12-28,2.28,2.0
3.2,243200.0,3.2,2011-12-29,3.2,3.2
3.2,6400.0,3.2,2012-01-02,3.2,3.2
3.2,6400.0,3.2,2012-01-05,3.2,3.2
2.0,10300.0,2.1,2012-01-09,2.1,2.0
2.3,9200.0,2.3,2012-01-10,2.3,2.3
2.6,92150.0,3.2,2012-01-11,3.2,2.6
3.19,2331770.0,3.99,2012-01-13,4.8,3.19
3.5,722670.0,2.93,2012-01-16,3.99,2.92
3.04,233370.0,2.49,2012-01-17,3.04,2.13
2.55,61050.0,2.15,2012-01-18,2.55,2.13
2.75,216590.0,2.41,2012-01-19,2.75,2.22
2.54,33360.0,2.4,2012-01-24,2.54,2.33
2.52,2520.0,2.52,2012-01-25,2.52,2.52
2.22,2220.0,2.22,2012-01-26,2.22,2.22
2.4,315790.0,2.81,2012-01-27,2.99,2.4
2.97,229480.0,2.99,2012-01-30,3.0,2.8
2.99,1402430.0,4.05,2012-01-31,4.2,2.99
4.25,1414120.0,4.5,2012-02-01,4.68,4.0
4.65,3848700.0,5.41,2012-02-02,5.45,4.62
5.7,3039766.0,5.0,2012-02-03,5.85,4.5
5.0,775245.0,5.0,2012-02-06,5.25,4.8
5.2,432285.0,5.2,2012-02-07,5.3,5.06
5.2,1669652.0,5.57,2012-02-08,5.8,5.2
5.57,2274647.0,6.48,2012-02-09,6.6,5.0
6.8,2724639.0,5.2,2012-02-10,6.95,5.2
5.25,1124100.0,5.0,2012-02-13,5.25,4.3
5.0,42743.0,5.1,2012-02-14,5.11,5.0
5.1,396814.0,4.4,2012-02-15,5.1,4.0
4.01,1769980.0,5.42,2012-02-16,5.45,4.0
5.45,875803.0,5.1,2012-02-17,5.68,4.6
4.55,102890.0,4.65,2012-02-20,5.1,4.55
4.65,717870.0,4.57,2012-02-21,4.65,4.56
4.75,845560.0,4.95,2012-02-22,5.05,4.7
4.66,1515750.0,5.12,2012-02-23,5.56,4.65
5.15,602097.0,4.8,2012-02-24,5.15,4.8
4.51,86060.0,4.53,2012-02-27,4.6,4.5
4.0,69670.0,4.33,2012-02-28,4.84,4.0
4.75,630850.0,4.65,2012-02-29,4.75,4.51
4.77,2737250.0,5.86,2012-03-01,5.95,4.77
5.89,1196474.0,5.45,2012-03-02,5.9,5.02
4.95,589786.0,5.42,2012-03-05,5.45,4.95
5.44,988212.0,5.58,2012-03-06,5.75,5.31
5.6,96630.0,5.5,2012-03-07,5.6,5.27
5.6,1391111.0,5.36,2012-03-08,5.6,4.8
5.35,312950.0,5.0,2012-03-09,5.35,5.0
4.81,11297.0,5.2,2012-03-12,5.2,4.81
4.77,142875.0,4.78,2012-03-13,5.0,4.75
4.4,1493340.0,4.68,2012-03-14,5.0,4.4
4.42,323230.0,4.68,2012-03-15,4.9,4.42
4.78,1666000.0,5.3,2012-03-16,5.5,4.75
4.72,157915.0,4.81,2012-03-19,5.2,4.7
4.66,159500.0,4.7,2012-03-20,4.99,4.65
4.71,351730.0,4.7,2012-03-21,4.72,4.65
4.7,132100.0,4.8,2012-03-22,4.8,4.7
4.89,932550.0,5.01,2012-03-23,5.39,4.85
5.05,289283.0,4.69,2012-03-26,5.05,4.6
4.65,106490.0,4.61,2012-03-27,4.66,4.61
4.7,38350.0,5.0,2012-03-28,5.0,4.7
4.65,43600.0,4.61,2012-03-29,4.99,4.61
4.61,4610.0,4.61,2012-03-30,4.61,4.61
4.61,358750.0,4.65,2012-04-02,5.0,4.61
4.64,130660.0,4.64,2012-04-03,5.0,4.64
4.67,32610.0,4.65,2012-04-04,4.67,4.65
4.62,138600.0,4.62,2012-04-10,4.62,4.62
4.51,54330.0,4.54,2012-04-11,4.54,4.51
4.54,21680.0,4.2,2012-04-16,4.54,4.2
4.5,18000.0,4.5,2012-04-17,4.5,4.5
4.46,50070.0,4.8,2012-04-18,4.8,4.46
4.02,22400.0,4.6,2012-04-19,4.6,4.02
2.3,18790.0,4.01,2012-04-20,4.58,2.3
4.5,4500.0,4.5,2012-04-23,4.5,4.5
