OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.4,449496110.0,3.0,2014-04-07,3.0,2.4
3.53,646862060.0,3.86,2014-04-08,4.42,3.53
4.03,180939510.0,3.95,2014-04-10,4.1,3.67
3.84,96623830.0,3.97,2014-04-14,4.01,3.77
4.01,31842580.0,3.97,2014-04-15,4.07,3.9
3.99,39820070.0,3.99,2014-04-16,4.04,3.97
4.05,43217410.0,4.09,2014-04-21,4.14,4.0
4.3,94931540.0,4.36,2014-04-23,4.62,4.3
4.42,32902910.0,4.34,2014-04-24,4.51,4.28
3.82,43315820.0,3.83,2014-04-11,3.91,3.75
4.14,45664260.0,4.25,2014-04-22,4.3,4.14
4.4,39469780.0,4.3,2014-04-25,4.4,4.15
4.31,14148520.0,4.28,2014-04-29,4.32,4.25
4.3,16321890.0,4.31,2014-04-30,4.37,4.27
4.32,14891040.0,4.36,2014-05-02,4.36,4.31
4.37,17612680.0,4.41,2014-05-05,4.47,4.37
4.42,30793360.0,4.47,2014-05-06,4.53,4.41
4.5,49953920.0,4.7,2014-05-07,4.75,4.5
4.76,55223650.0,4.94,2014-05-08,5.01,4.76
5.03,311700230.0,6.76,2014-05-09,7.4,5.03
7.02,67957301.0,6.97,2014-05-13,7.04,6.8
7.0,231893321.0,7.73,2014-05-14,7.96,6.9
7.83,491165914.0,9.5,2014-05-15,9.75,7.74
9.7,572384092.0,9.09,2014-05-16,10.0,8.25
9.06,138923504.0,9.25,2014-05-19,9.44,9.05
9.39,77534506.0,9.22,2014-05-20,9.45,9.05
8.78,83511202.0,9.15,2014-05-22,9.2,8.78
9.42,185325832.0,9.85,2014-05-23,9.88,9.28
10.0,472119198.0,10.0,2014-05-26,10.96,10.0
4.3,16769450.0,4.3,2014-04-28,4.39,4.23
7.1,431918743.0,6.88,2014-05-12,7.55,6.5
9.23,219174265.0,8.78,2014-05-21,9.3,8.45
9.37,180364994.0,9.7,2014-05-27,9.79,9.0
10.0,127715346.0,9.9,2014-05-28,10.42,9.79
