OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
109.4,103595726.0,106.3,2016-07-26,109.4,103.1
106.0,54809123.0,105.0,2016-07-27,106.0,104.8
105.0,25293973.0,104.2,2016-07-28,105.1,103.0
104.2,15183310.0,104.5,2016-07-29,104.9,104.2
104.6,18671177.0,104.6,2016-08-01,106.0,104.4
106.5,4047154.0,105.4,2016-08-02,106.5,104.6
105.9,1937299.0,105.7,2016-08-04,105.9,104.7
105.0,1422539.0,105.7,2016-08-05,105.7,105.0
105.3,19871237.0,104.8,2016-08-08,105.3,104.7
104.8,17682207.0,104.4,2016-08-09,104.9,104.2
104.0,1261642.0,104.5,2016-08-12,104.6,104.0
104.5,1081799.0,104.2,2016-08-16,104.5,104.1
104.0,6394998.0,104.5,2016-08-18,104.5,104.0
104.4,7837456.0,104.0,2016-08-19,104.4,103.8
103.9,17886654.0,103.5,2016-08-22,103.9,103.5
105.4,32410505.0,104.8,2016-08-03,106.0,104.8
104.4,13585846.0,104.2,2016-08-10,104.5,104.2
104.2,27432902.0,104.0,2016-08-11,104.8,103.0
104.8,3757857.0,104.2,2016-08-15,104.8,104.1
104.2,10799908.0,103.6,2016-08-17,104.3,103.6
103.5,5290852.0,103.4,2016-08-23,104.0,103.4
103.4,8300726.0,103.5,2016-08-25,104.0,103.4
103.4,4060662.0,104.0,2016-08-26,104.0,103.4
103.8,33026713.0,104.0,2016-08-30,104.0,103.8
104.4,1917319.0,104.1,2016-08-31,104.5,104.0
104.4,7293625.0,104.9,2016-09-01,105.0,104.0
104.9,8370472.0,105.0,2016-09-05,105.0,104.0
104.9,8370472.0,105.0,2016-09-05,105.0,104.0
105.0,254020.0,104.5,2016-09-06,105.0,104.5
104.9,614767.0,104.8,2016-09-07,104.9,104.5
104.6,5611114.0,104.6,2016-09-08,104.9,104.5
104.7,587394.0,104.7,2016-09-15,104.9,104.7
105.6,11556679.0,105.4,2016-09-20,105.6,105.4
103.4,9147548.0,103.8,2016-08-24,103.8,103.4
104.0,8268398.0,104.9,2016-09-02,105.0,104.0
104.1,4024618.0,105.0,2016-09-09,105.0,104.1
105.0,13795754.0,104.6,2016-09-13,105.5,104.6
104.6,1260192.0,105.0,2016-09-14,105.0,104.6
104.9,4605404.0,105.0,2016-09-16,105.1,104.8
105.0,1512203.0,105.5,2016-09-19,105.5,105.0
105.4,19813743.0,104.0,2016-09-21,105.5,104.0
105.5,3336505.0,105.0,2016-09-22,105.5,104.2
105.0,195424.0,105.0,2016-09-23,105.4,105.0
