OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
30.0,159125765.0,27.2,2013-06-10,30.0,26.55
27.25,49915570.0,26.6,2013-06-11,28.6,26.4
26.4,138412205.0,25.6,2013-06-13,26.4,25.4
26.0,18024350.0,26.4,2013-06-14,26.9,25.9
26.4,74725850.0,26.0,2013-06-17,26.45,25.95
26.0,4494370.0,25.8,2013-06-18,26.2,25.7
25.8,22819215.0,25.0,2013-06-19,25.8,25.0
25.0,32359940.0,23.8,2013-06-20,25.0,23.0
23.0,44804590.0,23.0,2013-06-21,24.8,22.3
23.0,3813025.0,23.0,2013-06-24,23.95,22.9
23.0,32714525.0,23.0,2013-06-25,23.85,20.0
22.2,10330060.0,23.0,2013-06-26,23.7,22.2
23.4,640730.0,23.35,2013-06-27,23.45,23.3
23.35,24571475.0,24.0,2013-06-28,24.75,23.35
24.0,2368540.0,25.0,2013-07-01,25.0,23.9
25.0,76499825.0,25.35,2013-07-02,25.6,25.0
25.1,42959825.0,26.0,2013-07-03,26.15,25.1
26.0,18134960.0,26.0,2013-07-04,26.5,25.8
26.5,5578370.0,26.5,2013-07-05,26.55,26.45
26.0,4028075.0,26.1,2013-07-08,26.25,26.0
26.1,37682870.0,26.0,2013-07-09,26.1,26.0
26.0,35513505.0,26.0,2013-07-10,26.3,26.0
26.4,14770870.0,27.0,2013-07-11,27.0,26.4
27.0,26317530.0,26.5,2013-07-12,27.0,26.5
26.6,2400850.0,26.5,2013-07-15,26.6,26.3
27.0,18881600.0,26.5,2013-07-16,27.0,26.5
26.0,4013890.0,26.5,2013-07-17,26.5,26.0
26.7,25089760.0,26.5,2013-07-18,26.7,26.5
27.0,4648495.0,26.8,2013-07-19,27.05,26.8
27.0,4646180.0,26.8,2013-07-22,27.0,26.8
26.8,18546195.0,27.0,2013-07-23,27.0,26.0
26.95,858800.0,27.05,2013-07-24,27.05,26.95
27.0,18726225.0,28.2,2013-07-25,29.0,27.0
28.2,22135765.0,29.0,2013-07-26,29.9,28.2
29.7,19276310.0,28.9,2013-07-29,30.25,28.55
28.5,1510720.0,28.85,2013-07-30,28.85,27.8
28.5,14312495.0,27.5,2013-07-31,28.5,27.5
28.0,9341935.0,28.5,2013-08-01,29.0,28.0
28.2,1477410.0,28.0,2013-08-02,28.5,28.0
28.8,82810.0,28.45,2013-08-05,28.8,28.45
27.6,3248655.0,29.95,2013-08-06,29.95,27.5
29.5,3080585.0,28.9,2013-08-07,29.5,28.5
28.8,5236450.0,28.9,2013-08-08,29.0,28.8
28.0,4017520.0,28.65,2013-08-12,29.0,28.0
29.15,61483375.0,29.0,2013-08-13,29.5,28.65
29.3,23923145.0,29.8,2013-08-14,30.0,29.3
29.75,19020990.0,29.5,2013-08-15,29.75,29.4
29.2,9357210.0,29.2,2013-08-16,29.2,28.0
28.0,5463750.0,28.5,2013-08-22,28.6,27.5
28.0,24298540.0,28.35,2013-08-23,28.5,28.0
27.5,16400.0,26.5,2013-08-27,28.0,26.5
26.7,55874500.0,26.5,2013-08-28,26.7,25.0
26.5,6722385.0,27.5,2013-08-29,29.0,26.5
27.5,23720450.0,27.0,2013-08-30,27.5,27.0
27.5,82500.0,27.5,2013-09-02,27.5,27.5
27.5,1611500.0,27.5,2013-09-03,27.5,27.5
27.5,118745.0,27.95,2013-09-04,27.95,27.5
28.0,1312340.0,27.0,2013-09-05,28.0,26.5
27.0,1371575.0,27.0,2013-09-06,27.0,26.95
27.0,37800.0,27.0,2013-09-10,27.0,27.0
26.5,10177235.0,26.5,2013-09-11,27.0,26.0
26.5,10511185.0,25.8,2013-09-12,26.5,25.8
26.0,3055000.0,26.0,2013-09-13,26.0,26.0
26.0,34217635.0,25.75,2013-09-16,26.0,25.75
26.0,20551250.0,26.0,2013-09-17,26.25,26.0
26.5,71550.0,26.5,2013-09-18,26.5,26.5
28.0,7884275.0,28.0,2013-09-19,28.1,27.5
28.0,3702350.0,28.0,2013-09-20,28.1,28.0
27.6,2652630.0,28.0,2013-09-23,28.0,27.6
28.0,4132200.0,26.5,2013-09-24,28.0,26.5
27.0,260900.0,27.0,2013-09-25,27.0,26.8
27.0,1760500.0,27.0,2013-09-26,27.5,26.5
27.0,209465.0,27.8,2013-09-27,27.8,26.0
26.2,782310.0,26.0,2013-09-30,26.2,26.0
26.5,85310.0,26.15,2013-10-01,27.15,26.15
