OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
7.7,10641200.0,8.1,2009-08-03,8.2,7.7
8.3,9127600.0,8.3,2009-08-04,8.5,8.3
8.5,1916300.0,8.5,2009-08-06,8.7,8.5
8.5,1525900.0,8.2,2009-08-07,8.5,8.2
8.8,1830700.0,8.8,2009-08-10,8.8,8.4
8.7,1247900.0,8.7,2009-08-11,8.7,8.6
8.6,4798800.0,9.1,2009-08-12,9.2,8.5
9.3,3826900.0,9.5,2009-08-13,9.8,9.3
9.4,179700.0,9.5,2009-08-14,9.5,9.3
9.6,9590200.0,9.0,2009-08-17,9.6,9.0
9.0,698100.0,9.0,2009-08-18,9.1,8.7
9.1,3763300.0,9.2,2009-08-19,9.3,9.0
9.2,13914800.0,9.3,2009-08-20,10.25,9.2
10.0,2622200.0,9.8,2009-08-24,10.0,9.5
9.5,2397000.0,9.4,2009-08-25,9.5,9.3
9.5,2118200.0,9.4,2009-08-26,9.6,9.3
8.8,3046800.0,9.3,2009-09-03,9.3,8.7
9.4,960100.0,9.3,2009-09-04,9.5,9.0
9.2,108500.0,9.2,2009-09-16,9.2,9.0
8.9,1729700.0,9.0,2009-09-18,9.1,8.7
8.6,26100.0,8.9,2009-09-30,8.9,8.6
8.8,4597200.0,8.9,2009-10-01,9.0,8.8
8.9,505900.0,8.9,2009-10-02,8.9,8.8
8.7,34800.0,8.7,2009-10-05,8.7,8.7
8.9,132100.0,8.8,2009-10-06,8.9,8.8
8.9,97900.0,8.9,2009-10-07,8.9,8.9
8.7,26300.0,8.9,2009-10-08,8.9,8.7
8.7,68800.0,8.5,2009-10-09,8.7,8.5
8.6,145500.0,8.5,2009-10-12,8.8,8.5
8.5,11356000.0,8.5,2009-10-13,8.5,8.5
8.7,8700.0,8.7,2009-10-14,8.7,8.7
8.7,148100.0,8.5,2009-10-15,8.9,8.5
8.8,274800.0,8.7,2009-10-16,8.8,8.4
8.7,1765800.0,8.6,2009-10-19,8.7,8.6
8.6,213500.0,8.5,2009-10-20,8.6,8.5
8.2,237100.0,8.3,2009-10-21,8.3,8.0
8.4,8400.0,8.4,2009-10-22,8.4,8.4
8.2,41100.0,8.3,2009-10-23,8.3,8.2
8.4,173100.0,8.3,2009-10-26,8.4,8.2
8.1,178400.0,8.2,2009-10-27,8.2,8.1
7.9,7900.0,7.9,2009-10-28,7.9,7.9
8.1,372100.0,8.0,2009-10-29,8.1,7.9
7.8,38800.0,7.7,2009-11-03,7.8,7.7
7.9,1017800.0,8.0,2009-11-04,8.1,7.9
8.1,8100.0,8.1,2009-11-05,8.1,8.1
7.9,15900.0,8.0,2009-11-06,8.0,7.9
10.0,243600.0,8.1,2009-11-09,10.0,7.9
7.9,39900.0,8.1,2009-11-10,8.1,7.9
7.7,1118700.0,8.1,2009-12-16,8.3,7.5
8.1,876200.0,8.1,2009-12-17,8.1,7.8
8.1,56300.0,8.0,2009-12-18,8.1,8.0
7.9,592400.0,7.7,2009-12-21,7.9,7.7
7.7,15400.0,7.7,2009-12-22,7.7,7.7
7.7,38100.0,7.6,2009-12-23,7.7,7.6
8.3,4727500.0,8.3,2009-12-29,8.8,7.8
8.7,959400.0,8.1,2010-01-04,8.7,7.9
8.4,1516100.0,8.2,2010-01-05,8.5,8.2
8.1,466900.0,8.1,2010-01-06,8.1,7.8
7.9,2382000.0,8.1,2010-01-07,8.2,7.9
8.2,23447800.0,9.5,2010-01-08,9.5,8.2
10.0,53987250.0,10.25,2010-01-11,10.5,9.8
11.0,75578700.0,11.25,2010-01-12,11.75,11.0
11.25,17826200.0,10.5,2010-01-13,11.25,10.25
10.25,19562500.0,9.5,2010-01-14,10.25,9.5
9.6,36244400.0,10.75,2010-01-15,10.75,9.6
10.75,19612790.0,10.25,2010-01-18,10.75,9.9
10.0,9417785.0,9.9,2010-01-19,10.25,9.9
10.25,6235050.0,10.0,2010-01-20,10.25,9.8
9.8,1238400.0,10.0,2010-01-21,10.0,9.8
9.8,4576200.0,9.9,2010-01-22,10.0,9.7
9.8,2352100.0,9.9,2010-01-25,9.9,9.7
9.9,3860700.0,9.6,2010-01-26,10.0,9.6
9.7,3836700.0,9.7,2010-01-27,9.7,9.3
9.3,1756100.0,9.8,2010-01-28,9.8,9.3
9.7,2635100.0,9.6,2010-01-29,9.7,9.6
9.5,1473200.0,9.7,2010-02-01,9.7,9.5
9.7,5535900.0,9.6,2010-02-02,9.7,9.5
9.6,1819600.0,9.2,2010-02-03,9.6,9.2
9.2,4768700.0,10.0,2010-02-04,10.0,9.2
10.0,18890650.0,10.25,2010-02-05,11.0,9.7
10.25,6771485.0,9.7,2010-02-08,10.5,9.6
9.7,1340400.0,9.8,2010-02-09,9.8,9.6
9.8,1490300.0,9.8,2010-02-10,10.0,9.8
9.7,2419600.0,9.5,2010-02-11,9.7,9.5
8.5,680000.0,8.5,2010-03-08,8.5,8.5
8.4,609200.0,8.8,2010-03-12,8.8,8.4
8.7,51800.0,8.6,2010-03-15,8.7,8.6
8.6,137100.0,8.5,2010-03-16,8.6,8.5
8.4,1624200.0,8.6,2010-03-17,8.6,8.1
8.6,589300.0,8.6,2010-03-31,8.7,8.5
7.5,158500.0,7.5,2010-04-20,7.7,7.5
7.5,75800.0,7.6,2010-04-21,7.6,7.5
7.6,712500.0,7.3,2010-04-22,7.6,7.3
7.5,195000.0,7.5,2010-04-23,7.5,7.5
7.6,106700.0,7.6,2010-04-29,7.9,7.6
7.9,7900.0,7.9,2010-04-30,7.9,7.9
7.8,488000.0,7.6,2010-05-04,7.8,7.6
7.5,92400.0,7.8,2010-05-05,7.8,7.5
7.7,46100.0,7.7,2010-05-13,7.7,7.6
7.7,1214700.0,7.8,2010-05-14,8.0,7.7
7.7,195400.0,7.8,2010-05-17,8.0,7.7
7.7,161900.0,7.8,2010-05-18,7.8,7.7
7.6,625500.0,7.7,2010-05-19,7.7,6.8
7.6,336000.0,7.7,2010-05-20,7.7,7.4
7.4,14800.0,7.4,2010-05-21,7.4,7.4
7.7,7700.0,7.7,2010-05-24,7.7,7.7
7.4,385600.0,7.3,2010-05-25,7.4,7.2
7.7,7700.0,7.7,2010-05-26,7.7,7.7
7.4,37000.0,7.4,2010-05-27,7.4,7.4
7.7,127700.0,7.6,2010-05-28,7.8,7.3
7.4,36800.0,7.3,2010-05-31,7.4,7.3
7.6,215400.0,7.4,2010-06-01,7.7,7.3
7.6,22900.0,7.7,2010-06-02,7.7,7.6
7.4,822200.0,7.3,2010-06-03,7.4,7.2
7.3,8049200.0,7.5,2010-06-04,7.6,7.0
7.2,43200.0,7.2,2010-06-07,7.2,7.2
