OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
4.0,484000.0,4.2,2009-08-03,4.5,4.0
4.4,694950.0,4.35,2009-08-04,4.6,4.25
4.35,112650.0,4.25,2009-08-06,4.35,4.25
4.25,471350.0,4.25,2009-08-07,4.5,4.25
4.25,409100.0,4.35,2009-08-10,4.35,4.2
4.3,301000.0,4.3,2009-08-11,4.3,4.3
4.25,379400.0,4.05,2009-08-12,4.25,4.0
4.1,251200.0,4.05,2009-08-14,4.1,4.05
4.05,356750.0,3.9,2009-08-17,4.1,3.9
3.9,345500.0,3.8,2009-08-18,3.9,3.5
3.8,270950.0,3.95,2009-08-19,3.95,3.6
3.8,95500.0,3.8,2009-08-20,3.85,3.8
3.95,221800.0,3.95,2009-08-26,4.15,3.95
4.0,1193800.0,4.45,2009-09-03,4.45,4.0
4.5,582050.0,4.5,2009-09-04,4.65,4.5
4.1,20500.0,4.1,2009-09-16,4.1,4.1
4.15,41500.0,4.15,2009-09-17,4.15,4.15
4.1,110550.0,4.4,2009-09-18,4.4,4.1
3.7,30050.0,3.8,2009-09-30,3.8,3.65
3.55,105800.0,3.7,2009-10-02,3.7,3.55
3.7,75000.0,3.8,2009-10-06,3.8,3.7
3.85,26950.0,3.85,2009-10-12,3.85,3.85
3.85,3850.0,3.85,2009-10-13,3.85,3.85
3.85,26950.0,3.85,2009-10-14,3.85,3.85
4.0,12000.0,4.0,2009-10-19,4.0,4.0
4.05,28150.0,4.0,2009-10-21,4.05,4.0
4.0,12000.0,4.0,2009-10-23,4.0,4.0
3.8,114000.0,3.8,2009-10-30,3.8,3.8
3.8,57000.0,3.8,2009-11-03,3.8,3.8
3.85,7700.0,3.85,2009-11-05,3.85,3.85
3.85,15400.0,3.85,2009-11-06,3.85,3.85
3.95,39500.0,3.95,2009-11-09,3.95,3.95
4.1,639500.0,4.1,2009-11-10,4.15,4.05
4.2,1089550.0,4.35,2009-11-11,4.35,4.2
4.0,212000.0,4.0,2009-12-15,4.0,4.0
3.9,312000.0,3.9,2009-12-18,3.9,3.9
3.9,336700.0,3.95,2009-12-21,3.95,3.9
3.85,270800.0,3.4,2010-01-04,3.85,3.4
3.55,10650.0,3.55,2010-01-07,3.55,3.55
4.0,363750.0,3.75,2010-01-08,4.0,3.75
4.0,440000.0,4.0,2010-01-11,4.0,4.0
4.0,120000.0,4.0,2010-01-18,4.0,4.0
3.9,1982000.0,4.15,2010-01-20,4.45,3.9
3.9,973900.0,3.9,2010-01-25,3.9,3.7
3.9,39000.0,3.9,2010-01-26,3.9,3.9
3.9,345450.0,3.95,2009-08-25,4.0,3.9
3.9,58500.0,3.9,2009-10-08,3.9,3.9
4.45,84950.0,4.1,2009-10-16,4.45,4.1
4.1,110700.0,4.1,2009-10-20,4.1,4.1
4.0,240000.0,4.0,2010-01-12,4.0,4.0
3.8,57000.0,3.8,2010-01-22,3.8,3.8
3.7,822150.0,3.65,2010-01-27,3.7,3.5
3.65,217650.0,3.8,2010-01-28,3.8,3.65
3.7,865700.0,3.8,2010-01-29,3.85,3.7
3.6,54000.0,3.6,2010-02-02,3.6,3.6
3.45,51750.0,3.45,2010-02-09,3.45,3.45
3.65,18250.0,3.65,2010-03-16,3.65,3.65
3.85,3850.0,3.85,2010-03-31,3.85,3.85
3.85,11550.0,3.85,2010-04-20,3.85,3.85
3.85,111650.0,3.85,2010-04-21,3.85,3.85
3.6,170550.0,3.55,2010-02-01,3.6,3.55
3.6,118800.0,3.6,2010-02-05,3.6,3.6
3.6,41700.0,3.45,2010-02-10,3.6,3.45
3.9,81900.0,3.9,2010-04-23,3.9,3.9
3.9,97500.0,3.9,2010-04-30,3.9,3.9
3.9,296400.0,3.9,2010-05-05,3.9,3.9
4.0,1026900.0,4.2,2010-05-14,4.2,4.0
4.3,90050.0,4.25,2010-05-17,4.3,4.25
4.2,175350.0,4.25,2010-05-18,4.25,4.1
4.0,32000.0,4.0,2010-05-20,4.0,4.0
4.0,168000.0,4.0,2010-05-21,4.0,4.0
3.9,462600.0,3.9,2010-05-24,3.9,3.85
3.9,58500.0,3.9,2010-05-27,3.9,3.9
3.9,11700.0,3.9,2010-05-31,3.9,3.9
3.95,11850.0,3.95,2010-06-01,3.95,3.95
3.95,228550.0,3.95,2010-06-03,4.05,3.95
3.85,142450.0,3.85,2010-06-07,3.85,3.85
3.85,192500.0,3.85,2010-06-08,3.85,3.85
3.95,79000.0,3.95,2010-06-10,3.95,3.95
3.95,175750.0,3.9,2010-06-11,3.95,3.9
3.85,1151150.0,3.85,2010-06-23,3.85,3.85
3.9,1296900.0,3.95,2010-06-24,4.0,3.9
4.0,304000.0,4.0,2010-06-25,4.0,4.0
3.9,335500.0,3.95,2010-06-28,3.95,3.9
3.85,61600.0,3.85,2010-06-29,3.85,3.85
3.85,80850.0,3.85,2010-07-01,3.85,3.85
3.75,411500.0,3.75,2010-07-06,3.75,3.7
3.75,26100.0,3.6,2010-07-07,3.75,3.6
3.9,11700.0,3.9,2010-05-04,3.9,3.9
3.9,159850.0,3.85,2010-05-26,3.9,3.85
3.65,317300.0,3.6,2010-07-08,3.65,3.6
3.6,587750.0,3.75,2010-07-09,3.75,3.6
3.75,112500.0,3.75,2010-07-13,3.75,3.75
3.75,375000.0,3.75,2010-07-15,3.75,3.75
3.75,585000.0,3.75,2010-07-16,3.75,3.75
3.65,36500.0,3.65,2010-07-19,3.65,3.65
3.65,91250.0,3.65,2010-07-21,3.65,3.65
3.8,202900.0,3.85,2010-07-23,3.85,3.8
4.0,266400.0,4.3,2010-09-20,4.3,4.0
4.4,792000.0,4.4,2010-09-21,4.4,4.4
4.3,1039550.0,4.5,2010-09-23,4.5,4.3
4.0,4000.0,4.0,2010-09-28,4.0,4.0
4.0,4000.0,4.0,2010-09-29,4.0,4.0
4.02,68040.0,4.0,2010-09-30,4.02,4.0
4.0,128070.0,4.0,2010-10-01,4.01,4.0
4.01,40010.0,4.0,2010-10-06,4.01,4.0
4.0,60000.0,4.0,2010-10-07,4.0,4.0
4.01,168010.0,4.0,2010-10-08,4.01,4.0
3.93,15690.0,3.92,2010-10-18,3.93,3.92
3.91,66770.0,3.93,2010-10-19,3.93,3.91
3.91,3910.0,3.91,2010-10-20,3.91,3.91
4.5,5012610.0,5.49,2010-10-29,5.49,4.3
5.98,1720637.0,6.0,2010-11-02,6.1,5.6
5.97,1168416.0,5.2,2010-11-03,5.98,5.0
5.0,644805.0,5.0,2010-11-04,5.15,4.9
5.0,296438.0,4.6,2010-11-09,5.08,4.6
4.6,1614120.0,4.5,2010-11-10,4.75,4.0
4.01,34410.0,4.4,2010-11-11,4.4,4.01
3.75,37500.0,3.75,2010-07-22,3.75,3.75
5.0,200505.0,5.0,2010-11-08,5.05,5.0
4.2,28840.0,4.06,2010-11-12,4.2,4.06
4.7,51350.0,4.35,2010-11-15,4.7,4.35
4.8,254120.0,4.52,2010-11-17,4.8,4.52
4.55,165050.0,4.55,2010-11-19,4.6,4.55
4.35,130500.0,4.35,2010-11-24,4.35,4.35
4.2,83400.0,4.15,2010-11-30,4.2,4.15
4.3,4300.0,4.3,2010-12-01,4.3,4.3
4.33,21650.0,4.33,2010-12-03,4.33,4.33
4.1,4100.0,4.1,2010-12-06,4.1,4.1
4.2,45700.0,4.2,2010-12-07,4.2,4.1
4.55,319050.0,4.55,2010-11-22,4.6,4.55
4.5,331700.0,4.6,2010-11-23,4.7,4.4
4.4,12800.0,4.2,2010-11-26,4.4,4.2
4.5,192950.0,4.9,2010-12-08,4.9,4.2
4.6,50600.0,4.6,2010-12-22,4.6,4.6
4.65,93000.0,4.65,2010-12-23,4.65,4.65
4.6,46000.0,4.6,2011-01-05,4.6,4.6
4.9,4900.0,4.9,2011-01-10,4.9,4.9
4.94,164010.0,4.99,2011-01-13,4.99,4.94
4.9,53900.0,4.9,2011-01-17,4.9,4.9
4.92,28920.0,4.8,2011-01-19,4.92,4.8
4.92,28920.0,4.8,2011-01-19,4.92,4.8
4.95,49590.0,5.0,2011-01-20,5.0,4.95
4.95,49590.0,5.0,2011-01-20,5.0,4.95
4.32,4320.0,4.32,2011-01-24,4.32,4.32
4.32,1225020.0,4.5,2011-01-25,4.55,4.2
4.3,1667500.0,4.4,2011-01-27,4.4,4.0
4.49,308840.0,4.48,2011-01-28,4.5,4.1
4.7,189700.0,4.6,2010-12-29,4.7,4.6
4.7,189700.0,4.6,2010-12-29,4.7,4.6
4.62,124600.0,4.6,2011-01-18,4.62,4.6
4.49,308840.0,4.48,2011-01-28,4.5,4.1
4.3,760890.0,4.2,2011-01-31,4.39,4.1
4.3,760890.0,4.2,2011-01-31,4.39,4.1
4.25,822390.0,4.18,2011-02-01,4.29,4.16
4.25,822390.0,4.18,2011-02-01,4.29,4.16
4.21,126450.0,4.18,2011-02-02,4.25,4.18
4.13,170480.0,4.16,2011-02-14,4.3,4.13
4.28,117380.0,4.17,2011-02-16,4.28,4.16
4.28,117380.0,4.17,2011-02-16,4.28,4.16
4.18,221880.0,4.16,2011-02-17,4.28,4.16
4.17,21010.0,4.18,2011-02-21,4.3,4.17
4.17,21010.0,4.18,2011-02-21,4.3,4.17
4.32,881520.0,4.4,2011-02-22,4.7,4.22
4.32,881520.0,4.4,2011-02-22,4.7,4.22
4.84,123250.0,4.41,2011-02-23,4.84,4.41
4.84,123250.0,4.41,2011-02-23,4.84,4.41
4.42,49140.0,4.42,2011-02-24,4.7,4.42
4.42,49140.0,4.42,2011-02-24,4.7,4.42
4.59,60490.0,4.47,2011-02-25,4.83,4.46
4.47,26810.0,4.46,2011-02-28,4.47,4.46
4.5,40500.0,4.5,2011-03-03,4.5,4.5
4.5,67420.0,4.5,2011-03-07,4.5,4.42
4.32,75250.0,4.35,2011-03-11,4.62,4.32
4.32,75250.0,4.35,2011-03-11,4.62,4.32
4.5,4500.0,4.5,2011-03-16,4.5,4.5
4.4,301910.0,4.63,2011-03-18,4.63,4.4
4.35,56550.0,4.35,2011-03-21,4.35,4.35
4.4,161700.0,4.35,2011-03-22,4.4,4.35
4.35,34800.0,4.35,2011-03-23,4.35,4.35
4.35,43500.0,4.35,2011-03-29,4.35,4.35
4.34,4340.0,4.34,2011-04-01,4.34,4.34
4.34,35130.0,4.75,2011-04-05,4.75,4.34
4.34,141910.0,4.75,2011-04-08,4.75,4.34
4.7,521700.0,4.7,2011-04-11,4.7,4.7
4.27,94080.0,4.31,2011-02-18,4.31,4.17
4.5,40180.0,4.46,2011-03-02,4.5,4.46
4.56,27100.0,4.3,2011-03-08,4.56,4.3
4.56,27100.0,4.3,2011-03-08,4.56,4.3
4.35,217500.0,4.35,2011-03-31,4.35,4.35
4.35,13050.0,4.35,2011-04-04,4.35,4.35
4.5,234000.0,4.5,2011-04-12,4.5,4.5
4.74,56990.0,4.75,2011-04-14,4.75,4.74
4.44,78080.0,4.7,2011-04-26,4.7,4.44
4.5,8970.0,4.47,2011-04-27,4.5,4.47
4.45,66550.0,4.41,2011-05-02,4.45,4.41
4.5,14000.0,4.75,2011-05-03,4.75,4.5
4.5,352420.0,4.53,2011-05-04,4.53,4.5
4.5,8970.0,4.47,2011-05-05,4.5,4.47
4.5,1121870.0,4.5,2011-05-09,4.75,4.5
4.37,56320.0,4.7,2011-04-15,4.75,4.37
4.38,58080.0,4.4,2011-04-29,4.81,4.38
4.75,13800.0,4.5,2011-05-10,4.75,4.5
4.55,18270.0,4.6,2011-05-11,4.6,4.55
4.6,13780.0,4.58,2011-05-12,4.6,4.58
4.63,13850.0,4.6,2011-05-13,4.63,4.6
4.58,9200.0,4.62,2011-05-16,4.62,4.58
4.68,103080.0,4.8,2011-05-18,4.8,4.68
4.7,190860.0,4.8,2011-05-19,4.8,4.61
4.75,23760.0,4.72,2011-05-20,4.85,4.72
4.7,114700.0,4.82,2011-05-23,4.9,4.7
4.8,110230.0,4.77,2011-05-24,4.95,4.77
4.79,47930.0,4.78,2011-05-25,4.8,4.78
4.77,2939340.0,5.0,2011-05-26,5.27,4.77
5.0,1611120.0,5.03,2011-05-30,5.3,4.9
5.15,338458.0,5.12,2011-05-31,5.19,5.09
5.11,742404.0,5.0,2011-06-01,5.25,5.0
5.15,260434.0,5.01,2011-06-03,5.15,5.0
4.63,200580.0,4.79,2011-05-17,4.83,4.62
5.1,277547.0,5.0,2011-05-27,5.18,5.0
5.01,11010.0,5.0,2011-06-06,5.2,4.98
5.15,43610.0,4.95,2011-06-07,5.15,4.95
5.15,287270.0,4.95,2011-06-08,5.15,4.95
5.05,109000.0,4.95,2011-06-09,5.05,4.95
5.05,10030.0,4.98,2011-06-10,5.05,4.98
4.95,49830.0,5.0,2011-06-13,5.0,4.95
5.05,377798.0,5.28,2011-06-14,5.45,4.97
5.34,3891274.0,5.6,2011-06-15,6.0,5.1
5.49,3968197.0,5.51,2011-06-17,5.94,5.49
