OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
7.5,19150100.0,7.5,2009-08-03,7.6,7.4
7.4,16963900.0,7.7,2009-08-04,7.8,7.4
7.7,4816500.0,7.9,2009-08-06,8.0,7.7
8.0,9507300.0,8.2,2009-08-07,8.2,7.9
8.5,15198100.0,8.5,2009-08-10,8.5,8.2
8.4,8258900.0,8.5,2009-08-11,8.6,8.4
8.4,5435800.0,8.5,2009-08-12,8.5,8.4
8.5,3981200.0,8.6,2009-08-13,8.7,8.5
8.6,5376400.0,8.6,2009-08-14,8.6,8.5
8.5,2898700.0,8.4,2009-08-17,8.5,8.4
8.2,46525100.0,8.2,2009-08-18,8.2,8.1
8.2,4890900.0,8.3,2009-08-19,8.4,8.2
8.4,5807900.0,8.4,2009-08-20,8.4,8.3
8.5,16087200.0,8.8,2009-08-24,9.1,8.5
8.8,10633500.0,8.8,2009-08-25,9.3,8.8
9.0,6200600.0,9.0,2009-08-26,9.1,8.9
8.4,15315700.0,8.2,2009-09-03,8.4,8.1
8.2,6135500.0,8.4,2009-09-04,8.4,8.2
9.0,33369000.0,8.9,2009-09-16,9.4,8.8
9.0,11185000.0,8.9,2009-09-17,9.2,8.9
8.9,11023400.0,8.8,2009-09-18,8.9,8.7
8.7,9997400.0,8.7,2009-09-22,8.8,8.7
8.8,9691200.0,8.7,2009-09-23,8.8,8.7
8.6,18831400.0,8.7,2009-09-30,8.7,8.6
8.7,25320700.0,8.8,2009-10-01,9.0,8.7
8.6,5271500.0,8.6,2009-10-02,8.6,8.5
8.7,5151700.0,8.6,2009-10-05,8.7,8.6
8.8,19066700.0,8.6,2009-10-06,8.9,8.6
8.7,40863100.0,8.9,2009-10-07,8.9,8.6
8.9,37482000.0,9.3,2009-10-08,9.5,8.9
9.3,19317300.0,9.3,2009-10-09,9.5,9.1
9.2,785700.0,9.1,2009-10-12,9.3,9.1
9.1,6903200.0,9.0,2009-10-13,9.1,9.0
9.1,3112300.0,9.0,2009-10-14,9.1,8.9
9.1,33635700.0,9.5,2009-10-15,9.6,9.1
9.5,15195600.0,9.6,2009-10-16,9.6,9.4
9.6,2022700.0,9.5,2009-10-19,9.6,9.4
9.5,7324600.0,9.5,2009-10-20,9.5,9.4
9.4,3070600.0,9.3,2009-10-21,9.4,9.2
9.4,41277400.0,9.7,2009-10-22,9.8,9.3
9.9,98607950.0,10.25,2009-10-23,10.5,9.9
10.25,52570525.0,10.0,2009-10-26,10.25,10.0
9.9,42544900.0,10.0,2009-10-27,10.0,9.8
9.9,16524200.0,9.9,2009-10-28,10.0,9.9
9.9,19903500.0,9.6,2009-10-29,9.9,9.5
