OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
10.0,112000.0,10.0,2017-04-07,10.0,10.0
10.0,107227.0,10.9,2017-04-20,10.9,10.0
10.6,15900.0,10.6,2017-04-24,10.6,10.6
10.8,20520.0,10.8,2017-04-25,10.8,10.8
10.0,150000.0,10.0,2017-04-26,10.0,10.0
10.7,10700.0,10.7,2017-05-08,10.7,10.7
10.7,18725.0,10.7,2017-05-09,10.7,10.7
10.7,52554.0,10.5,2017-05-10,10.78,10.5
10.6,15900.0,10.6,2017-05-12,10.6,10.6
10.5,144228.0,10.66,2017-05-15,10.66,10.5
10.5,4170.0,10.4,2017-05-16,10.5,10.4
10.5,58485.0,10.5,2017-05-17,10.5,10.5
10.5,19950.0,10.5,2017-05-18,10.5,10.5
10.5,199395.0,10.5,2017-05-19,10.5,10.5
10.5,215250.0,10.5,2017-05-23,10.5,10.5
10.4,100413.2,10.0,2017-05-26,10.4,10.0
10.02,20031.0,10.0,2017-06-01,10.02,10.0
10.5,29295.0,10.5,2017-06-05,10.5,10.5
10.1,8136.0,10.24,2017-06-09,10.24,10.1
10.16,39116.0,10.16,2017-06-13,10.16,10.16
10.16,99608.0,10.5,2017-06-14,10.5,10.16
10.48,87508.0,10.48,2017-06-16,10.48,10.48
10.5,133660.0,10.48,2017-06-19,10.5,10.48
10.48,10480.0,10.48,2017-06-21,10.48,10.48
10.48,25885.6,10.48,2017-06-22,10.48,10.48
10.48,159319.4,10.5,2017-06-23,10.5,10.48
10.5,2100.0,10.5,2017-06-27,10.5,10.5
10.48,25571.2,10.48,2017-06-29,10.48,10.48
10.48,20148.8,10.5,2017-07-03,10.5,10.48
10.66,101270.0,10.66,2017-07-04,10.66,10.66
10.5,26250.0,10.5,2017-07-07,10.5,10.5
10.5,157500.0,10.5,2017-07-10,10.5,10.5
10.66,1066.0,10.66,2017-07-11,10.66,10.66
10.5,110985.0,10.5,2017-07-17,10.5,10.5
10.52,105004.0,10.5,2017-07-18,10.52,10.5
10.5,4200.0,10.5,2017-07-20,10.5,10.5
10.5,4200.0,10.5,2017-07-25,10.5,10.5
10.5,146790.0,10.5,2017-07-27,10.5,10.5
10.5,52500.0,10.5,2017-08-01,10.5,10.5
