OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
11.8,450801539.0,10.26,2018-06-29,11.8,9.66
10.12,92498458.0,10.14,2018-07-02,10.64,10.06
10.2,30242584.0,10.34,2018-07-03,10.4,10.1
10.46,59193344.0,10.2,2018-07-04,10.46,10.2
10.2,30768394.0,9.8,2018-07-05,10.2,9.78
9.8,50392353.0,9.8,2018-07-06,9.81,9.08
9.81,15743025.0,9.4,2018-07-09,9.81,9.3
9.59,5583456.0,9.27,2018-07-10,9.59,9.26
9.24,31297927.0,8.75,2018-07-11,9.24,8.67
8.75,25727968.0,8.99,2018-07-12,9.1,8.73
8.95,27446648.0,9.0,2018-07-13,9.1,8.8
9.01,2899038.0,8.76,2018-07-16,9.15,8.76
8.78,3799416.0,8.74,2018-07-17,8.82,8.74
8.74,4373837.0,8.87,2018-07-18,8.92,8.74
8.79,2885155.0,8.81,2018-07-19,8.9,8.79
8.85,2649874.0,8.8,2018-07-20,8.85,8.8
8.8,2672265.0,8.84,2018-07-23,8.99,8.8
8.83,4926398.0,8.87,2018-07-24,8.92,8.82
8.88,12528400.0,9.15,2018-07-25,9.38,8.88
9.2,2979160.0,9.32,2018-07-26,9.35,9.2
9.32,15101787.0,9.7,2018-07-27,9.88,9.32
9.7,19776890.0,9.85,2018-07-30,10.0,9.52
9.85,21988353.0,9.77,2018-07-31,9.97,9.65
9.77,6886199.0,9.72,2018-08-01,9.87,9.69
9.68,4707943.0,9.74,2018-08-02,9.8,9.65
9.74,2923325.0,9.82,2018-08-03,9.85,9.7
9.73,12216901.0,10.18,2018-08-06,10.2,9.69
10.1,19120922.0,10.46,2018-08-07,10.74,10.1
10.4,4300430.0,10.16,2018-08-08,10.4,10.12
10.2,7795203.0,9.86,2018-08-09,10.26,9.8
9.86,5025655.0,10.14,2018-08-10,10.14,9.86
10.14,3021316.0,9.91,2018-08-13,10.14,9.91
9.98,1256628.0,9.89,2018-08-14,9.98,9.85
9.86,2595728.0,9.77,2018-08-15,9.93,9.7
9.75,3495656.0,10.0,2018-08-16,10.0,9.65
9.9,1457115.0,9.84,2018-08-17,9.9,9.8
9.84,1349548.0,9.95,2018-08-20,9.95,9.76
9.9,564863.0,9.7,2018-08-22,9.98,9.7
9.7,1975172.0,9.67,2018-08-23,9.9,9.65
9.7,3919579.0,9.55,2018-08-24,9.81,9.55
9.7,4650734.0,9.4,2018-08-28,9.75,9.4
9.38,12754259.0,9.24,2018-08-29,9.5,9.24
9.22,2072217.0,9.35,2018-08-30,9.39,9.2
9.35,4249480.0,9.2,2018-08-31,9.35,9.2
9.2,5985767.0,9.21,2018-09-03,9.27,9.2
9.22,4374836.0,9.23,2018-09-04,9.35,9.22
9.35,7726464.0,9.09,2018-09-05,9.35,9.09
9.11,8418073.0,8.8,2018-09-06,9.11,8.77
8.81,5713448.0,8.67,2018-09-07,8.81,8.67
8.67,1697634.0,8.9,2018-09-10,8.91,8.67
8.91,2168080.0,8.73,2018-09-11,9.0,8.7
8.75,443891.0,8.75,2018-09-12,8.82,8.75
8.75,1555192.0,8.72,2018-09-13,8.81,8.7
8.7,1689410.0,8.7,2018-09-14,8.82,8.7
8.7,1953170.0,8.79,2018-09-17,8.84,8.7
8.82,3034344.0,8.67,2018-09-18,8.85,8.67
8.7,3943579.0,8.49,2018-09-19,8.74,8.49
8.44,1930916.0,8.42,2018-09-20,8.59,8.42
8.41,6040292.0,8.08,2018-09-21,8.69,8.08
8.41,6040292.0,8.08,2018-09-21,8.69,8.08
8.09,2454745.0,8.27,2018-09-24,8.4,8.09
8.09,2454745.0,8.27,2018-09-24,8.4,8.09
8.27,3170342.0,8.53,2018-09-25,8.55,8.27
8.53,1101728.0,8.51,2018-09-26,8.67,8.51
8.53,1732931.0,8.33,2018-09-27,8.53,8.33
8.51,7267778.0,8.34,2018-09-28,8.65,8.34
8.34,566526.0,8.3,2018-10-01,8.34,8.25
8.3,537122.0,8.35,2018-10-02,8.35,8.28
8.38,1358185.0,8.33,2018-10-03,8.39,8.26
8.27,586649.0,8.3,2018-10-04,8.41,8.27
8.28,316824.0,8.29,2018-10-05,8.29,8.27
8.34,971942.0,8.34,2018-10-08,8.34,8.28
8.34,428453.0,8.36,2018-10-09,8.43,8.3
8.34,4794505.0,8.08,2018-10-10,8.34,8.05
8.02,2149977.0,7.86,2018-10-11,8.02,7.8
7.9,7160398.0,7.65,2018-10-12,7.9,7.52
7.65,2177747.0,7.8,2018-10-15,7.95,7.65
7.67,1785904.0,7.66,2018-10-16,7.69,7.63
7.67,1676967.0,7.95,2018-10-17,8.1,7.67
7.95,6249989.0,7.99,2018-10-18,8.04,7.95
7.71,3153497.0,7.99,2018-10-19,8.0,7.71
7.99,5219175.0,7.99,2018-10-22,8.08,7.99
8.1,1038772.0,8.2,2018-10-23,8.22,8.0
8.2,1832840.0,8.14,2018-10-24,8.2,8.14
8.0,22423251.0,7.87,2018-10-25,8.05,7.8
7.8,2756885.0,7.8,2018-10-26,7.87,7.8
7.8,7541129.0,7.9,2018-10-29,8.0,7.8
7.9,1529236.0,7.9,2018-10-30,7.92,7.86
7.9,812068.0,7.9,2018-10-31,7.9,7.88
7.89,756070.0,8.0,2018-11-05,8.0,7.88
7.89,970070.0,7.85,2018-11-06,8.0,7.84
7.99,1269433.0,7.91,2018-11-07,7.99,7.85
7.83,3720900.0,7.81,2018-11-08,7.92,7.8
7.8,2006982.0,7.79,2018-11-09,7.81,7.76
7.76,2752082.0,7.77,2018-11-12,8.1,7.76
7.76,5414223.0,7.71,2018-11-13,7.76,7.7
7.7,5818230.0,7.6,2018-11-14,7.75,7.55
7.54,5109211.0,7.55,2018-11-15,7.57,7.5
7.55,1189615.0,7.6,2018-11-16,7.65,7.55
7.58,2212459.0,7.6,2018-11-19,7.61,7.53
7.55,3186966.0,7.6,2018-11-20,7.65,7.55
7.57,1181676.0,7.6,2018-11-21,7.6,7.57
7.59,1542707.0,7.57,2018-11-22,7.59,7.5
7.56,2577743.0,7.56,2018-11-23,7.59,7.51
7.6,2255247.0,7.61,2018-11-26,7.65,7.6
7.62,2617047.0,7.63,2018-11-27,7.65,7.61
7.94,885405.0,7.93,2018-11-28,7.94,7.7
7.9,606098.0,7.85,2018-11-29,7.9,7.8
7.8,363336.0,7.91,2018-12-03,7.93,7.8
7.91,1458135.0,8.0,2018-12-04,8.0,7.9
8.1,3154647.0,8.06,2018-12-05,8.13,8.06
8.07,16254838.0,7.99,2018-12-06,8.07,7.99
7.99,1432686.0,8.04,2018-12-07,8.05,7.93
8.0,459268.0,8.05,2018-12-10,8.05,8.0
8.05,1204887.0,8.0,2018-12-11,8.05,7.99
8.0,731950.0,8.0,2018-12-12,8.07,8.0
7.97,585076.0,7.98,2018-12-13,8.08,7.94
8.0,1103820.0,7.98,2018-12-14,8.03,7.98
8.03,2905219.0,7.95,2018-12-17,8.03,7.93
7.99,949151.0,7.83,2018-12-18,7.99,7.82
7.83,509518.0,7.9,2018-12-19,7.92,7.83
7.88,2786366.0,7.9,2018-12-20,7.9,7.8
7.9,1109067.0,7.9,2018-12-21,7.9,7.82
7.99,1359956.0,7.7,2018-12-26,7.99,7.7
7.7,2011538.0,7.7,2018-12-27,7.9,7.68
7.75,7484832.0,7.8,2018-12-28,7.85,7.75
7.8,2928790.0,7.7,2019-01-02,7.84,7.7
7.85,255407.0,7.92,2019-01-03,7.92,7.8
7.92,643408.0,7.92,2019-01-04,7.92,7.7
7.9,416652.0,7.95,2019-01-07,7.96,7.9
7.99,673271.0,7.99,2019-01-08,7.99,7.92
7.99,994207.0,8.12,2019-01-09,8.28,7.99
8.18,1498233.0,8.13,2019-01-10,8.23,8.0
8.06,14450361.0,8.14,2019-01-11,8.2,7.96
8.15,28644099.0,8.58,2019-01-14,8.64,8.15
8.58,23635052.0,8.44,2019-01-15,8.71,8.38
8.45,17824666.0,8.6,2019-01-16,8.97,8.4
8.6,4596532.0,8.63,2019-01-17,8.8,8.6
8.64,25376587.0,8.7,2019-01-18,8.89,8.64
8.71,3593407.0,8.71,2019-01-21,8.88,8.7
8.74,2711820.0,8.75,2019-01-22,8.88,8.74
8.76,3331142.0,8.48,2019-01-23,8.76,8.38
8.52,29601878.0,8.8,2019-01-24,8.85,8.51
8.84,949238.0,8.67,2019-01-25,8.88,8.67
8.67,20406998.0,9.0,2019-01-28,9.21,8.67
9.0,20675892.0,8.9,2019-01-29,9.05,8.73
8.85,24751770.0,9.1,2019-01-30,9.2,8.85
9.12,14966244.0,9.0,2019-01-31,9.12,8.9
9.1,18645084.0,9.48,2019-02-01,9.49,9.01
9.48,15714507.0,9.68,2019-02-04,9.78,9.32
9.7,26301437.0,10.0,2019-02-06,10.14,9.6
10.1,18997230.0,10.28,2019-02-07,10.34,10.0
10.26,10210331.0,10.1,2019-02-08,10.26,9.86
10.1,3849556.0,10.2,2019-02-11,10.34,10.1
10.2,12514628.0,10.2,2019-02-12,10.48,10.18
