OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.0,428500.0,4.5,2009-09-03,5.0,4.5
4.55,179050.0,4.35,2009-09-04,4.55,4.35
4.0,36000.0,4.0,2009-09-16,4.0,4.0
3.75,249700.0,3.95,2009-10-09,4.35,3.75
3.95,35550.0,3.95,2009-10-12,3.95,3.95
3.95,55700.0,3.95,2009-10-13,4.0,3.95
3.95,47400.0,3.95,2009-10-16,3.95,3.95
3.0,3000.0,3.0,2009-10-28,3.0,3.0
3.75,15000.0,3.75,2009-11-06,3.75,3.75
3.8,26600.0,3.8,2009-12-22,3.8,3.8
3.05,88450.0,3.05,2010-01-12,3.05,3.05
4.0,44000.0,4.0,2010-02-08,4.0,4.0
4.05,4050.0,4.05,2010-03-12,4.05,4.05
4.05,20250.0,4.05,2010-03-15,4.05,4.05
4.15,37150.0,4.1,2010-03-16,4.15,4.1
4.4,42800.0,4.0,2010-04-30,4.4,4.0
4.0,24000.0,4.0,2010-05-04,4.0,4.0
4.1,16400.0,4.1,2010-05-14,4.1,4.1
4.25,30000.0,4.3,2010-06-01,4.3,4.25
4.15,41500.0,4.15,2010-06-25,4.15,4.15
4.15,45650.0,4.15,2010-06-28,4.15,4.15
4.15,41500.0,4.15,2010-07-02,4.15,4.15
4.15,20750.0,4.15,2010-07-21,4.15,4.15
4.0,28000.0,4.0,2010-07-22,4.0,4.0
4.42,221000.0,4.42,2010-09-22,4.42,4.42
4.4,22000.0,4.4,2010-09-27,4.4,4.4
4.4,8800.0,4.4,2010-10-01,4.4,4.4
3.98,27860.0,3.98,2010-10-05,3.98,3.98
3.98,7960.0,3.98,2010-10-15,3.98,3.98
4.18,4180.0,4.18,2010-11-19,4.18,4.18
4.09,20810.0,4.18,2010-12-16,4.18,4.09
4.18,41800.0,4.18,2011-01-24,4.18,4.18
4.18,71060.0,4.18,2011-05-10,4.18,4.18
4.35,4350.0,4.35,2011-06-22,4.35,4.35
4.3,4300.0,4.3,2011-07-25,4.3,4.3
4.21,21010.0,4.2,2011-08-09,4.21,4.2
4.21,47660.0,4.38,2011-08-19,4.38,4.2
4.3,60200.0,4.3,2011-08-24,4.3,4.3
4.5,590080.0,4.3,2011-09-16,6.2,4.3
4.3,8600.0,4.3,2011-09-19,4.3,4.3
4.3,12900.0,4.3,2011-09-22,4.3,4.3
4.21,8420.0,4.21,2011-10-06,4.21,4.21
4.21,21010.0,4.2,2011-10-14,4.21,4.2
4.5,76500.0,4.5,2011-10-18,4.5,4.5
4.76,14280.0,4.76,2011-11-17,4.76,4.76
4.76,4760.0,4.76,2011-11-21,4.76,4.76
4.4,145200.0,4.4,2011-12-27,4.4,4.4
4.21,58840.0,4.2,2012-01-04,4.21,4.2
4.3,48000.0,4.4,2012-01-19,4.4,4.3
4.75,143560.0,4.8,2012-01-27,4.8,4.75
4.8,14400.0,4.8,2012-02-13,4.8,4.8
4.8,33600.0,4.8,2012-02-14,4.8,4.8
4.51,13520.0,4.5,2012-02-17,4.51,4.5
4.61,50710.0,4.61,2012-03-01,4.61,4.61
4.46,35420.0,4.42,2012-03-19,4.46,4.42
4.43,30950.0,4.42,2012-03-27,4.43,4.42
5.0,50000.0,5.0,2012-03-28,5.0,5.0
4.5,45000.0,4.5,2012-04-17,4.5,4.5
4.5,4500.0,4.5,2012-08-08,4.5,4.5
5.0,20000.0,5.0,2012-09-17,5.0,5.0
5.01,21030.0,5.0,2012-09-18,5.01,5.0
4.5,1030500.0,4.5,2012-09-19,4.5,4.5
4.56,4560.0,4.56,2012-10-15,4.56,4.56
4.97,184300.0,5.0,2012-10-31,5.0,4.97
5.08,101600.0,5.08,2012-11-06,5.08,5.08
4.22,8421.0,4.21,2012-11-23,4.22,4.21
5.0,180080.0,5.29,2012-12-14,5.29,5.0
5.3,2571775.0,7.93,2012-12-17,7.93,5.3
11.84,4329116.0,9.55,2012-12-18,11.88,9.1
9.2,884733.0,9.0,2012-12-19,10.8,8.0
8.88,1217364.0,9.66,2012-12-20,11.88,8.0
10.0,665152.0,10.5,2012-12-21,11.0,10.0
10.5,19880.0,8.5,2012-12-26,10.5,8.5
8.5,123002.0,7.63,2012-12-27,8.51,7.5
10.48,163978.0,8.5,2012-12-28,10.48,7.5
8.5,64732.0,8.5,2013-01-02,8.5,8.01
9.01,28964.0,8.6,2013-01-03,9.38,8.6
8.5,81110.0,9.3,2013-01-04,9.3,8.5
8.0,6050.0,9.5,2013-01-07,9.5,8.0
9.0,72000.0,9.0,2013-01-08,9.0,9.0
9.38,83538.0,9.0,2013-01-09,9.38,7.7
9.0,8995.0,8.99,2013-01-10,9.0,8.99
7.65,8258.0,8.44,2013-01-14,8.44,7.0
7.06,21428.0,8.5,2013-01-15,8.5,7.06
7.05,33489.0,8.39,2013-01-16,8.39,7.05
8.3,8336.0,8.36,2013-01-17,8.36,8.3
7.2,14486.0,7.26,2013-01-21,7.26,7.2
8.2,11454.0,8.18,2013-01-22,8.2,8.18
7.2,4702.0,8.1,2013-01-23,8.15,7.2
7.19,12265.0,8.08,2013-01-24,8.19,7.19
8.08,46844.0,8.03,2013-01-25,8.08,8.03
8.42,162572.0,9.4,2013-01-28,9.88,8.42
9.4,45589.0,9.88,2013-01-29,9.88,9.4
9.4,72354.0,9.0,2013-01-30,9.4,9.0
9.4,940.0,9.4,2013-01-31,9.4,9.4
7.65,7650.0,7.65,2013-02-04,7.65,7.65
9.1,70695.0,7.8,2013-02-05,9.1,7.8
9.88,3868.0,9.6,2013-02-06,9.88,9.6
9.85,43967.0,9.0,2013-02-07,9.88,8.55
9.39,939.0,9.39,2013-02-08,9.39,9.39
8.99,94631.0,9.25,2013-02-11,9.25,8.99
9.24,54793.0,9.8,2013-02-12,9.85,9.24
9.3,36560.0,9.4,2013-02-13,9.4,9.3
9.7,5620.0,9.3,2013-02-14,9.7,9.3
9.2,79970.0,9.3,2013-02-15,9.3,9.2
9.5,950.0,9.5,2013-02-18,9.5,9.5
9.5,201874.0,9.03,2013-02-19,9.5,9.0
9.5,950.0,9.5,2013-02-20,9.5,9.5
9.5,82634.0,9.38,2013-02-21,9.5,8.88
8.88,95388.0,8.88,2013-02-22,9.0,8.88
8.88,290066.0,10.0,2013-02-25,10.36,8.88
9.88,49400.00000000001,9.88,2013-02-26,9.88,9.88
9.03,26108.0,9.48,2013-02-27,9.48,9.03
9.5,33688.0,9.0,2013-02-28,9.88,9.0
9.0,18000.0,9.0,2013-03-04,9.0,9.0
9.5,11476.0,9.88,2013-03-05,9.88,9.5
9.0,1800.0,9.0,2013-03-06,9.0,9.0
9.01,57975.0,9.88,2013-03-07,9.88,9.01
9.88,3000.0,10.24,2013-03-08,10.24,9.88
9.88,8362.0,10.6,2013-03-12,10.6,9.88
9.88,988.0000000000001,9.88,2013-03-14,9.88,9.88
9.02,104689.0,9.0,2013-03-15,10.46,9.0
9.88,988.0000000000001,9.88,2013-03-19,9.88,9.88
8.88,117276.0,8.88,2013-03-21,8.9,8.88
8.87,271759.0,9.0,2013-03-22,9.0,8.0
7.6,14156.0,8.02,2013-03-26,8.02,7.54
8.12,119372.0,9.4,2013-04-02,9.4,8.12
9.2,27550.0,9.5,2013-04-03,10.0,9.2
9.7,11700.0,10.0,2013-04-10,10.0,9.7
8.95,894.9999999999999,8.95,2013-04-11,8.95,8.95
9.01,27974.0,9.7,2013-04-12,9.7,9.0
9.02,51522.0,9.98,2013-04-17,9.98,9.0
9.0,338758.0,9.96,2013-04-18,9.96,9.0
9.02,2706.0,9.02,2013-04-23,9.02,9.02
9.0,3600.0,9.0,2013-04-24,9.0,9.0
9.02,10806.0,9.0,2013-04-25,9.02,9.0
8.92,104256.0,8.3,2013-04-26,8.92,8.3
9.0,27000.0,9.0,2013-05-02,9.0,9.0
8.58,21338.0,8.35,2013-05-08,8.58,8.35
8.37,16740.0,8.37,2013-05-14,8.37,8.37
8.37,1786.0,9.49,2013-05-15,9.49,8.37
8.36,86096.0,8.35,2013-05-21,9.12,8.35
8.35,3340.0,8.35,2013-05-22,8.35,8.35
8.35,29001.0,8.18,2013-05-27,8.35,8.18
8.14,21136.0,8.08,2013-05-30,8.14,8.08
7.6,760.0,7.6,2013-05-31,7.6,7.6
7.78,31818.0,7.74,2013-06-10,7.78,7.74
7.74,2322.0,7.74,2013-06-13,7.74,7.74
7.74,44118.0,7.74,2013-06-19,7.74,7.74
7.74,5422.0,7.75,2013-06-20,7.75,7.74
7.78,3108.0,7.76,2013-07-15,7.78,7.76
7.78,778.0,7.78,2013-07-26,7.78,7.78
9.5,493032.0,10.6,2013-08-14,11.58,9.5
10.0,1241768.0,12.5,2013-08-15,15.9,10.0
12.5,84112.0,10.0,2013-08-16,12.5,10.0
10.0,15000.0,10.0,2013-08-27,10.0,10.0
9.95,19965.0,10.0,2013-08-29,10.0,9.95
9.5,7600.0,9.5,2013-08-30,9.5,9.5
10.4,220098.0,12.1,2013-09-04,14.0,10.4
13.0,135362.0,13.0,2013-09-05,14.48,13.0
11.0,418078.0,14.94,2013-09-06,14.96,11.0
14.96,129026.0,18.0,2013-09-09,19.0,14.96
19.0,260028.0,15.0,2013-09-10,19.98,15.0
15.0,85640.0,16.9,2013-09-11,16.9,13.5
16.9,1689.9999999999998,16.9,2013-09-13,16.9,16.9
13.5,11600.0,13.1,2013-09-16,13.5,12.5
15.9,4770.0,15.9,2013-09-17,15.9,15.9
15.58,154966.0,14.5,2013-09-19,15.58,14.5
14.5,152684.0,16.5,2013-09-20,17.0,14.5
17.0,23818.0,15.04,2013-09-23,17.0,15.0
15.3,90600.0,15.06,2013-09-24,15.3,15.06
13.02,11632.0,15.06,2013-09-25,15.06,13.02
15.0,24700.0,15.5,2013-09-27,15.5,15.0
17.0,36038.0,17.5,2013-09-30,18.88,17.0
17.98,39198.0,17.0,2013-10-01,17.98,17.0
15.5,21850.0,17.0,2013-10-03,17.0,15.5
13.0,23400.0,18.0,2013-10-04,18.5,13.0
17.0,1700.0,17.0,2013-10-07,17.0,17.0
17.0,210532.0,14.94,2013-10-08,17.0,13.1
14.94,64410.0,14.48,2013-10-09,14.94,13.0
14.0,104438.0,14.48,2013-10-10,14.5,14.0
15.0,1500.0,15.0,2013-10-11,15.0,15.0
16.0,24700.0,15.0,2013-10-14,16.0,15.0
15.0,14200.0,13.5,2013-10-16,15.0,13.5
13.8,38040.0,13.0,2013-10-17,13.8,13.0
13.0,102700.0,13.0,2013-10-18,13.0,13.0
13.5,11722.0,12.62,2013-10-21,13.5,12.62
12.62,110290.0,12.2,2013-10-22,12.62,12.0
13.4,84094.0,13.34,2013-10-23,13.4,12.0
12.0,664728.0,12.9,2013-10-24,12.9,11.9
12.54,3808.0,13.0,2013-10-25,13.0,12.54
12.0,80350.0,12.0,2013-10-29,12.9,11.5
11.5,12700.0,12.0,2013-10-30,12.0,11.5
11.32,12062.0,12.5,2013-10-31,12.5,9.1
12.5,684358.0,14.0,2013-11-04,14.0,12.5
13.7,10102.0,12.02,2013-11-05,13.7,12.02
12.04,170272.0,12.5,2013-11-06,12.5,12.0
12.0,31242.0,12.5,2013-11-07,12.5,11.9
12.5,18262.0,12.04,2013-11-08,12.5,11.9
11.92,7132.0,11.8,2013-11-11,11.92,11.8
11.8,7180.0,12.0,2013-11-12,12.0,11.8
12.06,24036.0,11.82,2013-11-13,12.1,11.82
11.8,64400.0,12.0,2013-11-18,12.0,11.6
12.0,42030.0,12.02,2013-11-19,12.02,12.0
11.6,24360.0,11.6,2013-11-21,11.6,11.6
10.1,26526.0,11.34,2013-11-26,11.34,10.1
8.8,475530.0,11.0,2013-11-28,11.0,8.0
10.88,6528.000000000001,10.88,2013-12-02,10.88,10.88
10.6,27742.0,10.7,2013-12-03,10.76,10.6
8.88,1776.0000000000002,8.88,2013-12-04,8.88,8.88
9.51,7608.0,9.51,2013-12-10,9.51,9.51
9.51,104510.0,9.5,2013-12-12,9.51,9.5
10.6,41040.0,10.88,2013-12-13,10.88,10.6
11.0,3388.0,11.88,2013-12-17,11.88,11.0
11.0,2200.0,11.0,2013-12-23,11.0,11.0
11.84,9430.0,11.78,2014-01-06,11.84,11.78
11.68,11680.0,11.68,2014-01-09,11.68,11.68
10.0,34036.0,10.0,2014-01-14,10.04,10.0
10.3,1030.0,10.3,2014-01-15,10.3,10.3
11.36,57472.0,11.68,2014-01-16,11.68,11.36
10.68,11748.0,10.68,2014-01-22,10.68,10.68
11.66,1166.0,11.66,2014-01-23,11.66,11.66
10.5,2100.0,10.5,2014-01-27,10.5,10.5
11.4,13680.0,11.4,2014-02-03,11.4,11.4
11.5,12776.0,11.6,2014-02-21,11.66,11.5
11.0,6900.0,11.6,2014-03-06,11.6,11.0
12.0,25200.0,12.0,2014-03-07,12.0,12.0
12.0,13200.0,12.0,2014-03-11,12.0,12.0
