OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
4.38,302139650.0,4.36,2012-12-12,4.51,4.34
4.34,123384870.0,4.44,2012-12-13,4.45,4.32
4.44,125578630.0,4.47,2012-12-14,4.55,4.41
4.5,37910000.0,4.42,2012-12-17,4.5,4.41
4.45,54612610.0,4.43,2012-12-18,4.5,4.38
4.42,16867790.0,4.4,2012-12-19,4.44,4.4
4.4,14370180.0,4.4,2012-12-20,4.45,4.39
4.4,19457820.0,4.4,2012-12-21,4.45,4.39
4.4,11485150.0,4.41,2012-12-26,4.44,4.38
4.4,11530900.0,4.41,2012-12-27,4.41,4.39
4.41,36847480.0,4.4,2012-12-28,4.42,4.36
4.37,14835210.0,4.37,2013-01-02,4.4,4.37
4.38,26132060.0,4.38,2013-01-03,4.44,4.37
4.38,15057810.0,4.36,2013-01-04,4.4,4.36
4.38,61644090.0,4.42,2013-01-07,4.45,4.38
4.42,20243730.0,4.44,2013-01-08,4.46,4.41
4.41,41611130.0,4.45,2013-01-09,4.47,4.41
4.48,160285120.0,4.61,2013-01-10,4.7,4.48
4.64,185475320.0,4.98,2013-01-11,4.99,4.61
4.99,155327590.0,5.01,2013-01-14,5.15,4.85
5.01,144438044.0,4.98,2013-01-15,5.15,4.88
5.0,74905820.0,4.98,2013-01-16,5.05,4.88
4.99,148329780.0,5.31,2013-01-17,5.34,4.99
5.32,163943313.0,5.37,2013-01-18,5.4,5.25
5.39,41670570.0,5.4,2013-01-21,5.45,5.3
5.4,74129992.0,5.34,2013-01-22,5.43,5.25
5.34,28011782.0,5.31,2013-01-23,5.4,5.24
5.29,97534384.0,5.48,2013-01-24,5.54,5.28
5.49,157519790.0,5.8,2013-01-25,5.8,5.49
5.84,90728379.0,5.83,2013-01-28,5.9,5.71
5.85,90640959.0,5.86,2013-01-29,5.9,5.84
5.85,96998976.0,5.79,2013-01-30,5.9,5.74
5.8,56602177.0,5.8,2013-01-31,5.83,5.72
5.8,90605645.0,6.11,2013-02-01,6.12,5.8
6.11,118198572.0,6.35,2013-02-04,6.37,6.11
6.35,139589765.0,6.43,2013-02-05,6.48,6.22
6.43,185543354.0,6.29,2013-02-06,6.74,6.0
6.29,147033460.0,5.97,2013-02-07,6.3,5.8
5.97,65352428.0,5.92,2013-02-08,6.0,5.88
5.92,31394767.0,6.04,2013-02-11,6.2,5.92
6.09,27660527.0,6.02,2013-02-12,6.09,5.97
6.07,38361983.0,6.0,2013-02-13,6.08,5.97
6.0,67565454.0,6.18,2013-02-14,6.21,5.97
6.16,245013566.0,6.45,2013-02-15,6.7,6.16
6.75,180502029.0,6.76,2013-02-18,6.82,6.7
6.85,180401153.0,6.95,2013-02-19,6.99,6.85
7.09,211912987.0,6.83,2013-02-20,7.19,6.81
6.9,134269081.0,6.85,2013-02-21,7.1,6.82
6.9,304398955.0,6.51,2013-02-22,6.95,6.51
6.6,89323317.0,6.6,2013-02-25,6.75,6.58
6.59,137619103.0,6.54,2013-02-26,6.74,6.48
6.57,52273352.0,6.55,2013-02-27,6.65,6.55
6.61,131266942.0,6.5,2013-02-28,6.7,6.48
6.52,67983587.0,6.76,2013-03-01,6.79,6.52
6.78,99781414.0,6.97,2013-03-04,7.0,6.72
6.98,95822015.0,7.12,2013-03-05,7.13,6.95
7.15,62615286.0,7.03,2013-03-06,7.2,7.03
7.03,26170774.0,6.96,2013-03-07,7.03,6.89
6.95,81251459.0,6.85,2013-03-08,6.98,6.82
6.85,61929853.0,6.91,2013-03-11,7.0,6.84
6.97,41627530.0,6.76,2013-03-12,7.0,6.75
6.78,75248347.0,6.71,2013-03-13,6.83,6.56
6.72,81783181.0,6.96,2013-03-14,6.96,6.65
7.0,27855758.0,6.94,2013-03-15,7.04,6.91
6.96,89022472.0,6.6,2013-03-18,6.96,6.4
6.58,100361716.0,6.68,2013-03-19,6.7,6.07
6.68,80422490.0,6.93,2013-03-20,6.93,6.47
6.9,38581167.0,6.85,2013-03-21,7.01,6.75
6.89,14445847.0,6.77,2013-03-22,6.94,6.77
6.79,42244306.0,6.94,2013-03-25,7.0,6.78
6.95,49275499.0,6.9,2013-03-26,7.04,6.88
6.9,54604196.0,6.99,2013-03-27,7.05,6.9
7.09,74302396.0,6.99,2013-04-01,7.2,6.91
7.0,20113417.0,6.9,2013-04-02,7.0,6.85
6.97,37543865.0,6.83,2013-04-03,7.04,6.8
6.83,46091123.0,6.8,2013-04-04,6.94,6.78
6.8,37572043.0,6.75,2013-04-05,6.9,6.73
6.75,32897477.0,6.65,2013-04-08,6.75,6.6
6.68,29236062.0,6.68,2013-04-10,6.83,6.68
6.7,70737291.0,6.85,2013-04-11,6.92,6.67
6.92,67098824.0,6.98,2013-04-12,7.03,6.88
