OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.28,4136430.0,2.9,2013-11-21,3.28,2.9
3.0,1626750.0,3.0,2013-11-22,3.11,2.99
2.91,811050.0,3.0,2013-11-25,3.0,2.91
2.91,514480.0,2.9,2013-11-26,2.91,2.85
2.9,587170.0,2.79,2013-11-27,2.9,2.7
2.7,707280.0,2.61,2013-11-28,2.74,2.61
2.65,360140.0,2.72,2013-11-29,2.75,2.65
2.62,13050.0,2.6,2013-12-02,2.62,2.6
2.62,299080.0,2.6,2013-12-03,2.62,2.6
2.7,2700.0,2.7,2013-12-04,2.7,2.7
2.57,148550.0,2.7,2013-12-05,2.7,2.57
2.57,51630.0,2.69,2013-12-06,2.69,2.56
2.65,5300.0,2.65,2013-12-09,2.65,2.65
2.56,553660.0,2.6,2013-12-10,2.6,2.5
2.43,275230.0,2.55,2013-12-12,2.58,2.42
2.55,158870.0,2.58,2013-12-13,2.58,2.31
2.32,216660.0,2.56,2013-12-16,2.56,2.3
2.31,19470.0,2.5,2013-12-17,2.55,2.3
2.5,18920.0,2.5,2013-12-18,2.5,2.32
2.5,67600.0,2.55,2013-12-19,2.55,2.5
2.32,4820.0,2.5,2013-12-23,2.5,2.32
2.32,440560.0,2.48,2013-12-27,2.5,2.3
2.24,192340.0,2.21,2014-01-02,2.46,2.2
2.21,392830.0,2.39,2014-01-03,2.39,2.03
2.2,52720.0,2.17,2014-01-07,2.2,2.17
2.18,13080.0,2.18,2014-01-08,2.18,2.18
2.18,4360.0,2.18,2014-01-09,2.18,2.18
2.02,94980.0,2.2,2014-01-10,2.28,2.0
2.01,64490.0,2.25,2014-01-13,2.25,2.0
2.05,10770.0,2.19,2014-01-14,2.25,2.05
2.02,16770.0,2.08,2014-01-15,2.19,2.02
2.01,6360.0,2.17,2014-01-17,2.18,2.01
2.16,8530.0,2.18,2014-01-20,2.18,2.03
2.05,6410.0,2.18,2014-01-21,2.18,2.05
2.18,25460.0,2.08,2014-01-22,2.18,2.08
2.04,16320.0,2.04,2014-01-23,2.04,2.04
2.04,8160.0,2.04,2014-01-24,2.04,2.04
2.04,14250.0,2.03,2014-01-27,2.04,2.03
2.03,100140.0,2.0,2014-01-28,2.03,2.0
2.0,40000.0,2.0,2014-01-29,2.0,2.0
2.0,59820.0,1.99,2014-01-30,2.0,1.99
1.99,62600.0,1.95,2014-02-03,1.99,1.95
1.95,35140.0,1.99,2014-02-04,1.99,1.95
2.0,220000.0,2.0,2014-02-06,2.0,2.0
1.95,1950.0,1.95,2014-02-07,1.95,1.95
2.0,529990.0,2.0,2014-02-10,2.0,1.99
1.99,979160.0,1.98,2014-02-11,1.99,1.8
1.89,333270.0,1.79,2014-02-12,1.9,1.79
1.79,400660.0,1.82,2014-02-13,1.88,1.79
1.76,1081910.0,1.8,2014-02-14,1.81,1.76
1.8,287920.0,1.79,2014-02-17,1.8,1.79
1.79,998870.0,1.8,2014-02-19,1.8,1.65
1.82,19930.0,1.82,2014-02-20,1.82,1.8
1.85,922820.0,1.8,2014-02-21,1.85,1.8
1.85,228470.0,1.8,2014-02-24,1.88,1.8
1.85,44420.0,1.85,2014-02-25,1.87,1.85
1.85,14760.0,1.83,2014-02-26,1.85,1.83
1.83,14630.0,1.82,2014-02-27,1.83,1.82
1.82,275070.0,1.8,2014-02-28,1.85,1.8
1.81,1085820.0,1.81,2014-03-03,1.82,1.8
1.82,1820.0,1.82,2014-03-04,1.82,1.82
1.82,236350.0,1.81,2014-03-05,1.83,1.81
1.82,281960.0,1.9,2014-03-06,1.9,1.82
1.88,99570.0,1.87,2014-03-07,1.9,1.85
1.88,193270.0,1.86,2014-03-10,1.88,1.82
1.85,85450.0,1.82,2014-03-11,1.85,1.81
1.81,30870.0,1.82,2014-03-12,1.82,1.81
1.81,102320.0,1.84,2014-03-13,1.84,1.81
1.83,44250.0,1.85,2014-03-14,1.85,1.83
1.85,3680.0,1.83,2014-03-17,1.85,1.83
1.84,123680.0,1.81,2014-03-18,1.85,1.81
1.8,63170.0,1.8,2014-03-20,1.81,1.8
1.81,3640.0,1.83,2014-03-21,1.83,1.81
1.84,60220.0,1.8,2014-03-24,1.84,1.8
1.8,27000.0,1.8,2014-03-25,1.8,1.8
1.81,1180900.0,1.8,2014-03-26,1.81,1.8
1.79,8970.0,1.8,2014-03-27,1.8,1.78
1.8,3600.0,1.8,2014-03-28,1.8,1.8
1.8,63000.0,1.8,2014-03-31,1.8,1.8
1.77,45670.0,1.75,2014-04-02,1.77,1.75
1.7,66950.0,1.79,2014-04-03,1.8,1.68
1.79,30430.0,1.79,2014-04-04,1.79,1.79
1.77,421190.0,1.8,2014-04-08,1.82,1.7
1.82,159060.0,1.83,2014-04-10,1.83,1.82
1.84,648030.0,1.87,2014-04-14,1.87,1.84
2.22,79320.0,2.2,2014-01-06,2.22,2.2
2.08,408830.0,2.18,2014-01-16,2.18,2.0
1.79,116940.0,1.8,2014-02-18,1.8,1.79
1.79,28640.0,1.79,2014-04-07,1.79,1.79
1.83,653770.0,1.85,2014-04-11,1.86,1.83
1.87,54230.0,1.87,2014-04-15,1.87,1.87
1.81,270200.0,1.84,2014-04-21,1.87,1.81
1.87,14970.0,1.88,2014-04-22,1.88,1.87
1.88,368200.0,1.89,2014-04-23,1.95,1.88
1.85,27750.0,1.85,2014-04-24,1.85,1.85
1.86,13020.0,1.86,2014-04-25,1.86,1.86
1.86,108800.0,1.83,2014-04-28,1.86,1.83
1.95,81750.0,1.9,2014-04-29,1.95,1.9
1.92,1920.0,1.92,2014-04-30,1.92,1.92
1.92,152610.0,1.95,2014-05-02,1.95,1.92
1.95,58500.0,1.95,2014-05-05,1.95,1.95
1.95,861650.0,2.04,2014-05-06,2.04,1.9
2.04,16370.0,2.04,2014-05-07,2.05,2.04
2.0,28000.0,2.0,2014-05-08,2.0,2.0
1.95,362790.0,2.04,2014-05-09,2.1,1.95
2.04,714650.0,2.46,2014-05-12,2.6,2.04
2.4,296100.0,2.22,2014-05-13,2.4,2.2
2.23,330550.0,2.16,2014-05-14,2.28,2.0
2.18,35020.0,2.19,2014-05-15,2.19,2.18
1.96,12560.0,2.16,2014-05-16,2.16,1.96
2.1,2100.0,2.1,2014-05-20,2.1,2.1
2.01,76360.0,2.09,2014-05-21,2.11,2.0
2.01,86230.0,2.01,2014-05-22,2.04,2.0
2.0,26000.0,2.0,2014-05-23,2.0,2.0
2.0,7950.0,2.0,2014-05-26,2.0,1.95
2.06,180120.0,2.06,2014-05-27,2.08,2.06
2.06,207250.0,2.0,2014-05-28,2.08,2.0
2.0,22000.0,2.0,2014-05-29,2.0,2.0
2.03,60730.0,2.0,2014-05-30,2.03,1.95
1.97,41150.0,1.95,2014-06-02,1.97,1.95
1.95,150190.0,1.95,2014-06-03,1.95,1.88
1.95,1494200.0,1.95,2014-06-04,2.0,1.95
2.0,9800.0,1.95,2014-06-06,2.0,1.95
2.05,23600.0,1.95,2014-06-09,2.05,1.95
1.87,379430.0,2.0,2014-06-10,2.0,1.86
2.0,20000.0,2.0,2014-06-11,2.0,2.0
1.98,664840.0,2.0,2014-06-13,2.0,1.82
1.9,1900.0,1.9,2014-06-17,1.9,1.9
1.9,3800.0,1.9,2014-06-18,1.9,1.9
1.86,97000.0,2.0,2014-06-19,2.0,1.86
2.0,20000.0,2.0,2014-06-20,2.0,2.0
1.85,7430.0,1.87,2014-06-24,1.87,1.85
2.0,2000.0,2.0,2014-06-26,2.0,2.0
1.9,20990.0,1.99,2014-06-27,1.99,1.9
1.96,50990.0,1.97,2014-06-30,1.97,1.96
1.86,29990.0,1.88,2014-07-02,1.9,1.86
1.88,113150.0,1.98,2014-07-03,1.98,1.87
1.86,318380.0,1.85,2014-07-04,1.86,1.85
1.85,3700.0,1.85,2014-07-07,1.85,1.85
1.85,26050.0,1.9,2014-07-08,1.9,1.85
1.84,901800.0,1.81,2014-07-09,1.9,1.8
1.81,126990.0,1.83,2014-07-10,1.88,1.81
1.82,429480.0,1.81,2014-07-14,1.82,1.8
1.8,240480.0,1.88,2014-07-15,1.88,1.78
1.82,1495160.0,1.82,2014-07-17,1.82,1.79
1.82,2293140.0,1.88,2014-07-18,1.94,1.82
1.81,124900.0,1.82,2014-07-21,1.88,1.81
1.82,3640.0,1.82,2014-07-22,1.82,1.82
1.81,5430.0,1.81,2014-07-23,1.81,1.81
1.81,72400.0,1.81,2014-04-16,1.81,1.81
1.95,221500.0,2.0,2014-06-05,2.0,1.95
1.8,25240.0,1.81,2014-07-24,1.81,1.8
1.87,175250.0,1.8,2014-07-28,1.87,1.8
1.8,111600.0,1.8,2014-07-30,1.8,1.8
1.79,146950.0,1.8,2014-07-31,1.8,1.78
1.8,7200.0,1.8,2014-08-01,1.8,1.8
1.87,12840.0,1.81,2014-08-05,1.87,1.81
1.78,11030.0,1.85,2014-08-06,1.85,1.78
1.82,282600.0,1.8,2014-08-11,1.82,1.8
1.78,41380.0,1.8,2014-08-12,1.8,1.78
1.78,87820.0,1.8,2014-08-13,1.8,1.78
1.81,54560.0,1.82,2014-08-14,1.82,1.81
1.82,129820.0,1.82,2014-08-15,1.85,1.82
1.78,65260.0,1.75,2014-08-18,1.78,1.75
1.75,89250.0,1.75,2014-08-20,1.75,1.75
1.7,12390.0,1.79,2014-08-22,1.8,1.7
1.72,8600.0,1.72,2014-08-26,1.72,1.72
1.72,321960.0,1.72,2014-08-27,1.72,1.65
1.72,311190.0,1.72,2014-08-28,1.75,1.72
