OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
16.0,967948294.0,15.3,2017-05-29,16.12,15.2
15.32,264585766.0,15.56,2017-05-30,15.68,15.32
15.62,188089004.0,15.62,2017-05-31,15.74,15.46
15.7,308424068.0,15.98,2017-06-01,16.04,15.68
15.9,134245002.0,15.78,2017-06-02,16.02,15.7
15.9,134245002.0,15.78,2017-06-02,16.02,15.7
15.8,180978308.0,15.94,2017-06-05,16.18,15.78
16.0,124925072.0,15.96,2017-06-06,16.04,15.96
16.0,131546592.0,15.98,2017-06-07,16.0,15.78
15.96,68643750.0,15.9,2017-06-08,16.0,15.86
15.96,23813510.0,15.8,2017-06-09,15.96,15.8
15.8,80724518.0,15.58,2017-06-13,15.86,15.58
15.6,21345704.0,15.6,2017-06-14,15.66,15.58
15.68,57131730.0,15.66,2017-06-15,15.8,15.6
15.68,45161396.0,15.58,2017-06-16,15.7,15.52
15.6,49852392.0,15.56,2017-06-19,15.6,15.4
15.58,217799662.0,16.24,2017-06-20,16.24,15.56
16.22,217771668.0,16.1,2017-06-21,16.56,16.1
16.12,71350674.0,16.1,2017-06-22,16.4,16.04
16.1,25598364.0,16.08,2017-06-23,16.28,16.04
16.12,36663912.0,16.2,2017-06-27,16.2,16.08
16.12,120230270.0,16.3,2017-06-28,16.36,16.12
16.02,116650982.0,15.8,2017-06-30,16.04,15.76
15.8,28449514.0,15.8,2017-07-03,15.94,15.8
15.9,33512574.0,15.78,2017-07-05,15.9,15.76
15.8,29198744.0,15.84,2017-07-06,15.92,15.78
15.96,13100794.0,15.86,2017-07-07,15.96,15.84
15.92,22074832.0,15.8,2017-07-10,15.92,15.78
15.8,72880554.0,15.6,2017-07-11,15.8,15.58
15.6,42049280.0,15.6,2017-07-12,15.64,15.5
15.6,46377782.0,15.52,2017-07-13,15.6,15.52
15.6,34387600.0,15.54,2017-07-14,15.6,15.52
15.56,41438186.0,15.52,2017-07-17,15.56,15.5
15.42,39413178.0,15.42,2017-07-19,15.6,15.4
15.48,57740360.0,15.58,2017-07-20,15.7,15.44
15.66,25120160.0,15.6,2017-07-24,15.66,15.54
16.36,233318530.0,16.0,2017-06-29,16.6,16.0
15.9,52390574.0,15.9,2017-07-04,16.0,15.86
15.5,56115868.0,15.4,2017-07-18,15.5,15.34
15.68,17663276.0,15.64,2017-07-21,15.7,15.58
15.6,29644826.0,15.4,2017-07-25,15.66,15.4
15.4,88943208.0,15.42,2017-07-26,15.54,15.34
14.98,72710068.0,14.92,2017-07-28,14.98,14.86
14.92,31714994.0,14.94,2017-07-31,14.98,14.86
14.96,20123258.0,14.88,2017-08-01,14.96,14.84
14.88,20745094.0,14.9,2017-08-02,14.9,14.86
14.94,18458230.0,14.94,2017-08-03,14.96,14.9
15.22,13127662.0,15.2,2017-08-07,15.24,14.96
15.18,29957402.0,15.0,2017-08-08,15.18,14.96
15.0,33152240.0,15.02,2017-08-09,15.1,14.78
15.0,13610762.0,15.0,2017-08-11,15.0,14.88
15.0,3168868.0,14.98,2017-08-14,15.0,14.9
14.98,21053332.0,15.0,2017-08-15,15.0,14.94
15.02,18351812.0,15.14,2017-08-16,15.2,14.98
15.14,6910850.0,15.14,2017-08-17,15.14,15.1
15.12,22690698.0,15.1,2017-08-18,15.12,14.98
15.1,5824060.0,15.1,2017-08-22,15.1,15.0
15.42,158207510.0,14.98,2017-07-27,15.44,14.76
14.94,33546980.0,15.2,2017-08-04,15.22,14.94
15.06,6252988.0,15.0,2017-08-10,15.08,14.98
15.1,25095402.0,15.1,2017-08-23,15.1,14.98
15.1,19689304.0,15.1,2017-08-24,15.24,15.1
15.6,37925898.0,15.38,2017-08-29,15.6,15.38
15.4,31635176.0,15.1,2017-08-30,15.4,15.02
15.12,7276694.0,15.18,2017-08-31,15.18,15.0
15.06,13577230.0,15.0,2017-09-06,15.06,14.94
15.0,14764032.0,15.06,2017-09-07,15.06,14.94
15.06,6348678.0,15.04,2017-09-08,15.08,14.96
15.04,5813700.0,15.1,2017-09-11,15.1,14.98
15.2,30356652.0,15.32,2017-09-13,15.34,15.14
15.4,26572814.0,15.36,2017-09-14,15.4,15.1
15.36,31044160.0,15.36,2017-09-15,15.42,15.28
15.36,52779746.0,15.4,2017-09-18,15.68,15.28
15.44,18538988.0,15.32,2017-09-20,15.44,15.28
15.3,21963194.0,15.18,2017-09-21,15.3,15.0
15.24,12545590.0,15.16,2017-09-22,15.24,15.02
15.16,25245342.0,15.1,2017-09-25,15.16,15.02
15.1,116083118.0,15.6,2017-08-25,15.66,15.1
15.18,9271502.0,15.12,2017-09-04,15.2,15.1
15.18,21286050.0,15.06,2017-09-05,15.2,14.98
15.5,21682138.0,15.36,2017-09-19,15.58,15.3
15.08,8598438.0,15.04,2017-09-26,15.08,14.98
15.18,35404282.0,15.0,2017-09-27,15.18,15.0
15.0,2749678.0,15.02,2017-09-28,15.12,15.0
15.04,2688808.0,15.12,2017-09-29,15.14,15.0
15.14,867140.0,15.18,2017-10-02,15.18,15.1
15.18,2943612.0,15.1,2017-10-03,15.18,15.08
15.02,5560232.0,15.1,2017-10-05,15.1,15.02
15.1,23651730.0,15.02,2017-10-06,15.1,15.0
15.1,1944174.0,15.02,2017-10-04,15.12,15.02
15.04,32837082.0,15.0,2017-10-09,15.1,14.94
15.04,7814870.0,15.0,2017-10-10,15.04,14.94
14.94,26666498.0,15.0,2017-10-11,15.02,14.92
15.0,25954238.0,14.96,2017-10-12,15.0,14.9
14.82,17626714.0,14.82,2017-10-17,14.84,14.8
14.8,12702792.0,14.78,2017-10-18,14.82,14.72
14.78,11838686.0,14.8,2017-10-19,14.8,14.7
14.9,4388170.0,14.88,2017-10-20,14.9,14.8
