OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.2,22500.0,2.3,2009-08-18,2.3,2.2
2.32,34800.0,2.32,2009-08-26,2.32,2.32
2.24,6720.0,2.24,2009-10-19,2.24,2.24
2.24,56000.0,2.24,2009-10-20,2.24,2.24
2.4,102900.0,2.7,2009-10-26,3.0,2.4
2.2,42500.0,2.1,2009-10-29,2.2,2.1
2.38,4760.0,2.38,2010-06-09,2.38,2.38
2.04,28560.0,2.04,2010-09-30,2.04,2.04
2.12,2120.0,2.12,2010-10-01,2.12,2.12
2.26,15820.0,2.26,2009-10-30,2.26,2.26
2.38,2380.0,2.38,2010-06-11,2.38,2.38
1.78,1780.0,1.78,2010-11-10,1.78,1.78
1.72,1720.0,1.72,2010-12-22,1.72,1.72
1.8,3600.0,1.8,2011-01-11,1.8,1.8
1.8,3600.0,1.8,2011-01-11,1.8,1.8
1.7,25500.0,1.7,2011-03-16,1.7,1.7
1.7,42500.0,1.7,2011-03-17,1.7,1.7
1.7,15300.0,1.7,2011-05-04,1.7,1.7
1.76,19360.0,1.76,2011-08-16,1.76,1.76
1.45,2137000.0,2.1,2011-09-22,2.1,1.45
1.65,3490910.0,1.75,2011-09-23,1.75,1.65
1.62,1706760.0,1.62,2011-09-26,1.63,1.62
1.62,601540.0,1.6,2011-10-03,1.66,1.6
1.6,723240.0,1.62,2011-10-04,1.62,1.6
1.64,574000.0,1.64,2011-10-06,1.64,1.64
1.63,4890.0,1.63,2011-10-07,1.63,1.63
1.63,265660.0,1.64,2011-10-11,1.64,1.63
1.63,73350.0,1.63,2011-10-12,1.63,1.63
1.63,489000.0,1.63,2011-10-13,1.63,1.63
1.62,324000.0,1.62,2011-10-14,1.62,1.62
1.62,367780.0,1.64,2011-10-05,1.64,1.62
1.62,341820.0,1.62,2011-10-17,1.62,1.62
1.62,4860.0,1.62,2011-10-18,1.62,1.62
1.63,564160.0,1.66,2011-10-19,1.66,1.63
1.64,692080.0,1.64,2011-10-20,1.64,1.64
1.64,4920.0,1.64,2011-10-21,1.64,1.64
1.64,1640.0,1.64,2011-11-02,1.64,1.64
1.64,8200.0,1.64,2011-11-04,1.64,1.64
1.64,18040.0,1.64,2011-11-09,1.64,1.64
1.64,8200.0,1.64,2011-11-14,1.64,1.64
1.66,16800.0,1.7,2011-11-15,1.7,1.66
1.7,44250.0,1.8,2011-11-16,1.8,1.7
1.82,175460.0,2.7,2011-11-18,2.7,1.82
4.05,769500.0,4.05,2011-11-21,4.05,4.05
5.5,546750.0,4.1,2011-11-22,5.9,3.0
4.1,174100.0,3.6,2011-11-23,4.1,3.55
3.0,12000.0,3.0,2011-11-24,3.0,3.0
3.6,3600.0,3.6,2011-11-25,3.6,3.6
2.06,82790.0,1.9,2011-11-28,2.06,1.8
1.92,107880.0,1.88,2011-11-29,1.92,1.88
1.9,3800.0,1.9,2011-12-01,1.9,1.9
1.8,43200.0,1.8,2011-12-02,1.8,1.8
1.76,3520.0,1.76,2011-12-06,1.76,1.76
1.76,20660.0,2.0,2011-12-08,2.1,1.76
2.4,2400.0,2.4,2011-12-09,2.4,2.4
2.3,36360.0,2.76,2011-12-13,2.76,2.3
1.64,24600.0,1.64,2011-10-25,1.64,1.64
1.64,8200.0,1.64,2011-11-03,1.64,1.64
1.77,5290.0,1.76,2011-12-05,1.77,1.76
1.77,1770.0,1.77,2011-12-07,1.77,1.77
2.0,20000.0,2.0,2012-01-04,2.0,2.0
2.0,2000.0,2.0,2012-01-24,2.0,2.0
2.08,2080.0,2.08,2012-01-26,2.08,2.08
2.08,61580.0,2.25,2012-01-30,2.25,2.08
2.25,27000.0,2.25,2012-01-31,2.25,2.25
2.25,36000.0,2.25,2012-02-01,2.25,2.25
2.3,13800.0,2.3,2012-02-03,2.3,2.3
2.0,2000.0,2.0,2012-01-06,2.0,2.0
1.9,11400.0,1.9,2012-01-09,1.9,1.9
1.8,5500.0,1.9,2012-01-10,1.9,1.8
2.4,2400.0,2.4,2012-02-10,2.4,2.4
2.09,36100.0,2.0,2012-02-14,2.09,2.0
2.01,60110.0,2.0,2012-02-22,2.01,2.0
2.4,115640.0,2.6,2012-03-22,3.0,2.4
2.2,27220.0,2.8,2012-03-26,2.8,2.2
2.75,514520.0,4.2,2012-03-27,4.2,2.75
2.0,8000.0,2.0,2012-02-20,2.0,2.0
2.01,24020.0,2.0,2012-02-24,2.01,2.0
2.01,20010.0,2.0,2012-03-15,2.01,2.0
2.51,22950.0,2.7,2012-03-23,2.72,2.5
4.38,927270.0,3.7,2012-03-28,4.38,3.2
3.83,4534310.0,5.09,2012-03-29,5.47,3.83
5.1,507875.0,4.0,2012-03-30,5.1,4.0
4.02,436700.0,3.5,2012-04-02,4.5,3.5
3.75,127680.0,3.51,2012-04-03,4.2,3.5
3.54,10620.0,3.54,2012-04-04,3.54,3.54
3.38,78830.0,3.59,2012-04-11,3.89,3.38
3.05,70010.0,3.04,2012-04-12,3.05,3.04
3.05,70410.0,3.1,2012-04-13,3.1,3.04
3.05,116300.0,3.1,2012-04-16,3.4,3.05
3.13,37570.0,3.13,2012-04-17,3.14,3.13
3.15,47250.0,3.15,2012-04-18,3.15,3.15
3.33,530740.0,3.72,2012-04-20,3.93,3.33
3.71,41190.0,3.75,2012-04-23,3.8,3.71
3.4,51930.0,3.76,2012-04-24,3.78,3.4
3.85,1313080.0,4.7,2012-04-26,4.8,3.7
4.7,622190.0,4.0,2012-04-27,4.7,3.4
3.8,45520.0,3.45,2012-04-30,3.98,3.45
3.65,128250.0,3.6,2012-05-02,3.65,3.4
3.4,89260.0,3.42,2012-05-03,3.42,3.1
3.5,77000.0,3.5,2012-05-04,3.5,3.5
3.15,69820.0,3.2,2012-05-07,3.2,3.15
3.28,724790.0,4.5,2012-05-08,4.8,3.15
4.5,1365040.0,4.4,2012-05-09,4.73,4.2
3.9,236750.0,4.52,2012-05-10,4.6,3.9
4.75,139020.0,3.2,2012-05-11,4.75,3.2
3.25,23160.0,3.35,2012-05-15,3.36,3.25
3.4,3400.0,3.4,2012-05-16,3.4,3.4
3.4,26450.0,3.25,2012-05-17,3.4,3.25
3.25,9750.0,3.25,2012-05-18,3.25,3.25
3.75,217640.0,3.85,2012-04-25,3.85,3.42
3.4,10200.0,3.4,2012-05-21,3.4,3.4
3.3,43200.0,3.25,2012-05-22,3.35,3.25
3.25,19500.0,3.25,2012-05-23,3.25,3.25
3.6,264570.0,3.75,2012-06-04,4.08,3.6
3.25,19500.0,3.25,2012-06-05,3.25,3.25
3.25,13000.0,3.25,2012-06-06,3.25,3.25
3.25,19500.0,3.25,2012-06-07,3.25,3.25
3.26,19560.0,3.26,2012-06-14,3.26,3.26
3.26,3260.0,3.26,2012-06-19,3.26,3.26
3.5,112900.0,4.0,2012-05-24,4.2,3.5
3.26,68260.0,3.25,2012-05-31,3.26,3.25
3.5,83950.0,3.8,2012-06-20,3.8,3.5
3.2,32000.0,3.2,2012-06-26,3.2,3.2
3.11,52510.0,3.08,2012-07-02,3.11,3.08
3.08,6130.0,3.05,2012-07-04,3.08,3.05
3.04,33260.0,3.01,2012-07-10,3.04,3.0
3.01,9030.0,3.01,2012-07-11,3.01,3.01
2.54,15240.0,2.54,2012-07-18,2.54,2.54
2.54,17780.0,2.54,2012-07-19,2.54,2.54
2.54,5080.0,2.54,2012-07-20,2.54,2.54
2.54,12700.0,2.54,2012-07-24,2.54,2.54
2.5,5000.0,2.5,2012-07-25,2.5,2.5
2.4,14400.0,2.4,2012-08-06,2.4,2.4
2.41,14230.0,2.35,2012-08-09,2.41,2.35
2.25,15790.0,2.26,2012-08-10,2.26,2.25
2.01,4010.0,2.0,2012-08-14,2.01,2.0
2.15,6420.0,2.17,2012-08-17,2.17,2.1
2.6,22130.0,2.17,2012-08-22,2.62,2.17
2.12,2120.0,2.12,2012-09-03,2.12,2.12
3.05,30510.0,3.05,2012-07-05,3.06,3.05
2.09,12560.0,2.1,2012-10-02,2.1,2.09
2.3,2300.0,2.3,2012-10-04,2.3,2.3
2.9,26070.0,2.9,2012-10-09,2.9,2.88
2.85,93930.0,3.65,2012-10-24,3.7,2.85
3.55,10650.0,3.55,2012-10-25,3.55,3.55
2.34,9460.0,2.45,2012-11-08,2.45,2.33
2.46,61220.0,2.31,2012-11-09,2.46,2.3
2.09,6270.0,2.09,2012-10-01,2.09,2.09
