OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.32,5173760.0,2.24,2009-08-03,2.32,2.22
2.24,12658600.0,2.3,2009-08-04,2.36,2.24
2.36,1388580.0,2.28,2009-08-06,2.36,2.28
2.26,1598240.0,2.24,2009-08-07,2.26,2.24
2.3,2619260.0,2.28,2009-08-12,2.3,2.28
2.32,5476720.0,2.3,2009-08-13,2.32,2.3
2.32,1189100.0,2.3,2009-08-14,2.32,2.3
2.3,3310860.0,2.22,2009-08-17,2.3,2.2
2.1,6309400.0,2.18,2009-08-18,2.18,2.1
2.2,2819760.0,2.24,2009-08-19,2.24,2.2
2.24,1112500.0,2.22,2009-08-20,2.26,2.22
2.26,5569020.0,2.3,2009-08-24,2.32,2.26
2.36,4433320.0,2.34,2009-09-03,2.36,2.32
2.38,5081720.0,2.36,2009-09-04,2.38,2.34
2.46,4770980.0,2.38,2009-09-16,2.46,2.38
2.48,1627640.0,2.44,2009-09-17,2.48,2.44
2.44,4505360.0,2.5,2009-09-18,2.5,2.42
2.26,2580900.0,2.28,2009-08-10,2.3,2.26
2.32,2569220.0,2.3,2009-08-11,2.32,2.3
2.32,2148960.0,2.3,2009-08-25,2.32,2.3
2.3,15680620.0,2.38,2009-08-26,2.42,2.28
2.46,871300.0,2.46,2009-09-23,2.48,2.44
2.38,4360680.0,2.32,2009-09-30,2.38,2.32
2.3,4641480.0,2.28,2009-10-02,2.3,2.26
2.32,1413740.0,2.36,2009-10-06,2.36,2.3
2.4,16913060.0,2.5,2009-10-08,2.5,2.4
2.48,1611100.0,2.46,2009-09-22,2.5,2.46
2.32,1087500.0,2.34,2009-10-01,2.34,2.32
2.28,3728620.0,2.3,2009-10-05,2.3,2.28
2.38,4419900.0,2.42,2009-10-07,2.42,2.38
2.5,3030880.0,2.46,2009-10-09,2.5,2.46
2.44,1327100.0,2.42,2009-10-12,2.44,2.42
2.48,1540080.0,2.48,2009-10-16,2.48,2.48
2.48,1044080.0,2.48,2009-10-19,2.48,2.48
2.48,1631140.0,2.44,2009-10-20,2.48,2.44
2.44,3232020.0,2.4,2009-10-22,2.44,2.4
2.4,6176100.0,2.44,2009-10-23,2.46,2.4
2.4,7516400.0,2.4,2009-10-26,2.4,2.38
2.42,4384500.0,2.4,2009-10-13,2.44,2.4
2.4,976900.0,2.4,2009-10-14,2.42,2.4
2.42,7025740.0,2.48,2009-10-15,2.48,2.42
2.42,5160580.0,2.48,2009-10-21,2.48,2.4
2.4,2136200.0,2.38,2009-10-27,2.4,2.38
2.4,3362840.0,2.38,2009-10-28,2.42,2.38
2.36,1555120.0,2.36,2009-10-29,2.36,2.34
2.38,4183760.0,2.38,2009-10-30,2.4,2.38
2.38,5041060.0,2.32,2009-11-03,2.38,2.3
2.32,1873400.0,2.38,2009-11-04,2.4,2.3
2.4,333040.0,2.42,2009-11-05,2.44,2.4
2.42,1552940.0,2.38,2009-11-06,2.42,2.38
2.42,1853500.0,2.4,2009-11-10,2.42,2.4
2.5,2069660.0,2.46,2009-12-15,2.5,2.46
2.44,252640.0,2.46,2009-12-16,2.46,2.44
2.46,916580.0,2.44,2009-12-17,2.46,2.44
2.44,695400.0,2.44,2009-12-18,2.44,2.44
2.44,1393760.0,2.44,2009-12-23,2.44,2.42
2.46,1198200.0,2.44,2009-12-29,2.46,2.44
2.42,1604740.0,2.42,2009-11-09,2.42,2.38
2.44,1797000.0,2.42,2009-11-11,2.44,2.42
2.44,1822600.0,2.42,2009-12-21,2.48,2.42
2.42,1153660.0,2.42,2009-12-22,2.44,2.42
2.46,209860.0,2.44,2010-01-04,2.46,2.44
2.7,28412250.0,2.8,2010-01-07,2.8,2.7
2.8,4400300.0,2.75,2010-01-08,2.8,2.7
2.8,30015050.0,2.9,2010-01-11,3.0,2.75
2.95,20585500.0,2.9,2010-01-12,2.95,2.85
2.85,13929450.0,3.0,2010-01-13,3.0,2.85
3.0,6321850.0,2.95,2010-01-14,3.0,2.9
2.9,5794900.0,2.85,2010-01-15,2.95,2.8
2.85,7691550.0,2.8,2010-01-18,2.9,2.75
2.8,12786800.0,2.75,2010-01-19,2.9,2.75
2.8,22287650.0,2.8,2010-01-20,2.9,2.75
2.8,7892000.0,2.8,2010-01-21,2.9,2.8
2.75,22365900.0,2.65,2010-01-22,2.9,2.65
2.65,9722200.0,2.6,2010-01-25,2.65,2.55
2.6,7892500.0,2.55,2010-01-26,2.65,2.55
2.6,11304460.0,2.5,2010-01-27,2.6,2.48
2.5,2052250.0,2.6,2010-01-28,2.6,2.5
2.48,10795980.0,2.55,2010-01-05,2.55,2.48
2.55,32288050.0,2.7,2010-01-06,2.75,2.55
2.55,2309700.0,2.55,2010-01-29,2.6,2.5
2.5,2363250.0,2.55,2010-02-04,2.55,2.5
2.48,1098640.0,2.48,2010-02-08,2.48,2.48
2.46,15133640.0,2.46,2010-02-09,2.55,2.44
2.5,6075290.0,2.5,2010-02-10,2.55,2.46
2.5,1567500.0,2.5,2010-02-11,2.5,2.5
2.95,6638000.0,2.9,2010-03-08,2.95,2.9
2.55,10729950.0,2.6,2010-02-01,2.6,2.5
2.6,5453330.0,2.5,2010-02-02,2.65,2.48
2.55,3544570.0,2.5,2010-02-03,2.55,2.48
2.48,5821400.0,2.48,2010-02-05,2.48,2.44
2.9,7383400.0,2.9,2010-03-12,2.9,2.9
2.85,1422550.0,2.9,2010-03-16,2.9,2.85
2.9,10055500.0,2.95,2010-03-17,2.95,2.9
3.25,11613350.0,3.3,2010-03-31,3.3,3.25
3.3,1056200.0,3.3,2010-04-23,3.35,3.3
2.9,2096200.0,2.85,2010-03-15,2.9,2.85
3.15,13611000.0,3.15,2010-04-20,3.2,3.15
3.2,6945750.0,3.3,2010-04-21,3.3,3.2
3.3,4700300.0,3.25,2010-04-22,3.35,3.25
3.35,4372550.0,3.35,2010-04-29,3.4,3.35
3.35,3425800.0,3.3,2010-04-30,3.35,3.3
3.25,1919700.0,3.2,2010-05-04,3.3,3.2
3.2,12006450.0,3.3,2010-05-13,3.3,3.2
3.55,14073300.0,3.55,2010-05-18,3.6,3.5
3.5,6430250.0,3.5,2010-05-19,3.55,3.5
3.5,24918350.0,3.65,2010-05-20,3.7,3.5
3.5,30009200.0,3.5,2010-05-21,3.55,3.4
3.55,10971950.0,3.45,2010-05-24,3.55,3.4
3.15,12655850.0,3.1,2010-05-05,3.2,3.05
3.3,41544200.0,3.5,2010-05-14,3.5,3.25
3.5,25017150.0,3.5,2010-05-17,3.65,3.5
3.45,14295400.0,3.25,2010-05-25,3.45,3.2
3.3,11778550.0,3.45,2010-05-27,3.45,3.3
3.5,10435250.0,3.45,2010-05-28,3.5,3.45
3.45,18301350.0,3.65,2010-05-31,3.65,3.45
3.65,19124950.0,3.7,2010-06-01,3.75,3.6
3.7,22138550.0,3.75,2010-06-02,3.8,3.7
3.8,45866050.0,3.95,2010-06-03,3.95,3.8
3.95,46621100.0,4.0,2010-06-04,4.05,3.9
3.9,31978900.0,3.95,2010-06-08,3.95,3.9
4.0,9172200.0,3.9,2010-06-09,4.05,3.9
3.95,16516700.0,3.85,2010-06-11,3.95,3.85
3.85,8138200.0,3.9,2010-06-15,3.95,3.85
3.9,18093500.0,3.9,2010-06-16,3.9,3.85
3.9,48413150.0,4.05,2010-06-21,4.15,3.9
4.1,8302250.0,4.1,2010-06-22,4.1,4.05
4.1,12585250.0,4.1,2010-06-23,4.1,4.0
4.1,70887950.0,3.9,2010-06-24,4.1,3.9
3.9,5271350.0,3.95,2010-06-25,3.95,3.9
3.85,47887900.0,3.9,2010-06-29,3.9,3.8
3.9,3866050.0,3.85,2010-07-01,3.9,3.8
3.8,3349850.0,3.75,2010-07-02,3.8,3.75
3.65,4164500.0,3.7,2010-07-06,3.7,3.65
3.75,27509250.0,3.85,2010-07-08,3.85,3.75
3.85,7441750.0,3.8,2010-07-09,3.85,3.8
3.8,1325100.0,3.9,2010-07-13,3.9,3.8
3.9,762650.0,3.85,2010-07-14,3.9,3.85
3.25,7995200.0,3.3,2010-05-26,3.35,3.25
3.9,51709150.0,3.95,2010-06-07,4.05,3.85
3.9,9944550.0,3.9,2010-06-10,3.9,3.85
3.95,10872950.0,3.85,2010-06-28,4.0,3.85
3.7,2049800.0,3.7,2010-07-07,3.7,3.7
3.8,1459200.0,3.8,2010-07-16,3.8,3.8
3.75,1611900.0,3.8,2010-07-20,3.8,3.75
3.8,2556650.0,3.8,2010-07-23,3.9,3.8
4.2,50950900.0,4.47,2010-09-20,4.5,4.15
4.6,30545280.0,4.5,2010-09-21,4.7,4.5
4.5,7714250.0,4.5,2010-09-22,4.58,4.3
4.5,9050360.0,4.4,2010-09-23,4.5,4.4
4.4,7029280.0,4.41,2010-09-27,4.49,4.4
4.45,12368630.0,4.32,2010-09-28,4.5,4.3
4.33,13344720.0,4.33,2010-09-29,4.45,4.32
4.33,13254890.0,4.25,2010-09-30,4.39,4.15
4.26,7465300.0,4.27,2010-10-01,4.3,4.26
3.85,258500.0,3.8,2010-07-15,3.85,3.8
3.75,2976500.0,3.75,2010-07-19,3.75,3.7
3.8,5817350.0,3.9,2010-07-21,3.95,3.8
3.9,3259350.0,3.8,2010-07-22,3.9,3.8
4.49,7971350.0,4.3,2010-09-24,4.49,4.3
4.31,2291750.0,4.38,2010-10-04,4.39,4.31
4.31,14535290.0,4.17,2010-10-12,4.31,4.15
4.1,8165840.0,4.12,2010-10-14,4.2,4.1
4.13,28363710.0,4.11,2010-10-15,4.13,4.1
4.12,26682530.0,4.09,2010-10-18,4.12,4.09
4.1,38808930.0,4.1,2010-10-19,4.13,4.09
4.38,6191420.0,4.41,2010-10-05,4.45,4.38
4.43,17871450.0,4.33,2010-10-06,4.45,4.32
4.37,16187630.0,4.3,2010-10-07,4.37,4.29
4.31,4792050.0,4.28,2010-10-08,4.32,4.25
4.15,32580680.0,4.1,2010-10-13,4.16,4.06
4.09,63589470.0,4.12,2010-10-20,4.12,4.08
4.13,2827180.0,4.14,2010-10-21,4.15,4.12
4.14,2993460.0,4.14,2010-10-22,4.14,4.1
4.19,4532480.0,4.21,2010-10-26,4.25,4.19
4.21,2851240.0,4.27,2010-10-27,4.27,4.21
4.25,2978420.0,4.21,2010-10-29,4.3,4.21
4.3,6935240.0,4.22,2010-11-03,4.3,4.21
4.24,7283480.0,4.21,2010-11-04,4.25,4.21
4.26,4249920.0,4.22,2010-11-08,4.26,4.21
4.21,1518060.0,4.17,2010-11-09,4.21,4.1
4.2,4738540.0,4.08,2010-11-11,4.2,4.03
4.1,2489620.0,4.04,2010-11-12,4.1,4.03
4.02,1260870.0,4.08,2010-11-15,4.1,4.02
4.06,1464420.0,4.05,2010-11-17,4.07,4.02
4.05,6742050.0,4.02,2010-11-18,4.05,3.98
4.04,3383510.0,4.11,2010-11-19,4.15,4.04
4.12,3378120.0,4.08,2010-11-22,4.12,4.06
4.3,6530610.0,4.27,2010-10-28,4.35,4.26
4.18,2278010.0,4.2,2010-11-02,4.22,4.17
4.17,10177400.0,4.2,2010-11-10,4.2,4.1
4.08,1516740.0,4.02,2010-11-23,4.08,4.02
3.98,2140590.0,4.02,2010-11-24,4.04,3.96
4.04,894710.0,3.99,2010-11-25,4.1,3.98
4.07,2635080.0,3.93,2010-11-26,4.07,3.93
3.9,1387290.0,3.84,2010-12-01,3.9,3.84
3.85,3563900.0,3.85,2010-12-02,3.86,3.83
3.85,6301650.0,3.91,2010-12-03,3.93,3.85
3.95,5068700.0,3.98,2010-12-06,3.99,3.93
3.95,1740790.0,3.83,2010-11-30,3.95,3.8
3.98,7563370.0,4.05,2010-12-08,4.05,3.98
3.9,309770.0,3.94,2010-12-16,3.96,3.9
3.91,1232230.0,3.93,2010-12-22,3.93,3.9
3.91,2301670.0,3.86,2010-12-23,3.91,3.85
3.86,355750.0,3.89,2010-12-28,3.89,3.86
4.0,1897690.0,3.97,2010-12-07,4.0,3.96
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.86,355750.0,3.89,2010-12-28,3.89,3.86
3.94,721610.0,3.88,2011-01-03,3.96,3.88
3.94,721610.0,3.88,2011-01-03,3.96,3.88
3.94,721610.0,3.88,2011-01-03,3.96,3.88
3.89,328820.0,3.94,2011-01-04,3.95,3.89
3.94,1599330.0,3.88,2011-01-05,3.94,3.86
3.89,5738290.0,3.85,2011-01-07,3.9,3.8
3.88,2073400.0,3.84,2011-01-10,3.88,3.8
3.85,8927590.0,3.95,2011-01-11,3.98,3.85
3.85,8927590.0,3.95,2011-01-11,3.98,3.85
4.05,8040950.0,4.01,2011-01-13,4.05,4.0
4.01,2259380.0,3.93,2011-01-14,4.01,3.9
3.91,1471750.0,3.94,2010-12-29,3.95,3.91
3.91,1471750.0,3.94,2010-12-29,3.95,3.91
3.89,931790.0,3.9,2011-01-06,3.92,3.89
3.96,3033640.0,4.05,2011-01-12,4.09,3.85
3.94,2962680.0,4.0,2011-01-17,4.03,3.94
3.85,1864650.0,3.86,2011-01-20,3.86,3.82
3.85,1864650.0,3.86,2011-01-20,3.86,3.82
3.75,2268690.0,3.68,2011-01-24,3.75,3.62
3.64,4721490.0,3.51,2011-01-26,3.64,3.4
3.55,21646330.0,3.41,2011-01-27,3.55,3.4
3.4,8504070.0,3.58,2011-01-28,3.63,3.39
4.0,1422700.0,3.94,2011-01-18,4.0,3.94
3.94,1650410.0,3.85,2011-01-19,3.95,3.85
3.94,1650410.0,3.85,2011-01-19,3.95,3.85
3.69,1967400.0,3.63,2011-01-25,3.72,3.6
3.4,8504070.0,3.58,2011-01-28,3.63,3.39
3.55,10241830.0,3.41,2011-01-31,3.55,3.39
3.55,10241830.0,3.41,2011-01-31,3.55,3.39
3.42,2716600.0,3.47,2011-02-03,3.47,3.42
3.4,5876510.0,3.4,2011-02-14,3.44,3.37
3.43,5316410.0,3.41,2011-02-01,3.43,3.39
3.43,5316410.0,3.41,2011-02-01,3.43,3.39
3.43,12850460.0,3.41,2011-02-02,3.44,3.36
3.38,4100080.0,3.43,2011-02-17,3.43,3.38
3.44,3203020.0,3.41,2011-02-21,3.44,3.38
3.44,3203020.0,3.41,2011-02-21,3.44,3.38
3.4,842110.0,3.34,2011-02-22,3.4,3.34
3.4,842110.0,3.34,2011-02-22,3.4,3.34
3.28,3156890.0,3.3,2011-02-23,3.34,3.21
3.28,3156890.0,3.3,2011-02-23,3.34,3.21
3.27,441410.0,3.27,2011-02-24,3.29,3.26
3.27,441410.0,3.27,2011-02-24,3.29,3.26
3.27,3625740.0,3.4,2011-02-25,3.4,3.27
3.45,1478390.0,3.43,2011-03-04,3.47,3.4
3.45,1478390.0,3.43,2011-03-04,3.47,3.4
3.43,1525620.0,3.44,2011-03-07,3.46,3.43
3.45,24020.0,3.41,2011-03-08,3.45,3.41
3.45,24020.0,3.41,2011-03-08,3.45,3.41
3.45,2067470.0,3.45,2011-03-11,3.47,3.38
3.4,2995570.0,3.4,2011-02-16,3.4,3.37
3.4,2995570.0,3.4,2011-02-16,3.4,3.37
3.42,1147780.0,3.43,2011-02-18,3.44,3.42
3.45,273020.0,3.33,2011-02-28,3.45,3.31
3.41,30050.0,3.33,2011-03-02,3.41,3.33
3.4,13058850.0,3.45,2011-03-03,3.49,3.37
3.45,2067470.0,3.45,2011-03-11,3.47,3.38
3.57,4850990.0,3.51,2011-03-16,3.57,3.5
3.55,1312620.0,3.49,2011-03-17,3.55,3.49
3.5,588600.0,3.5,2011-03-18,3.52,3.5
3.62,672870.0,3.6,2011-03-22,3.63,3.6
3.62,4245800.0,3.75,2011-03-23,3.76,3.62
3.75,875240.0,3.66,2011-03-24,3.77,3.66
3.52,1961590.0,3.62,2011-03-21,3.62,3.51
3.6,1776150.0,3.61,2011-03-29,3.61,3.6
3.62,2564050.0,3.6,2011-03-30,3.63,3.59
3.61,1642000.0,3.6,2011-03-31,3.61,3.6
3.57,838550.0,3.62,2011-04-01,3.64,3.57
3.66,580750.0,3.64,2011-04-05,3.66,3.64
3.64,2742020.0,3.71,2011-04-06,3.71,3.63
3.72,1090950.0,3.7,2011-04-07,3.72,3.7
3.69,1367670.0,3.72,2011-04-08,3.72,3.68
3.65,1652140.0,3.6,2011-03-25,3.65,3.6
3.6,1428580.0,3.61,2011-03-28,3.62,3.6
3.62,9457340.0,3.66,2011-04-04,3.7,3.6
3.72,779090.0,3.7,2011-04-11,3.73,3.7
3.69,3829780.0,3.67,2011-04-13,3.69,3.65
3.7,2787070.0,3.68,2011-04-14,3.7,3.68
3.8,1475390.0,3.77,2011-04-26,3.8,3.75
3.78,3388400.0,3.8,2011-04-27,3.82,3.78
3.79,841970.0,3.77,2011-04-29,3.79,3.77
3.77,3209560.0,3.7,2011-05-02,3.79,3.7
3.7,2173880.0,3.7,2011-04-12,3.71,3.69
3.67,782320.0,3.66,2011-04-15,3.67,3.65
3.81,5199420.0,3.79,2011-04-28,3.81,3.79
3.7,210300.0,3.69,2011-05-04,3.7,3.68
3.69,1327430.0,3.6,2011-05-05,3.69,3.6
3.58,1121960.0,3.6,2011-05-06,3.6,3.5
3.66,479850.0,3.66,2011-05-12,3.75,3.66
3.63,2079970.0,3.65,2011-05-13,3.66,3.63
3.73,895620.0,3.7,2011-05-03,3.73,3.69
3.54,456750.0,3.65,2011-05-09,3.65,3.54
3.65,495200.0,3.69,2011-05-10,3.7,3.65
3.69,3232060.0,3.69,2011-05-11,3.7,3.66
3.75,358530.0,3.65,2011-05-16,3.75,3.64
3.64,444660.0,3.6,2011-05-17,3.65,3.6
3.6,388840.0,3.58,2011-05-18,3.62,3.58
3.59,751190.0,3.59,2011-05-19,3.6,3.59
3.53,724050.0,3.46,2011-05-24,3.54,3.4
3.47,1091120.0,3.45,2011-05-25,3.47,3.45
3.45,1600350.0,3.41,2011-05-26,3.45,3.41
3.42,729820.0,3.42,2011-05-27,3.45,3.41
3.43,1298920.0,3.48,2011-05-30,3.48,3.43
3.49,818570.0,3.51,2011-05-31,3.51,3.49
3.53,620900.0,3.56,2011-06-01,3.56,3.53
3.56,233900.0,3.54,2011-06-06,3.59,3.53
3.52,2424190.0,3.48,2011-06-07,3.52,3.45
3.45,494180.0,3.43,2011-06-09,3.51,3.43
3.45,147730.0,3.45,2011-06-13,3.45,3.43
3.59,1372880.0,3.57,2011-05-20,3.6,3.57
3.56,167490.0,3.55,2011-05-23,3.59,3.55
3.55,464840.0,3.55,2011-06-03,3.55,3.51
3.45,2214900.0,3.45,2011-06-08,3.45,3.45
3.43,1221140.0,3.47,2011-06-10,3.5,3.43
3.4,794330.0,3.38,2011-06-15,3.45,3.38
3.38,78040.0,3.39,2011-06-16,3.43,3.38
3.41,449460.0,3.42,2011-06-21,3.46,3.41
3.42,161640.0,3.45,2011-06-22,3.45,3.42
3.45,1260330.0,3.42,2011-06-23,3.45,3.42
3.42,5663260.0,3.37,2011-06-24,3.43,3.3
3.4,156400.0,3.4,2011-06-27,3.4,3.4
3.4,512530.0,3.43,2011-06-28,3.45,3.4
3.43,143670.0,3.42,2011-06-29,3.43,3.41
3.4,159800.0,3.4,2011-06-30,3.4,3.4
3.45,1767130.0,3.45,2011-06-14,3.45,3.4
3.4,164140.0,3.41,2011-06-17,3.46,3.4
3.42,393850.0,3.43,2011-07-01,3.43,3.42
3.42,2336440.0,3.58,2011-07-04,3.58,3.42
3.56,738510.0,3.49,2011-07-05,3.56,3.49
3.44,83210.0,3.47,2011-07-07,3.54,3.44
3.47,183430.0,3.47,2011-07-08,3.47,3.46
3.46,773700.0,3.48,2011-07-11,3.48,3.42
3.48,1437230.0,3.41,2011-07-12,3.48,3.41
3.42,3299340.0,3.43,2011-07-13,3.45,3.42
3.5,593600.0,3.47,2011-07-06,3.5,3.46
3.41,1424510.0,3.4,2011-07-14,3.45,3.4
3.42,321470.0,3.42,2011-07-21,3.42,3.41
3.43,1814950.0,3.45,2011-07-22,3.45,3.41
3.4,1368930.0,3.42,2011-07-25,3.45,3.4
3.47,2445690.0,3.41,2011-07-26,3.47,3.41
3.4,3393420.0,3.41,2011-07-15,3.41,3.35
