OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
125.0,2281990.0,123.0,2010-03-08,130.0,121.0
111.0,97270.0,108.0,2010-03-12,111.0,108.0
109.0,171120.0,106.0,2010-03-15,113.0,104.0
102.0,83610.0,105.0,2010-03-16,109.0,102.0
108.0,302900.0,104.0,2010-03-17,110.0,100.0
88.0,97500.0,90.5,2010-03-31,91.5,86.0
62.0,704700.0,56.0,2010-04-20,63.0,56.0
56.0,536800.0,56.5,2010-04-21,59.0,56.0
56.0,482900.0,56.0,2010-04-22,56.5,56.0
59.0,17500.0,58.0,2010-04-23,59.0,58.0
45.0,909700.0,41.5,2010-04-29,45.0,41.0
41.0,102400.0,51.0,2010-04-30,51.0,41.0
43.0,24421000.0,50.0,2010-05-05,51.0,40.0
49.5,513850.0,48.0,2010-05-13,49.5,48.0
48.0,96000.0,48.0,2010-05-14,48.0,48.0
48.0,28600.0,46.0,2010-05-19,48.0,46.0
46.0,46000.0,46.0,2010-05-20,46.0,46.0
45.0,183400.0,44.0,2010-05-21,45.0,44.0
44.0,17600.0,44.0,2010-05-24,44.0,44.0
41.5,83150.0,41.5,2010-05-26,42.0,41.5
41.5,69700.0,45.0,2010-05-31,46.0,41.5
41.5,29850.0,46.0,2010-06-02,46.0,41.5
42.0,33600.0,42.0,2010-06-03,42.0,42.0
42.0,108900.0,41.5,2010-06-04,42.0,41.5
41.0,110700.0,41.0,2010-06-07,41.0,41.0
41.0,74400.0,41.5,2010-06-09,41.5,41.0
42.0,52050.0,43.5,2010-06-11,43.5,42.0
43.5,8700.0,43.5,2010-06-15,43.5,43.5
41.0,54400.0,44.0,2010-06-23,44.0,41.0
41.5,102750.0,40.5,2010-07-02,41.5,40.5
45.0,301400.0,43.5,2010-07-06,51.0,43.5
46.5,23250.0,46.5,2010-07-08,46.5,46.5
47.0,23500.0,47.0,2010-07-09,47.0,47.0
47.0,168950.0,49.0,2010-07-13,51.0,47.0
52.0,10400.0,52.0,2010-07-14,52.0,52.0
47.0,336250.0,52.0,2010-07-19,52.0,45.0
52.0,135200.0,52.0,2010-07-20,52.0,52.0
52.0,182000.0,52.0,2010-07-21,52.0,52.0
52.0,119600.0,52.0,2010-07-22,52.0,52.0
52.0,78000.0,52.0,2010-07-23,52.0,52.0
84.6,15046.0,70.0,2010-09-21,84.6,70.0
61.05,31115.0,59.0,2010-09-22,61.05,59.0
70.0,42700.0,70.0,2010-09-23,70.0,70.0
74.5,15785.0,84.0,2010-09-24,84.0,74.5
68.0,5650.0,77.0,2010-09-27,79.0,68.0
77.0,3850.0,77.0,2010-09-28,77.0,77.0
83.95,839.5,83.95,2010-09-30,83.95,83.95
83.9,1175638.0,84.0,2010-10-01,84.0,83.9
84.0,36120.0,84.0,2010-10-04,84.0,84.0
83.0,34858.0,82.9,2010-10-05,83.0,82.9
81.0,119106.5,79.85,2010-10-07,81.0,79.85
65.1,35551.0,79.85,2010-10-08,79.85,65.1
79.85,798.5,79.85,2010-10-13,79.85,79.85
65.75,34993.0,79.8,2010-10-18,79.8,65.75
65.9,6590.0,65.9,2010-10-22,65.9,65.9
65.95,3297.5,65.95,2010-10-27,65.95,65.95
70.0,140000.0,70.0,2010-11-02,70.0,70.0
80.0,800.0,80.0,2010-11-10,80.0,80.0
65.2,12388.0,65.2,2010-11-22,65.2,65.2
66.1,661.0,66.1,2010-11-23,66.1,66.1
69.5,20850.0,69.5,2010-11-26,69.5,69.5
60.0,24000.0,60.0,2010-12-08,60.0,60.0
68.9,215668.0,68.0,2010-12-16,68.9,68.0
75.0,85359.0,75.0,2010-12-22,75.0,68.0
70.0,391710.0,76.95,2010-12-23,77.0,70.0
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
24.25,1374880.0,24.25,2010-12-28,24.25,24.2
35.0,57482895.0,30.5,2010-12-29,35.5,30.0
35.0,57482895.0,30.5,2010-12-29,35.5,30.0
30.0,655310.0,26.0,2011-01-03,30.0,24.0
30.0,655310.0,26.0,2011-01-03,30.0,24.0
30.0,655310.0,26.0,2011-01-03,30.0,24.0
25.85,1372316.0,19.96,2011-01-04,25.85,19.0
19.9,1344020.0,22.0,2011-01-05,22.0,19.0
19.5,847220.0,21.0,2011-01-06,21.0,18.0
19.0,1303835.0,20.0,2011-01-07,20.75,16.5
21.0,2729885.0,27.0,2011-01-10,30.0,19.0
22.0,1678095.0,25.5,2011-01-11,25.5,20.3
22.0,1678095.0,25.5,2011-01-11,25.5,20.3
22.25,621480.0,24.5,2011-01-12,27.0,22.0
24.45,1087070.0,24.5,2011-01-13,26.0,21.0
23.95,932790.0,22.5,2011-01-14,23.95,20.5
21.0,2336295.0,18.9,2011-01-17,21.0,18.9
18.8,804080.0,19.7,2011-01-18,20.5,18.0
18.2,2746668.0,18.3,2011-01-19,19.0,17.0
18.2,2746668.0,18.3,2011-01-19,19.0,17.0
18.0,946910.0,18.5,2011-01-20,18.5,16.8
18.0,946910.0,18.5,2011-01-20,18.5,16.8
19.8,1470850.0,18.0,2011-01-24,20.0,17.0
17.5,277428.0,17.44,2011-01-25,17.5,17.0
17.4,1057540.0,17.4,2011-01-26,17.4,16.9
17.0,312838.0,17.4,2011-01-27,17.4,16.7
17.1,1234060.0,17.32,2011-01-28,19.0,16.2
17.1,1234060.0,17.32,2011-01-28,19.0,16.2
16.9,1289776.0,19.0,2011-01-31,19.0,16.9
16.9,1289776.0,19.0,2011-01-31,19.0,16.9
18.48,411180.0,18.94,2011-02-01,19.0,17.0
18.48,411180.0,18.94,2011-02-01,19.0,17.0
16.8,10162860.0,20.0,2011-02-02,20.0,16.8
20.0,3266260.0,17.1,2011-02-03,20.0,16.0
13.54,183314.0,14.68,2011-02-14,14.8,13.0
14.2,62138.0,14.2,2011-02-16,14.2,13.04
14.2,62138.0,14.2,2011-02-16,14.2,13.04
13.96,984500.0,14.2,2011-02-17,14.4,13.3
14.3,45420.0,14.3,2011-02-18,14.3,14.18
14.2,572926.0,14.0,2011-02-21,14.3,13.26
14.2,572926.0,14.0,2011-02-21,14.3,13.26
13.8,109438.0,14.18,2011-02-22,14.26,13.24
13.8,109438.0,14.18,2011-02-22,14.26,13.24
13.12,259168.0,14.16,2011-02-23,14.16,13.12
13.12,259168.0,14.16,2011-02-23,14.16,13.12
13.5,43894.0,14.0,2011-02-24,14.0,13.5
13.5,43894.0,14.0,2011-02-24,14.0,13.5
14.12,1236436.0,14.02,2011-02-25,14.12,12.7
14.02,192952.0,14.04,2011-02-28,14.14,14.02
14.02,227624.0,14.18,2011-03-02,14.3,14.02
14.14,1906976.0,12.62,2011-03-03,14.3,12.02
12.3,105634.0,12.3,2011-03-04,12.8,12.18
12.3,105634.0,12.3,2011-03-04,12.8,12.18
12.86,33302.0,12.5,2011-03-07,12.88,12.4
12.88,523038.0,13.0,2011-03-08,13.0,12.02
12.88,523038.0,13.0,2011-03-08,13.0,12.02
14.2,551794.0,15.0,2011-03-11,15.0,14.2
14.2,551794.0,15.0,2011-03-11,15.0,14.2
15.5,708960.0,15.98,2011-03-16,15.98,15.0
15.5,333130.0,15.9,2011-03-17,15.98,15.0
15.7,290370.0,15.98,2011-03-18,15.98,15.6
15.9,74278.0,15.88,2011-03-21,15.9,15.6
15.7,310082.0,15.96,2011-03-22,15.96,15.7
15.1,262462.0,15.82,2011-03-23,15.96,15.0
14.5,10892106.0,15.78,2011-03-25,15.78,14.5
15.0,102276.0,15.76,2011-03-28,15.76,15.0
15.0,322912.0,15.72,2011-03-29,15.72,15.0
15.12,406950.0,15.5,2011-03-30,15.5,15.12
15.64,246124.0,15.5,2011-03-31,15.64,15.0
15.74,343722.0,15.0,2011-04-01,15.74,15.0
15.7,60148.0,15.0,2011-04-04,15.7,15.0
14.8,130300.0,15.0,2011-04-05,15.2,14.8
15.2,7540.0,15.0,2011-04-06,15.2,15.0
14.52,3676086.0,13.22,2011-04-07,15.0,13.2
14.48,1448.0,14.48,2011-04-11,14.48,14.48
13.4,20958.0,14.22,2011-04-12,14.32,13.4
14.0,1463416.0,14.0,2011-04-13,14.2,13.0
13.5,901460.0,17.0,2011-04-14,17.0,13.5
16.18,16180.0,16.18,2011-04-15,16.18,16.18
14.0,167276.0,15.28,2011-04-27,15.48,14.0
14.5,20420.0,15.06,2011-04-28,15.06,14.3
14.6,44570.0,15.0,2011-04-29,15.0,14.6
14.8,567050.0,14.6,2011-05-02,14.9,14.6
14.6,138922.0,15.6,2011-05-03,15.9,14.5
15.5,4650000.0,15.5,2011-05-04,15.5,15.5
15.58,1015052.0,15.58,2011-05-05,15.58,14.6
14.8,106836.0,14.9,2011-05-06,15.46,14.8
15.4,293876.0,15.36,2011-05-09,15.4,14.54
14.54,334756.0,15.3,2011-05-10,15.3,14.3
15.0,4500.0,15.0,2011-05-11,15.0,15.0
14.5,24870358.0,15.3,2011-05-12,15.3,14.24
14.7,191454.0,15.26,2011-05-13,15.3,14.42
14.42,143372.0,15.26,2011-05-16,15.26,14.42
14.5,14665204.0,15.06,2011-05-18,15.24,14.4
14.26,131998.0,15.0,2011-05-19,15.0,14.22
14.24,186618.0,14.98,2011-05-20,14.98,14.24
14.5,7340.0,14.8,2011-05-24,14.8,14.5
14.7,14700.0,14.7,2011-05-26,14.7,14.7
14.84,108594.0,14.84,2011-05-27,14.84,14.04
14.04,287300.0,14.7,2011-06-01,14.7,14.02
13.64,85710.0,14.92,2011-06-08,14.94,13.64
14.9,554230.0,15.24,2011-06-09,15.24,14.9
14.9,16422.0,15.22,2011-06-13,15.22,14.9
14.5,26160300.0,15.2,2011-06-14,15.2,14.5
14.8,1480.0,14.8,2011-06-17,14.8,14.8
14.8,5587702.0,16.0,2011-06-21,16.0,13.9
16.0,80000.0,16.0,2011-06-22,16.0,16.0
15.5,3227000.0,15.98,2011-06-23,15.98,15.5
15.98,227866.0,15.96,2011-06-24,15.98,15.02
15.04,79662.0,15.9,2011-06-27,15.9,15.02
15.88,53974.0,15.9,2011-06-28,15.9,15.86
