OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.48,4556000.0,0.48,2009-08-03,0.49,0.45
0.48,3739600.0,0.48,2009-08-04,0.48,0.46
0.47,2200900.0,0.46,2009-08-06,0.47,0.45
0.46,3362100.0,0.45,2009-08-07,0.47,0.45
0.46,902700.0,0.46,2009-08-10,0.47,0.45
0.46,892400.0,0.46,2009-08-11,0.46,0.46
0.45,3837500.0,0.45,2009-08-12,0.46,0.44
0.46,1738200.0,0.45,2009-08-13,0.46,0.45
0.45,499500.0,0.45,2009-08-14,0.45,0.45
0.44,1072600.0,0.43,2009-08-17,0.44,0.42
0.42,725100.0,0.44,2009-08-18,0.44,0.42
0.45,697500.0,0.45,2009-08-19,0.45,0.45
0.45,2470500.0,0.45,2009-08-20,0.45,0.45
0.46,2907200.0,0.46,2009-08-24,0.46,0.46
0.46,16261500.0,0.49,2009-08-25,0.52,0.46
0.51,5546900.0,0.5,2009-08-26,0.52,0.49
0.47,1393800.0,0.48,2009-09-03,0.48,0.47
0.48,4844600.0,0.48,2009-09-04,0.48,0.47
0.46,1520500.0,0.48,2009-09-16,0.48,0.46
0.48,1508300.0,0.48,2009-09-17,0.49,0.48
0.47,1136400.0,0.48,2009-09-18,0.48,0.47
0.48,240000.0,0.48,2009-09-22,0.48,0.48
0.49,581100.0,0.48,2009-09-23,0.49,0.48
0.46,23000.0,0.46,2009-09-30,0.46,0.46
0.46,46000.0,0.46,2009-10-01,0.46,0.46
0.46,1764800.0,0.47,2009-10-02,0.47,0.46
0.46,376600.0,0.46,2009-10-05,0.47,0.46
0.46,1235800.0,0.47,2009-10-06,0.47,0.46
0.48,2587200.0,0.48,2009-10-07,0.48,0.48
0.49,1391600.0,0.49,2009-10-08,0.49,0.49
0.48,1075200.0,0.48,2009-10-09,0.48,0.48
0.48,960000.0,0.48,2009-10-12,0.48,0.48
0.48,707500.0,0.47,2009-10-13,0.48,0.47
0.47,1437900.0,0.47,2009-10-14,0.48,0.47
0.48,974400.0,0.48,2009-10-15,0.48,0.48
0.48,417600.0,0.48,2009-10-16,0.48,0.48
