OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
4.75,4203530.0,4.15,2011-12-19,4.75,4.15
4.12,163370.0,4.05,2011-12-20,4.15,4.03
4.08,44870.0,4.08,2011-12-23,4.08,4.07
4.07,65120.0,4.07,2011-12-26,4.07,4.07
4.06,69520.0,4.33,2011-12-27,4.33,4.05
4.3,20860.0,4.1,2011-12-29,4.3,4.1
3.92,493070.0,4.0,2012-01-02,4.0,3.9
4.0,563770.0,4.0,2012-01-04,4.08,3.91
3.91,1004630.0,4.2,2012-01-05,4.2,3.9
4.05,333350.0,4.07,2011-12-21,4.07,4.05
4.07,73630.0,4.08,2011-12-22,4.2,4.07
4.06,773480.0,4.0,2011-12-28,4.1,4.0
4.01,8020.0,4.01,2012-01-06,4.01,4.01
3.95,36380.0,4.2,2012-01-10,4.2,3.95
4.18,677280.0,4.0,2012-01-11,4.18,3.95
3.96,407960.0,4.0,2012-01-13,4.0,3.96
4.1,1972190.0,4.19,2012-01-16,4.19,4.1
3.95,43380.0,3.94,2012-01-18,3.97,3.94
3.96,59400.0,3.96,2012-01-19,3.96,3.96
3.94,190120.0,3.95,2012-01-20,4.0,3.94
4.0,20060.0,4.1,2012-01-12,4.1,3.96
3.8,182100.0,3.7,2012-01-26,3.8,3.7
4.0,382420.0,3.89,2012-01-30,4.0,3.79
3.98,11960.0,3.99,2012-01-31,3.99,3.98
3.78,79210.0,3.97,2012-02-01,3.97,3.78
3.77,3770.0,3.77,2012-02-03,3.77,3.77
3.78,226800.0,3.78,2012-02-06,3.78,3.78
3.78,123820.0,3.75,2012-02-07,3.78,3.75
3.95,23450.0,3.9,2012-01-25,3.95,3.9
3.97,3970.0,3.97,2012-02-02,3.97,3.97
3.75,758160.0,3.75,2012-02-08,3.78,3.72
3.93,100360.0,3.93,2012-02-10,3.93,3.7
3.71,742000.0,3.71,2012-02-14,3.71,3.71
3.71,7420.0,3.71,2012-02-16,3.71,3.71
3.71,259030.0,3.7,2012-02-20,3.71,3.7
3.7,1464410.0,3.7,2012-02-21,3.71,3.6
3.71,388510.0,3.7,2012-02-23,3.71,3.7
3.52,1087770.0,3.53,2012-02-28,3.53,3.52
3.55,59550.0,3.5,2012-02-29,3.55,3.5
3.52,1056000.0,3.52,2012-03-01,3.52,3.52
3.8,308300.0,3.7,2012-02-09,3.8,3.7
3.7,658600.0,3.7,2012-02-22,3.7,3.7
3.3,18190.0,3.89,2012-03-09,3.89,3.3
3.85,42750.0,3.89,2012-03-19,3.89,3.85
3.7,247910.0,3.7,2012-03-22,3.71,3.7
3.66,18260.0,3.65,2012-03-23,3.66,3.65
3.6,18000.0,3.6,2012-03-26,3.6,3.6
3.6,71840.0,3.58,2012-03-27,3.6,3.58
3.58,14320.0,3.58,2012-03-29,3.58,3.58
3.55,1446350.0,3.92,2012-03-05,3.93,3.55
3.58,3580.0,3.58,2012-04-02,3.58,3.58
3.5,497000.0,3.5,2012-04-12,3.5,3.5
3.56,2534900.0,3.86,2012-04-13,3.86,3.53
3.78,72180.0,3.6,2012-04-19,3.78,3.6
3.51,175100.0,3.5,2012-04-20,3.51,3.5
3.5,619500.0,3.5,2012-04-23,3.5,3.5
3.75,39050.0,3.53,2012-04-24,3.75,3.53
3.58,3580.0,3.58,2012-03-30,3.58,3.58
3.56,3560.0,3.56,2012-04-04,3.56,3.56
3.53,179530.0,3.52,2012-04-17,3.53,3.52
3.52,109120.0,3.52,2012-04-18,3.52,3.52
3.53,17650.0,3.53,2012-04-25,3.53,3.53
3.52,42090.0,3.5,2012-04-26,3.52,3.5
3.5,7000.0,3.5,2012-04-27,3.5,3.5
3.5,141950.0,3.79,2012-04-30,3.79,3.5
3.53,3530.0,3.53,2012-05-07,3.53,3.53
3.53,60010.0,3.53,2012-05-08,3.53,3.53
3.53,10680.0,3.55,2012-05-09,3.6,3.53
3.53,21180.0,3.53,2012-05-11,3.53,3.53
3.53,1577740.0,3.52,2012-05-14,3.53,3.52
3.53,186570.0,3.52,2012-05-15,3.53,3.52
3.53,49290.0,3.52,2012-05-16,3.53,3.52
3.52,373120.0,3.52,2012-05-18,3.52,3.52
3.52,38720.0,3.52,2012-05-21,3.52,3.52
