OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.66,3320.0,1.66,2009-08-03,1.66,1.66
1.8,18000.0,1.8,2009-08-04,1.8,1.8
1.6,37600.0,1.8,2009-08-14,1.8,1.6
1.3,1300.0,1.3,2009-08-17,1.3,1.3
1.7,3400.0,1.7,2009-08-18,1.7,1.7
1.7,8500.0,1.7,2009-08-19,1.7,1.7
1.7,1489160.0,1.66,2009-10-13,1.7,1.66
1.7,3400.0,1.7,2009-12-21,1.7,1.7
1.68,5040.0,1.68,2010-01-21,1.68,1.68
1.7,1700.0,1.7,2010-02-02,1.7,1.7
1.5,1500.0,1.5,2010-02-03,1.5,1.5
1.7,1700.0,1.7,2010-02-04,1.7,1.7
1.5,15000.0,1.5,2010-03-17,1.5,1.5
1.66,4640.0,1.32,2010-03-31,1.66,1.32
1.68,90000.0,1.7,2010-05-20,1.7,1.68
1.7,193800.0,1.7,2010-05-21,1.7,1.7
1.7,110500.0,1.7,2010-05-31,1.7,1.7
1.7,94000.0,1.72,2010-06-01,1.72,1.7
1.72,17200.0,1.72,2010-06-02,1.72,1.72
1.72,86000.0,1.72,2010-06-03,1.72,1.72
1.7,170000.0,1.7,2010-06-09,1.7,1.7
1.7,170000.0,1.7,2010-06-21,1.7,1.7
1.72,306100.0,1.76,2010-06-25,1.76,1.72
1.7,5100.0,1.7,2010-07-06,1.7,1.7
1.76,181280.0,1.76,2010-07-07,1.76,1.76
1.74,3480.0,1.74,2010-09-20,1.74,1.74
1.74,3480.0,1.74,2010-09-29,1.74,1.74
1.75,8750.0,1.75,2010-10-04,1.75,1.75
1.73,3460.0,1.73,2010-10-05,1.73,1.73
1.71,1710.0,1.71,2010-10-06,1.71,1.71
1.71,8550.0,1.71,2010-10-07,1.71,1.71
1.74,17400.0,1.74,2010-10-08,1.74,1.74
1.6,27200.0,1.6,2010-10-14,1.6,1.6
1.51,1510.0,1.51,2010-11-04,1.51,1.51
1.51,4530.0,1.51,2010-11-11,1.51,1.51
1.6,1600.0,1.6,2010-11-12,1.6,1.6
1.6,59200.0,1.6,2010-11-30,1.6,1.6
1.5,28500.0,1.5,2010-12-29,1.5,1.5
1.5,28500.0,1.5,2010-12-29,1.5,1.5
1.7,22940.0,1.77,2011-01-04,1.77,1.7
1.51,7550.0,1.51,2011-01-06,1.51,1.51
1.6,28800.0,1.6,2011-01-11,1.6,1.6
1.6,28800.0,1.6,2011-01-11,1.6,1.6
1.5,123000.0,1.5,2011-01-17,1.5,1.5
1.5,46490.0,1.49,2011-01-18,1.5,1.49
1.11,4530.0,1.71,2011-02-25,1.71,1.11
1.69,3380.0,1.69,2011-03-28,1.69,1.69
1.69,1690.0,1.69,2011-04-01,1.69,1.69
