OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.11,149600.0,0.11,2009-08-03,0.11,0.11
0.11,4317900.0,0.125,2009-08-04,0.125,0.11
0.12,549600.0,0.115,2009-08-06,0.13,0.115
0.115,177450.0,0.12,2009-08-07,0.12,0.115
0.12,96000.0,0.12,2009-08-10,0.12,0.12
0.12,108000.0,0.12,2009-08-11,0.12,0.12
0.12,23250.0,0.115,2009-08-12,0.12,0.115
0.12,324650.0,0.115,2009-08-13,0.12,0.115
0.12,113600.0,0.11,2009-08-17,0.12,0.11
0.11,116600.0,0.11,2009-08-24,0.12,0.105
0.11,227700.0,0.115,2009-08-25,0.115,0.105
0.12,2456200.0,0.145,2009-08-26,0.145,0.11
0.125,1772450.0,0.125,2009-09-03,0.125,0.12
0.125,166550.0,0.13,2009-09-04,0.13,0.125
0.12,86400.0,0.12,2009-09-16,0.12,0.12
0.115,51750.0,0.115,2009-09-18,0.115,0.115
0.115,12650.0,0.115,2009-09-22,0.115,0.115
0.11,73850.0,0.115,2009-10-08,0.115,0.11
0.11,33000.0,0.11,2009-10-09,0.11,0.11
0.11,3300.0,0.11,2009-10-12,0.11,0.11
0.105,11700.0,0.11,2009-10-13,0.11,0.105
0.105,12600.0,0.105,2009-10-14,0.105,0.105
0.115,6892000.0,0.15,2009-10-16,0.155,0.115
0.145,2534050.0,0.135,2009-10-19,0.16,0.135
0.135,539950.0,0.135,2009-10-20,0.14,0.13
0.125,181250.0,0.125,2009-10-21,0.125,0.125
0.13,96300.0,0.125,2009-10-22,0.13,0.125
0.125,36100.0,0.12,2009-10-23,0.125,0.12
0.125,186550.0,0.125,2009-10-26,0.13,0.125
0.13,675150.0,0.135,2009-10-27,0.14,0.13
0.135,1417750.0,0.14,2009-10-28,0.145,0.135
0.14,211100.0,0.135,2009-10-29,0.14,0.13
0.135,908100.0,0.13,2009-10-30,0.135,0.125
0.13,527250.0,0.12,2009-11-03,0.13,0.12
0.12,81650.0,0.12,2009-11-04,0.125,0.12
0.125,6050.0,0.12,2009-11-05,0.125,0.12
0.125,50000.0,0.125,2009-11-06,0.125,0.125
0.12,231650.0,0.115,2009-11-09,0.12,0.115
0.12,144800.0,0.125,2009-11-10,0.125,0.12
0.125,35800.0,0.125,2009-11-11,0.125,0.12
0.11,24300.0,0.115,2009-12-17,0.115,0.11
0.105,4200.0,0.105,2009-12-18,0.105,0.105
0.105,117650.0,0.11,2009-12-22,0.11,0.105
0.1,20000.0,0.1,2009-12-29,0.1,0.1
0.1,121000.0,0.105,2010-01-06,0.105,0.1
0.115,21850.0,0.115,2010-01-07,0.115,0.115
0.115,53050.0,0.12,2010-01-12,0.12,0.115
0.12,1200.0,0.12,2010-01-13,0.12,0.12
0.12,1200.0,0.12,2010-01-14,0.12,0.12
0.12,12700.0,0.115,2010-01-15,0.12,0.115
0.115,14550.0,0.11,2010-01-19,0.115,0.11
0.11,286000.0,0.11,2010-01-20,0.11,0.11
0.115,16050.0,0.11,2010-01-21,0.115,0.11
0.12,561450.0,0.125,2010-01-22,0.125,0.11
0.11,205700.0,0.11,2010-01-25,0.11,0.11
0.125,1333250.0,0.12,2010-01-27,0.135,0.115
0.125,1403850.0,0.13,2010-01-28,0.135,0.125
0.125,55500.0,0.12,2010-01-29,0.125,0.12
0.125,1928300.0,0.13,2010-02-01,0.135,0.125
0.135,1358700.0,0.125,2010-02-02,0.135,0.125
0.13,306500.0,0.125,2010-02-03,0.13,0.125
0.125,91250.0,0.125,2010-02-04,0.125,0.125
0.115,37150.0,0.12,2010-02-08,0.12,0.115
0.115,231450.0,0.11,2010-02-09,0.115,0.11
0.115,47150.0,0.115,2010-02-10,0.115,0.115
0.115,259500.0,0.11,2010-02-11,0.115,0.11
0.125,131250.0,0.13,2010-03-08,0.13,0.125
0.125,155000.0,0.125,2010-03-12,0.125,0.125
0.125,3750.0,0.125,2010-03-16,0.125,0.125
0.12,37200.0,0.12,2010-01-26,0.12,0.12
0.12,314400.0,0.12,2010-02-05,0.12,0.12
0.125,125000.0,0.125,2010-03-17,0.125,0.125
0.13,349800.0,0.13,2010-03-31,0.135,0.13
0.13,392500.0,0.125,2010-04-20,0.13,0.125
0.125,127600.0,0.13,2010-04-21,0.13,0.125
0.13,1300.0,0.13,2010-04-22,0.13,0.13
0.125,72550.0,0.13,2010-04-29,0.13,0.125
0.12,230600.0,0.13,2010-05-05,0.13,0.12
0.11,116300.0,0.13,2010-05-13,0.13,0.11
0.12,148050.0,0.125,2010-05-14,0.125,0.12
0.125,90100.0,0.13,2010-05-17,0.13,0.125
0.125,2500.0,0.125,2010-05-20,0.125,0.125
0.115,27150.0,0.125,2010-05-21,0.125,0.115
