OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
20.1,799526842.0,19.78,2012-05-07,20.7,19.7
19.8,181766320.0,19.72,2012-05-08,19.98,19.62
19.78,176750236.0,19.46,2012-05-09,19.78,19.44
19.44,88527830.0,18.9,2012-05-10,19.44,18.84
18.9,70596832.0,18.84,2012-05-11,19.04,18.8
18.8,62543216.0,18.52,2012-05-14,18.8,18.52
18.5,91486130.0,18.54,2012-05-15,18.68,18.5
18.56,20377858.0,18.58,2012-05-16,18.7,18.56
18.6,38092466.0,18.9,2012-05-17,18.98,18.6
18.9,139111776.0,18.56,2012-05-18,18.9,18.56
18.58,86350508.0,18.58,2012-05-21,18.6,18.56
18.6,85247114.0,18.52,2012-05-22,18.68,18.52
18.52,7518616.0,18.62,2012-05-24,18.62,18.52
18.62,51209304.0,18.62,2012-05-25,18.68,18.58
18.6,24862532.0,18.6,2012-05-29,18.86,18.58
18.62,29587482.0,18.62,2012-05-30,18.68,18.6
18.62,21133896.0,18.62,2012-05-31,18.7,18.54
18.62,42327630.0,18.82,2012-06-01,19.08,18.62
18.8,28870474.0,18.56,2012-06-04,18.8,18.56
18.66,9525562.0,18.72,2012-06-05,18.8,18.58
18.64,62443056.0,19.0,2012-06-06,19.08,18.64
19.3,28439378.0,18.86,2012-06-08,19.3,18.84
18.7,12662040.0,18.9,2012-06-13,18.9,18.7
18.9,14792672.0,18.64,2012-06-14,19.0,18.64
18.66,8202920.0,18.6,2012-06-15,18.7,18.6
18.66,7032446.0,18.92,2012-06-18,18.98,18.66
19.0,4810012.0,18.88,2012-06-19,19.0,18.84
18.9,33480654.0,19.0,2012-06-20,19.1,18.9
18.92,6269328.0,18.96,2012-06-21,18.98,18.92
18.96,8704818.0,19.0,2012-06-22,19.02,18.9
19.0,15592214.0,18.96,2012-06-25,19.0,18.96
18.96,21312326.0,18.94,2012-06-26,18.96,18.92
18.94,54751532.0,18.68,2012-06-27,19.02,18.68
18.7,5603618.0,18.9,2012-06-29,18.9,18.7
18.9,94980328.0,18.92,2012-07-02,19.14,18.9
18.92,9679430.0,18.84,2012-07-03,19.02,18.84
18.88,22399404.0,18.72,2012-07-04,18.88,18.7
18.72,7864932.0,18.74,2012-07-05,18.8,18.72
18.74,2343332.0,18.78,2012-07-06,18.8,18.74
18.78,4936470.0,18.7,2012-07-09,18.78,18.68
18.72,17250420.0,18.68,2012-07-10,18.8,18.66
18.68,19880740.0,18.64,2012-07-11,18.7,18.64
18.7,37911946.0,18.6,2012-07-12,18.7,18.58
18.6,12491728.0,18.64,2012-07-13,18.7,18.58
18.62,51915374.0,18.68,2012-07-16,18.7,18.5
18.7,61584252.0,19.0,2012-07-17,19.2,18.7
19.1,31978570.0,18.62,2012-07-18,19.1,18.56
18.68,5964228.0,18.7,2012-07-19,18.78,18.68
18.68,4012018.0,18.72,2012-07-20,18.8,18.68
18.72,15928414.0,18.54,2012-07-23,18.72,18.52
18.54,28009080.0,18.7,2012-07-24,18.72,18.54
18.64,14037018.0,18.72,2012-07-25,18.76,18.64
18.72,7615280.0,18.72,2012-07-26,18.76,18.7
18.78,2290634.0,18.7,2012-07-27,18.78,18.7
18.7,6684148.0,18.78,2012-07-30,18.8,18.7
18.84,17756678.0,18.86,2012-07-31,19.0,18.8
18.98,11779680.0,18.92,2012-08-01,19.06,18.86
19.0,90559084.0,19.54,2012-08-02,19.7,18.98
19.5,39200848.0,19.5,2012-08-03,19.58,19.28
19.6,35281772.0,19.6,2012-08-06,19.86,19.5
19.7,31186046.0,19.68,2012-08-08,19.98,19.58
19.7,10145332.0,19.4,2012-08-09,19.7,19.24
19.4,5674726.0,19.5,2012-08-13,19.5,19.26
19.6,6047960.0,19.6,2012-08-14,19.6,19.46
19.5,17693160.0,19.5,2012-08-15,19.62,19.46
19.5,24688448.0,19.5,2012-08-16,19.52,19.44
18.56,43380260.0,18.52,2012-05-23,18.56,18.5
18.6,26559316.0,18.6,2012-05-28,18.62,18.56
19.1,99609584.0,19.22,2012-06-07,19.4,19.1
18.9,13216070.0,18.7,2012-06-11,19.1,18.7
18.68,46562154.0,18.7,2012-06-28,18.94,18.68
19.68,5109626.0,19.4,2012-08-10,19.7,19.26
19.6,15772930.0,19.5,2012-08-17,19.6,19.46
19.3,8387594.0,19.34,2012-08-24,19.36,19.3
19.4,4796912.0,19.34,2012-08-28,19.4,19.3
19.4,7946884.0,19.46,2012-08-29,19.48,19.34
19.46,12889962.0,19.52,2012-08-30,19.52,19.44
19.48,15627706.0,19.56,2012-08-31,19.62,19.48
19.56,8541754.0,19.6,2012-09-03,19.62,19.56
19.6,6377862.0,19.6,2012-09-04,19.6,19.58
19.6,11221732.0,19.64,2012-09-05,19.64,19.58
19.6,11189052.0,19.74,2012-09-06,19.76,19.6
19.78,90460185.0,20.2,2012-09-07,20.2,19.74
20.4,89447740.0,20.95,2012-09-10,21.25,20.4
21.0,45343275.0,21.45,2012-09-11,21.45,21.0
21.25,29677905.0,21.8,2012-09-13,21.85,21.25
21.85,47419230.0,22.0,2012-09-14,22.2,21.85
19.5,19062674.0,19.28,2012-08-22,19.5,19.28
19.32,18130788.0,19.36,2012-08-23,19.36,19.26
21.5,48294195.0,21.7,2012-09-12,21.95,21.15
22.0,14186235.0,21.7,2012-09-17,22.0,21.55
21.75,9324175.0,21.7,2012-09-18,21.75,21.5
21.7,10361415.0,21.75,2012-09-19,21.8,21.5
21.8,12825085.0,21.85,2012-09-20,22.2,21.75
21.85,20782260.0,21.8,2012-09-21,22.1,21.8
21.75,62577825.0,22.8,2012-09-24,22.95,21.75
23.0,37248060.0,23.3,2012-09-25,23.35,22.85
23.5,35656520.0,23.1,2012-09-26,23.5,22.75
23.1,6645225.0,22.95,2012-09-27,23.15,22.9
23.0,14829415.0,22.9,2012-09-28,23.2,22.9
22.75,24094685.0,22.6,2012-10-02,23.3,22.55
22.6,18932490.0,22.85,2012-10-03,23.0,22.6
23.0,28989690.0,23.05,2012-10-04,23.1,22.9
23.05,42425005.0,23.3,2012-10-05,23.7,23.05
23.1,34759135.0,22.7,2012-10-09,23.2,22.6
22.95,8472880.0,22.8,2012-10-11,22.95,22.65
22.8,6221520.0,22.85,2012-10-12,23.0,22.8
22.9,9023195.0,22.8,2012-10-15,22.95,22.75
22.8,22737520.0,22.9,2012-10-16,22.9,22.75
22.95,22070435.0,23.4,2012-10-17,23.4,22.95
23.1,14944410.0,22.95,2012-10-22,23.1,22.8
22.8,34705850.0,22.9,2012-10-23,23.1,22.8
22.85,25439020.0,22.95,2012-10-24,23.0,22.8
23.0,20373625.0,23.05,2012-10-25,23.15,22.95
23.0,41691800.0,23.95,2012-10-29,23.95,23.0
23.7,18627815.0,23.9,2012-10-30,24.0,23.6
24.0,30646795.0,23.8,2012-10-31,24.45,23.8
23.0,17449895.0,22.75,2012-10-01,23.2,22.75
23.4,20737970.0,23.1,2012-10-08,23.5,23.1
22.7,8414910.0,22.8,2012-10-10,22.9,22.6
23.4,4609020.0,23.15,2012-10-18,23.4,23.1
23.15,31604435.0,23.1,2012-10-19,23.35,23.05
23.9,26405850.0,24.1,2012-11-05,24.5,23.7
24.15,21108280.0,24.7,2012-11-06,24.8,24.15
24.8,14900825.0,24.25,2012-11-07,24.85,24.25
24.0,12038185.0,24.3,2012-11-08,24.3,23.75
24.3,7632995.0,24.3,2012-11-09,24.5,24.0
24.4,9872240.0,24.3,2012-11-12,24.8,24.3
24.3,19545905.0,24.6,2012-11-13,24.7,24.3
24.7,2346505.0,24.75,2012-11-14,24.8,24.65
24.8,81725955.0,25.45,2012-11-15,25.8,24.8
25.55,55081225.0,25.55,2012-11-16,25.9,25.55
25.75,21061565.0,25.75,2012-11-19,25.9,25.55
25.95,121364735.0,27.65,2012-11-21,28.15,25.95
27.65,66545160.0,26.95,2012-11-22,28.15,26.5
27.3,22621950.0,27.6,2012-11-26,27.85,27.3
27.7,18468605.0,27.6,2012-11-27,27.85,27.5
27.7,65401580.0,27.45,2012-11-28,27.7,27.35
25.8,34598770.0,25.7,2012-11-20,25.9,25.65
26.95,47474220.0,27.1,2012-11-23,27.3,26.95
27.5,93840560.0,26.9,2012-11-29,27.8,26.9
27.2,137787920.0,27.95,2012-12-03,28.0,26.9
28.0,62566835.0,28.3,2012-12-04,28.3,27.65
28.35,44449415.0,28.1,2012-12-05,28.35,27.9
28.1,29584450.0,28.1,2012-12-06,28.4,28.1
28.3,31373360.0,28.25,2012-12-07,28.5,28.1
28.65,23206960.0,28.7,2012-12-11,28.8,28.5
28.7,12857105.0,28.75,2012-12-12,28.8,28.5
28.85,86416225.0,29.0,2012-12-13,29.05,28.75
29.0,22954760.0,29.15,2012-12-14,29.2,29.0
29.1,40006985.0,28.8,2012-12-18,29.1,28.8
28.8,4355780.0,28.85,2012-12-19,28.95,28.6
28.7,12359330.0,28.75,2012-12-20,28.9,28.65
28.5,23990690.0,29.0,2012-12-21,29.05,28.3
29.0,7113930.0,29.0,2012-12-26,29.0,28.8
28.55,9723545.0,29.1,2012-12-27,29.2,28.55
29.1,5367885.0,29.25,2013-01-02,29.25,29.1
29.35,56775560.0,30.5,2013-01-03,30.5,29.35
30.4,75077550.0,31.85,2013-01-04,32.95,30.4
31.9,43070720.0,32.35,2013-01-07,32.7,31.9
28.5,26034455.0,28.55,2012-12-10,28.6,28.25
29.25,67828800.0,29.15,2012-12-17,29.25,29.0
29.05,17406910.0,29.0,2012-12-28,29.1,28.9
32.25,77765475.0,31.5,2013-01-09,32.3,31.4
31.6,127309520.0,30.0,2013-01-10,31.6,30.0
30.2,83355170.0,30.05,2013-01-11,30.8,30.0
30.0,88002750.0,29.65,2013-01-14,30.0,29.0
30.0,52171590.0,29.8,2013-01-16,30.0,29.6
29.7,46199695.0,29.6,2013-01-17,30.0,29.5
30.0,65599670.0,30.05,2013-01-18,30.75,29.55
30.6,72203920.0,31.05,2013-01-22,32.0,30.55
30.7,88949465.0,30.85,2013-01-24,31.0,30.7
31.1,142581165.0,31.45,2013-01-25,31.55,30.85
31.6,95999955.0,31.75,2013-01-28,31.85,31.6
31.8,109035115.0,30.9,2013-01-30,31.85,30.85
31.0,19169795.0,31.05,2013-01-31,31.45,30.95
31.15,41572300.0,31.3,2013-02-01,31.45,31.15
31.4,42647795.0,31.4,2013-02-04,31.9,31.4
31.4,36798180.0,31.25,2013-02-05,31.4,30.9
31.25,58862020.0,31.15,2013-02-06,32.15,31.15
31.4,22071230.0,31.2,2013-02-07,31.4,31.2
31.2,102216410.0,30.9,2013-02-08,32.0,30.75
30.95,39680420.0,30.7,2013-02-11,31.5,30.3
30.7,28041345.0,30.3,2013-02-12,30.9,30.25
30.35,90735645.0,30.4,2013-02-13,30.8,30.35
30.65,28103395.0,30.55,2013-02-14,30.75,30.5
30.7,113874665.0,31.25,2013-02-15,31.5,30.55
31.25,52301940.0,31.35,2013-02-18,31.7,31.2
31.5,53036630.0,31.6,2013-02-19,31.8,31.5
31.75,40740485.0,31.3,2013-02-20,31.85,31.3
32.5,98312625.0,32.3,2013-01-08,32.7,32.3
29.65,58642565.0,30.0,2013-01-15,30.2,29.65
30.75,17752965.0,30.25,2013-01-21,30.75,30.1
31.15,58037180.0,30.7,2013-01-23,31.2,30.65
31.8,39058335.0,31.75,2013-01-29,31.8,31.7
31.45,378977695.0,32.9,2013-02-21,32.9,30.95
32.9,327725485.0,34.95,2013-02-22,35.0,32.65
34.95,52160170.0,34.65,2013-02-25,35.3,34.5
34.5,31106265.0,34.35,2013-02-26,34.5,33.8
34.5,40933385.0,34.5,2013-02-27,35.15,34.5
34.95,66068550.0,35.1,2013-02-28,35.1,34.8
36.0,37120300.0,35.6,2013-03-05,36.0,35.4
35.75,88778600.0,34.95,2013-03-06,35.8,34.8
35.0,46832290.0,35.65,2013-03-08,35.95,35.0
35.7,30634585.0,35.6,2013-03-11,35.7,35.35
35.65,68783760.0,34.35,2013-03-12,35.7,34.35
34.45,59583380.0,34.5,2013-03-13,34.95,34.45
34.8,50733045.0,34.45,2013-03-14,34.8,34.45
35.1,55223860.0,34.95,2013-03-01,35.15,34.35
35.3,105900620.0,35.8,2013-03-04,36.2,35.3
35.0,49673385.0,34.7,2013-03-07,35.1,34.6
34.7,83575675.0,33.0,2013-03-18,34.75,32.6
32.9,98562305.0,32.85,2013-03-19,33.15,32.05
32.6,53548280.0,33.25,2013-03-20,33.3,32.1
33.35,13980560.0,33.7,2013-03-21,33.8,33.35
33.9,9206415.0,33.5,2013-03-22,33.9,33.25
33.5,22058725.0,33.4,2013-03-25,33.9,33.3
33.45,30162770.0,33.45,2013-03-26,33.75,33.4
33.45,24002190.0,33.4,2013-03-27,33.55,33.35
33.5,53482575.0,34.4,2013-04-01,34.5,33.4
34.6,37555490.0,34.6,2013-04-03,34.7,34.25
34.5,4991085.0,34.25,2013-04-04,34.5,34.0
34.25,62952765.0,34.0,2013-04-05,34.25,33.85
34.0,25614215.0,34.0,2013-04-08,34.25,34.0
34.3,20813925.0,34.2,2013-04-10,34.55,34.2
34.4,16231300.0,34.45,2013-04-11,34.8,34.3
