OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.55,22000.0,0.55,2009-08-06,0.55,0.55
0.55,55000.0,0.55,2009-08-20,0.55,0.55
0.55,11000.0,0.55,2009-08-25,0.55,0.55
0.5,5000.0,0.5,2009-09-03,0.5,0.5
0.5,9955000.0,0.5,2009-09-04,0.5,0.5
0.5,246900.0,0.59,2009-09-22,0.59,0.5
0.65,130000.0,0.65,2009-09-30,0.65,0.65
0.58,185000.0,0.65,2009-10-21,0.65,0.58
0.66,66000.0,0.66,2009-10-22,0.66,0.66
0.75,4505300.0,0.99,2009-10-28,0.99,0.75
1.12,36877000.0,0.88,2009-10-29,1.24,0.8
0.75,3870100.0,0.76,2009-10-30,0.88,0.74
0.74,1713600.0,0.69,2009-11-03,0.8,0.67
0.68,327200.0,0.68,2009-11-04,0.7,0.68
0.67,336100.0,0.71,2009-11-05,0.71,0.67
0.7,574900.0,0.69,2009-11-06,0.71,0.69
0.68,279900.0,0.62,2009-11-09,0.68,0.62
0.64,666900.0,0.68,2009-11-10,0.68,0.63
0.68,3404000.0,0.67,2009-11-11,0.76,0.67
0.78,62100.0,0.77,2009-12-17,0.78,0.77
0.84,311000.0,0.85,2009-12-29,0.85,0.84
0.8,122500.0,0.85,2010-01-04,0.85,0.8
0.85,2166900.0,0.83,2010-01-05,0.87,0.83
0.81,482000.0,0.8,2010-01-06,0.81,0.8
0.79,104700.0,0.81,2010-01-08,0.81,0.79
0.81,40500.0,0.81,2010-01-11,0.81,0.81
0.76,121600.0,0.76,2010-01-12,0.76,0.76
0.79,79000.0,0.79,2010-01-14,0.79,0.79
0.78,15600.0,0.78,2010-01-19,0.78,0.78
0.8,79200.0,0.79,2010-01-20,0.8,0.79
0.62,93000.0,0.62,2010-01-27,0.62,0.62
0.75,475600.0,0.65,2010-02-01,0.75,0.65
0.65,65000.0,0.65,2010-02-02,0.65,0.65
0.65,32500.0,0.65,2010-02-03,0.65,0.65
0.61,30500.0,0.61,2010-02-04,0.61,0.61
0.62,68200.0,0.62,2010-03-12,0.62,0.62
0.62,31000.0,0.62,2010-03-16,0.62,0.62
0.6,30000.0,0.6,2010-03-17,0.6,0.6
0.6,60000.0,0.6,2010-04-20,0.6,0.6
0.61,30500.0,0.61,2010-04-21,0.61,0.61
0.6,60900.0,0.61,2010-04-22,0.61,0.6
0.62,92500.0,0.61,2010-04-23,0.62,0.61
0.6,59500.0,0.59,2010-04-30,0.6,0.59
0.58,231000.0,0.58,2010-05-04,0.58,0.57
0.58,29000.0,0.58,2010-05-18,0.58,0.58
0.55,214500.0,0.55,2010-05-26,0.55,0.55
0.55,11000.0,0.55,2010-06-07,0.55,0.55
0.55,60500.0,0.55,2010-06-10,0.55,0.55
0.58,1468300.0,0.69,2010-06-15,0.76,0.58
0.68,34000.0,0.68,2010-06-16,0.68,0.68
0.62,280300.0,0.59,2010-06-22,0.62,0.59
0.58,203400.0,0.66,2010-06-23,0.68,0.58
0.58,58000.0,0.58,2010-06-28,0.58,0.58
0.62,99200.0,0.62,2010-06-29,0.62,0.62
0.58,40600.0,0.58,2010-07-01,0.58,0.58
0.55,55000.0,0.55,2010-07-13,0.55,0.55
0.55,55000.0,0.55,2010-07-15,0.55,0.55
0.55,458100.0,0.54,2010-07-16,0.55,0.54
0.58,21760.0,0.57,2010-09-29,0.58,0.57
0.61,5010.0,0.65,2010-09-30,0.65,0.6
0.65,13000.0,0.65,2010-10-06,0.65,0.65
0.6,3000.0,0.6,2010-10-12,0.6,0.6
0.6,30000.0,0.6,2010-10-13,0.6,0.6
0.71,710.0,0.71,2010-10-15,0.71,0.71
0.6,30000.0,0.6,2010-10-28,0.6,0.6
0.6,120000.0,0.6,2010-11-03,0.6,0.6
0.56,112000.0,0.56,2010-11-23,0.56,0.56
0.58,63800.0,0.58,2010-11-26,0.58,0.58
0.6,131900.0,0.65,2010-12-08,0.66,0.6
0.67,1110250.0,0.69,2010-12-22,0.72,0.67
0.68,1528440.0,0.66,2010-12-23,0.68,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.57,114000.0,0.57,2010-05-05,0.57,0.57
0.58,116000.0,0.58,2010-05-13,0.58,0.58
0.68,26520.0,0.68,2010-10-29,0.68,0.68
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.68,1256260.0,0.75,2010-12-28,0.75,0.66
0.73,453700.0,0.79,2010-12-29,0.79,0.73
0.73,453700.0,0.79,2010-12-29,0.79,0.73
0.87,7780.0,0.86,2011-01-03,0.87,0.86
0.87,7780.0,0.86,2011-01-03,0.87,0.86
0.87,7780.0,0.86,2011-01-03,0.87,0.86
0.69,163110.0,0.71,2011-01-04,0.8,0.69
0.7,285520.0,0.7,2011-01-05,0.7,0.69
0.7,61000.0,0.75,2011-01-06,0.75,0.7
0.75,3000.0,0.75,2011-01-10,0.75,0.75
0.71,181880.0,0.72,2011-01-11,0.75,0.71
0.71,181880.0,0.72,2011-01-11,0.75,0.71
0.7,128100.0,0.71,2011-01-12,0.71,0.7
0.75,188250.0,0.75,2011-01-14,0.75,0.75
0.78,14820.0,0.78,2011-01-17,0.78,0.78
0.8,246520.0,0.82,2011-01-18,0.82,0.79
0.82,173480.0,0.8,2011-01-20,0.82,0.8
0.82,173480.0,0.8,2011-01-20,0.82,0.8
0.79,392000.0,0.78,2011-01-24,0.79,0.78
0.75,977250.0,0.75,2011-01-28,0.75,0.75
0.75,977250.0,0.75,2011-01-28,0.75,0.75
0.7,63700.0,0.7,2011-02-16,0.7,0.7
0.7,63700.0,0.7,2011-02-16,0.7,0.7
0.7,7000.0,0.7,2011-02-18,0.7,0.7
0.7,140000.0,0.7,2011-03-11,0.7,0.7
0.7,140000.0,0.7,2011-03-11,0.7,0.7
0.7,83000.0,0.7,2011-03-16,0.7,0.67
0.68,44200.0,0.68,2011-03-23,0.68,0.68
0.68,23800.0,0.68,2011-03-24,0.68,0.68
0.77,3770690.0,0.77,2011-03-30,0.77,0.77
0.78,500600.0,0.8,2011-03-31,0.8,0.75
0.8,57600.0,0.8,2011-04-01,0.8,0.8
0.8,1600.0,0.8,2011-04-04,0.8,0.8
0.78,156000.0,0.78,2011-04-29,0.78,0.78
0.81,70470.0,0.82,2011-01-19,0.82,0.81
0.81,70470.0,0.82,2011-01-19,0.82,0.81
0.8,4000.0,0.8,2011-05-02,0.8,0.8
0.7,24500.0,0.7,2011-05-18,0.7,0.7
0.71,351000.0,0.7,2011-05-20,0.71,0.7
0.7,14000.0,0.7,2011-05-27,0.7,0.7
0.77,19250.0,0.77,2011-05-30,0.77,0.77
0.69,2692800.0,0.68,2011-06-03,0.69,0.63
0.68,20400.0,0.68,2011-07-08,0.68,0.68
0.68,68000.0,0.68,2011-07-29,0.68,0.68
0.74,5920.0,0.74,2011-08-02,0.74,0.74
0.63,31500.0,0.63,2011-08-09,0.63,0.63
0.7,141120.0,0.75,2011-08-31,0.78,0.7
0.64,12620.0,0.75,2011-09-13,0.75,0.64
0.7,207200.0,0.7,2011-09-14,0.7,0.7
0.65,63900.0,0.62,2011-09-26,0.65,0.62
0.75,16500.0,0.63,2011-10-03,0.75,0.63
0.68,34000.0,0.68,2011-10-19,0.68,0.68
0.7,70000.0,0.7,2011-10-20,0.7,0.7
0.75,37500.0,0.75,2011-10-26,0.75,0.75
0.75,37500.0,0.75,2011-10-28,0.75,0.75
0.7,322000.0,0.7,2011-11-21,0.7,0.7
0.75,244320.0,0.75,2011-11-23,0.77,0.75
0.77,43890.0,0.77,2011-11-24,0.77,0.77
0.77,3316570.0,0.77,2011-11-25,0.93,0.77
0.75,33260.0,0.8,2011-11-28,0.8,0.75
0.72,85270.0,0.71,2011-11-29,0.72,0.71
0.72,7200.0,0.72,2011-12-01,0.72,0.72
0.88,149960.0,0.71,2011-12-02,0.88,0.71
0.71,62170.0,0.75,2011-12-05,0.75,0.7
0.74,1480.0,0.74,2011-12-06,0.74,0.74
0.72,406200.0,0.72,2011-12-07,0.75,0.72
0.72,108000.0,0.72,2011-12-08,0.72,0.72
0.72,484580.0,0.72,2011-12-12,0.75,0.72
0.72,565920.0,0.72,2011-12-13,0.72,0.72
0.72,72000.0,0.72,2011-12-14,0.72,0.72
0.72,72780.0,0.78,2011-12-16,0.78,0.72
0.74,38910.0,0.71,2011-12-19,0.74,0.71
0.72,25640320.0,0.78,2011-12-20,0.78,0.72
0.78,50760.0,0.75,2011-12-21,0.78,0.75
0.79,76320.0,0.79,2011-12-22,0.79,0.74
0.78,185150.0,0.75,2011-12-23,0.78,0.75
0.75,319420.0,0.74,2011-12-26,0.77,0.74
0.75,717100.0,0.77,2011-12-28,0.77,0.75
0.76,1297710.0,0.8,2011-12-29,0.8,0.76
0.75,27750.0,0.75,2012-01-02,0.75,0.75
0.75,116250.0,0.75,2012-01-03,0.75,0.75
0.76,3100.0,0.82,2012-01-04,0.82,0.76
0.75,74080.0,0.77,2012-01-11,0.77,0.74
0.82,820.0,0.82,2012-01-13,0.82,0.82
0.75,39750.0,0.75,2012-01-17,0.75,0.75
0.75,97500.0,0.75,2012-01-18,0.75,0.75
0.75,16500.0,0.75,2012-01-20,0.75,0.75
0.75,97500.0,0.75,2012-01-25,0.75,0.75
0.75,3000.0,0.75,2012-01-26,0.75,0.75
0.75,15000.0,0.75,2012-01-30,0.75,0.75
0.75,52500.0,0.75,2012-02-01,0.75,0.75
0.79,85800.0,0.8,2012-02-07,0.8,0.79
0.76,38780.0,0.78,2012-02-14,0.78,0.76
0.8,72600.0,0.81,2012-02-15,0.81,0.8
0.78,48360.0,0.78,2012-02-17,0.78,0.78
0.78,39000.0,0.78,2012-02-20,0.78,0.78
0.78,45720.0,0.79,2012-02-21,0.79,0.78
0.8,229700.0,0.82,2012-02-22,0.82,0.8
0.78,780.0,0.78,2012-02-23,0.78,0.78
0.78,7800.0,0.78,2012-02-24,0.78,0.78
0.78,156000.0,0.78,2012-02-27,0.78,0.78
0.78,23400.0,0.78,2012-02-29,0.78,0.78
0.78,235400.0,0.8,2012-03-01,0.8,0.78
0.81,2796180.0,0.84,2012-03-05,0.94,0.81
0.87,87900.0,0.85,2012-03-06,0.89,0.85
0.82,404630.0,0.85,2012-03-07,0.85,0.82
0.86,377200.0,0.83,2012-03-08,0.87,0.83
0.87,920610.0,0.85,2012-03-09,0.9,0.85
0.9,4890440.0,0.91,2012-03-12,0.95,0.9
0.91,948370.0,0.87,2012-03-13,0.92,0.87
0.85,490100.0,0.84,2012-03-14,0.85,0.84
0.82,88740.0,0.83,2012-03-15,0.83,0.82
0.87,918540.0,0.87,2012-03-16,0.87,0.85
0.89,452750.0,0.9,2012-03-19,0.92,0.87
0.9,2288940.0,0.9,2012-03-20,0.95,0.88
0.9,138490.0,0.88,2012-03-21,0.93,0.88
0.88,229590.0,0.85,2012-03-22,0.88,0.84
0.84,236360.0,0.83,2012-03-23,0.85,0.83
0.82,403080.0,0.82,2012-03-26,0.82,0.81
0.82,205500.0,0.82,2012-03-27,0.83,0.82
0.8,365870.0,0.81,2012-03-29,0.82,0.8
0.79,249810.0,0.8,2012-03-30,0.85,0.78
0.78,108420.0,0.78,2012-04-03,0.78,0.78
0.89,890.0,0.89,2012-04-12,0.89,0.89
0.8,9600.0,0.8,2012-04-16,0.8,0.8
0.81,192200.0,0.8,2012-04-17,0.81,0.8
0.81,97600.0,0.8,2012-04-20,0.81,0.8
0.8,8000.0,0.8,2012-04-24,0.8,0.8
0.79,27440.0,0.78,2012-04-25,0.82,0.78
0.8,80000.0,0.8,2012-04-26,0.8,0.8
