OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
91.0,45500.0,91.0,2010-06-04,91.0,91.0
130.0,13000.0,130.0,2010-06-07,130.0,130.0
150.0,60000.0,150.0,2010-06-09,150.0,150.0
200.0,20000.0,200.0,2010-06-16,200.0,200.0
300.0,45000.0,300.0,2010-06-21,300.0,300.0
290.0,47650.0,300.0,2010-06-24,300.0,290.0
295.0,29750.0,300.0,2010-06-25,300.0,295.0
300.0,9000.0,300.0,2010-06-29,300.0,300.0
300.0,6000.0,300.0,2010-07-02,300.0,300.0
330.0,3300.0,330.0,2010-07-06,330.0,330.0
330.0,9900.0,330.0,2010-07-07,330.0,330.0
350.0,3500.0,350.0,2010-07-08,350.0,350.0
345.0,10350.0,345.0,2010-07-09,345.0,345.0
350.0,21000.0,350.0,2010-07-13,350.0,350.0
350.0,17500.0,350.0,2010-07-14,350.0,350.0
350.0,10450.0,345.0,2010-07-15,350.0,345.0
345.0,61500.0,345.0,2010-07-16,345.0,340.0
340.0,68750.0,345.0,2010-07-21,345.0,340.0
320.0,32000.0,320.0,2010-09-27,320.0,320.0
325.0,32500.0,325.0,2010-09-28,325.0,325.0
320.0,3200.0,320.0,2010-09-29,320.0,320.0
320.0,3200.0,320.0,2010-09-30,320.0,320.0
320.0,32000.0,320.0,2010-10-04,320.0,320.0
320.0,25600.0,320.0,2010-10-06,320.0,320.0
350.0,6800.0,330.0,2010-10-18,350.0,330.0
320.0,32000.0,320.0,2010-10-19,320.0,320.0
320.0,192000.0,320.0,2010-10-22,320.0,320.0
320.0,156800.0,320.0,2010-10-26,320.0,320.0
320.0,19200.0,320.0,2010-10-28,320.0,320.0
320.0,131200.0,320.0,2010-10-29,320.0,320.0
320.0,32000.0,320.0,2010-11-02,320.0,320.0
320.0,92800.0,320.0,2010-11-12,320.0,320.0
349.8,66498.0,350.0,2010-11-19,350.0,349.8
487.4,4874.0,487.4,2010-11-23,487.4,487.4
487.4,19822.0,520.0,2010-11-24,520.0,487.4
624.0,111930.0,780.0,2010-11-25,780.0,624.0
780.0,39000.0,780.0,2010-11-26,780.0,780.0
780.0,23400.0,780.0,2010-11-30,780.0,780.0
780.0,15600.0,780.0,2010-12-01,780.0,780.0
800.0,8000.0,800.0,2011-01-06,800.0,800.0
999.5,245195.0,980.0,2011-01-12,999.5,980.0
999.5,399990.0,1000.0,2011-01-13,1000.0,999.5
1180.0,431600.0,1200.0,2011-01-14,1200.0,1180.0
1400.0,280000.0,1400.0,2011-01-17,1400.0,1400.0
1400.0,140000.0,1400.0,2011-01-18,1400.0,1400.0
2000.0,110000.0,2000.0,2011-01-24,2000.0,2000.0
2500.0,100000.0,2500.0,2011-01-25,2500.0,2500.0
2500.0,37500.0,2500.0,2011-01-26,2500.0,2500.0
2500.0,27500.0,3000.0,2011-01-27,3000.0,2500.0
3000.0,15000.0,3000.0,2011-01-28,3000.0,3000.0
3000.0,15000.0,3000.0,2011-01-28,3000.0,3000.0
1530.0,15150.0,1500.0,2011-02-14,1530.0,1500.0
2250.0,25750.0,2900.0,2011-02-16,2900.0,2250.0
2250.0,25750.0,2900.0,2011-02-16,2900.0,2250.0
2000.0,10000.0,2000.0,2011-02-17,2000.0,2000.0
2000.0,128500.0,2000.0,2011-02-18,2500.0,2000.0
1800.0,9000.0,1800.0,2011-02-24,1800.0,1800.0
1800.0,9000.0,1800.0,2011-02-24,1800.0,1800.0
1500.0,29000.0,1400.0,2011-02-25,1500.0,1400.0
1400.0,21000.0,1400.0,2011-02-28,1400.0,1400.0
1610.0,8050.0,1610.0,2011-03-04,1610.0,1610.0
1610.0,8050.0,1610.0,2011-03-04,1610.0,1610.0
1690.0,25000.0,1610.0,2011-03-07,1700.0,1610.0
1610.0,8050.0,1610.0,2011-03-08,1610.0,1610.0
1610.0,8050.0,1610.0,2011-03-08,1610.0,1610.0
1840.0,18400.0,1840.0,2011-03-23,1840.0,1840.0
1840.0,9200.0,1840.0,2011-04-14,1840.0,1840.0
1000.0,5000.0,1000.0,2011-04-29,1000.0,1000.0
999.5,499750.0,999.5,2011-05-10,999.5,999.5
999.5,79960.0,999.5,2011-05-11,999.5,999.5
900.0,72000.0,900.0,2011-06-23,900.0,900.0
850.0,8500.0,850.0,2011-08-02,850.0,850.0
1005.0,10050.0,1005.0,2011-08-26,1005.0,1005.0
1407.0,7035.0,1407.0,2011-09-05,1407.0,1407.0
1400.0,541950.0,1400.0,2012-01-02,1400.0,1355.0
1410.0,331900.0,1430.0,2012-01-03,1450.0,1410.0
801.0,4005.0,801.0,2012-01-04,801.0,801.0
1010.0,10100.0,1010.0,2012-02-08,1010.0,1010.0
1010.0,20200.0,1010.0,2012-02-15,1010.0,1010.0
950.0,123500.0,950.0,2012-07-03,950.0,950.0
950.0,152000.0,950.0,2012-07-06,950.0,950.0
950.0,190000.0,950.0,2012-07-10,950.0,950.0
850.0,102000.0,850.0,2012-09-03,850.0,850.0
900.0,36000.0,900.0,2012-09-04,900.0,900.0
700.0,140000.0,700.0,2012-11-05,700.0,700.0
700.0,126000.0,700.0,2012-11-06,700.0,700.0
750.0,150000.0,750.0,2012-11-07,750.0,750.0
700.0,7000.0,700.0,2012-11-08,700.0,700.0
725.5,168510.0,700.0,2012-11-09,725.5,700.0
700.0,147000.0,700.0,2012-11-12,700.0,700.0
700.0,70000.0,700.0,2012-11-13,700.0,700.0
700.0,13800.0,680.0,2012-11-15,700.0,680.0
340.0,2009400.0,340.0,2012-11-21,340.0,340.0
250.0,3975080.0,242.4,2012-11-22,250.0,240.0
242.4,17240652.0,244.0,2012-11-23,246.0,240.0
244.0,7813678.0,244.6,2012-11-26,246.0,244.0
244.0,1956198.0,244.8,2012-11-27,244.8,243.0
244.4,2325914.0,244.4,2012-11-28,244.6,244.2
244.6,2588126.0,243.0,2012-11-29,244.6,243.0
243.0,4081824.0,241.0,2012-12-03,243.6,241.0
241.0,460348.0,241.0,2012-12-04,242.0,240.4
241.0,3920120.0,241.0,2012-12-05,241.0,240.0
241.0,2630270.0,242.0,2012-12-06,242.0,241.0
241.6,54496862.0,240.0,2012-12-07,242.0,240.0
241.6,168638.0,243.0,2012-12-10,243.0,240.0
242.0,998000.0,243.0,2012-12-11,243.0,241.0
243.0,144327424.0,240.0,2012-12-12,243.0,240.0
240.0,74640.0,241.0,2012-12-13,242.0,240.0
241.0,837292.0,242.0,2012-12-14,242.0,240.2
242.0,202670.0,242.0,2012-12-17,242.0,240.2
242.0,101710.0,243.0,2012-12-18,243.0,242.0
242.0,30541460.0,243.0,2012-12-19,243.0,242.0
243.0,9720.0,243.0,2012-12-20,243.0,243.0
243.0,131136.0,242.8,2012-12-21,243.0,242.6
