OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1038.0,27651070.0,1020.0,2015-03-12,1044.0,1011.0
1029.0,4024120.0,1039.0,2015-03-13,1040.0,1020.0
1030.0,5468405.0,1030.0,2015-03-16,1035.0,1030.0
1030.0,3657500.0,1032.0,2015-03-17,1035.0,1030.0
1035.0,2323825.0,1036.0,2015-03-18,1036.0,1035.0
1038.0,523835.0,1038.0,2015-03-19,1038.0,1036.0
1038.0,12437450.0,1040.0,2015-03-20,1040.0,1037.0
1040.0,1206250.0,1040.0,2015-03-23,1040.0,1037.0
1040.0,5101580.0,1041.0,2015-03-24,1042.0,1040.0
1042.0,8575660.0,1042.0,2015-03-25,1042.0,1042.0
1042.0,21924870.0,1046.0,2015-03-26,1047.0,1042.0
1046.0,20621665.0,1045.0,2015-03-27,1046.0,1030.0
1040.0,12654800.0,1045.0,2015-03-30,1045.0,1040.0
1043.0,488970.0,1042.0,2015-03-31,1043.0,1040.0
1042.0,4011160.0,1046.0,2015-04-01,1046.0,1042.0
1045.0,23841000.0,1046.0,2015-04-06,1046.0,1043.0
1046.0,53786880.0,1046.0,2015-04-07,1047.0,1046.0
1045.0,8551030.0,1046.0,2015-04-08,1046.0,1045.0
1045.0,229930.0,1046.0,2015-04-10,1046.0,1044.0
1046.0,711280.0,1046.0,2015-04-13,1046.0,1046.0
1046.0,2104370.0,1047.0,2015-04-14,1047.0,1046.0
1046.0,5491500.0,1046.0,2015-04-15,1046.0,1046.0
1047.0,9163185.0,1047.0,2015-04-16,1047.0,1045.0
1047.0,618300.0,1050.0,2015-04-17,1050.0,1046.0
1047.0,1049750.0,1050.0,2015-04-20,1050.0,1047.0
1045.0,903925.0,1045.0,2015-04-21,1045.0,1045.0
1045.0,3865315.0,1045.0,2015-04-22,1045.0,1044.0
1044.0,6803970.0,1043.0,2015-04-23,1044.0,1042.0
1043.0,3296955.0,1045.0,2015-04-24,1045.0,1043.0
1046.0,1036360.0,1048.0,2015-04-27,1048.0,1045.0
1043.0,109555.0,1045.0,2015-04-28,1045.0,1043.0
1045.0,418000.0,1045.0,2015-04-29,1045.0,1045.0
1045.0,3343880.0,1044.0,2015-04-30,1045.0,1044.0
1045.0,3187200.0,1045.0,2015-05-04,1045.0,1044.0
1045.0,2784925.0,1045.0,2015-05-05,1045.0,1045.0
1043.0,104410.0,1045.0,2015-05-06,1045.0,1043.0
1045.0,815100.0,1045.0,2015-05-07,1045.0,1045.0
1045.0,250800.0,1045.0,2015-05-08,1045.0,1045.0
1047.0,8189920.0,1048.0,2015-05-11,1048.0,1044.0
1048.0,529645.0,1049.0,2015-05-12,1049.0,1048.0
1050.0,5197500.0,1050.0,2015-05-13,1050.0,1050.0
1050.0,4425750.0,1050.0,2015-05-14,1050.0,1050.0
1051.0,9122010.0,1064.0,2015-05-15,1064.0,1051.0
1050.0,115640.0,1064.0,2015-05-18,1064.0,1050.0
1050.0,2420250.0,1050.0,2015-05-19,1050.0,1050.0
1050.0,372200.0,1040.0,2015-05-21,1050.0,1040.0
1040.0,188400.0,1050.0,2015-05-22,1050.0,1040.0
1050.0,2231250.0,1050.0,2015-05-25,1050.0,1050.0
1055.0,12038375.0,1050.0,2015-05-26,1064.0,1050.0
1050.0,409475.0,1045.0,2015-05-27,1050.0,1045.0
1040.0,2470000.0,1040.0,2015-05-28,1040.0,1040.0
1037.0,145330.0,1040.0,2015-05-29,1040.0,1037.0
1040.0,3396600.0,1040.0,2015-06-02,1041.0,1040.0
1040.0,6998750.0,1050.0,2015-06-03,1050.0,1040.0
1038.0,4120750.0,1040.0,2015-06-04,1050.0,1038.0
1046.0,9330905.0,1045.0,2015-06-08,1050.0,1045.0
1046.0,11737225.0,1050.0,2015-06-09,1050.0,1045.0
1050.0,2100000.0,1050.0,2015-06-10,1050.0,1050.0
1043.0,119945.0,1043.0,2015-06-11,1043.0,1043.0
1045.0,1097800.0,1046.0,2015-06-15,1046.0,1045.0
1046.0,2353500.0,1046.0,2015-06-17,1046.0,1046.0
1048.0,104800.0,1048.0,2015-06-18,1048.0,1048.0
1048.0,3143750.0,1050.0,2015-06-19,1050.0,1048.0
1052.0,5460260.0,1054.0,2015-06-23,1054.0,1052.0
1054.0,6274870.0,1055.0,2015-06-24,1055.0,1054.0
1050.0,6463250.0,1055.0,2015-06-25,1055.0,1050.0
1050.0,6463250.0,1055.0,2015-06-25,1055.0,1050.0
1050.0,549630.0,1058.0,2015-06-26,1058.0,1050.0
1050.0,2562100.0,1050.0,2015-06-30,1051.0,1050.0
1050.0,1102500.0,1050.0,2015-07-01,1050.0,1050.0
1050.0,3677000.0,1054.0,2015-07-02,1054.0,1050.0
1054.0,10053850.0,1055.0,2015-07-03,1055.0,1054.0
1051.0,105100.0,1051.0,2015-07-06,1051.0,1051.0
1054.0,5433370.0,1054.0,2015-07-07,1054.0,1054.0
1054.0,4737730.0,1054.0,2015-07-08,1054.0,1054.0
1054.0,200260.0,1054.0,2015-07-10,1054.0,1054.0
1050.0,2016000.0,1050.0,2015-07-13,1050.0,1050.0
1050.0,2016000.0,1050.0,2015-07-13,1050.0,1050.0
1054.0,100155.0,1054.0,2015-07-14,1055.0,1054.0
1050.0,2567250.0,1050.0,2015-07-15,1050.0,1050.0
1050.0,7350000.0,1050.0,2015-07-16,1050.0,1050.0
1048.0,1713480.0,1048.0,2015-07-20,1048.0,1048.0
1048.0,7065430.0,1040.0,2015-07-21,1054.0,1035.0
1040.0,1637700.0,1036.0,2015-07-22,1040.0,1036.0
1040.0,379300.0,1039.0,2015-07-23,1040.0,1039.0
1040.0,379300.0,1039.0,2015-07-23,1040.0,1039.0
1040.0,379300.0,1039.0,2015-07-23,1040.0,1039.0
1039.0,5803000.0,1040.0,2015-07-24,1040.0,1039.0
1035.0,1459050.0,1035.0,2015-07-27,1035.0,1033.0
1036.0,2402170.0,1028.0,2015-07-28,1036.0,1028.0
1034.0,5004480.0,1032.0,2015-07-29,1034.0,1032.0
1032.0,4102170.0,1028.0,2015-07-30,1032.0,1027.0
1030.0,30900.0,1030.0,2015-07-31,1030.0,1030.0
1025.0,11587425.0,1024.0,2015-08-03,1025.0,1024.0
1025.0,10854600.0,1025.0,2015-08-04,1025.0,1024.0
1025.0,6581160.0,1020.0,2015-08-05,1025.0,1020.0
1020.0,5006215.0,1020.0,2015-08-06,1020.0,1018.0
1020.0,1262650.0,1018.0,2015-08-07,1020.0,1018.0
1020.0,20792995.0,1020.0,2015-08-10,1022.0,1020.0
1019.0,3110900.0,1020.0,2015-08-11,1020.0,1019.0
1020.0,765000.0,1020.0,2015-08-12,1020.0,1020.0
1021.0,3121205.0,1020.0,2015-08-13,1021.0,1020.0
1020.0,2340900.0,1020.0,2015-08-14,1020.0,1020.0
1025.0,1540750.0,1020.0,2015-08-17,1025.0,1020.0
1020.0,1820160.0,1019.0,2015-08-18,1020.0,1019.0
1019.0,1090380.0,1019.0,2015-08-19,1020.0,1019.0
1018.0,10139230.0,1018.0,2015-08-20,1018.0,1017.0
1005.0,693180.0,1005.0,2015-08-24,1005.0,1002.0
1005.0,165850.0,1006.0,2015-08-25,1006.0,1005.0
1017.0,508850.0,1018.0,2015-08-26,1018.0,1017.0
1010.0,1945850.0,1020.0,2015-08-27,1020.0,1010.0
1020.0,4467600.0,1020.0,2015-08-28,1020.0,1020.0
1018.0,1628600.0,1016.0,2015-09-01,1018.0,1016.0
