OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.28,2587800.0,2.32,2009-08-03,2.4,2.28
2.34,655980.0,2.3,2009-08-04,2.4,2.3
2.32,778500.0,2.24,2009-08-06,2.32,2.24
2.24,268640.0,2.18,2009-08-07,2.24,2.18
2.2,937400.0,2.3,2009-08-10,2.3,2.2
2.24,790900.0,2.2,2009-08-11,2.24,2.2
2.2,204600.0,2.2,2009-08-12,2.2,2.2
2.2,862260.0,2.2,2009-08-13,2.28,2.2
2.2,1168540.0,2.18,2009-08-14,2.2,2.18
2.16,1450500.0,2.1,2009-08-17,2.16,2.1
2.06,177620.0,2.1,2009-08-18,2.1,2.04
2.12,135080.0,2.2,2009-08-19,2.2,2.12
2.12,616920.0,2.12,2009-08-20,2.12,2.12
2.2,936380.0,2.24,2009-08-24,2.24,2.16
2.24,2095760.0,2.3,2009-08-25,2.3,2.18
2.28,7256960.0,2.3,2009-08-26,2.38,2.28
2.18,132000.0,2.16,2009-09-03,2.18,2.16
2.2,252200.0,2.18,2009-09-04,2.28,2.18
2.2,1444800.0,2.26,2009-09-16,2.26,2.18
2.2,994400.0,2.2,2009-09-17,2.2,2.2
2.18,8720.0,2.18,2009-09-18,2.18,2.18
2.16,1242880.0,2.16,2009-09-22,2.16,2.12
2.14,1964480.0,2.14,2009-09-23,2.16,2.12
2.1,253100.0,2.1,2009-09-30,2.1,2.08
2.1,109200.0,2.1,2009-10-01,2.1,2.1
2.1,489300.0,2.1,2009-10-02,2.1,2.1
2.08,998400.0,2.08,2009-10-05,2.08,2.08
2.08,448400.0,2.1,2009-10-06,2.1,2.08
2.08,262700.0,2.16,2009-10-07,2.18,2.08
2.14,269540.0,2.18,2009-10-08,2.18,2.14
2.18,735020.0,2.18,2009-10-09,2.2,2.18
2.18,392700.0,2.2,2009-10-12,2.2,2.14
2.18,143540.0,2.14,2009-10-13,2.2,2.14
2.1,86100.0,2.1,2009-10-15,2.1,2.1
2.1,323400.0,2.1,2009-10-16,2.1,2.1
2.1,77700.0,2.1,2009-10-20,2.1,2.1
2.1,319000.0,2.1,2009-10-21,2.1,2.08
2.08,189280.0,2.08,2009-10-22,2.08,2.08
2.1,147900.0,2.22,2009-10-23,2.22,2.1
2.14,4280.0,2.14,2009-10-27,2.14,2.14
2.1,52300.0,2.08,2009-10-28,2.1,2.08
2.06,103000.0,2.06,2009-10-29,2.06,2.06
2.16,43200.0,2.16,2009-10-30,2.16,2.16
2.1,27300.0,2.1,2009-11-04,2.1,2.1
2.06,4120.0,2.06,2009-11-05,2.06,2.06
2.06,154780.0,2.1,2009-11-06,2.1,2.06
2.1,46220.0,2.12,2009-11-10,2.12,2.1
2.08,250600.0,2.1,2009-11-11,2.1,2.08
