OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.2,12263990.0,2.2,2013-08-13,2.24,2.12
2.2,5538140.0,2.26,2013-08-14,2.28,2.17
2.18,6467580.0,2.4,2013-08-15,2.47,2.18
2.4,7710830.0,2.55,2013-08-16,2.65,2.4
2.55,4085940.0,2.55,2013-08-22,2.56,2.3
2.6,1268810.0,2.6,2013-08-23,2.75,2.5
2.6,10055870.0,2.42,2013-08-27,2.6,2.42
2.33,3543320.0,2.42,2013-08-28,2.42,2.25
2.45,766460.0,2.35,2013-08-29,2.45,2.35
2.36,999560.0,2.32,2013-08-30,2.36,2.26
2.27,212700.0,2.32,2013-09-02,2.33,2.27
2.32,2141010.0,2.47,2013-09-03,2.54,2.32
2.55,3716760.0,2.55,2013-09-04,2.55,2.31
2.59,102050.0,2.55,2013-09-05,2.59,2.51
2.5,809510.0,2.55,2013-09-06,2.65,2.5
2.62,73410.0,2.6,2013-09-09,2.67,2.6
2.51,450730.0,2.43,2013-09-10,2.58,2.41
2.42,50950.0,2.47,2013-09-11,2.5,2.42
2.45,137090.0,2.39,2013-09-12,2.47,2.38
2.38,3048620.0,2.6,2013-09-13,2.6,2.31
2.57,2807310.0,2.81,2013-09-16,2.86,2.5
2.8,2234940.0,2.85,2013-09-17,2.93,2.79
2.8,683300.0,2.75,2013-09-18,2.85,2.75
2.8,409540.0,2.8,2013-09-19,2.88,2.78
2.67,10737380.0,3.2,2013-09-20,3.47,2.67
3.2,2154280.0,3.15,2013-09-23,3.29,3.15
3.25,1170980.0,3.07,2013-09-24,3.25,3.07
3.07,264010.0,3.05,2013-09-25,3.16,3.03
3.15,3032620.0,3.3,2013-09-26,3.33,3.12
3.34,3700450.0,3.48,2013-09-27,3.57,3.34
3.49,1770220.0,3.39,2013-09-30,3.57,3.26
3.32,623760.0,3.39,2013-10-01,3.41,3.32
3.53,695060.0,3.4,2013-10-02,3.53,3.37
3.43,1501120.0,3.49,2013-10-03,3.57,3.43
3.51,2656820.0,3.57,2013-10-04,3.73,3.51
3.6,549670.0,3.69,2013-10-07,3.7,3.57
3.74,547640.0,3.62,2013-10-08,3.74,3.62
3.7,1416790.0,3.58,2013-10-09,3.7,3.58
3.6,1225470.0,3.52,2013-10-10,3.63,3.5
3.58,2260170.0,3.45,2013-10-11,3.7,3.39
3.45,515610.0,3.54,2013-10-14,3.54,3.34
3.42,294590.0,3.55,2013-10-16,3.58,3.42
