OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
780.0,7800.0,780.0,2009-08-04,780.0,780.0
750.0,307500.0,750.0,2009-08-10,750.0,750.0
750.0,67500.0,750.0,2009-08-11,750.0,750.0
760.0,60800.0,760.0,2009-08-19,760.0,760.0
760.0,38000.0,760.0,2009-08-24,760.0,760.0
765.0,114750.0,765.0,2009-08-25,765.0,765.0
770.0,38500.0,770.0,2009-08-26,770.0,770.0
750.0,75000.0,750.0,2009-10-02,750.0,750.0
710.0,35500.0,710.0,2009-10-05,710.0,710.0
710.0,35500.0,710.0,2009-10-06,710.0,710.0
735.0,7350.0,735.0,2009-10-15,735.0,735.0
735.0,786450.0,735.0,2009-10-19,735.0,735.0
750.0,135850.0,740.0,2009-10-20,760.0,740.0
760.0,97700.0,750.0,2009-10-22,760.0,750.0
750.0,37500.0,750.0,2009-10-27,750.0,750.0
750.0,7500.0,750.0,2009-11-05,750.0,750.0
750.0,75000.0,750.0,2009-11-06,750.0,750.0
750.0,37500.0,750.0,2009-11-09,750.0,750.0
760.0,334400.0,760.0,2009-12-16,760.0,760.0
750.0,15000.0,750.0,2009-12-23,750.0,750.0
775.0,7750.0,775.0,2009-12-29,775.0,775.0
775.0,15500.0,775.0,2010-01-04,775.0,775.0
740.0,362600.0,740.0,2010-01-11,740.0,740.0
740.0,51800.0,740.0,2010-01-13,740.0,740.0
770.0,7700.0,770.0,2010-01-20,770.0,770.0
755.0,1605400.0,750.0,2010-01-21,755.0,750.0
755.0,247650.0,750.0,2010-01-26,755.0,750.0
750.0,735000.0,750.0,2010-02-01,750.0,750.0
750.0,735000.0,750.0,2010-02-02,750.0,750.0
770.0,62900.0,785.0,2010-02-09,795.0,770.0
795.0,47500.0,785.0,2010-02-10,800.0,785.0
785.0,1570000.0,785.0,2010-03-08,785.0,785.0
775.0,462250.0,770.0,2010-03-16,775.0,770.0
785.0,274750.0,785.0,2010-03-17,785.0,785.0
770.0,77000.0,770.0,2010-03-31,770.0,770.0
800.0,24000.0,800.0,2010-04-22,800.0,800.0
800.0,176000.0,800.0,2010-04-23,800.0,800.0
780.0,23400.0,780.0,2010-04-29,780.0,780.0
775.0,470200.0,775.0,2010-04-30,775.0,770.0
770.0,848300.0,785.0,2010-05-04,790.0,770.0
775.0,16167000.0,800.0,2010-05-14,800.0,775.0
785.0,287200.0,780.0,2010-05-17,785.0,775.0
785.0,23550.0,785.0,2010-05-19,785.0,785.0
780.0,78000.0,780.0,2010-05-21,780.0,780.0
775.0,77500.0,775.0,2010-05-31,775.0,775.0
775.0,77500.0,775.0,2010-06-01,775.0,775.0
785.0,708750.0,785.0,2010-06-03,795.0,785.0
780.0,15600.0,780.0,2010-06-04,780.0,780.0
780.0,1904000.0,775.0,2010-06-07,780.0,770.0
780.0,117000.0,780.0,2010-06-10,780.0,780.0
775.0,333250.0,775.0,2010-06-11,775.0,775.0
780.0,31200.0,780.0,2010-06-15,780.0,780.0
775.0,62300.0,780.0,2010-06-16,780.0,775.0
780.0,39000.0,780.0,2010-06-22,780.0,780.0
775.0,294650.0,780.0,2010-06-24,780.0,775.0
780.0,101400.0,780.0,2010-06-25,780.0,780.0
775.0,775000.0,775.0,2010-06-28,775.0,775.0
780.0,15600.0,780.0,2010-06-29,780.0,780.0
775.0,108650.0,780.0,2010-07-01,780.0,775.0
780.0,39000.0,780.0,2010-07-02,780.0,780.0
780.0,39000.0,780.0,2010-07-06,780.0,780.0
780.0,109700.0,785.0,2010-07-07,785.0,780.0
785.0,103250.0,800.0,2010-07-08,800.0,785.0
780.0,7800.0,780.0,2010-07-09,780.0,780.0
780.0,39000.0,780.0,2010-07-19,780.0,780.0
770.0,15400.0,770.0,2010-07-22,770.0,770.0
770.0,23100.0,770.0,2010-07-23,770.0,770.0
780.0,234000.0,780.0,2010-09-20,780.0,780.0
780.0,2067000.0,780.0,2010-09-23,780.0,780.0
775.0,759500.0,775.0,2010-09-27,775.0,775.0
775.0,7618350.0,780.0,2010-09-28,780.0,775.0
775.0,1821250.0,775.0,2010-09-29,775.0,775.0
775.0,140100.0,790.0,2010-09-30,790.0,775.0
775.0,27237660.0,780.0,2010-10-01,780.0,775.0
780.0,85650.0,780.0,2010-10-04,780.0,775.0
780.0,655200.0,780.0,2010-10-06,780.0,780.0
775.0,426790.0,777.0,2010-10-07,777.0,775.0
777.0,38870.0,778.0,2010-10-08,778.0,777.0
776.0,100910.0,777.0,2010-10-12,777.0,776.0
780.0,858000.0,780.0,2010-10-13,780.0,780.0
776.0,279360.0,776.0,2010-10-14,776.0,776.0
780.0,156000.0,780.0,2010-10-18,780.0,780.0
780.0,38940.0,777.0,2010-10-22,780.0,777.0
795.0,575550.0,795.0,2010-10-26,800.0,795.0
776.0,5401000.0,778.0,2010-10-28,778.0,776.0
776.0,543200.0,776.0,2010-11-02,776.0,776.0
777.0,62160.0,777.0,2010-11-03,777.0,777.0
777.0,23310.0,777.0,2010-11-04,777.0,777.0
777.0,15540.0,777.0,2010-11-08,777.0,777.0
777.0,31080.0,777.0,2010-11-18,777.0,777.0
777.0,31080.0,777.0,2010-11-19,777.0,777.0
777.0,38850.0,777.0,2010-11-22,777.0,777.0
777.0,15540.0,777.0,2010-11-30,777.0,777.0
776.0,225040.0,776.0,2010-12-01,776.0,776.0
777.0,411810.0,777.0,2010-12-08,777.0,777.0
778.0,1423740.0,778.0,2010-12-22,778.0,778.0
775.0,7750.0,775.0,2011-01-11,775.0,775.0
775.0,7750.0,775.0,2011-01-11,775.0,775.0
778.0,248760.0,777.0,2011-01-18,778.0,777.0
777.0,132090.0,777.0,2011-01-19,777.0,777.0
777.0,132090.0,777.0,2011-01-19,777.0,777.0
777.0,1414140.0,777.0,2011-01-24,777.0,777.0
777.0,466200.0,777.0,2011-01-25,777.0,777.0
776.0,310380.0,777.0,2011-02-01,777.0,775.0
776.0,310380.0,777.0,2011-02-01,777.0,775.0
775.0,7571750.0,775.0,2011-02-02,775.0,775.0
775.0,348870.0,776.0,2011-02-03,776.0,775.0
780.0,7800.0,780.0,2011-02-18,780.0,780.0
780.0,7800.0,780.0,2011-02-24,780.0,780.0
780.0,7800.0,780.0,2011-02-24,780.0,780.0
780.0,78000.0,780.0,2011-02-28,780.0,780.0
780.0,7800.0,780.0,2011-03-07,780.0,780.0
780.0,23400.0,780.0,2011-03-08,780.0,780.0
780.0,23400.0,780.0,2011-03-08,780.0,780.0
760.0,22800.0,760.0,2011-03-11,760.0,760.0
760.0,22800.0,760.0,2011-03-11,760.0,760.0
762.0,76200.0,762.0,2011-03-16,762.0,762.0
775.0,106700.0,760.0,2011-03-17,775.0,760.0
760.0,15200.0,760.0,2011-03-18,760.0,760.0
770.0,38500.0,770.0,2011-03-22,770.0,770.0
770.0,130950.0,770.0,2011-03-24,775.0,770.0
780.0,62100.0,770.0,2011-03-25,780.0,770.0
765.0,2423900.0,770.0,2011-03-28,770.0,760.0
770.0,115500.0,770.0,2011-03-29,770.0,770.0
780.0,39000.0,780.0,2011-03-30,780.0,780.0
770.0,138600.0,770.0,2011-03-31,770.0,770.0
770.0,23100.0,770.0,2011-04-01,770.0,770.0
820.0,82000.0,820.0,2011-04-05,820.0,820.0
800.0,130000.0,820.0,2011-04-06,820.0,800.0
820.0,65600.0,820.0,2011-04-07,820.0,820.0
820.0,172200.0,820.0,2011-04-08,820.0,820.0
780.0,117000.0,780.0,2011-04-26,780.0,780.0
780.0,187200.0,780.0,2011-04-27,780.0,780.0
780.0,148200.0,780.0,2011-04-28,780.0,780.0
775.0,155400.0,780.0,2011-04-29,780.0,775.0
780.0,156000.0,780.0,2011-05-02,780.0,780.0
780.0,15600.0,780.0,2011-05-03,780.0,780.0
780.0,78000.0,780.0,2011-05-04,780.0,780.0
780.0,15600.0,780.0,2011-05-05,780.0,780.0
780.0,312000.0,780.0,2011-05-06,780.0,780.0
785.0,165100.0,785.0,2011-05-09,790.0,785.0
790.0,632000.0,790.0,2011-05-12,790.0,790.0
790.0,158000.0,790.0,2011-05-16,790.0,790.0
780.0,46800.0,780.0,2010-05-18,780.0,780.0
780.0,54600.0,780.0,2010-06-02,780.0,780.0
780.0,54600.0,780.0,2010-06-21,780.0,780.0
777.0,178510.0,776.0,2010-11-23,777.0,776.0
790.0,47400.0,790.0,2011-04-12,790.0,790.0
780.0,32361820.0,780.0,2011-04-14,780.0,770.0
790.0,158000.0,790.0,2011-05-13,790.0,790.0
790.0,31500.0,785.0,2011-05-18,790.0,785.0
790.0,94800.0,790.0,2011-05-24,790.0,790.0
770.0,15400.0,770.0,2011-05-30,770.0,770.0
775.0,1016550.0,770.0,2011-05-31,775.0,770.0
780.0,39000.0,780.0,2011-06-01,780.0,780.0
765.0,1084050.0,780.0,2011-06-03,780.0,765.0
780.0,15600.0,780.0,2011-06-06,780.0,780.0
770.0,415800.0,770.0,2011-06-13,770.0,770.0
850.0,518500.0,850.0,2011-06-14,850.0,850.0
