OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.5,11000.0,5.5,2009-08-20,5.5,5.5
5.5,5500.0,5.5,2009-10-06,5.5,5.5
5.6,5600.0,5.6,2009-10-08,5.6,5.6
5.7,11400.0,5.7,2009-10-13,5.7,5.7
5.4,16200.0,5.4,2009-10-14,5.4,5.4
5.5,28300.0,5.7,2009-10-15,5.7,5.5
5.7,52700.0,5.9,2009-10-19,5.9,5.7
5.8,5800.0,5.8,2009-10-22,5.8,5.8
6.0,99000.0,6.2,2009-10-27,6.2,6.0
5.9,5900.0,5.9,2009-12-18,5.9,5.9
5.8,5800.0,5.8,2010-01-18,5.8,5.8
5.2,15600.0,5.2,2010-01-28,5.2,5.2
6.0,65000.0,5.9,2010-04-21,6.0,5.9
5.6,5600.0,5.6,2010-05-20,5.6,5.6
5.8,17400.0,5.8,2010-06-04,5.8,5.8
5.9,183000.0,6.0,2010-06-07,6.0,5.9
5.9,5900.0,5.9,2010-06-10,5.9,5.9
5.9,129800.0,5.9,2010-07-07,5.9,5.9
5.6,11400.0,5.8,2010-07-13,5.8,5.6
6.0,96000.0,6.0,2010-07-21,6.0,6.0
6.28,53051.0,6.45,2010-09-20,6.45,6.22
6.22,9330.0,6.22,2010-09-22,6.22,6.22
6.25,3750.0,6.25,2010-09-23,6.25,6.25
6.32,1896.0,6.32,2010-09-27,6.32,6.32
6.6,70144.0,6.34,2010-09-28,6.6,6.34
6.45,14340.0,6.55,2010-09-29,6.55,6.45
6.85,90140.0,6.9,2010-10-01,6.9,6.85
6.45,1935.0,6.45,2010-10-05,6.45,6.45
6.46,5814.0,6.46,2010-10-06,6.46,6.46
6.45,1935.0,6.45,2010-10-07,6.45,6.45
6.45,128883.0,6.32,2010-10-08,6.45,6.32
6.35,7620.0,6.35,2010-10-13,6.35,6.35
6.36,19060.0,6.35,2010-10-14,6.36,6.35
6.35,1905.0,6.35,2010-10-15,6.35,6.35
6.4,5760.0,6.4,2010-10-18,6.4,6.4
6.33,1899.0,6.33,2010-10-19,6.33,6.33
6.35,2540.0,6.35,2010-10-20,6.35,6.35
6.6,33000.0,6.6,2010-10-21,6.6,6.6
6.35,1905.0,6.35,2010-10-26,6.35,6.35
6.35,3810.0,6.35,2010-10-27,6.35,6.35
6.36,6360.0,6.36,2010-11-03,6.36,6.36
6.36,1908.0,6.36,2010-11-04,6.36,6.36
6.35,3175.0,6.35,2010-11-08,6.35,6.35
6.35,3810.0,6.35,2010-11-09,6.35,6.35
6.35,69730.0,6.35,2010-11-11,6.35,6.33
6.33,1899.0,6.33,2010-11-17,6.33,6.33
6.33,1899.0,6.33,2010-11-19,6.33,6.33
6.33,1899.0,6.33,2010-11-23,6.33,6.33
6.5,3250.0,6.5,2010-11-24,6.5,6.5
6.35,4505.0,6.5,2010-11-25,6.5,6.35
6.33,1899.0,6.33,2010-11-26,6.33,6.33
6.35,10148.0,6.33,2010-12-01,6.35,6.33
6.33,15825.0,6.33,2010-12-02,6.33,6.33
6.35,47625.0,6.35,2010-12-08,6.35,6.35
6.75,1350.0,6.75,2010-12-22,6.75,6.75
6.8,109200.0,6.75,2010-12-23,7.25,6.75
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.85,2740.0,6.85,2010-12-28,6.85,6.85
6.76,2028.0,6.76,2011-01-06,6.76,6.76
6.78,111867.0,6.78,2011-01-12,6.78,6.77
7.35,60271.0,7.36,2011-01-13,7.36,7.35
6.79,4077.0,6.8,2011-01-24,6.8,6.79
6.8,2040.0,6.8,2011-01-25,6.8,6.8
6.81,2041.0,6.8,2011-01-27,6.81,6.8
6.79,2037.0,6.79,2011-01-31,6.79,6.79
6.79,2037.0,6.79,2011-01-31,6.79,6.79
6.8,72780.0,7.0,2011-02-02,7.0,6.8
7.0,4900.0,7.0,2011-02-14,7.0,7.0
7.0,6300.0,7.0,2011-02-16,7.0,7.0
7.0,6300.0,7.0,2011-02-16,7.0,7.0
7.0,3500.0,7.0,2011-02-17,7.0,7.0
7.4,42660.0,7.4,2011-02-18,7.4,7.2
7.01,14413.0,6.85,2011-02-23,7.01,6.81
7.01,14413.0,6.85,2011-02-23,7.01,6.81
6.8,6118.0,6.79,2011-03-02,6.8,6.79
6.8,2040.0,6.8,2011-03-03,6.8,6.8
7.0,14520.0,7.4,2011-03-07,7.4,7.0
7.4,3700.0,7.4,2011-03-08,7.4,7.4
7.4,3700.0,7.4,2011-03-08,7.4,7.4
7.4,4440.0,7.4,2011-03-11,7.4,7.4
7.4,4440.0,7.4,2011-03-11,7.4,7.4
7.0,4200.0,7.0,2011-03-18,7.0,7.0
7.4,5140.0,7.0,2011-03-21,7.4,7.0
7.0,2100.0,7.0,2011-03-22,7.0,7.0
7.5,6070.0,7.6,2011-03-23,7.6,7.5
7.6,43600.0,7.8,2011-03-24,7.8,7.6
