OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.08,70200.0,1.08,2009-09-03,1.08,1.08
1.04,20420.0,1.02,2009-09-30,1.04,1.02
1.02,20400.0,1.02,2009-10-08,1.02,1.02
1.02,30600.0,1.02,2009-10-12,1.02,1.02
1.02,210200.0,1.0,2009-10-13,1.02,1.0
1.0,100000.0,1.0,2009-10-16,1.0,1.0
1.0,10000.0,1.0,2009-10-19,1.0,1.0
1.0,100000.0,1.0,2009-10-20,1.0,1.0
1.0,10000.0,1.0,2009-10-21,1.0,1.0
1.0,52000.0,1.1,2009-10-26,1.1,1.0
1.0,130000.0,1.0,2009-10-27,1.0,1.0
1.0,110000.0,1.0,2009-10-28,1.0,1.0
1.0,100000.0,1.0,2009-11-06,1.0,1.0
1.0,50000.0,1.0,2009-11-09,1.0,1.0
1.0,20000.0,1.0,2009-11-10,1.0,1.0
1.0,78600.0,0.98,2009-11-11,1.0,0.98
1.02,115400.0,1.08,2009-12-29,1.1,1.0
1.3,29180.0,1.26,2010-01-07,1.3,1.26
1.0,45000.0,1.0,2010-01-13,1.0,1.0
1.02,10200.0,1.02,2010-01-15,1.02,1.02
1.02,11220.0,1.02,2010-01-19,1.02,1.02
1.0,50000.0,1.0,2010-03-16,1.0,1.0
1.0,80000.0,1.0,2010-03-17,1.0,1.0
1.0,100000.0,1.0,2010-07-23,1.0,1.0
1.0,1000.0,1.0,2010-09-23,1.0,1.0
1.1,319000.0,1.1,2010-09-27,1.1,1.1
1.0,10000.0,1.0,2010-10-07,1.0,1.0
0.94,227360.0,1.0,2010-10-14,1.0,0.93
1.0,20000.0,1.0,2010-10-19,1.0,1.0
1.0,5000.0,1.0,2010-10-20,1.0,1.0
1.0,137000.0,1.0,2010-10-27,1.0,1.0
1.0,200000.0,1.0,2010-11-08,1.0,1.0
1.0,44000.0,1.0,2010-11-09,1.0,1.0
1.0,100000.0,1.0,2010-11-15,1.0,1.0
1.0,171000.0,1.0,2010-11-17,1.0,1.0
1.25,18750.0,1.25,2010-12-22,1.25,1.25
1.25,25000.0,1.25,2010-12-23,1.25,1.25
1.25,34450.0,1.05,2010-12-29,1.25,1.05
1.25,34450.0,1.05,2010-12-29,1.25,1.05
1.05,41000.0,1.3,2011-01-06,1.3,1.05
1.0,40000.0,1.0,2010-10-01,1.0,1.0
1.0,100000.0,1.0,2011-01-11,1.0,1.0
1.0,100000.0,1.0,2011-01-11,1.0,1.0
1.29,1290.0,1.29,2011-01-12,1.29,1.29
1.0,25000.0,1.0,2011-01-17,1.0,1.0
1.1,33000.0,1.1,2011-01-20,1.1,1.1
1.1,33000.0,1.1,2011-01-20,1.1,1.1
1.0,10000.0,1.0,2011-01-31,1.0,1.0
1.0,10000.0,1.0,2011-01-31,1.0,1.0
1.1,2200.0,1.1,2011-02-01,1.1,1.1
1.1,2200.0,1.1,2011-02-01,1.1,1.1
0.95,20500.0,1.1,2011-02-02,1.1,0.95
1.0,8000.0,1.0,2011-02-03,1.0,1.0
1.18,23600.0,1.18,2011-02-14,1.18,1.18
1.14,34200.0,1.14,2011-02-16,1.14,1.14
1.14,34200.0,1.14,2011-02-16,1.14,1.14
1.12,5600.0,1.12,2011-02-18,1.12,1.12
1.12,17920.0,1.12,2011-02-21,1.12,1.12
1.12,17920.0,1.12,2011-02-21,1.12,1.12
1.05,309000.0,1.02,2011-02-22,1.05,1.02
1.05,309000.0,1.02,2011-02-22,1.05,1.02
1.08,10650.0,1.05,2011-02-28,1.08,1.05
1.05,5250.0,1.05,2011-03-08,1.05,1.05
1.05,5250.0,1.05,2011-03-08,1.05,1.05
1.05,21000.0,1.05,2011-03-17,1.05,1.05
1.05,10500.0,1.05,2011-03-18,1.05,1.05
1.05,10500.0,1.05,2011-03-21,1.05,1.05
1.06,43300.0,1.1,2011-03-23,1.1,1.06
1.1,1100.0,1.1,2011-03-24,1.1,1.1
1.1,44000.0,1.1,2011-03-25,1.1,1.1
1.1,180080.0,1.18,2011-03-28,1.18,1.1
1.18,431260.0,1.25,2011-03-31,1.27,1.18
1.2,179600.0,1.25,2011-04-01,1.26,1.2
1.2,60000.0,1.2,2011-04-07,1.2,1.2
1.1,6720.0,1.22,2011-04-11,1.22,1.1
