OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.2,60000.0,1.2,2009-08-19,1.2,1.2
1.46,11380.0,1.4,2009-12-29,1.46,1.4
1.78,5340.0,1.78,2010-01-06,1.78,1.78
2.0,4000.0,2.0,2010-01-14,2.0,2.0
1.62,45360.0,1.62,2010-03-17,1.62,1.62
1.02,4080.0,1.02,2010-05-21,1.02,1.02
1.52,1520.0,1.52,2010-05-27,1.52,1.52
1.52,3040.0,1.52,2010-05-28,1.52,1.52
1.48,13960.0,1.04,2010-05-31,1.48,1.04
1.56,1560.0,1.56,2010-06-01,1.56,1.56
1.56,37460.0,1.56,2011-03-23,1.57,1.56
1.24,29760.0,1.24,2011-04-01,1.24,1.24
1.2,6000.0,1.2,2011-04-06,1.2,1.2
1.2,6000.0,1.2,2011-04-07,1.2,1.2
1.16,77120.0,1.15,2011-05-19,1.16,1.15
1.15,101400.0,1.2,2011-06-03,1.2,1.15
1.16,23080.0,1.15,2011-06-07,1.16,1.15
1.15,11500.0,1.15,2011-06-13,1.15,1.15
1.25,354350.0,1.3,2011-06-15,1.3,1.25
1.45,30450.0,1.45,2011-06-16,1.45,1.45
1.25,125000.0,1.25,2011-06-22,1.25,1.25
1.3,47250.0,1.25,2011-07-01,1.3,1.25
1.26,255010.0,1.25,2011-07-05,1.26,1.25
1.26,20160.0,1.26,2011-07-07,1.26,1.26
1.26,277000.0,1.26,2011-07-08,1.26,1.25
1.3,260000.0,1.3,2011-07-18,1.3,1.3
1.3,65000.0,1.3,2011-07-27,1.3,1.3
1.66,26560.0,1.66,2011-07-28,1.66,1.66
1.8,92800.0,1.94,2011-08-03,1.94,1.8
2.02,40400.0,2.02,2011-08-04,2.02,2.02
2.28,4560.0,2.28,2011-08-05,2.28,2.28
2.48,2480.0,2.48,2011-08-18,2.48,2.48
2.46,7380.0,2.46,2011-10-05,2.46,2.46
1.27,25810.0,2.09,2011-12-08,2.09,1.27
2.36,4720.0,2.36,2011-12-22,2.36,2.36
2.37,28090.0,2.34,2011-12-23,2.38,2.1
2.0,14680.0,2.34,2011-12-28,2.34,2.0
1.98,104940.0,1.98,2012-01-04,1.98,1.98
1.98,25200.0,2.28,2012-01-09,2.28,1.98
2.28,1613220.0,3.42,2012-01-11,3.42,2.28
3.48,915630.0,2.8,2012-01-12,3.68,2.8
2.53,36250.0,2.75,2012-01-13,2.8,2.53
2.89,63470.0,2.8,2012-01-16,3.2,2.8
2.8,55500.0,2.75,2012-01-17,2.8,2.75
2.5,37560.0,2.56,2012-01-18,2.56,2.5
2.6,56200.0,2.7,2012-01-19,2.7,2.6
2.55,2550.0,2.55,2012-01-20,2.55,2.55
2.6,7800.0,2.6,2012-01-24,2.6,2.6
2.61,5220.0,2.61,2012-01-25,2.61,2.61
2.65,26500.0,2.65,2012-01-26,2.65,2.65
2.61,7830.0,2.61,2012-01-27,2.61,2.61
2.6,392930.0,3.1,2012-01-31,3.19,2.6
3.1,419500.0,3.18,2012-02-01,3.45,3.1
3.2,57200.0,3.0,2012-02-02,3.2,3.0
3.3,749660.0,3.55,2012-02-03,4.0,3.3
2.9,36600.0,3.3,2012-02-07,3.3,2.8
3.3,18700.0,3.0,2012-02-09,3.3,2.9
3.0,31100.0,3.2,2012-02-17,3.2,3.0
3.2,138250.0,3.4,2012-02-24,3.9,3.2
2.8,11200.0,2.8,2012-03-08,2.8,2.8
3.0,15000.0,3.0,2012-03-14,3.0,3.0
2.93,2930.0,2.93,2012-03-19,2.93,2.93
2.91,58060.0,2.9,2012-03-20,2.91,2.9
2.9,17400.0,2.9,2012-03-21,2.9,2.9
2.9,63520.0,2.76,2012-03-22,2.9,2.76
2.6,2600.0,2.6,2012-04-13,2.6,2.6
2.65,26500.0,2.65,2012-05-17,2.65,2.65
2.65,152720.0,2.51,2012-05-18,2.65,2.51
2.52,25200.0,2.52,2012-07-11,2.52,2.52
2.98,74710.0,2.99,2012-08-14,2.99,2.98
2.87,2870.0,2.87,2012-08-22,2.87,2.87
2.88,14400.0,2.88,2012-08-29,2.88,2.88
3.0,150000.0,3.0,2012-09-03,3.0,3.0
2.8,25200.0,2.8,2012-10-16,2.8,2.8
2.99,78290.0,3.0,2012-10-31,3.48,2.99
2.6,5200.0,2.6,2012-11-12,2.6,2.6
2.85,35670.0,2.66,2012-11-16,3.46,2.66
2.6,7800.0,2.6,2012-12-06,2.6,2.6
3.0,30000.0,3.0,2012-12-07,3.0,3.0
2.95,59000.0,2.95,2012-12-10,2.95,2.95
2.95,29500.0,2.95,2012-12-19,2.95,2.95
3.0,123700.0,3.88,2012-12-28,3.88,2.95
3.2,6400.0,3.2,2013-01-11,3.2,3.2
3.1,6200.0,3.1,2013-01-25,3.1,3.1
3.0,150000.0,3.0,2013-02-01,3.0,3.0
2.75,68750.0,2.75,2013-04-24,2.75,2.75
3.0,12000.0,3.0,2013-04-25,3.0,3.0
3.8,102950.0,3.99,2013-05-17,3.99,3.8
3.8,114000.0,3.8,2013-05-20,3.8,3.8
3.75,45000.0,3.75,2013-05-21,3.75,3.75
3.0,19800.0,3.6,2013-09-06,3.6,3.0
3.8,190000.0,3.8,2013-09-25,3.8,3.8
2.34,2340.0,2.34,2013-09-30,2.34,2.34
3.0,272850.0,3.51,2013-10-23,3.51,3.0
3.78,7560.0,3.78,2013-10-30,3.78,3.78
3.0,21000.0,3.0,2013-11-12,3.0,3.0
3.0,36000.0,3.0,2013-11-14,3.0,3.0
3.77,11310.0,3.77,2013-11-20,3.77,3.77
3.97,3970.0,3.97,2013-11-27,3.97,3.97
2.56,2560.0,2.56,2014-02-04,2.56,2.56
3.76,3760.0,3.76,2014-03-05,3.76,3.76
3.77,3770.0,3.77,2014-03-13,3.77,3.77
3.0,15000.0,3.0,2014-03-31,3.0,3.0
3.0,30000.0,3.0,2014-04-01,3.0,3.0
3.05,9150.0,3.05,2014-04-24,3.05,3.05
3.01,60030.0,3.0,2014-05-09,3.01,3.0
3.0,60000.0,3.0,2014-07-07,3.0,3.0
2.91,145500.0,2.91,2014-07-15,2.91,2.91
2.88,734400.0,2.88,2014-10-14,2.88,2.88
3.15,66490.0,3.49,2014-10-24,3.49,3.15
3.39,3390.0,3.39,2014-12-29,3.39,3.39
3.03,9090.0,3.03,2015-03-05,3.03,3.03
3.04,150220.0,2.98,2015-03-13,3.04,2.98
3.04,97330.0,3.83,2015-04-24,3.84,3.04
3.81,72770.0,3.79,2015-04-28,3.81,3.31
3.74,37670.0,3.8,2015-05-04,3.8,3.74
3.05,56740.0,3.79,2015-05-05,3.79,3.05
3.75,88230.0,3.79,2015-05-06,3.79,3.5
3.51,42100.0,3.5,2015-05-07,3.51,3.5
3.4,30600.0,3.4,2015-05-15,3.4,3.4
3.1,62000.0,3.1,2015-07-21,3.1,3.1
2.85,342000.0,2.85,2015-08-12,2.85,2.85
2.86,486200.0,2.86,2015-08-17,2.86,2.86
2.87,20090.0,2.87,2015-08-18,2.87,2.87
3.79,229870.0,4.3,2015-10-12,4.3,3.79
3.9,19500.0,3.9,2015-10-14,3.9,3.9
3.6,11200.0,3.8,2015-10-15,3.8,3.6
3.61,71230.0,3.5,2015-10-20,3.61,3.5
3.65,7300.0,3.65,2015-10-23,3.65,3.65
4.0,72190.0,3.99,2015-10-26,4.05,3.99
4.2,139750.0,4.35,2015-10-27,4.35,4.0
4.0,40000.0,4.0,2015-10-30,4.0,4.0
4.5,22500.0,4.5,2015-11-05,4.5,4.5
4.3,35960.0,4.5,2015-11-06,4.59,4.3
5.0,71670.0,5.24,2015-11-12,5.24,5.0
5.79,1621398.0,6.57,2015-11-23,7.6,5.79
6.12,20808.0,6.12,2015-11-24,6.12,6.12
6.7,90035.0,6.95,2015-11-25,7.0,6.7
6.98,241842.0,6.6,2015-11-26,7.05,6.53
2.48,24800.0,2.48,2011-09-05,2.48,2.48
3.01,65100.0,3.5,2013-08-28,3.5,3.01
3.14,36740.0,3.0,2014-04-15,3.14,3.0
6.02,135009.0,6.09,2015-12-03,6.09,5.56
5.5,101320.0,5.4,2015-12-04,5.5,5.4
