OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
100.0,63784694.0,100.0,2013-12-02,100.0,99.95
101.5,12714667.0,99.75,2013-12-03,101.5,99.6
99.8,4418984.0,99.6,2013-12-04,99.85,99.6
100.0,1281097.0,99.2,2013-12-05,100.0,99.0
99.2,4776654.0,97.15,2013-12-06,99.2,97.0
99.0,3123720.0,97.05,2013-12-09,99.0,97.05
97.05,5356448.5,97.15,2013-12-10,97.2,97.0
97.15,673507.5,97.0,2013-12-11,97.15,97.0
96.8,828859.0,96.0,2013-12-12,96.9,95.5
95.5,955630.0,95.95,2013-12-13,97.0,95.5
96.5,2741629.0,95.8,2013-12-16,96.95,95.05
95.8,2039569.0,95.8,2013-12-17,95.8,95.7
95.8,945402.0,95.8,2013-12-18,95.8,95.5
96.1,10387436.5,96.0,2013-12-19,97.3,95.95
97.5,2693739.5,94.5,2013-12-20,97.5,94.0
94.8,228019.0,95.5,2013-12-23,95.6,94.8
95.5,494970.0,95.5,2013-12-26,95.5,95.0
95.5,749675.0,95.5,2013-12-27,95.5,95.5
96.0,656104.0,96.0,2014-01-02,96.0,95.5
96.1,395912.0,95.5,2014-01-03,96.1,95.5
96.0,1060218.0,95.7,2014-01-06,96.0,95.5
95.8,776907.0,95.7,2014-01-07,95.8,95.5
95.5,1340710.0,95.65,2014-01-08,95.65,95.5
96.3,244490.5,95.65,2014-01-09,96.3,95.65
96.0,1089168.5,95.6,2014-01-10,96.0,95.0
95.6,2930499.0,95.5,2014-01-13,95.6,95.0
95.6,1757903.0,95.0,2014-01-14,95.6,94.8
95.0,1023324.0,95.0,2014-01-15,95.5,95.0
95.5,1007711.0,95.5,2014-01-16,95.8,95.5
95.5,355531.0,95.8,2014-01-17,95.8,95.4
95.8,323104.5,95.5,2014-01-20,95.9,95.5
96.0,341330.5,96.1,2014-01-21,96.1,95.6
95.6,1251955.0,98.2,2014-01-22,98.2,95.6
98.25,696938.0,98.6,2014-01-23,98.6,97.9
98.6,378974.0,98.9,2014-01-24,98.9,97.9
97.0,401142.0,97.6,2014-01-27,97.6,96.0
97.6,110703.0,97.0,2014-01-28,97.6,96.6
97.0,118376.0,97.2,2014-01-29,97.2,96.8
98.8,599509.0,97.0,2014-01-30,98.8,96.5
96.9,303882.0,97.0,2014-02-03,97.2,96.5
97.0,601013.0,95.0,2014-02-04,97.0,95.0
95.5,100873.0,95.0,2014-02-05,95.5,95.0
95.0,62864.0,95.0,2014-02-06,95.4,95.0
96.0,225211.0,96.6,2014-02-07,96.6,96.0
96.6,497522.0,96.9,2014-02-10,97.0,96.6
97.3,111273.0,98.0,2014-02-11,98.0,97.3
98.0,610068.5,98.2,2014-02-12,98.2,97.2
98.2,63444.0,98.0,2014-02-13,98.2,97.5
97.7,30230.0,97.8,2014-02-14,97.8,97.4
97.9,129379.0,98.1,2014-02-17,98.1,97.6
98.5,500122.0,98.5,2014-02-18,98.5,98.1
98.5,1005014.0,98.5,2014-02-19,98.8,98.3
98.5,3005062.0,101.4,2014-02-20,101.4,98.5
101.4,427537.0,101.0,2014-02-21,101.4,100.0
101.0,199874.0,100.3,2014-02-24,101.0,99.5
100.0,105596.0,100.3,2014-02-25,101.0,100.0
100.3,380652.0,100.4,2014-02-26,100.4,100.0
100.9,805825.0,100.1,2014-02-27,101.0,100.0
101.0,1082164.0,101.5,2014-02-28,101.5,100.0
101.0,878072.0,102.0,2014-03-03,102.0,100.5
101.5,345455.0,101.5,2014-03-04,101.5,101.0
101.5,348757.0,102.4,2014-03-05,102.5,101.5
102.4,2735532.0,102.8,2014-03-06,102.9,101.6
102.9,369106.0,102.8,2014-03-07,103.0,102.0
102.8,1987304.0,102.2,2014-03-10,103.0,102.1
102.2,1407752.0,104.3,2014-03-11,105.0,102.2
104.0,1239169.0,103.5,2014-03-12,104.0,103.0
103.5,730598.0,103.2,2014-03-13,103.5,103.0
103.0,581800.0,102.5,2014-03-14,103.0,102.0
102.0,333582.0,102.5,2014-03-17,102.5,102.0
102.5,710105.0,103.5,2014-03-18,103.5,102.5
103.5,293767.0,103.5,2014-03-19,103.5,103.0
103.4,381406.0,103.4,2014-03-20,103.4,102.7
103.4,170619.0,103.5,2014-03-21,103.5,103.0
103.1,606851.0,103.3,2014-03-24,103.5,102.9
103.0,879505.0,102.2,2014-03-25,103.0,102.2
102.5,347974.0,102.5,2014-03-26,102.5,102.1
103.5,380852.0,102.0,2014-03-27,103.5,102.0
102.5,156941.0,102.8,2014-03-28,102.9,102.5
103.5,138365.0,103.5,2014-03-31,103.5,103.0
103.5,6680728.0,105.0,2014-04-01,105.0,102.8
105.0,6606861.0,106.0,2014-04-02,106.0,104.5
106.0,602820.0,105.5,2014-04-03,106.0,105.0
105.5,266660.0,106.0,2014-04-04,106.0,105.5
105.6,732136.0,106.5,2014-04-07,106.5,105.6
106.5,573240.0,106.5,2014-04-08,106.5,105.9
106.5,262506.0,107.0,2014-04-10,107.5,106.5
106.0,203580.0,107.0,2014-04-11,107.0,106.0
106.5,153070.0,106.5,2014-04-14,106.5,106.0
106.2,158266.0,107.0,2014-04-15,107.0,106.2
107.0,246810.0,107.8,2014-04-16,107.8,107.0
107.8,1546655.0,109.0,2014-04-21,109.0,107.4
109.0,1295994.0,109.4,2014-04-22,109.4,108.0
109.0,510422.0,108.5,2014-04-23,109.4,108.0
108.0,120112.0,108.9,2014-04-24,108.9,108.0
109.0,218068.0,108.0,2014-04-25,109.5,108.0
107.6,1100645.0,107.0,2014-04-28,108.0,106.0
107.2,256541.0,107.5,2014-04-29,107.5,107.2
108.4,70039.0,108.4,2014-04-30,108.5,107.5
108.4,186997.0,109.0,2014-05-02,109.0,108.4
109.0,172000.0,109.0,2014-05-05,109.0,108.8
109.0,707296.0,108.9,2014-05-06,109.1,106.5
108.5,688743.0,108.5,2014-05-07,108.5,108.0
108.5,2306190.0,109.0,2014-05-08,109.5,107.0
109.5,2086177.0,110.5,2014-05-09,110.5,109.5
110.5,1097685.0,110.2,2014-05-12,110.5,109.5
110.5,1346482.0,110.4,2014-05-13,111.0,109.8
111.0,302046.0,111.0,2014-05-14,111.0,110.5
111.0,598210.0,110.6,2014-05-15,111.0,110.6
110.0,434290.0,110.0,2014-05-16,110.0,109.0
110.8,185190.0,111.0,2014-05-19,111.0,110.2
111.0,295122.0,111.0,2014-05-20,111.0,110.8
110.0,595702.0,109.0,2014-05-21,110.5,109.0
110.0,76614.0,109.9,2014-05-22,110.0,109.2
109.9,752251.0,109.5,2014-05-23,110.0,109.4
109.5,149665.0,109.2,2014-05-26,109.5,109.1
109.1,1684961.0,109.0,2014-05-27,109.2,108.9
109.2,959576.0,109.4,2014-05-28,109.5,109.1
109.1,1940029.0,108.0,2014-05-29,109.1,108.0
107.7,1807865.0,107.7,2014-05-30,107.7,107.4
107.7,1349776.0,108.5,2014-06-02,108.5,107.5
108.5,421065.0,109.6,2014-06-03,109.6,108.5
109.6,3923690.0,109.7,2014-06-04,110.0,109.4
109.3,1109541.0,109.2,2014-06-05,109.3,108.6
109.1,1195261.0,109.1,2014-06-06,109.5,109.1
109.1,1212584.0,109.8,2014-06-09,109.8,109.1
109.4,2417140.0,109.5,2014-06-10,109.5,108.9
109.6,1753489.0,110.0,2014-06-11,110.0,109.4
110.0,1411513.0,109.6,2014-06-13,110.0,109.1
110.0,1352709.0,109.4,2014-06-16,110.0,108.9
108.8,1086434.0,108.2,2014-06-17,108.8,107.8
107.8,1268316.0,108.1,2014-06-18,108.1,107.0
108.1,972058.0,108.2,2014-06-19,108.2,107.4
108.2,1122056.0,108.9,2014-06-20,108.9,108.0
109.0,1323109.0,109.5,2014-06-23,109.5,108.9
109.1,1322325.0,109.8,2014-06-24,109.8,109.0
109.7,2923329.0,110.5,2014-06-25,110.5,109.7
110.3,3122440.0,110.8,2014-06-26,110.8,110.3
111.0,1897513.0,110.6,2014-06-27,111.1,110.0
110.9,669794.0,110.4,2014-06-30,110.9,110.2
110.4,270206.0,110.3,2014-07-01,110.5,110.2
110.3,680237.0,110.6,2014-07-02,110.6,110.1
110.8,1533301.0,111.5,2014-07-03,111.5,110.6
111.6,2028246.0,112.6,2014-07-04,112.6,111.6
112.6,5774550.0,113.0,2014-07-07,113.1,112.6
112.6,1601191.0,112.4,2014-07-08,112.6,111.9
112.2,1129280.0,111.2,2014-07-09,112.2,111.0
111.2,2593222.0,111.9,2014-07-10,111.9,111.2
111.4,751181.0,111.4,2014-07-11,111.4,111.0
111.4,812625.0,110.3,2014-07-14,111.4,110.0
110.3,940180.0,110.3,2014-07-15,110.3,110.0
110.4,516952.0,110.8,2014-07-17,110.8,110.4
110.2,476604.0,110.7,2014-07-18,110.7,110.0
110.8,390008.0,111.1,2014-07-21,111.1,110.7
110.9,1291679.0,110.8,2014-07-22,110.9,110.2
111.0,549748.0,111.1,2014-07-23,111.1,110.8
111.1,412181.0,111.1,2014-07-24,111.1,111.1
111.2,727695.0,111.1,2014-07-25,111.2,110.8
111.2,541794.0,110.5,2014-07-28,111.2,110.5
110.5,2207321.0,110.9,2014-07-30,111.2,110.5
110.8,354372.0,111.0,2014-07-31,111.0,110.6
110.8,2754228.0,111.2,2014-08-01,111.2,109.5
111.0,931220.0,112.8,2014-08-04,112.9,110.9
112.9,567053.0,112.6,2014-08-05,112.9,112.2
112.5,227554.0,112.0,2014-08-06,112.5,112.0
112.2,152730.0,112.2,2014-08-07,112.4,112.2
111.7,1110899.0,111.0,2014-08-08,111.7,110.7
111.3,313352.0,112.2,2014-08-11,112.2,111.3
112.2,1273289.0,112.5,2014-08-12,112.7,112.2
112.7,864269.0,112.7,2014-08-13,112.7,112.2
113.0,1242210.0,113.9,2014-08-14,114.3,113.0
113.9,270849.0,113.0,2014-08-15,113.9,112.8
113.0,590398.0,113.4,2014-08-18,113.5,113.0
113.4,243592.0,114.1,2014-08-19,114.2,113.4
114.6,443585.0,114.6,2014-08-20,114.8,114.4
114.8,944905.0,115.2,2014-08-22,115.4,114.7
115.2,871938.0,115.3,2014-08-26,115.4,114.9
115.5,2893485.0,115.5,2014-08-27,115.9,115.3
115.5,1995779.0,114.8,2014-08-28,115.5,114.6
114.9,1837883.0,114.1,2014-08-29,114.9,113.7
114.0,676948.0,114.4,2014-09-01,114.5,114.0
114.5,879289.0,114.9,2014-09-02,115.0,114.5
115.0,6344908.0,116.5,2014-09-03,116.5,115.0
116.6,3701139.0,116.4,2014-09-04,116.6,115.2
116.4,2155454.0,117.4,2014-09-05,117.4,115.0
117.5,3599312.0,118.4,2014-09-08,118.4,117.5
118.4,272791.0,117.2,2014-09-09,118.4,117.0
117.4,1594211.0,116.5,2014-09-10,117.4,116.5
116.7,13475328.0,116.6,2014-09-11,117.1,116.1
116.7,778969.0,116.7,2014-09-12,116.7,116.3
116.6,733032.0,115.8,2014-09-15,116.6,115.6
115.9,2183064.0,116.3,2014-09-16,116.3,115.4
117.0,1001343.0,116.9,2014-09-17,117.0,116.6
117.1,519348.0,117.9,2014-09-18,117.9,117.0
117.9,1066366.0,117.9,2014-09-22,117.9,117.3
117.7,610777.0,117.5,2014-09-23,117.7,116.8
117.6,865347.0,118.9,2014-09-24,119.0,117.6
119.1,1249126.0,117.8,2014-09-25,119.6,117.8
117.5,911059.0,117.4,2014-09-26,117.6,117.0
117.4,2289662.0,117.5,2014-09-29,117.8,117.0
117.7,416532.0,117.7,2014-09-30,117.8,117.5
117.7,960466.0,117.4,2014-10-01,117.7,116.9
117.4,1956893.0,116.4,2014-10-02,117.4,115.7
116.4,635150.0,117.1,2014-10-03,117.1,116.3
116.6,855845.0,116.9,2014-10-07,116.9,116.6
117.3,1384569.0,116.2,2014-10-08,117.3,115.8
116.6,2923062.0,116.6,2014-10-09,116.8,116.2
116.6,2884454.0,115.9,2014-10-10,116.6,115.0
115.9,3211812.0,112.7,2014-10-13,115.9,112.4
112.7,4119888.0,112.1,2014-10-14,112.9,111.4
112.5,6772476.0,113.3,2014-10-15,113.6,112.5
113.3,5897559.0,113.6,2014-10-16,113.6,112.4
114.0,464157.0,113.1,2014-10-17,114.0,113.1
113.3,667938.0,114.0,2014-10-20,114.2,113.3
114.0,2250420.0,114.3,2014-10-21,114.5,114.0
114.5,6980026.0,115.1,2014-10-22,115.1,114.5
115.1,314899.0,115.1,2014-10-23,115.2,114.6
115.3,479107.0,114.9,2014-10-24,115.4,114.7
114.8,688320.0,114.9,2014-10-27,114.9,114.4
114.9,629988.0,114.5,2014-10-28,114.9,114.5
114.7,793731.0,114.7,2014-10-29,114.8,114.5
114.9,337874.0,115.6,2014-10-30,115.6,114.5
116.0,1388700.0,116.4,2014-10-31,116.4,115.8
116.9,528945.0,118.0,2014-11-03,118.0,116.9
118.0,6783756.0,117.1,2014-11-04,118.0,117.1
116.8,2141734.0,116.5,2014-11-05,116.8,116.0
116.5,5752337.0,116.9,2014-11-06,117.1,116.4
116.7,1009083.0,116.5,2014-11-07,116.8,116.5
116.4,1396806.0,116.2,2014-11-10,116.8,116.2
116.6,559984.0,116.4,2014-11-11,116.6,116.4
116.4,10468261.0,116.9,2014-11-12,117.2,116.4
117.1,424572.0,116.6,2014-11-13,117.1,116.6
116.7,249408.0,116.8,2014-11-14,116.9,116.3
116.8,306101.0,116.8,2014-11-17,117.0,116.6
117.1,10792250.0,117.6,2014-11-18,117.6,116.7
117.6,1280392.0,117.6,2014-11-19,117.7,117.4
117.1,1371566.0,117.5,2014-11-20,117.5,116.7
117.0,370232.0,117.6,2014-11-21,117.6,117.0
117.8,10903750.0,118.4,2014-11-24,118.4,117.8
118.6,527389.0,118.5,2014-11-25,118.6,118.0
118.5,5314935.0,119.0,2014-11-26,119.0,118.5
119.0,1617275.0,117.7,2014-11-27,119.0,117.7
117.7,281666.0,118.0,2014-11-28,118.0,117.7
118.1,454923.0,118.5,2014-12-01,118.5,118.0
118.6,1052203.0,118.8,2014-12-02,118.8,118.3
118.9,324412.0,118.9,2014-12-03,119.0,118.8
119.0,1096393.0,118.3,2014-12-04,119.0,118.3
118.1,521373.0,117.0,2014-12-05,118.1,117.0
117.0,6694989.0,116.0,2014-12-09,117.1,116.0
116.1,49641774.0,116.2,2014-12-10,116.2,115.5
115.6,5168953.0,114.4,2014-12-11,115.6,113.9
114.7,5289499.0,116.3,2014-12-12,116.3,114.6
116.3,1284019.0,117.7,2014-12-15,117.7,114.6
117.9,1758547.0,116.2,2014-12-16,117.9,116.0
115.4,7740180.0,112.6,2014-12-17,115.4,112.6
113.1,234840940.0,113.6,2014-12-18,114.4,111.7
114.0,533182.0,115.3,2014-12-19,115.5,114.0
115.4,706305.0,115.5,2014-12-22,116.0,115.4
115.5,331387.0,116.2,2014-12-23,116.2,115.5
116.5,269880.0,117.0,2014-12-29,117.0,116.5
117.4,515714.0,117.5,2015-01-05,117.7,117.4
117.5,6994890.0,117.5,2015-01-06,117.5,116.9
118.0,4525422.0,118.2,2015-01-07,118.3,117.4
118.5,1356555.0,119.0,2015-01-08,119.0,118.0
119.2,2026164.0,119.8,2015-01-09,120.2,119.2
119.8,581367.0,118.9,2015-01-12,119.8,118.8
119.2,374945.0,119.8,2015-01-13,120.0,119.2
120.0,3040524.0,120.9,2015-01-14,121.5,120.0
121.2,556450.0,121.0,2015-01-19,121.2,120.7
121.4,1949591.0,120.4,2015-01-20,121.4,120.4
120.6,403097.0,120.8,2015-01-21,121.7,120.6
121.0,3261355.0,119.9,2015-01-22,121.0,119.9
120.7,659292.0,121.9,2015-01-23,121.9,120.7
122.0,8531528.0,121.9,2015-01-26,122.0,121.8
123.0,14742362.0,122.3,2015-01-27,123.0,122.3
122.7,520234.0,123.5,2015-01-28,123.5,122.4
124.0,22155207.0,123.0,2015-01-29,124.7,123.0
123.0,14893741.0,123.0,2015-01-30,124.0,123.0
124.0,1331996.0,123.0,2015-02-02,124.0,122.7
123.0,465964.0,123.0,2015-02-03,123.0,122.5
123.6,1557592.0,124.0,2015-02-04,124.3,123.6
124.1,656716.0,123.6,2015-02-05,124.1,123.6
123.5,12586798.0,123.6,2015-02-06,124.2,123.5
124.0,6460431.0,124.2,2015-02-09,124.6,124.0
125.0,6984562.0,124.3,2015-02-10,125.0,124.2
124.3,23959558.0,124.0,2015-02-11,124.3,124.0
123.9,3652193.0,124.0,2015-02-12,124.5,123.9
124.0,5004991.0,124.5,2015-02-13,125.3,124.0
125.0,704381.0,125.7,2015-02-16,125.8,124.9
125.7,3940307.0,125.7,2015-02-17,125.7,125.2
125.7,4883403.0,126.4,2015-02-18,126.5,125.7
126.5,508102.0,126.5,2015-02-20,126.5,126.1
127.0,4039083.0,126.5,2015-02-23,127.0,126.2
126.5,4891479.0,126.3,2015-02-24,126.8,126.3
126.6,2443984.0,126.5,2015-02-25,126.6,126.5
126.5,2398251.0,126.1,2015-02-26,126.5,125.8
126.0,1575950.0,125.1,2015-02-27,126.0,125.0
125.5,779952.0,126.0,2015-03-02,126.0,125.0
126.0,476438.0,126.0,2015-03-03,126.2,125.8
126.3,5917600.0,126.5,2015-03-04,126.5,126.0
126.5,973672.0,126.3,2015-03-05,126.5,126.3
126.5,6228357.0,126.5,2015-03-06,126.5,126.4
126.5,2489795.0,126.4,2015-03-09,126.5,125.7
126.5,2766781.0,126.4,2015-03-10,126.5,126.4
126.5,1581936.0,126.1,2015-03-11,126.5,126.1
126.3,3714303.0,127.0,2015-03-12,127.0,126.3
127.2,227320.0,126.9,2015-03-13,127.2,126.9
127.0,1616883.0,126.1,2015-03-16,127.0,125.8
126.1,12894197.0,126.5,2015-03-17,126.5,125.8
126.2,2963519.0,125.9,2015-03-18,126.2,125.9
125.9,6059890.0,127.0,2015-03-19,127.0,125.9
