OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.87,5972300.0,0.87,2009-08-03,0.89,0.87
0.88,8081900.0,0.9,2009-08-04,0.9,0.88
0.88,990500.0,0.89,2009-08-06,0.89,0.87
0.88,1977000.0,0.88,2009-08-07,0.88,0.86
0.87,1757900.0,0.89,2009-08-10,0.89,0.87
0.9,5518000.0,0.88,2009-08-11,0.9,0.87
0.87,2727400.0,0.88,2009-08-12,0.88,0.87
0.88,50545300.0,0.98,2009-08-13,0.98,0.88
1.0,66115600.0,1.06,2009-08-14,1.06,0.98
1.02,28919930.0,0.97,2009-08-17,1.02,0.93
0.92,14202700.0,0.98,2009-08-18,0.99,0.91
1.0,61215000.0,1.1,2009-08-19,1.14,1.0
1.14,38057660.0,1.0,2009-08-20,1.14,1.0
1.06,22093200.0,1.08,2009-08-24,1.1,1.06
1.04,5081000.0,1.06,2009-08-25,1.08,1.02
1.06,21158300.0,1.08,2009-08-26,1.12,1.06
1.14,9275480.0,1.14,2009-09-03,1.14,1.12
1.14,10897380.0,1.14,2009-09-04,1.18,1.12
1.06,3157540.0,1.08,2009-09-16,1.08,1.04
1.08,3017220.0,1.08,2009-09-17,1.1,1.08
1.1,3117420.0,1.12,2009-09-18,1.12,1.06
1.1,422600.0,1.1,2009-09-22,1.1,1.08
1.1,2507300.0,1.12,2009-09-23,1.12,1.08
1.04,554360.0,1.06,2009-10-01,1.06,1.04
1.04,1760080.0,1.04,2009-10-02,1.04,1.02
1.04,1149980.0,1.04,2009-10-05,1.04,1.02
1.04,4829560.0,1.1,2009-10-06,1.12,1.04
1.12,10293480.0,1.12,2009-10-07,1.14,1.1
1.12,6304760.0,1.12,2009-10-08,1.12,1.1
1.14,5258900.0,1.12,2009-10-09,1.14,1.1
1.12,1124600.0,1.08,2009-10-12,1.12,1.08
1.06,1541220.0,1.1,2009-10-13,1.1,1.06
1.06,1008600.0,1.1,2009-10-14,1.1,1.06
1.1,12517680.0,1.14,2009-10-15,1.16,1.08
1.14,3482680.0,1.12,2009-10-16,1.16,1.1
1.1,1386060.0,1.14,2009-10-19,1.14,1.1
1.16,2893240.0,1.12,2009-10-20,1.16,1.1
1.12,368300.0,1.1,2009-10-21,1.12,1.08
1.08,5402560.0,1.1,2009-10-22,1.1,1.04
1.08,288900.0,1.1,2009-10-23,1.1,1.06
1.04,38558100.0,0.98,2009-10-26,1.04,0.84
0.96,11692200.0,0.93,2009-10-27,0.96,0.91
0.9,5275200.0,0.9,2009-10-28,0.93,0.89
0.9,2916600.0,0.91,2009-10-29,0.91,0.89
0.91,961100.0,0.92,2009-10-30,0.93,0.91
0.95,1993100.0,0.89,2009-11-03,0.95,0.87
0.89,2332000.0,0.87,2009-11-04,0.89,0.84
0.87,2050500.0,0.85,2009-11-05,0.87,0.85
0.87,1702700.0,0.88,2009-11-06,0.88,0.86
0.87,1620000.0,0.87,2009-11-09,0.88,0.86
0.88,2517500.0,0.9,2009-11-10,0.9,0.87
0.9,3960300.0,0.9,2009-11-11,0.91,0.9
0.78,110200.0,0.79,2009-12-15,0.79,0.78
0.77,1004200.0,0.76,2009-12-16,0.77,0.76
0.76,3170400.0,0.8,2009-12-17,0.8,0.74
0.8,1416700.0,0.83,2009-12-18,0.85,0.8
0.82,1170400.0,0.82,2009-12-21,0.82,0.8
0.82,980500.0,0.81,2009-12-22,0.82,0.81
0.82,1672800.0,0.82,2009-12-23,0.82,0.82
0.83,3153400.0,0.86,2009-12-29,0.86,0.83
0.85,93900.0,0.86,2010-01-04,0.86,0.85
0.85,496500.0,0.87,2010-01-05,0.87,0.85
0.83,2046600.0,0.88,2010-01-06,0.91,0.83
0.87,4310200.0,0.9,2010-01-07,0.9,0.87
0.9,2224500.0,0.91,2010-01-08,0.91,0.89
0.88,5254100.0,0.93,2010-01-11,0.93,0.88
0.88,5731300.0,0.9,2010-01-12,0.9,0.84
0.87,227000.0,0.9,2010-01-13,0.9,0.86
0.87,551900.0,0.91,2010-01-14,0.91,0.87
0.89,106800.0,0.89,2010-01-15,0.89,0.89
0.88,256100.0,0.89,2010-01-18,0.89,0.88
0.87,358200.0,0.89,2010-01-19,0.89,0.87
0.89,26700.0,0.89,2010-01-20,0.89,0.89
0.86,1044200.0,0.88,2010-01-22,0.88,0.86
0.83,971300.0,0.89,2010-01-25,0.89,0.83
0.85,613200.0,0.87,2010-01-26,0.87,0.85
0.83,734500.0,0.87,2010-01-27,0.87,0.83
0.85,2879200.0,0.85,2010-01-28,0.85,0.84
0.84,1869100.0,0.86,2010-01-29,0.87,0.84
0.83,1655900.0,0.84,2010-02-01,0.84,0.81
0.84,67200.0,0.84,2010-02-02,0.84,0.84
0.8,1592000.0,0.85,2010-02-03,0.85,0.8
0.82,711800.0,0.86,2010-02-04,0.86,0.82
0.81,2466900.0,0.83,2010-02-05,0.83,0.8
0.8,301900.0,0.83,2010-02-08,0.83,0.8
0.79,1246800.0,0.8,2010-02-09,0.8,0.78
0.76,289300.0,0.82,2010-02-10,0.82,0.76
0.8,456200.0,0.83,2010-02-11,0.83,0.8
0.77,138600.0,0.77,2010-03-08,0.77,0.77
0.76,106400.0,0.76,2010-03-12,0.76,0.76
0.76,572600.0,0.75,2010-03-15,0.76,0.75
0.75,1087500.0,0.75,2010-03-16,0.76,0.74
0.75,1612500.0,0.75,2010-03-17,0.75,0.75
0.75,274400.0,0.77,2010-03-31,0.77,0.75
0.88,2845400.0,0.87,2010-04-20,0.89,0.86
0.86,978900.0,0.9,2010-04-21,0.9,0.86
0.91,3675800.0,0.91,2010-04-22,0.93,0.88
0.92,9776100.0,0.94,2010-04-23,0.95,0.92
0.92,2579400.0,0.94,2010-04-29,0.94,0.92
0.92,1196100.0,0.93,2010-04-30,0.93,0.92
0.92,558100.0,0.93,2010-05-04,0.93,0.91
0.93,709300.0,0.92,2010-05-05,0.93,0.89
0.96,4101100.0,0.96,2010-05-13,0.97,0.96
0.96,1660600.0,0.96,2010-05-14,0.96,0.95
0.96,288000.0,0.96,2010-05-17,0.96,0.96
0.96,6725900.0,0.92,2010-05-18,0.96,0.92
0.91,1330000.0,0.93,2010-05-19,0.93,0.9
0.9,604400.0,0.93,2010-05-20,0.93,0.9
0.9,3442900.0,0.9,2010-05-21,0.9,0.87
0.88,1329800.0,0.89,2010-05-25,0.9,0.86
0.9,1237600.0,0.89,2010-05-26,0.9,0.88
0.89,1916800.0,0.91,2010-05-27,0.91,0.89
0.91,1628000.0,0.91,2010-05-28,0.92,0.91
0.91,2778000.0,0.93,2010-05-31,0.93,0.9
0.92,13657700.0,0.98,2010-06-01,0.99,0.92
0.97,17107000.0,1.0,2010-06-02,1.02,0.97
1.02,8290800.0,1.04,2010-06-03,1.04,1.02
1.02,11330900.0,1.06,2010-06-04,1.08,1.0
1.0,6854060.0,1.02,2010-06-07,1.02,0.99
0.99,6109600.0,1.04,2010-06-08,1.04,0.99
1.04,7145200.0,1.04,2010-06-09,1.06,1.02
1.02,3026040.0,1.02,2010-06-10,1.02,0.99
1.02,1615800.0,1.0,2010-06-11,1.02,1.0
1.0,13790400.0,1.02,2010-06-16,1.04,1.0
1.0,590900.0,1.06,2010-06-21,1.06,1.0
1.04,1288660.0,1.02,2010-06-22,1.04,1.02
1.02,1082200.0,1.04,2010-06-23,1.04,1.02
1.02,2807220.0,1.02,2010-06-24,1.04,0.99
0.98,4563400.0,1.02,2010-06-25,1.02,0.98
1.02,2196320.0,1.04,2010-06-28,1.04,1.0
1.02,5192480.0,1.06,2010-06-29,1.06,1.0
1.02,5310600.0,1.0,2010-07-01,1.02,0.99
1.0,8499100.0,0.97,2010-07-02,1.0,0.97
0.98,530100.0,0.99,2010-07-06,0.99,0.97
0.98,557800.0,0.99,2010-07-07,0.99,0.96
0.98,425700.0,1.0,2010-07-08,1.0,0.98
0.99,682600.0,1.0,2010-07-09,1.0,0.98
0.98,1422700.0,1.0,2010-07-13,1.0,0.98
0.99,535100.0,1.0,2010-07-14,1.0,0.99
0.99,594000.0,0.99,2010-07-15,0.99,0.99
0.98,29400.0,0.98,2010-07-19,0.98,0.98
0.96,1745300.0,0.98,2010-07-21,0.98,0.94
0.96,58100.0,0.97,2010-07-22,0.97,0.96
0.95,3931900.0,0.97,2010-07-23,0.98,0.94
1.66,9834120.0,1.72,2010-09-20,1.76,1.63
1.77,13815620.0,1.78,2010-09-21,1.78,1.73
1.8,24252080.0,1.78,2010-09-22,1.8,1.69
1.76,22164300.0,1.76,2010-09-23,1.8,1.75
1.76,35813380.0,1.7,2010-09-24,1.76,1.68
1.71,35601410.0,1.72,2010-09-27,1.72,1.68
1.72,53493240.0,1.91,2010-09-28,2.0,1.72
1.95,62498980.0,1.95,2010-09-29,2.05,1.94
1.96,22118430.0,1.89,2010-09-30,1.99,1.83
1.9,9694520.0,1.93,2010-10-01,1.93,1.87
1.9,69209700.0,1.96,2010-10-04,1.99,1.89
1.96,16333780.0,1.91,2010-10-05,1.96,1.87
1.94,14828440.0,1.88,2010-10-06,1.95,1.87
1.88,19123860.0,1.88,2010-10-07,1.9,1.84
1.88,22792240.0,1.85,2010-10-08,1.88,1.8
1.83,16305380.0,1.75,2010-10-12,1.83,1.7
1.77,15365130.0,1.77,2010-10-13,1.83,1.73
1.83,12841930.0,1.83,2010-10-14,1.89,1.76
1.77,5365360.0,1.82,2010-10-15,1.82,1.76
1.77,3234540.0,1.83,2010-10-18,1.83,1.77
1.78,2726480.0,1.78,2010-10-19,1.79,1.77
1.77,2153420.0,1.82,2010-10-20,1.82,1.76
1.8,2690420.0,1.88,2010-10-21,1.88,1.8
1.87,59961600.0,2.0,2010-10-22,2.03,1.82
2.01,13267340.0,2.01,2010-10-26,2.01,1.96
1.98,10531440.0,1.98,2010-10-27,2.01,1.95
1.96,5280750.0,1.99,2010-10-28,1.99,1.92
1.96,1948600.0,1.95,2010-10-29,1.96,1.94
1.98,24593860.0,1.97,2010-11-02,1.99,1.94
1.99,20439430.0,2.0,2010-11-03,2.03,1.95
2.0,39347470.0,2.01,2010-11-04,2.06,2.0
2.01,17149270.0,2.02,2010-11-08,2.03,1.99
2.0,19907030.0,1.97,2010-11-09,2.0,1.91
1.95,13415840.0,1.89,2010-11-10,1.96,1.88
1.9,12515540.0,1.9,2010-11-11,1.9,1.76
1.9,4231780.0,1.87,2010-11-12,1.9,1.82
1.83,13511740.0,1.89,2010-11-15,1.9,1.83
1.86,5908950.0,1.85,2010-11-17,1.86,1.8
1.85,10383240.0,1.96,2010-11-18,1.96,1.82
1.97,19169610.0,1.96,2010-11-19,2.04,1.95
1.96,22417610.0,1.99,2010-11-22,2.0,1.88
1.98,11432420.0,2.0,2010-11-23,2.0,1.93
1.95,64239930.0,2.12,2010-11-24,2.14,1.94
2.15,52286340.0,2.11,2010-11-25,2.19,2.02
2.1,61155470.0,2.1,2010-11-26,2.14,2.04
2.04,23020430.0,2.06,2010-11-30,2.06,2.0
2.02,4651290.0,2.06,2010-12-01,2.09,2.02
2.07,51089990.0,2.11,2010-12-02,2.18,2.07
2.14,15531560.0,2.11,2010-12-03,2.15,2.07
2.11,18843720.0,2.15,2010-12-06,2.15,2.09
2.13,12081470.0,2.15,2010-12-07,2.16,2.1
2.15,36819450.0,2.15,2010-12-08,2.26,2.15
2.1,3359200.0,2.1,2010-12-16,2.1,2.07
2.08,5707350.0,2.08,2010-12-22,2.1,2.04
2.06,3691630.0,2.09,2010-12-23,2.09,2.06
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.07,8713220.0,2.07,2010-12-28,2.07,2.04
2.04,8920420.0,2.0,2010-12-29,2.05,1.98
2.04,8920420.0,2.0,2010-12-29,2.05,1.98
2.0,1913200.0,1.98,2011-01-03,2.0,1.95
2.0,1913200.0,1.98,2011-01-03,2.0,1.95
2.0,1913200.0,1.98,2011-01-03,2.0,1.95
1.91,6094370.0,1.9,2011-01-04,1.92,1.85
1.85,425790.0,1.9,2011-01-05,1.9,1.85
1.86,12628400.0,1.89,2011-01-06,1.89,1.85
1.86,2125780.0,1.87,2011-01-07,1.89,1.85
1.84,2641030.0,1.89,2011-01-10,1.9,1.84
1.85,552030.0,1.9,2011-01-11,1.9,1.84
1.85,552030.0,1.9,2011-01-11,1.9,1.84
1.86,24482230.0,1.97,2011-01-12,2.01,1.86
2.0,4647360.0,1.97,2011-01-13,2.0,1.93
1.92,3441270.0,1.97,2011-01-14,1.97,1.92
1.94,384260.0,1.95,2011-01-17,1.96,1.93
1.95,751870.0,1.94,2011-01-18,1.97,1.91
1.96,2757220.0,1.94,2011-01-19,1.96,1.88
1.96,2757220.0,1.94,2011-01-19,1.96,1.88
1.89,3145720.0,1.97,2011-01-20,1.97,1.89
1.89,3145720.0,1.97,2011-01-20,1.97,1.89
1.95,3132460.0,1.95,2011-01-24,1.95,1.84
1.9,5419490.0,1.93,2011-01-25,1.93,1.86
1.9,5001700.0,1.87,2011-01-26,1.9,1.86
1.87,25276490.0,1.75,2011-01-27,1.93,1.66
1.76,3824820.0,1.75,2011-01-28,1.8,1.72
1.76,3824820.0,1.75,2011-01-28,1.8,1.72
1.7,2921520.0,1.74,2011-01-31,1.75,1.69
1.7,2921520.0,1.74,2011-01-31,1.75,1.69
1.73,950390.0,1.7,2011-02-01,1.75,1.7
1.73,950390.0,1.7,2011-02-01,1.75,1.7
1.7,3427040.0,1.69,2011-02-02,1.75,1.66
