OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
39.0,63220850.0,38.5,2009-08-03,39.0,38.0
38.5,75562050.0,39.0,2009-08-04,39.0,38.5
39.0,73373250.0,38.0,2009-08-06,39.0,38.0
38.0,22046750.0,38.0,2009-08-07,38.0,37.5
40.0,221856250.0,42.5,2009-08-10,42.5,40.0
42.5,133035650.0,44.0,2009-08-11,44.5,42.5
44.0,78058800.0,43.0,2009-08-12,44.0,42.5
43.0,49291900.0,43.0,2009-08-13,44.0,42.5
43.0,60010300.0,43.0,2009-08-14,43.0,42.0
42.5,124513550.0,40.0,2009-08-17,42.5,39.5
39.0,115643600.0,42.0,2009-08-18,42.0,38.5
42.0,94872250.0,42.5,2009-08-19,43.0,42.0
42.5,84323750.0,41.0,2009-08-20,42.5,41.0
42.0,46041500.0,42.0,2009-08-24,42.0,41.5
41.5,52604900.0,41.5,2009-08-25,42.0,41.0
42.0,50085000.0,42.0,2009-08-26,42.0,41.0
41.0,26187650.0,41.0,2009-09-03,41.0,40.0
41.5,63878400.0,41.0,2009-09-04,41.5,40.5
38.0,87975450.0,36.5,2009-09-16,38.5,36.0
37.0,155222100.0,36.0,2009-09-17,37.5,36.0
36.5,32375650.0,37.5,2009-09-18,37.5,36.0
38.0,135477150.0,36.5,2009-09-22,38.0,36.5
37.0,65408950.0,38.0,2009-09-23,38.0,37.0
37.0,23390850.0,38.0,2009-09-30,38.0,36.5
37.5,22038550.0,37.0,2009-10-01,38.0,37.0
36.5,48835150.0,36.0,2009-10-02,36.5,36.0
36.5,12718500.0,37.0,2009-10-05,37.0,36.5
37.5,37137400.0,37.5,2009-10-06,38.0,37.0
38.5,195303450.0,40.0,2009-10-07,40.0,38.5
40.0,50117400.0,40.5,2009-10-08,40.5,40.0
40.0,104953000.0,40.5,2009-10-09,40.5,40.0
40.0,14991450.0,40.0,2009-10-12,40.0,39.5
40.0,49056800.0,39.5,2009-10-13,40.5,38.5
41.0,327206450.0,42.5,2009-10-14,43.0,41.0
43.0,168992250.0,41.5,2009-10-15,43.0,41.0
41.0,63586900.0,42.0,2009-10-16,42.0,41.0
42.0,165378400.0,43.5,2009-10-19,43.5,41.5
44.0,203292000.0,44.0,2009-10-20,45.5,43.5
43.5,120407000.0,43.0,2009-10-21,44.0,42.5
43.0,53843150.0,43.0,2009-10-22,43.0,42.0
43.0,50497050.0,43.0,2009-10-23,44.0,43.0
44.0,282721550.0,46.5,2009-10-26,46.5,43.5
46.0,173966000.0,48.5,2009-10-27,48.5,45.5
48.5,110040550.0,47.0,2009-10-28,48.5,46.0
45.5,92023200.0,46.5,2009-10-29,46.5,45.0
47.5,86425050.0,47.5,2009-10-30,48.0,46.5
