OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
500.0,2000000.0,500.0,2015-01-21,500.0,500.0
500.0,1000000.0,500.0,2015-03-26,500.0,500.0
500.0,1300000.0,500.0,2015-03-27,500.0,500.0
500.0,2000000.0,500.0,2015-07-07,500.0,500.0
505.0,5050.0,505.0,2015-07-29,505.0,505.0
500.0,3995000.0,500.0,2015-08-04,500.0,500.0
500.0,1000000.0,500.0,2015-09-04,500.0,500.0
500.0,600000.0,500.0,2015-10-06,500.0,500.0
500.0,1000000.0,500.0,2015-11-13,500.0,500.0
500.0,3500000.0,500.0,2016-01-19,500.0,500.0
500.0,4000000.0,500.0,2016-02-05,500.0,500.0
500.0,1000000.0,500.0,2016-02-09,500.0,500.0
500.0,1000000.0,500.0,2016-03-01,500.0,500.0
510.0,51000.0,510.0,2016-05-03,510.0,510.0
510.0,15300.0,510.0,2016-05-04,510.0,510.0
500.0,5000000.0,500.0,2016-05-06,500.0,500.0
500.0,5000000.0,500.0,2016-05-06,500.0,500.0
510.0,50933700.0,510.0,2016-05-12,510.0,510.0
510.0,17850000.0,510.0,2016-05-17,510.0,510.0
510.0,25500000.0,510.0,2016-05-26,510.0,510.0
505.0,1010000.0,505.0,2016-08-25,505.0,505.0
505.0,2020000.0,505.0,2016-09-20,505.0,505.0
505.0,505000.0,505.0,2016-09-21,505.0,505.0
515.0,515000.0,515.0,2016-09-28,515.0,515.0
506.0,2727060.0,505.0,2016-10-05,506.0,505.0
505.0,1010000.0,505.0,2016-10-13,505.0,505.0
510.0,1020000.0,510.0,2016-11-02,510.0,510.0
510.0,2040000.0,510.0,2016-11-04,510.0,510.0
510.0,3070200.0,510.0,2016-11-07,510.0,510.0
510.0,5089800.0,510.0,2016-11-08,510.0,510.0
505.0,1010000.0,505.0,2016-12-15,505.0,505.0
506.0,5050020.0,505.0,2017-02-17,506.0,505.0
505.0,272850.0,515.0,2017-02-28,515.0,505.0
508.0,1016000.0,508.0,2017-03-09,508.0,508.0
508.5,16704250.0,506.0,2017-04-25,508.5,506.0
510.0,2040000.0,510.0,2017-05-25,510.0,510.0
510.0,2038000.0,508.0,2017-06-08,510.0,508.0
510.0,17941800.0,510.0,2017-06-19,510.0,510.0
500.0,2000000.0,500.0,2017-06-20,500.0,500.0
515.0,1545000.0,515.0,2017-06-28,515.0,515.0
