OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.98,317000.0,0.3,2011-05-18,0.98,0.25
0.3,127500.0,0.27,2011-05-19,0.3,0.22
0.21,23500.0,0.25,2011-05-20,0.25,0.21
0.22,15400.0,0.22,2011-05-23,0.22,0.22
0.2,54200.0,0.18,2011-05-24,0.2,0.16
0.2,24000.0,0.2,2011-05-26,0.2,0.2
0.18,21980.0,0.199,2011-06-01,0.199,0.18
0.2,2000.0,0.2,2011-06-06,0.2,0.2
0.15,23900.0,0.195,2011-06-16,0.195,0.15
0.15,406380.0,0.188,2011-06-21,0.188,0.14
0.19,19000.0,0.19,2011-06-22,0.19,0.19
0.183,73200.0,0.183,2011-06-29,0.183,0.183
0.182,9100.0,0.182,2011-06-30,0.182,0.182
0.15,13500.0,0.15,2011-07-13,0.15,0.15
0.1,1000.0,0.1,2011-07-14,0.1,0.1
0.15,31500.0,0.15,2011-07-15,0.15,0.15
0.17,49300.0,0.17,2011-07-18,0.17,0.17
0.2,496900.0,0.24,2011-07-19,0.24,0.175
0.25,1291550.0,0.34,2011-07-20,0.34,0.245
0.345,236400.0,0.29,2011-07-21,0.345,0.27
0.27,401000.0,0.21,2011-07-22,0.29,0.21
0.21,595350.0,0.25,2011-07-25,0.295,0.21
0.25,490950.0,0.22,2011-07-26,0.275,0.22
0.22,107700.0,0.22,2011-07-27,0.22,0.215
0.21,42250.0,0.215,2011-07-28,0.215,0.21
0.22,138600.0,0.22,2011-07-29,0.22,0.22
0.239,713300.0,0.285,2011-08-01,0.29,0.239
0.29,723750.0,0.265,2011-08-02,0.35,0.26
0.26,4599900.0,0.315,2011-08-03,0.38,0.255
0.31,1154100.0,0.31,2011-08-04,0.31,0.29
0.265,302950.0,0.28,2011-08-05,0.29,0.265
0.29,388250.0,0.275,2011-08-08,0.29,0.26
0.26,28550.0,0.245,2011-08-09,0.26,0.235
0.28,472650.0,0.285,2011-08-10,0.29,0.28
0.28,158700.0,0.27,2011-08-11,0.28,0.24
0.27,644450.0,0.31,2011-08-12,0.32,0.27
0.305,351450.0,0.29,2011-08-15,0.305,0.26
0.31,178350.0,0.305,2011-08-16,0.315,0.29
0.31,370900.0,0.315,2011-08-17,0.315,0.31
0.29,433850.0,0.305,2011-08-18,0.305,0.29
0.29,195900.0,0.28,2011-08-19,0.29,0.28
0.285,329550.0,0.31,2011-08-22,0.31,0.285
0.3,41000.0,0.3,2011-08-23,0.3,0.29
0.3,92000.0,0.3,2011-08-24,0.3,0.29
0.31,18300.0,0.3,2011-08-25,0.31,0.29
0.285,513800.0,0.28,2011-08-31,0.285,0.28
0.275,93800.0,0.28,2011-09-01,0.28,0.275
0.275,313500.0,0.265,2011-09-06,0.275,0.265
0.26,291200.0,0.26,2011-09-07,0.26,0.26
0.26,103000.0,0.255,2011-09-12,0.26,0.255
0.26,25550.0,0.255,2011-09-13,0.26,0.255
0.255,160300.0,0.25,2011-09-14,0.255,0.25
0.25,169800.0,0.28,2011-09-15,0.28,0.25
0.255,7950.0,0.285,2011-09-20,0.285,0.255
0.25,303600.0,0.275,2011-09-26,0.285,0.23
0.22,46750.0,0.275,2011-09-28,0.275,0.22
0.245,14700.0,0.245,2011-09-29,0.245,0.245
0.238,344180.0,0.238,2011-10-07,0.238,0.15
0.22,36100.0,0.209,2011-10-11,0.22,0.209
0.238,2380.0,0.238,2011-10-12,0.238,0.238
0.205,28510.0,0.188,2011-10-13,0.22,0.188
0.184,22140.0,0.19,2011-10-14,0.19,0.184
0.19,27300.0,0.2,2011-10-17,0.23,0.19
0.181,272760.0,0.225,2011-10-18,0.225,0.18
0.19,190190.0,0.199,2011-10-19,0.199,0.18
0.214,4260.0,0.212,2011-10-20,0.214,0.212
0.199,406510.0,0.19,2011-10-24,0.199,0.18
0.185,31490.0,0.189,2011-10-25,0.189,0.185
0.18,25280.0,0.188,2011-10-26,0.188,0.18
0.185,3700.0,0.185,2011-10-27,0.185,0.185
0.185,62750.0,0.18,2011-10-28,0.185,0.18
0.18,385680.0,0.185,2011-11-02,0.185,0.17
0.174,27820.0,0.182,2011-11-04,0.182,0.173
0.17,17300.0,0.17,2011-11-08,0.18,0.17
0.184,31140.0,0.184,2011-11-09,0.184,0.182
0.177,128400.0,0.195,2011-11-10,0.195,0.177
0.18,3720.0,0.192,2011-11-11,0.192,0.18
0.19,689520.0,0.201,2011-11-14,0.225,0.19
0.196,148250.0,0.212,2011-11-15,0.219,0.19
0.201,76290.0,0.202,2011-11-16,0.227,0.201
0.195,65090.0,0.205,2011-11-17,0.224,0.195
0.198,79270.0,0.192,2011-11-18,0.198,0.19
0.205,265890.0,0.203,2011-11-21,0.205,0.192
0.201,96570.0,0.203,2011-11-22,0.203,0.191
0.203,188330.0,0.22,2011-11-23,0.23,0.203
0.201,48240.0,0.201,2011-11-24,0.201,0.201
0.21,727150.0,0.245,2011-11-25,0.25,0.21
0.25,827200.0,0.25,2011-11-28,0.28,0.24
0.224,449990.0,0.215,2011-11-29,0.224,0.21
0.225,156550.0,0.22,2011-12-01,0.225,0.2
