OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.72,35564300.0,0.77,2009-08-03,0.77,0.72
0.8,31486100.0,0.76,2009-08-04,0.81,0.76
0.76,6886100.0,0.75,2009-08-06,0.77,0.74
0.74,6910800.0,0.74,2009-08-07,0.76,0.73
0.74,10249000.0,0.74,2009-08-10,0.76,0.72
0.74,33325400.0,0.76,2009-08-11,0.77,0.73
0.76,88715100.0,0.8,2009-08-12,0.82,0.75
0.83,40318300.0,0.81,2009-08-13,0.85,0.81
0.82,16219900.0,0.79,2009-08-14,0.82,0.79
0.79,14048300.0,0.76,2009-08-17,0.8,0.76
0.74,18847700.0,0.76,2009-08-18,0.76,0.72
0.76,15320500.0,0.76,2009-08-19,0.79,0.75
0.77,15547200.0,0.75,2009-08-20,0.78,0.74
0.77,12415500.0,0.77,2009-08-24,0.79,0.76
0.77,5592700.0,0.75,2009-08-25,0.78,0.75
0.77,26518200.0,0.78,2009-08-26,0.8,0.77
0.84,60270600.0,0.88,2009-09-03,0.89,0.82
0.9,51251600.0,0.9,2009-09-04,0.91,0.89
0.86,16032300.0,0.83,2009-09-16,0.86,0.82
0.84,13302200.0,0.82,2009-09-17,0.86,0.82
0.83,27006100.0,0.85,2009-09-18,0.87,0.82
0.87,100522500.0,0.91,2009-09-22,0.93,0.87
0.94,40796000.0,0.92,2009-09-23,0.95,0.92
0.89,19952800.0,0.85,2009-09-30,0.89,0.85
0.85,25044400.0,0.84,2009-10-01,0.87,0.83
0.82,30356700.0,0.81,2009-10-02,0.83,0.81
0.82,13496300.0,0.81,2009-10-05,0.83,0.8
0.81,38334000.0,0.86,2009-10-06,0.87,0.81
0.88,23252000.0,0.86,2009-10-07,0.88,0.85
0.87,11595800.0,0.85,2009-10-08,0.88,0.84
0.85,11762000.0,0.84,2009-10-09,0.85,0.83
0.84,18274900.0,0.82,2009-10-12,0.86,0.82
0.83,13378000.0,0.84,2009-10-13,0.85,0.83
0.85,15064400.0,0.84,2009-10-14,0.86,0.83
0.85,6371100.0,0.84,2009-10-15,0.86,0.83
0.84,6918500.0,0.83,2009-10-16,0.85,0.82
0.83,3898700.0,0.83,2009-10-19,0.84,0.82
0.83,9535700.0,0.83,2009-10-20,0.85,0.83
0.83,4065400.0,0.83,2009-10-21,0.84,0.82
0.83,4346500.0,0.82,2009-10-22,0.83,0.81
0.83,6914800.0,0.83,2009-10-23,0.84,0.82
0.83,57058600.0,0.88,2009-10-26,0.9,0.81
0.9,49840800.0,0.88,2009-10-27,0.92,0.88
0.88,17291100.0,0.85,2009-10-28,0.88,0.84
0.84,11060900.0,0.84,2009-10-29,0.84,0.82
0.85,14041700.0,0.84,2009-10-30,0.86,0.83
0.84,8180300.0,0.83,2009-11-03,0.84,0.83
0.83,3724000.0,0.83,2009-11-04,0.85,0.82
0.84,3472400.0,0.83,2009-11-05,0.84,0.82
0.83,15232200.0,0.84,2009-11-06,0.84,0.83
0.84,20643300.0,0.85,2009-11-09,0.87,0.83
0.86,95018300.0,0.89,2009-11-10,0.92,0.86
0.89,49250600.0,0.9,2009-11-11,0.92,0.88
0.81,5225900.0,0.81,2009-12-15,0.83,0.8
0.83,24814100.0,0.8,2009-12-16,0.83,0.8
0.82,12280300.0,0.8,2009-12-17,0.82,0.77
0.79,8569700.0,0.8,2009-12-18,0.8,0.76
0.8,1520500.0,0.78,2009-12-21,0.8,0.78
0.78,4591000.0,0.79,2009-12-22,0.79,0.78
0.79,1271600.0,0.78,2009-12-23,0.79,0.77
0.79,3103700.0,0.8,2009-12-29,0.81,0.79
0.8,1716200.0,0.79,2010-01-04,0.8,0.78
0.79,1443600.0,0.79,2010-01-05,0.8,0.78
0.79,1735900.0,0.79,2010-01-06,0.8,0.78
0.79,9344900.0,0.83,2010-01-07,0.84,0.78
0.83,2739900.0,0.81,2010-01-08,0.84,0.81
0.83,1207100.0,0.81,2010-01-11,0.83,0.81
0.81,2129200.0,0.81,2010-01-12,0.81,0.8
0.8,1308200.0,0.8,2010-01-13,0.81,0.79
0.8,2611300.0,0.79,2010-01-14,0.81,0.79
0.8,1825300.0,0.8,2010-01-15,0.8,0.79
0.8,3277200.0,0.79,2010-01-18,0.8,0.78
0.79,1787700.0,0.78,2010-01-19,0.79,0.77
0.79,7233400.0,0.77,2010-01-20,0.79,0.77
0.77,4464000.0,0.78,2010-01-21,0.8,0.76
0.79,10386200.0,0.77,2010-01-22,0.79,0.76
0.77,8236200.0,0.76,2010-01-25,0.77,0.73
0.76,4300100.0,0.74,2010-01-26,0.78,0.73
0.75,12495900.0,0.72,2010-01-27,0.76,0.7
0.75,1772700.0,0.73,2010-01-28,0.75,0.71
0.72,2722300.0,0.71,2010-01-29,0.73,0.71
0.72,994800.0,0.71,2010-02-01,0.72,0.7
0.71,2999300.0,0.68,2010-02-02,0.71,0.67
0.7,14972200.0,0.65,2010-02-03,0.7,0.65
0.68,4269400.0,0.65,2010-02-04,0.68,0.64
0.64,4775900.0,0.63,2010-02-05,0.65,0.62
0.65,1501700.0,0.63,2010-02-08,0.65,0.62
0.63,4806500.0,0.61,2010-02-09,0.63,0.59
0.62,3218100.0,0.63,2010-02-10,0.64,0.62
0.64,536400.0,0.62,2010-02-11,0.64,0.62
0.66,1911600.0,0.65,2010-03-08,0.67,0.64
0.75,11849300.0,0.74,2010-03-12,0.76,0.73
0.75,8339800.0,0.72,2010-03-15,0.76,0.72
0.72,7877800.0,0.72,2010-03-16,0.74,0.71
0.72,17039300.0,0.74,2010-03-17,0.75,0.71
0.7,346800.0,0.7,2010-03-31,0.71,0.69
0.68,1667300.0,0.68,2010-04-20,0.7,0.68
0.69,1462900.0,0.69,2010-04-21,0.7,0.68
0.71,7338200.0,0.7,2010-04-22,0.73,0.7
0.7,760200.0,0.7,2010-04-23,0.7,0.69
0.69,8060100.0,0.68,2010-04-29,0.69,0.66
0.67,2599500.0,0.66,2010-04-30,0.68,0.65
0.67,1845200.0,0.66,2010-05-04,0.67,0.65
0.65,4249100.0,0.63,2010-05-05,0.65,0.62
0.68,786000.0,0.68,2010-05-13,0.69,0.67
0.68,7493900.0,0.66,2010-05-14,0.68,0.65
0.66,1274400.0,0.65,2010-05-17,0.66,0.65
0.66,670000.0,0.66,2010-05-18,0.66,0.65
0.65,4532000.0,0.64,2010-05-19,0.65,0.62
0.65,3574500.0,0.67,2010-05-20,0.67,0.64
0.66,795900.0,0.65,2010-05-21,0.66,0.63
0.64,1724500.0,0.64,2010-05-24,0.66,0.63
0.64,1349900.0,0.63,2010-05-25,0.64,0.62
0.63,2599700.0,0.63,2010-05-26,0.63,0.62
0.63,1008400.0,0.63,2010-05-27,0.64,0.63
0.65,3980500.0,0.65,2010-05-28,0.67,0.64
0.66,336000.0,0.65,2010-05-31,0.66,0.64
0.65,1928300.0,0.65,2010-06-01,0.65,0.64
0.65,19400.0,0.65,2010-06-02,0.65,0.64
0.65,1934600.0,0.64,2010-06-03,0.66,0.64
0.65,676700.0,0.66,2010-06-04,0.66,0.64
0.64,879000.0,0.65,2010-06-07,0.65,0.63
0.65,4406000.0,0.66,2010-06-08,0.67,0.63
0.66,15082400.0,0.68,2010-06-09,0.7,0.65
0.69,7922600.0,0.67,2010-06-10,0.7,0.66
0.68,3985200.0,0.67,2010-06-11,0.69,0.66
0.68,2587700.0,0.67,2010-06-15,0.68,0.65
0.67,4433800.0,0.69,2010-06-16,0.69,0.67
0.71,18495800.0,0.71,2010-06-21,0.73,0.69
0.71,6174800.0,0.69,2010-06-22,0.71,0.69
0.68,4572100.0,0.68,2010-06-23,0.7,0.68
0.68,3980300.0,0.68,2010-06-24,0.69,0.67
0.68,3632100.0,0.67,2010-06-25,0.68,0.67
0.67,3052400.0,0.67,2010-06-28,0.68,0.66
0.67,1453300.0,0.66,2010-06-29,0.67,0.66
0.66,3958000.0,0.65,2010-07-01,0.66,0.64
0.66,3499900.0,0.64,2010-07-02,0.66,0.64
0.64,872100.0,0.64,2010-07-06,0.65,0.63
0.64,3776700.0,0.64,2010-07-07,0.65,0.63
0.65,3849800.0,0.63,2010-07-08,0.65,0.62
0.63,3268000.0,0.63,2010-07-09,0.63,0.62
0.63,3222400.0,0.64,2010-07-13,0.64,0.62
0.63,2200900.0,0.65,2010-07-14,0.65,0.62
0.63,926400.0,0.64,2010-07-15,0.65,0.62
0.64,1874400.0,0.62,2010-07-16,0.64,0.62
0.63,2399800.0,0.62,2010-07-19,0.63,0.62
0.63,3603600.0,0.62,2010-07-20,0.63,0.61
0.63,1453000.0,0.62,2010-07-21,0.64,0.62
0.63,1482100.0,0.62,2010-07-22,0.63,0.62
0.62,1622700.0,0.62,2010-07-23,0.63,0.61
0.7,43384240.0,0.73,2010-09-20,0.8,0.7
0.75,26298570.0,0.7,2010-09-21,0.77,0.7
0.72,14926310.0,0.71,2010-09-22,0.72,0.69
0.72,12769840.0,0.72,2010-09-23,0.74,0.71
0.72,5458760.0,0.71,2010-09-24,0.73,0.7
0.73,5615800.0,0.7,2010-09-27,0.74,0.7
0.71,4783430.0,0.69,2010-09-28,0.72,0.69
0.7,7467650.0,0.69,2010-09-29,0.72,0.69
0.7,29374720.0,0.7,2010-09-30,0.74,0.69
0.7,6332940.0,0.71,2010-10-01,0.74,0.7
