OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1050.0,185240200.0,1100.0,2009-08-03,1110.0,1050.0
1110.0,100219950.0,1135.0,2009-08-04,1140.0,1110.0
1120.0,238001450.0,1010.0,2009-08-06,1120.0,1000.0
1010.0,158574150.0,1020.0,2009-08-07,1030.0,1010.0
1025.0,137127150.0,1025.0,2009-08-10,1040.0,1015.0
1025.0,33343450.0,1020.0,2009-08-11,1025.0,1015.0
1010.0,115957550.0,1025.0,2009-08-12,1030.0,1010.0
1025.0,63094850.0,1030.0,2009-08-13,1050.0,1025.0
1020.0,49399300.0,1015.0,2009-08-14,1020.0,1010.0
1010.0,35711500.0,990.0,2009-08-17,1010.0,985.0
975.0,43568950.0,970.0,2009-08-18,975.0,950.0
980.0,52689050.0,975.0,2009-08-19,990.0,975.0
980.0,49281600.0,980.0,2009-08-20,980.0,965.0
985.0,79420100.0,1010.0,2009-08-24,1035.0,985.0
1010.0,65761350.0,1015.0,2009-08-25,1020.0,1000.0
1015.0,40747050.0,1015.0,2009-08-26,1020.0,1010.0
1000.0,10872050.0,1010.0,2009-09-03,1010.0,1000.0
1000.0,66882700.0,1005.0,2009-09-04,1010.0,1000.0
985.0,14714650.0,980.0,2009-09-16,990.0,980.0
985.0,36734100.0,990.0,2009-09-17,995.0,985.0
995.0,8679400.0,990.0,2009-09-18,995.0,990.0
990.0,87427900.0,985.0,2009-09-22,995.0,980.0
985.0,32665200.0,1000.0,2009-09-23,1005.0,985.0
975.0,42161350.0,980.0,2009-09-30,980.0,970.0
975.0,41588850.0,995.0,2009-10-01,995.0,975.0
975.0,24028200.0,990.0,2009-10-02,990.0,975.0
1000.0,34660000.0,995.0,2009-10-05,1000.0,990.0
1000.0,54372350.0,995.0,2009-10-06,1010.0,995.0
1000.0,45125900.0,1015.0,2009-10-07,1015.0,1000.0
1015.0,64359550.0,1020.0,2009-10-08,1020.0,1000.0
1020.0,49775900.0,1010.0,2009-10-09,1020.0,1005.0
1015.0,22168000.0,1010.0,2009-10-12,1015.0,1005.0
1015.0,62110950.0,1015.0,2009-10-13,1015.0,1005.0
1010.0,48279700.0,1010.0,2009-10-14,1015.0,1010.0
