OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
511.0,7764935.0,498.0,2014-08-22,511.0,488.0
499.0,4324294.0,495.0,2014-08-26,499.0,495.0
494.8,17666730.0,485.0,2014-08-27,494.8,485.0
485.0,9446110.0,489.0,2014-08-28,490.0,480.0
489.0,7150030.0,487.0,2014-08-29,490.0,487.0
488.0,10009360.0,488.0,2014-09-01,488.0,480.0
487.0,788940.0,487.0,2014-09-02,487.0,487.0
488.0,6787260.0,488.0,2014-09-03,488.0,487.0
487.0,21892840.0,488.0,2014-09-04,489.0,487.0
489.0,8347230.0,489.0,2014-09-05,489.0,489.0
490.0,4704000.0,490.0,2014-09-08,490.0,490.0
490.0,12444100.0,490.0,2014-09-09,492.0,490.0
492.0,2924170.0,493.0,2014-09-10,494.0,492.0
495.0,10543350.0,495.0,2014-09-11,495.0,494.8
496.0,20655500.0,499.0,2014-09-12,499.0,496.0
499.8,6909600.0,500.0,2014-09-15,500.0,499.8
502.0,15982500.0,505.0,2014-09-16,505.0,502.0
500.0,766650.0,503.0,2014-09-17,505.0,500.0
503.0,3187720.0,502.0,2014-09-18,503.0,502.0
500.5,1426425.0,500.5,2014-09-22,500.5,500.5
501.0,9550960.0,506.0,2014-09-23,506.0,501.0
506.0,546620.0,507.0,2014-09-24,508.0,506.0
507.0,9777815.0,501.0,2014-09-25,507.0,500.5
503.0,4797875.0,500.0,2014-09-26,503.0,500.0
500.0,7315520.0,500.0,2014-09-29,505.0,500.0
500.0,3000550.0,497.0,2014-09-30,500.0,497.0
498.0,2353520.0,497.0,2014-10-01,500.0,497.0
497.0,974120.0,497.0,2014-10-02,497.0,497.0
497.0,318040.0,496.0,2014-10-03,497.0,496.0
497.0,372550.0,496.0,2014-10-07,497.0,496.0
497.0,1158196.0,497.2,2014-10-08,497.2,497.0
495.2,44568.0,495.2,2014-10-09,495.2,495.2
495.0,2569050.0,495.0,2014-10-10,495.0,495.0
495.0,192700.0,494.0,2014-10-13,495.0,494.0
494.0,3363772.0,492.0,2014-10-14,494.0,491.0
492.0,2997020.0,494.0,2014-10-15,495.0,492.0
492.6,2074520.0,494.0,2014-10-16,494.0,492.6
494.0,1985880.0,494.0,2014-10-17,494.0,494.0
494.0,51454890.0,494.0,2014-10-20,494.0,493.0
494.0,1155912.0,494.0,2014-10-21,494.0,493.2
494.0,395210.0,494.0,2014-10-22,495.0,494.0
494.0,1398020.0,494.0,2014-10-23,494.0,494.0
494.0,10635820.0,494.0,2014-10-24,494.0,494.0
494.0,153140.0,494.0,2014-10-27,494.0,494.0
495.0,12424310.0,493.0,2014-10-28,495.0,493.0
493.0,592246.0,493.0,2014-10-29,494.0,493.0
494.0,4940.0,494.0,2014-10-30,494.0,494.0
493.0,369750.0,493.0,2014-10-31,493.0,493.0
493.2,98620.0,493.0,2014-11-03,493.2,493.0
493.0,3466880.0,494.0,2014-11-04,494.0,493.0
493.0,113562550.0,493.0,2014-11-05,493.0,493.0
495.0,128040.0,492.0,2014-11-06,495.0,492.0
492.0,2125480.0,492.2,2014-11-07,492.2,492.0
492.2,19658972.0,495.4,2014-11-10,495.4,492.0
494.0,1235000.0,494.0,2014-11-11,494.0,494.0
495.2,49520.0,495.2,2014-11-13,495.2,495.2
498.0,99600.0,498.0,2014-11-17,498.0,498.0
496.0,1136148.0,498.6,2014-11-18,498.6,496.0
499.0,3088642.0,498.2,2014-11-19,499.0,498.2
499.0,7335730.0,500.0,2014-11-20,500.0,498.0
500.0,595000.0,500.0,2014-11-21,500.0,500.0
497.0,2448970.0,501.0,2014-11-25,501.0,497.0
501.0,355710.0,501.0,2014-11-26,501.0,501.0
501.0,40568110.0,501.0,2014-11-27,501.0,500.0
501.0,5065110.0,501.0,2014-11-28,501.0,501.0
500.0,714460.0,494.8,2014-12-01,500.0,494.8
495.0,3806410.0,494.6,2014-12-05,495.0,494.6
494.2,34825870.0,494.6,2014-12-09,500.0,494.0
500.0,5000000.0,500.0,2014-12-10,500.0,500.0
494.6,79136.0,494.6,2014-12-11,494.6,494.6
495.0,1515600.0,500.0,2014-12-12,500.0,495.0
497.0,1789820.0,500.0,2014-12-15,500.0,497.0
499.0,2495000.0,499.0,2014-12-16,499.0,499.0
500.0,4007400.0,501.0,2014-12-17,501.0,500.0
498.0,1124520.0,498.2,2014-12-18,500.0,498.0
498.0,49800.0,498.0,2014-12-19,498.0,498.0
502.0,15196600.0,502.0,2014-12-23,502.0,500.0
500.0,1750000.0,500.0,2015-01-05,500.0,500.0
500.0,5770000.0,500.0,2015-01-06,500.0,500.0
501.0,7525020.0,502.0,2015-01-07,502.0,501.0
503.0,50300.0,503.0,2015-01-08,503.0,503.0
502.5,5634130.0,503.5,2015-01-09,503.5,502.0
502.5,4658270.0,498.0,2015-01-12,502.5,498.0
503.0,653900.0,503.0,2015-01-14,503.0,503.0
504.0,15120.0,504.0,2015-01-19,504.0,504.0
503.0,2787640.0,503.5,2015-01-20,503.5,503.0
500.0,2639020.0,502.0,2015-01-21,502.0,500.0
502.0,386760.0,500.0,2015-01-22,502.5,500.0
497.0,4497300.0,503.5,2015-01-23,503.5,497.0
503.5,9155055.0,499.0,2015-01-26,504.0,499.0
503.0,7071090.0,504.0,2015-01-27,504.0,503.0
503.5,12537520.0,504.0,2015-01-28,504.0,503.5
498.2,99640.0,498.2,2015-01-29,498.2,498.2
500.0,2981304.0,500.0,2015-01-30,500.0,498.0
500.0,7311500.0,497.0,2015-02-02,500.0,497.0
499.0,2820988.0,500.0,2015-02-03,500.0,495.0
501.0,5010000.0,501.0,2015-02-04,501.0,501.0
501.0,4556100.0,500.0,2015-02-05,501.0,500.0
500.0,8121350.0,501.0,2015-02-06,502.0,500.0
501.0,6060020.0,500.0,2015-02-09,501.0,500.0
501.0,9987300.0,502.0,2015-02-10,502.0,499.0
499.0,149700.0,499.0,2015-02-11,499.0,499.0
501.5,5897600.0,500.0,2015-02-12,502.0,500.0
499.0,1322350.0,499.0,2015-02-13,499.0,499.0
499.0,3623950.0,499.4,2015-02-16,502.0,499.0
499.6,1303634.0,499.6,2015-02-17,499.6,499.4
501.5,5039800.0,500.0,2015-02-18,502.0,500.0
500.0,5091260.0,502.0,2015-02-20,502.0,499.0
499.2,1048320.0,499.2,2015-02-23,499.2,499.2
499.2,14974780.0,504.0,2015-02-24,504.0,499.2
500.0,2250000.0,500.0,2015-02-26,500.0,500.0
500.0,6204870.0,501.5,2015-02-27,502.0,500.0
500.0,1236830.0,500.5,2015-03-02,503.0,500.0
500.5,2376720.0,500.0,2015-03-03,503.0,500.0
504.0,37756315.0,505.5,2015-03-04,506.0,504.0
505.5,379450.0,506.0,2015-03-05,506.0,505.5
508.0,9612200.0,510.0,2015-03-06,510.0,508.0
510.0,3748560.0,512.0,2015-03-09,512.0,510.0
508.0,356600.0,510.0,2015-03-11,510.0,508.0
510.0,8465900.0,509.0,2015-03-12,510.0,509.0
509.0,3152750.0,508.5,2015-03-13,509.0,508.5
509.0,2395050.0,510.0,2015-03-16,510.0,508.0
508.0,304950.0,508.5,2015-03-17,508.5,508.0
508.0,50800.0,508.0,2015-03-18,508.0,508.0
506.0,2018940.0,506.0,2015-03-19,506.0,506.0
506.0,495880.0,506.0,2015-03-20,506.0,506.0
506.0,1518000.0,506.0,2015-03-23,506.0,506.0
505.0,5178550.0,506.0,2015-03-24,508.0,505.0
506.0,4402200.0,506.0,2015-03-25,506.0,506.0
515.0,1030000.0,515.0,2015-03-26,515.0,515.0
515.0,2162820.0,506.0,2015-03-27,515.0,506.0
506.5,50650.0,506.5,2015-03-30,506.5,506.5
513.0,5075130.0,507.0,2015-04-06,513.0,507.0
507.0,55800.0,507.5,2015-04-08,507.5,507.0
508.0,1010920.0,508.0,2015-04-10,508.0,508.0
525.0,220500.0,525.0,2015-04-13,525.0,525.0
510.0,1759500.0,510.0,2015-04-14,510.0,510.0
511.0,1199925.0,510.5,2015-04-16,511.0,510.5
511.0,25550.0,511.0,2015-04-17,511.0,511.0
511.0,6098305.0,525.0,2015-04-20,525.0,511.0
511.0,255500.0,511.0,2015-04-21,511.0,511.0
512.0,4406390.0,514.5,2015-04-23,514.5,511.0
512.0,3288495.0,510.5,2015-04-24,512.0,510.5
510.5,505395.0,510.5,2015-04-27,510.5,510.5
511.0,669340.0,515.0,2015-04-28,515.0,511.0
511.0,1415920.0,512.0,2015-04-29,514.0,511.0
511.0,7511700.0,511.0,2015-04-30,511.0,511.0
511.0,255500.0,511.0,2015-05-06,511.0,511.0
511.0,51100.0,511.0,2015-05-07,511.0,511.0
513.0,748980.0,513.0,2015-05-08,513.0,513.0
515.0,1107900.0,520.0,2015-05-11,520.0,515.0
520.0,494000.0,520.0,2015-05-14,520.0,520.0
520.0,4680000.0,520.0,2015-05-15,520.0,520.0
520.0,650000.0,520.0,2015-05-19,520.0,520.0
521.0,2446710.0,520.0,2015-05-20,521.0,520.0
520.0,78000.0,520.0,2015-05-21,520.0,520.0
520.0,1248400.0,521.0,2015-05-22,521.0,520.0
521.0,52100.0,521.0,2015-05-25,521.0,521.0
523.0,3242300.0,520.0,2015-05-26,523.0,520.0
520.5,2704500.0,520.0,2015-05-28,520.5,520.0
520.0,12957100.0,519.0,2015-05-29,520.0,519.0
518.0,379400.0,520.0,2015-06-01,520.0,518.0
525.0,1707200.0,525.0,2015-06-02,530.0,525.0
520.0,83200.0,520.0,2015-06-03,520.0,520.0
525.0,21000.0,525.0,2015-06-05,525.0,525.0
520.0,1560000.0,520.0,2015-06-10,520.0,520.0
520.0,462800.0,520.0,2015-06-15,520.0,520.0
520.0,1045200.0,520.0,2015-06-16,520.0,520.0
520.0,104000.0,520.0,2015-06-22,520.0,520.0
530.0,1749000.0,530.0,2015-06-23,530.0,530.0
520.0,1097200.0,520.0,2015-06-30,520.0,520.0
521.0,4484600.0,521.0,2015-07-01,521.0,520.0
523.0,1307500.0,523.0,2015-07-02,523.0,523.0
523.0,188380.0,523.0,2015-07-03,533.0,523.0
522.0,182700.0,522.0,2015-07-06,522.0,522.0
525.0,599650.0,521.0,2015-07-07,525.0,521.0
521.0,104200.0,521.0,2015-07-08,521.0,521.0
520.0,52000.0,520.0,2015-07-10,520.0,520.0
520.0,260000.0,520.0,2015-07-14,520.0,520.0
525.0,26250.0,525.0,2015-07-15,525.0,525.0
525.0,2362500.0,525.0,2015-07-20,525.0,525.0
525.0,47250.0,525.0,2015-07-21,525.0,525.0
525.5,10510.0,525.5,2015-07-22,525.5,525.5
