OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
6.8,2928600.0,6.8,2009-08-03,6.8,6.7
6.9,11590600.0,6.9,2009-08-04,7.1,6.8
7.0,2510600.0,6.7,2009-08-06,7.0,6.7
6.8,3769100.0,6.7,2009-08-07,6.8,6.7
6.8,1072900.0,6.7,2009-08-10,6.8,6.7
6.7,2343500.0,6.7,2009-08-11,6.9,6.7
6.8,1704900.0,6.7,2009-08-12,6.8,6.7
6.8,34940200.0,7.8,2009-08-13,7.8,6.8
7.8,8749400.0,7.4,2009-08-14,8.0,7.4
7.5,4135500.0,7.2,2009-08-17,7.5,7.2
7.0,3593700.0,7.2,2009-08-18,7.2,6.9
7.2,7007000.0,7.4,2009-08-19,7.4,7.1
7.4,2516700.0,7.5,2009-08-20,7.5,7.4
7.6,2955300.0,7.6,2009-08-24,7.6,7.5
7.6,3077900.0,7.5,2009-08-25,7.6,7.4
7.5,4280100.0,7.6,2009-08-26,7.6,7.5
7.8,3393100.0,7.9,2009-09-03,7.9,7.7
7.9,15934400.0,8.3,2009-09-04,8.5,7.9
8.3,1817900.0,8.3,2009-09-16,8.4,8.3
8.3,1441800.0,8.2,2009-09-17,8.3,8.2
8.2,3744400.0,8.2,2009-09-18,8.3,8.1
8.3,1619500.0,8.3,2009-09-22,8.3,8.2
8.2,4786800.0,8.4,2009-09-23,8.5,8.2
8.2,4916400.0,8.2,2009-09-30,8.2,8.1
8.2,1025700.0,8.3,2009-10-01,8.3,8.2
8.2,2113900.0,8.2,2009-10-02,8.2,8.1
8.2,278800.0,8.2,2009-10-05,8.2,8.2
8.3,2772600.0,8.2,2009-10-06,8.3,8.1
8.2,2406800.0,8.3,2009-10-07,8.3,8.2
8.3,3614600.0,8.4,2009-10-08,8.4,8.3
8.4,1050000.0,8.4,2009-10-09,8.4,8.4
8.3,987700.0,8.3,2009-10-12,8.3,8.3
8.3,1646900.0,8.3,2009-10-13,8.5,8.2
8.3,1506500.0,8.4,2009-10-14,8.4,8.3
8.4,770600.0,8.3,2009-10-15,8.4,8.3
8.3,3333800.0,8.4,2009-10-16,8.4,8.3
8.4,292900.0,8.3,2009-10-19,8.4,8.3
8.4,4930200.0,8.3,2009-10-20,8.4,8.3
8.4,616000.0,8.3,2009-10-21,8.4,8.3
8.4,2124900.0,8.2,2009-10-22,8.4,8.2
8.2,710800.0,8.3,2009-10-23,8.3,8.2
8.3,1617400.0,8.2,2009-10-26,8.3,8.0
8.1,2365700.0,8.1,2009-10-27,8.2,8.0
8.0,320500.0,8.0,2009-10-28,8.1,8.0
8.0,1571100.0,7.8,2009-10-29,8.0,7.8
8.0,2834200.0,8.0,2009-10-30,8.1,8.0
8.0,1755300.0,7.9,2009-11-03,8.0,7.9
7.8,515600.0,7.8,2009-11-04,7.9,7.8
7.9,898100.0,7.8,2009-11-05,7.9,7.8
7.9,1445000.0,7.9,2009-11-06,8.0,7.8
7.9,568800.0,7.9,2009-11-09,7.9,7.9
7.9,5430100.0,8.0,2009-11-10,8.0,7.9
8.0,2478200.0,7.9,2009-11-11,8.0,7.9
7.7,154500.0,7.8,2009-12-15,7.8,7.7
7.8,139800.0,7.7,2009-12-16,7.8,7.7
7.7,739200.0,7.7,2009-12-17,7.7,7.7
7.7,569800.0,7.7,2009-12-18,7.7,7.7
7.8,285800.0,7.7,2009-12-21,7.8,7.7
7.7,184800.0,7.7,2009-12-22,7.7,7.7
7.7,1063700.0,7.7,2009-12-23,7.8,7.7
7.6,3201600.0,7.8,2009-12-29,7.8,7.6
7.7,993100.0,7.7,2010-01-04,7.7,7.6
7.8,4196600.0,7.7,2010-01-05,7.8,7.7
7.7,5485300.0,7.6,2010-01-06,7.7,7.6
7.6,3328700.0,7.6,2010-01-07,7.6,7.5
7.6,750900.0,7.5,2010-01-08,7.6,7.5
7.6,3917600.0,7.6,2010-01-11,7.7,7.6
7.6,5187900.0,7.7,2010-01-12,7.7,7.6
7.7,1024100.0,7.7,2010-01-13,7.7,7.7
7.7,816200.0,7.7,2010-01-14,7.7,7.7
7.7,869600.0,7.7,2010-01-15,7.7,7.6
7.6,730000.0,7.7,2010-01-18,7.7,7.6
7.6,2135600.0,7.6,2010-01-19,7.6,7.6
7.6,45300.0,7.5,2010-01-20,7.6,7.5
7.5,2038900.0,7.6,2010-01-21,7.6,7.5
7.5,2407300.0,7.6,2010-01-22,7.6,7.5
7.5,2035100.0,7.4,2010-01-25,7.5,7.3
7.4,2421700.0,7.3,2010-01-26,7.4,7.2
7.3,2171000.0,7.1,2010-01-27,7.3,7.0
7.0,577600.0,7.3,2010-01-28,7.3,7.0
7.3,939500.0,7.4,2010-01-29,7.4,7.3
7.4,2466700.0,7.2,2010-02-01,7.4,7.2
7.6,1197500.0,7.3,2010-02-02,7.6,7.3
7.2,273600.0,7.2,2010-02-03,7.2,7.2
7.2,2082300.0,7.1,2010-02-04,7.2,7.1
7.1,4609900.0,7.1,2010-02-05,7.1,7.0
7.1,1420000.0,7.1,2010-02-08,7.1,7.1
7.0,518000.0,7.0,2010-02-09,7.0,7.0
7.0,586500.0,7.1,2010-02-10,7.1,7.0
7.1,844400.0,7.1,2010-02-11,7.1,7.0
7.4,629100.0,7.5,2010-03-08,7.5,7.4
7.4,488400.0,7.4,2010-03-12,7.4,7.4
7.4,1274800.0,7.3,2010-03-15,7.4,7.3
7.3,211700.0,7.3,2010-03-16,7.3,7.3
