OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
6.9,5827600.0,7.0,2009-08-03,7.0,6.9
7.1,11050300.0,7.1,2009-08-04,7.3,7.1
7.0,2706000.0,6.9,2009-08-06,7.0,6.9
6.8,1372800.0,6.8,2009-08-07,6.9,6.8
6.9,2801900.0,6.9,2009-08-10,7.0,6.9
6.8,1814400.0,6.8,2009-08-11,6.8,6.7
6.7,1263500.0,6.8,2009-08-12,6.8,6.7
6.9,36939400.0,7.6,2009-08-13,7.6,6.9
7.6,15650400.0,7.4,2009-08-14,7.8,7.3
7.2,151200.0,7.2,2009-08-17,7.2,7.2
7.1,3227800.0,7.1,2009-08-18,7.1,6.9
7.2,9448200.0,7.4,2009-08-19,7.5,7.2
7.5,1913300.0,7.3,2009-08-20,7.5,7.3
7.4,10566500.0,7.5,2009-08-24,7.5,7.4
7.5,4732000.0,7.5,2009-08-25,7.5,7.4
7.5,4035000.0,7.5,2009-08-26,7.5,7.5
7.3,1846700.0,7.7,2009-09-03,7.7,7.3
7.8,27191700.0,8.3,2009-09-04,8.5,7.8
8.5,7484800.0,8.5,2009-09-16,8.5,8.3
8.4,5936900.0,8.5,2009-09-17,8.5,8.4
8.4,3841500.0,8.5,2009-09-18,8.5,8.4
8.2,24169600.0,8.2,2009-09-22,8.3,8.2
8.2,1416500.0,8.5,2009-09-23,8.5,8.2
8.2,7157500.0,8.4,2009-09-30,8.4,8.2
8.3,13544700.0,8.5,2009-10-01,8.5,8.3
8.1,2114200.0,8.4,2009-10-02,8.4,8.1
8.2,6352400.0,8.4,2009-10-05,8.4,8.2
8.2,3452300.0,8.3,2009-10-06,8.3,8.2
8.3,1494000.0,8.3,2009-10-07,8.3,8.3
8.3,149500.0,8.4,2009-10-08,8.4,8.3
8.4,1873200.0,8.4,2009-10-09,8.4,8.4
8.5,16900.0,8.4,2009-10-12,8.5,8.4
8.3,1336300.0,8.3,2009-10-13,8.3,8.3
8.3,7710800.0,8.4,2009-10-14,8.4,8.3
8.3,25032800.0,8.3,2009-10-15,8.3,8.3
8.3,19748100.0,8.4,2009-10-16,8.4,8.3
8.4,1943900.0,8.3,2009-10-19,8.4,8.3
8.3,2680900.0,8.3,2009-10-20,8.3,8.3
8.3,5773800.0,8.3,2009-10-21,8.3,8.2
8.2,1172600.0,8.2,2009-10-22,8.2,8.2
8.1,12375900.0,8.1,2009-10-23,8.2,8.0
8.1,7779500.0,8.0,2009-10-26,8.1,8.0
8.0,1860500.0,8.1,2009-10-27,8.1,7.9
8.0,21860300.0,8.0,2009-10-28,8.0,7.9
7.8,7245500.0,7.7,2009-10-29,7.8,7.7
7.9,18107200.0,7.8,2009-10-30,7.9,7.7
7.7,4042500.0,7.7,2009-11-03,7.7,7.7
7.7,254100.0,7.7,2009-11-04,7.7,7.7
7.7,800800.0,7.7,2009-11-05,7.7,7.7
7.7,818700.0,7.8,2009-11-06,7.8,7.7
7.7,1442300.0,7.7,2009-11-09,7.8,7.7
7.7,21260200.0,7.8,2009-11-10,7.8,7.7
7.7,23392700.0,7.7,2009-11-11,7.8,7.7
7.8,8393500.0,7.8,2009-12-16,7.8,7.7
7.7,13282900.0,7.8,2009-12-17,7.8,7.7
7.8,998400.0,7.8,2009-12-21,7.8,7.8
7.7,43808500.0,7.7,2009-12-22,7.7,7.6
7.7,44313500.0,7.7,2009-12-23,7.7,7.7
7.6,10289500.0,8.1,2009-12-29,8.1,7.6
7.9,724800.0,7.8,2010-01-04,7.9,7.7
7.7,2733500.0,7.7,2010-01-05,7.7,7.7
7.7,14326100.0,7.7,2010-01-06,7.7,7.6
7.6,1284300.0,7.5,2010-01-07,7.6,7.5
7.6,81833300.0,7.5,2010-01-08,7.6,7.5
7.6,3240000.0,7.6,2010-01-11,7.7,7.6
7.6,8086500.0,7.6,2010-01-12,7.7,7.6
7.7,4420700.0,7.7,2010-01-13,7.7,7.6
7.6,10079300.0,7.6,2010-01-14,7.6,7.4
7.6,6408800.0,7.6,2010-01-15,7.7,7.6
7.5,2527500.0,7.5,2010-01-18,7.5,7.5
7.5,1177500.0,7.5,2010-01-19,7.5,7.5
7.5,9090000.0,7.5,2010-01-20,7.5,7.5
7.5,1755000.0,7.5,2010-01-21,7.5,7.5
7.5,91222500.0,7.5,2010-01-22,7.5,7.5
7.4,8606200.0,7.4,2010-01-25,7.4,7.4
7.4,15741300.0,7.1,2010-01-26,7.4,7.1
7.1,2401600.0,7.0,2010-01-27,7.1,7.0
7.0,6297200.0,7.4,2010-01-28,7.4,7.0
7.3,6884900.0,7.3,2010-01-29,7.4,7.3
7.2,2272900.0,7.3,2010-02-01,7.3,7.1
