OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
30.0,51000.0,30.0,2011-09-28,30.0,30.0
33.0,33000.0,33.0,2011-10-24,33.0,33.0
48.0,4800.0,48.0,2012-01-05,48.0,48.0
70.0,30500.0,48.0,2012-01-06,70.0,31.0
26.0,9680.0,35.4,2012-01-09,35.4,26.0
30.0,6000.0,30.0,2012-01-12,30.0,30.0
44.85,17975.0,45.0,2012-03-22,45.0,44.85
26.8,5360.0,26.8,2012-04-13,26.8,26.8
33.0,33000.0,33.0,2012-05-31,33.0,33.0
33.0,13018500.0,33.0,2012-06-05,33.0,33.0
40.0,12000.0,40.0,2012-07-09,40.0,40.0
43.0,43500.0,44.0,2012-08-01,44.0,43.0
45.0,135000.0,45.0,2012-08-10,45.0,45.0
45.0,45000.0,45.0,2012-10-04,45.0,45.0
45.0,13500.0,45.0,2014-04-14,45.0,45.0
45.0,4500.0,45.0,2014-05-14,45.0,45.0
45.0,9000.0,45.0,2014-05-15,45.0,45.0
40.0,4000.0,40.0,2014-05-19,40.0,40.0
40.0,11600.0,38.0,2014-06-19,40.0,38.0
47.0,9400.0,47.0,2014-06-24,47.0,47.0
49.5,184285.0,50.0,2014-06-26,70.5,49.5
70.0,114524.0,49.1,2014-06-27,70.0,49.0
51.95,5195.0,51.95,2014-07-17,51.95,51.95
42.0,38767.0,46.5,2014-07-21,46.5,41.0
35.5,7100.0,35.5,2014-10-13,35.5,35.5
35.5,28400.0,35.5,2014-10-14,35.5,35.5
30.0,6000.0,30.0,2014-10-23,30.0,30.0
25.0,5000.0,25.0,2014-12-11,25.0,25.0
20.2,22845.0,24.0,2015-01-07,24.0,20.2
24.0,7200.0,24.0,2015-01-08,24.0,24.0
24.0,19200.0,24.0,2015-01-14,24.0,24.0
24.0,7200.0,24.0,2015-01-19,24.0,24.0
24.0,2400.0,24.0,2015-01-23,24.0,24.0
24.05,2405.0,24.05,2015-01-27,24.05,24.05
24.2,9680.0,24.2,2015-03-05,24.2,24.2
29.95,2995.0,29.95,2015-03-16,29.95,29.95
30.0,762180.0,44.9,2015-05-04,44.9,30.0
50.0,997430.0,45.9,2015-05-05,59.0,38.0
46.9,760930.0,39.0,2015-05-06,46.9,32.0
40.5,521360.0,32.0,2015-05-07,44.0,28.0
23.5,56470.0,30.4,2015-05-08,30.4,23.5
30.4,34950.0,22.0,2015-05-11,30.4,22.0
22.0,81140.0,24.0,2015-05-12,25.5,22.0
27.0,19980.0,28.5,2015-05-13,29.9,27.0
28.0,31600.0,28.0,2015-05-14,28.0,26.0
27.0,28500.0,27.0,2015-05-15,27.0,25.0
27.5,11000.0,27.5,2015-05-19,27.5,27.5
39.0,69450.0,27.5,2015-05-20,39.0,27.5
27.0,9815.0,25.0,2015-05-21,27.0,23.0
25.0,5100.0,26.0,2015-05-22,26.0,25.0
24.05,4810.0,24.05,2015-05-29,24.05,24.05
24.05,99850.0,23.0,2015-06-05,24.05,22.2
22.25,116855.0,21.2,2015-06-08,22.25,21.0
21.0,133780.0,21.0,2015-06-09,23.0,21.0
21.0,10500.0,21.0,2015-06-10,21.0,21.0
21.0,79105.0,21.95,2015-06-22,28.0,21.0
19.0,109118.0,17.02,2015-06-23,20.0,17.02
17.04,35752.0,17.02,2015-06-29,17.04,17.02
17.04,1704.0,17.04,2015-07-24,17.04,17.04
17.04,3408.0,17.04,2015-08-17,17.04,17.04
17.2,1720.0,17.2,2015-08-20,17.2,17.2
17.1,6840.000000000001,17.1,2015-08-28,17.1,17.1
17.2,15480.0,17.2,2015-09-01,17.2,17.2
19.8,3960.0,19.8,2015-09-10,19.8,19.8
16.9,25350.0,16.9,2015-10-05,16.9,16.9
21.0,2100.0,21.0,2015-10-16,21.0,21.0
21.5,4300.0,21.5,2015-10-20,21.5,21.5
21.5,2150.0,21.5,2015-11-02,21.5,21.5
21.5,3788300.0,21.5,2015-11-26,21.5,21.5
21.5,2900350.0,21.5,2015-12-07,21.5,21.5
21.45,2809950.0,21.45,2015-12-09,21.45,21.45
21.0,1364250.0,17.8,2015-12-23,21.0,17.8
17.8,923820.0,17.8,2015-12-29,17.8,17.8
17.8,3560.0,17.8,2016-01-07,17.8,17.8
21.45,8580.0,21.45,2016-01-08,21.45,21.45
21.0,663600.0,21.0,2016-01-11,21.0,21.0
21.0,3507000.0,21.0,2016-01-25,21.0,21.0
17.58,1757.9999999999998,17.58,2016-02-03,17.58,17.58
17.58,3515.9999999999995,17.58,2016-02-04,17.58,17.58
17.56,1074672.0,17.56,2016-02-05,17.56,17.56
21.4,14905.0,21.25,2016-03-01,21.4,21.25
21.35,8540.0,21.35,2016-03-02,21.35,21.35
18.26,5478.0,18.26,2016-03-08,18.26,18.26
18.26,1826.0,18.26,2016-03-09,18.26,18.26
18.14,9070.0,18.14,2016-03-15,18.14,18.14
18.14,3628.0,18.14,2016-03-18,18.14,18.14
20.75,985900.0,20.8,2016-03-23,20.8,20.75
22.5,6950.0,23.5,2016-03-28,23.5,22.5
28.95,252455.0,35.25,2016-03-29,35.25,28.95
38.0,1350230.0,28.45,2016-03-30,52.0,21.0
28.45,63875.0,26.5,2016-03-31,28.45,26.5
20.0,18230.0,20.55,2016-04-01,20.55,20.0
29.0,1591630.0,27.5,2016-04-04,29.0,25.0
27.5,12750.0,25.0,2016-04-05,27.5,25.0
24.05,12025.0,24.05,2016-04-06,24.05,24.05
27.25,114215.0,24.0,2016-04-07,27.25,24.0
