OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.125,3405800.0,0.13,2009-08-03,0.13,0.12
0.125,3230500.0,0.13,2009-08-04,0.13,0.125
0.125,1585300.0,0.13,2009-08-06,0.13,0.125
0.125,6689550.0,0.125,2009-08-07,0.13,0.12
0.12,2339100.0,0.125,2009-08-10,0.125,0.12
0.125,8274750.0,0.125,2009-08-11,0.125,0.12
0.12,10385700.0,0.12,2009-08-12,0.12,0.115
0.12,3126350.0,0.125,2009-08-13,0.125,0.12
0.12,1300300.0,0.115,2009-08-14,0.125,0.115
0.12,4266600.0,0.12,2009-08-17,0.12,0.11
0.12,555150.0,0.12,2009-08-18,0.12,0.115
0.115,656800.0,0.12,2009-08-19,0.12,0.115
0.12,5737300.0,0.125,2009-08-20,0.125,0.115
0.12,3692000.0,0.125,2009-08-24,0.125,0.115
0.125,2618600.0,0.125,2009-08-25,0.125,0.115
0.125,924300.0,0.125,2009-08-26,0.125,0.12
0.12,5142500.0,0.125,2009-09-03,0.125,0.12
0.125,4435450.0,0.125,2009-09-04,0.125,0.115
0.12,8675600.0,0.125,2009-09-16,0.13,0.12
0.125,13599550.0,0.13,2009-09-17,0.13,0.12
0.125,16293100.0,0.13,2009-09-18,0.13,0.12
0.125,3548250.0,0.13,2009-09-22,0.13,0.125
0.125,2999100.0,0.13,2009-09-23,0.13,0.12
0.125,7341250.0,0.125,2009-09-30,0.125,0.115
0.125,5938450.0,0.12,2009-10-01,0.125,0.115
0.115,1382150.0,0.115,2009-10-02,0.12,0.115
0.12,7355600.0,0.11,2009-10-05,0.12,0.11
0.105,5149300.0,0.115,2009-10-06,0.115,0.105
0.115,692400.0,0.115,2009-10-07,0.115,0.11
0.11,5833150.0,0.115,2009-10-08,0.115,0.105
0.11,273100.0,0.115,2009-10-09,0.115,0.11
0.115,1361900.0,0.115,2009-10-12,0.115,0.11
0.115,1915000.0,0.115,2009-10-13,0.115,0.11
0.11,274000.0,0.115,2009-10-14,0.115,0.11
0.115,854400.0,0.115,2009-10-15,0.115,0.11
0.11,18552150.0,0.125,2009-10-16,0.125,0.11
0.12,2667750.0,0.125,2009-10-19,0.125,0.12
0.12,4300800.0,0.125,2009-10-20,0.125,0.115
0.12,8049500.0,0.125,2009-10-21,0.125,0.115
0.115,5336600.0,0.125,2009-10-22,0.125,0.115
0.12,2060900.0,0.125,2009-10-23,0.125,0.12
0.125,1978700.0,0.125,2009-10-26,0.125,0.12
0.12,3103450.0,0.125,2009-10-27,0.125,0.12
0.12,10384600.0,0.125,2009-10-28,0.13,0.12
0.125,5658300.0,0.125,2009-10-29,0.125,0.115
0.12,1572500.0,0.125,2009-10-30,0.125,0.12
0.115,12197000.0,0.12,2009-11-03,0.13,0.115
