OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
17.25,25875.0,17.25,2009-08-03,17.25,17.25
17.25,70725.0,17.25,2009-08-04,17.25,17.25
17.5,2682275.0,18.0,2009-08-06,18.5,17.5
18.25,14393400.0,18.75,2009-08-07,18.75,18.0
18.75,1937450.0,18.25,2009-08-10,18.75,18.25
18.25,1757475.0,18.25,2009-08-11,18.25,18.25
18.25,3432825.0,18.25,2009-08-12,18.25,18.25
18.25,4515050.0,18.25,2009-08-13,18.25,18.25
18.25,12509600.0,18.5,2009-08-14,18.5,18.25
18.5,3664725.0,18.25,2009-08-17,18.5,18.25
17.75,1687325.0,17.75,2009-08-18,17.75,17.5
18.0,126000.0,18.0,2009-08-19,18.0,18.0
18.0,160200.0,18.0,2009-08-20,18.0,18.0
18.25,1278075.0,18.0,2009-08-24,18.25,18.0
18.0,1005600.0,18.0,2009-08-25,18.25,18.0
18.0,2038375.0,17.75,2009-08-26,18.0,17.75
18.0,340200.0,18.0,2009-09-03,18.0,18.0
18.25,1775350.0,18.25,2009-09-04,18.5,18.25
18.5,51800.0,18.5,2009-09-16,18.5,18.5
18.75,4787925.0,19.0,2009-09-17,19.25,18.75
19.0,1455350.0,19.0,2009-09-18,19.0,18.75
19.0,470000.0,18.75,2009-09-22,19.0,18.75
18.75,1022950.0,18.75,2009-09-23,19.0,18.75
18.5,1226475.0,18.25,2009-09-30,18.5,18.25
18.25,500500.0,18.25,2009-10-01,18.5,18.25
18.25,452600.0,18.25,2009-10-02,18.25,18.25
18.5,543000.0,19.0,2009-10-05,19.0,18.5
19.0,157250.0,18.5,2009-10-06,19.25,18.5
19.0,109600.0,19.0,2009-10-07,19.0,18.5
18.75,131250.0,18.75,2009-10-08,18.75,18.75
18.75,137500.0,18.75,2009-10-09,18.75,18.5
19.0,5015400.0,19.0,2009-10-12,19.0,18.75
19.0,496550.0,19.0,2009-10-13,19.0,18.75
19.0,8536200.0,19.0,2009-10-14,19.0,18.75
19.0,703000.0,19.0,2009-10-15,19.0,19.0
19.0,1805000.0,19.0,2009-10-16,19.0,19.0
19.0,904400.0,19.0,2009-10-19,19.0,19.0
19.0,4997000.0,19.0,2009-10-20,19.0,19.0
19.0,7447025.0,20.0,2009-10-21,20.25,19.0
20.5,3368075.0,21.5,2009-10-22,21.75,20.25
22.0,7356550.0,23.0,2009-10-23,23.75,22.0
23.0,2159200.0,22.25,2009-10-26,23.5,22.25
