OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
500.0,3312679758.0,492.0,2012-04-20,500.0,481.2
491.0,543599384.0,492.2,2012-04-23,495.0,490.0
491.0,335361640.0,491.2,2012-04-24,492.0,486.6
491.8,710712399.0,513.0,2012-04-25,516.5,491.8
515.0,211630410.0,508.0,2012-04-26,520.0,506.0
510.0,323535795.0,502.5,2012-04-27,510.0,501.0
503.5,101982790.0,509.0,2012-04-30,510.0,501.0
510.0,168251290.0,510.0,2012-05-02,515.0,510.0
509.0,657467754.0,500.5,2012-05-03,510.0,494.6
501.0,236945405.0,511.5,2012-05-04,512.0,501.0
510.0,204811180.0,500.0,2012-05-07,510.0,500.0
500.0,91789390.0,503.0,2012-05-08,506.0,500.0
503.0,105264805.0,502.0,2012-05-09,504.0,500.5
500.0,188380888.0,493.0,2012-05-10,501.0,489.0
493.0,104004334.0,491.0,2012-05-11,500.0,490.0
490.0,99059510.0,470.0,2012-05-14,490.0,468.4
470.0,356682382.0,465.6,2012-05-15,470.0,455.4
470.0,109480180.0,470.0,2012-05-16,480.0,467.0
475.0,106750484.0,482.0,2012-05-17,493.0,470.0
475.0,84573722.0,465.0,2012-05-18,475.0,463.0
462.2,131692270.0,472.0,2012-05-21,478.0,460.8
480.0,67334506.0,472.2,2012-05-22,490.0,472.2
479.0,56011810.0,480.0,2012-05-23,480.0,476.0
468.0,25294010.0,479.0,2012-05-24,480.0,468.0
479.0,112839274.0,479.0,2012-05-25,479.8,478.0
480.0,33027300.0,483.0,2012-05-28,483.0,478.0
483.2,375934466.0,498.0,2012-05-29,501.0,481.0
498.0,172034514.0,500.0,2012-05-30,500.0,495.0
495.0,83145948.0,500.0,2012-05-31,503.0,482.0
498.0,73823318.0,499.0,2012-06-01,499.6,497.0
497.0,50726404.0,476.2,2012-06-04,497.0,476.0
476.4,52101712.0,477.0,2012-06-05,481.0,476.4
478.0,26648732.0,478.0,2012-06-06,481.0,477.0
478.2,102522002.0,479.0,2012-06-07,488.0,478.2
475.2,4923602.0,481.0,2012-06-08,483.0,475.2
479.0,22785690.0,483.0,2012-06-11,483.0,479.0
483.0,20351040.0,484.2,2012-06-13,490.0,483.0
484.0,60749718.0,484.0,2012-06-14,487.0,484.0
482.0,17660740.0,482.0,2012-06-15,482.6,482.0
482.2,122800322.0,496.2,2012-06-18,499.6,482.2
497.0,5646412.0,492.2,2012-06-19,497.0,490.0
493.0,72227030.0,493.0,2012-06-20,493.6,493.0
492.0,67134976.0,494.0,2012-06-21,495.0,492.0
492.0,294161250.0,490.0,2012-06-22,495.0,490.0
494.0,3839620.0,489.0,2012-06-25,494.0,489.0
481.4,30649942.0,488.0,2012-06-26,492.8,481.4
484.0,270309573.0,504.0,2012-06-27,504.0,484.0
