OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1000.0,34116000.0,1008.0,2016-10-27,1008.0,1000.0
1003.0,7546770.0,1003.0,2016-10-28,1008.0,1003.0
1003.0,4118170.0,1004.0,2016-11-02,1010.0,1003.0
1005.0,1521980.0,1005.0,2016-11-03,1010.0,1005.0
1015.0,20300.0,1015.0,2016-11-04,1015.0,1015.0
1015.0,203500.0,1020.0,2016-11-07,1020.0,1015.0
1020.0,10200000.0,1020.0,2016-11-08,1020.0,1020.0
1020.0,4600200.0,1020.0,2016-11-09,1020.0,1020.0
1040.0,1601500.0,1020.0,2016-11-10,1040.0,1020.0
1020.0,153000.0,1020.0,2016-11-16,1020.0,1020.0
1030.0,3193000.0,1030.0,2016-11-17,1030.0,1030.0
1021.0,102100.0,1021.0,2016-11-22,1021.0,1021.0
1021.0,10227230.0,1022.0,2016-11-24,1022.0,1021.0
1021.0,10227230.0,1022.0,2016-11-24,1022.0,1021.0
1021.0,10227230.0,1022.0,2016-11-24,1022.0,1021.0
1025.0,2490750.0,1025.0,2016-11-25,1025.0,1025.0
1020.0,306000.0,1020.0,2016-11-28,1020.0,1020.0
1020.0,27529800.0,1020.0,2016-11-29,1020.0,1020.0
1020.0,3396600.0,1020.0,2016-12-02,1020.0,1020.0
1015.0,12301450.0,1015.0,2016-12-12,1015.0,1010.0
1015.0,137025.0,1015.0,2016-12-13,1015.0,1015.0
1015.0,203000.0,1015.0,2016-12-15,1015.0,1015.0
1020.0,1023000.0,1025.0,2016-12-16,1025.0,1020.0
1017.0,823770.0,1017.0,2016-12-20,1017.0,1017.0
1016.0,101600.0,1016.0,2016-12-22,1016.0,1016.0
1025.0,5125.0,1025.0,2016-12-27,1025.0,1025.0
1016.0,5080.0,1016.0,2016-12-29,1016.0,1016.0
1016.0,3169920.0,1016.0,2017-01-03,1016.0,1016.0
1020.0,6099600.0,1020.0,2017-01-06,1020.0,1020.0
1020.0,3871160.0,1020.0,2017-01-09,1020.0,1016.0
1020.0,174550.0,1040.0,2017-01-10,1040.0,1020.0
1020.0,8588400.0,1020.0,2017-01-11,1020.0,1020.0
1020.0,1326000.0,1020.0,2017-01-12,1020.0,1020.0
1020.0,20206200.0,1020.0,2017-01-13,1020.0,1020.0
1020.0,3060000.0,1020.0,2017-01-16,1020.0,1020.0
1016.0,314960.0,1016.0,2017-01-18,1016.0,1016.0
1016.0,50800.0,1016.0,2017-01-19,1016.0,1016.0
1020.0,918000.0,1020.0,2017-01-24,1020.0,1020.0
1020.0,5100.0,1020.0,2017-01-25,1020.0,1020.0
1020.0,1020000.0,1020.0,2017-01-26,1020.0,1020.0
1016.0,101600.0,1016.0,2017-01-30,1016.0,1016.0
1016.0,69847125.0,1025.0,2017-01-31,1025.0,1016.0
1020.0,102000.0,1020.0,2017-02-02,1020.0,1020.0
1020.0,1020000.0,1020.0,2017-02-06,1020.0,1020.0
1020.0,8160000.0,1020.0,2017-02-07,1020.0,1020.0
1020.0,3060000.0,1020.0,2017-02-13,1020.0,1020.0
1020.0,3060000.0,1020.0,2017-02-13,1020.0,1020.0
1020.0,1020000.0,1020.0,2017-02-15,1020.0,1020.0
1020.0,1060800.0,1020.0,2017-02-17,1020.0,1020.0
1020.0,51000.0,1020.0,2017-02-20,1020.0,1020.0
1020.0,510000.0,1020.0,2017-02-21,1020.0,1020.0
1021.0,20420.0,1021.0,2017-02-28,1021.0,1021.0
1021.0,5105.0,1021.0,2017-03-02,1021.0,1021.0
1021.0,510170.0,1020.0,2017-03-10,1021.0,1020.0
1021.0,581975.0,1021.0,2017-03-16,1022.0,1021.0
1021.0,5105000.0,1021.0,2017-03-17,1021.0,1021.0
1035.0,10350.0,1035.0,2017-03-20,1035.0,1035.0
1035.0,2047175.0,1021.0,2017-03-21,1035.0,1021.0
1021.0,1531500.0,1021.0,2017-03-23,1021.0,1021.0
1022.0,3961490.0,1021.0,2017-03-27,1022.0,1021.0
1021.0,510500.0,1021.0,2017-03-29,1021.0,1021.0
1029.0,108135.0,1030.0,2017-04-11,1030.0,1029.0
1025.0,102500.0,1025.0,2017-04-12,1025.0,1025.0
1021.0,8908225.0,1021.0,2017-04-17,1021.0,1021.0
1020.0,23562000.0,1020.0,2017-04-19,1020.0,1020.0
1016.0,60970.0,1017.0,2017-04-21,1017.0,1016.0
1017.0,1118700.0,1017.0,2017-04-24,1017.0,1017.0
1024.0,30720.0,1024.0,2017-04-26,1024.0,1024.0
1024.0,20480.0,1024.0,2017-05-02,1024.0,1024.0
1024.0,1665960.0,1022.0,2017-05-04,1024.0,1022.0
1020.0,6904200.0,1017.0,2017-05-08,1020.0,1017.0
1016.0,10150050.0,1015.0,2017-05-11,1016.0,1015.0
1015.0,309075.0,1010.0,2017-05-16,1015.0,1010.0
1008.0,252000.0,1008.0,2017-05-22,1008.0,1008.0
1008.0,2817360.0,1008.0,2017-05-30,1008.0,1008.0
1008.0,181340.0,1005.0,2017-05-31,1008.0,1005.0
1005.0,1559000.0,1006.0,2017-06-01,1006.0,1005.0
1005.0,653700.0,1006.0,2017-06-02,1006.0,1005.0
1005.0,653700.0,1006.0,2017-06-02,1006.0,1005.0
1010.0,1508000.0,1005.0,2017-06-06,1010.0,1005.0
1010.0,1515000.0,1010.0,2017-06-07,1010.0,1010.0
1007.0,3824365.0,1007.0,2017-06-08,1007.0,1005.0
1007.0,251750.0,1007.0,2017-06-13,1007.0,1007.0
1007.0,151050.0,1007.0,2017-06-15,1007.0,1007.0
1009.0,1019090.0,1009.0,2017-06-16,1009.0,1009.0
1009.0,1407610.0,1009.0,2017-06-19,1010.0,1009.0
1009.0,3024900.0,1010.0,2017-06-20,1010.0,1009.0
1011.0,3917625.0,1011.0,2017-06-21,1011.0,1011.0
1011.0,525720.0,1011.0,2017-06-23,1011.0,1011.0
1013.0,10130.0,1013.0,2017-06-27,1013.0,1013.0
1100.0,5736790.0,1005.0,2017-06-28,1100.0,1005.0
1005.0,502500.0,1005.0,2017-06-29,1005.0,1005.0
1005.0,5362750.0,1002.0,2017-06-30,1005.0,1000.0
1005.0,6210680.0,1002.0,2017-07-03,1005.0,1000.0
1010.0,40240.0,1002.0,2017-07-05,1010.0,1002.0
1002.0,200010.0,1000.0,2017-07-06,1002.0,1000.0
1002.0,100200.0,1002.0,2017-07-07,1002.0,1002.0
1001.0,680050.0,1000.0,2017-07-10,1001.0,1000.0
1009.0,9987690.0,1010.0,2017-07-11,1011.0,1009.0
1010.0,3370750.0,1005.0,2017-07-13,1010.0,1005.0
1006.0,5521490.0,1003.0,2017-07-14,1006.0,1003.0
1005.0,50250.0,1005.0,2017-07-17,1005.0,1005.0
1011.0,1021110.0,1011.0,2017-07-19,1011.0,1011.0
1011.0,2022000.0,1011.0,2017-07-20,1011.0,1011.0
1011.0,1011000.0,1011.0,2017-07-21,1011.0,1011.0
1012.0,15180.0,1012.0,2017-07-24,1012.0,1012.0
1011.0,446150.0,1015.0,2017-07-25,1015.0,1011.0
1011.0,101100.0,1011.0,2017-07-27,1011.0,1011.0
1011.0,50550.0,1011.0,2017-07-31,1011.0,1011.0
1011.0,404400.0,1011.0,2017-08-01,1011.0,1011.0
1011.0,50550.0,1011.0,2017-08-03,1011.0,1011.0
1011.0,1008360.0,1007.0,2017-08-04,1011.0,1007.0
1015.0,933800.0,1015.0,2017-08-07,1015.0,1015.0
1010.0,606000.0,1010.0,2017-08-10,1010.0,1010.0
1015.0,151900.0,1010.0,2017-08-11,1015.0,1010.0
1010.0,111605000.0,1010.0,2017-08-17,1010.0,1010.0
1010.0,15160150.0,1015.0,2017-08-18,1015.0,1010.0
1015.0,2030050.0,1020.0,2017-08-22,1020.0,1015.0
1010.0,50500.0,1010.0,2017-08-23,1010.0,1010.0
1010.0,141400.0,1010.0,2017-08-25,1010.0,1010.0
1020.0,5089800.0,1020.0,2017-08-29,1020.0,1020.0
1010.0,5034850.0,1010.0,2017-09-05,1010.0,1010.0
1011.0,5625205.0,1020.0,2017-09-08,1020.0,1010.0
1020.0,3978050.0,1025.0,2017-09-11,1025.0,1020.0
1011.0,525700.0,1012.0,2017-09-13,1012.0,1010.0
1025.0,9004625.0,1025.0,2017-09-14,1025.0,1025.0
1011.0,808800.0,1011.0,2017-09-15,1011.0,1011.0
1012.0,101200.0,1012.0,2017-09-18,1012.0,1012.0
1011.0,8295800.0,1025.0,2017-09-20,1025.0,1010.0
1025.0,4028250.0,1025.0,2017-09-21,1025.0,1025.0
1025.0,46125.0,1025.0,2017-09-25,1025.0,1025.0
1020.0,20400.0,1020.0,2017-09-26,1020.0,1020.0
1030.0,1585895.0,1039.0,2017-09-27,1040.0,1030.0
1039.0,4373170.0,1040.0,2017-10-02,1040.0,1039.0
1040.0,5200000.0,1040.0,2017-10-04,1040.0,1040.0
1040.0,156000.0,1040.0,2017-10-05,1040.0,1040.0
1040.0,1201200.0,1040.0,2017-10-06,1040.0,1040.0
1045.0,313500.0,1045.0,2017-10-09,1045.0,1045.0
1040.0,10425.0,1045.0,2017-10-10,1045.0,1040.0
1040.0,2080000.0,1040.0,2017-10-11,1040.0,1040.0
1040.0,52000.0,1040.0,2017-10-12,1040.0,1040.0
1040.0,2729000.0,1050.0,2017-10-13,1050.0,1040.0
1020.0,1556000.0,1040.0,2017-10-24,1040.0,1020.0
1020.0,295000.0,1010.0,2017-10-30,1020.0,1010.0
1015.0,505070.0,1010.0,2017-11-02,1015.0,1010.0
1039.0,202605.0,1039.0,2017-11-03,1039.0,1039.0
1035.0,152750.0,1010.0,2017-11-08,1035.0,1010.0
1010.0,1180250.0,1035.0,2017-11-09,1035.0,1010.0
1010.0,313100.0,1010.0,2017-11-13,1010.0,1010.0
1039.0,1240885.0,1039.0,2017-11-15,1039.0,1030.0
1020.0,999600.0,1020.0,2017-11-17,1020.0,1020.0
1040.0,208000.0,1040.0,2017-11-20,1040.0,1040.0
1050.0,1050000.0,1050.0,2017-11-21,1050.0,1050.0
1050.0,10500.0,1050.0,2017-11-22,1050.0,1050.0
1012.0,885690.0,1050.0,2017-11-24,1050.0,1012.0
1012.0,9712970.0,1010.0,2017-11-28,1012.0,1010.0
1040.0,109200.0,1040.0,2017-12-01,1040.0,1040.0
1040.0,6423935.0,1040.0,2017-12-04,1050.0,1010.0
1040.0,1761000.0,1035.0,2017-12-05,1040.0,1035.0
1040.0,5200.0,1040.0,2017-12-06,1040.0,1040.0
1030.0,103000.0,1030.0,2017-12-22,1030.0,1030.0
1025.0,3753330.0,1026.0,2017-12-27,1026.0,1025.0
1030.0,885800.0,1030.0,2017-12-29,1030.0,1030.0
1012.0,40440440.0,1010.0,2018-01-05,1012.0,1010.0
1007.0,5035000.0,1007.0,2018-01-08,1007.0,1007.0
1050.0,8087530.0,1007.0,2018-01-10,1050.0,1007.0
1046.0,9365485.0,1007.0,2018-01-11,1046.0,1007.0
1008.0,100800.0,1008.0,2018-01-12,1008.0,1008.0
1005.0,3394950.0,1008.0,2018-01-15,1008.0,1005.0
1008.0,105840.0,1008.0,2018-01-16,1008.0,1008.0
1009.0,1003955.0,1009.0,2018-01-17,1009.0,1009.0
1009.0,50450.0,1009.0,2018-01-19,1009.0,1009.0
1009.0,452790.0,1006.0,2018-01-26,1009.0,1006.0
1011.0,2018010.0,1009.0,2018-01-29,1011.0,1009.0
1010.0,1009005.0,1009.0,2018-01-30,1010.0,1009.0
1007.0,5035.0,1007.0,2018-02-01,1007.0,1007.0
1011.0,101000.0,1006.0,2018-02-02,1011.0,1006.0
1006.0,100505.0,1005.0,2018-02-06,1006.0,1005.0
1006.0,105690.0,1007.0,2018-02-07,1007.0,1005.0
1005.0,301500.0,1005.0,2018-02-08,1005.0,1005.0
1007.0,1461100.0,1008.0,2018-02-09,1008.0,1006.0
1005.0,15075.0,1005.0,2018-02-13,1005.0,1005.0
1007.0,12277100.0,1008.0,2018-02-19,1008.0,1007.0
1006.0,9054030.0,1005.0,2018-02-21,1006.0,1005.0
1006.0,5030.0,1006.0,2018-02-22,1006.0,1006.0
1005.0,34183520.0,1000.0,2018-02-23,1005.0,1000.0
1010.0,20200.0,1010.0,2018-02-26,1010.0,1010.0
1001.0,13240005.0,1000.0,2018-03-06,1001.0,1000.0
1002.0,2502505.0,1001.0,2018-03-14,1002.0,1001.0
1009.0,100900.0,1009.0,2018-03-19,1009.0,1009.0
