OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1000.0,21054845.0,1004.0,2016-10-27,1020.0,1000.0
1013.0,2096275.0,1005.0,2016-10-28,1013.0,1005.0
1005.0,653150.0,1005.0,2016-11-02,1005.0,1004.0
1004.0,1019630.0,1010.0,2016-11-03,1010.0,1004.0
1010.0,1718140.0,1020.0,2016-11-04,1020.0,1010.0
1018.0,4914400.0,1020.0,2016-11-07,1020.0,1018.0
1021.0,3082010.0,1025.0,2016-11-08,1025.0,1021.0
1025.0,12276390.0,1028.0,2016-11-09,1028.0,1024.0
1023.0,511500.0,1023.0,2016-11-10,1023.0,1023.0
1025.0,512500.0,1025.0,2016-11-11,1025.0,1025.0
1022.0,5110000.0,1022.0,2016-11-14,1022.0,1022.0
1021.0,1076670.0,1020.0,2016-11-15,1021.0,1020.0
1026.0,788820.0,1020.0,2016-11-17,1026.0,1020.0
1020.0,326400.0,1020.0,2016-11-18,1020.0,1020.0
1021.0,867200.0,1020.0,2016-11-21,1021.0,1020.0
1020.0,9465600.0,1020.0,2016-11-22,1020.0,1020.0
1018.0,101800.0,1018.0,2016-11-23,1018.0,1018.0
1014.0,14401250.0,1020.0,2016-11-24,1020.0,1014.0
1014.0,14401250.0,1020.0,2016-11-24,1020.0,1014.0
1014.0,14401250.0,1020.0,2016-11-24,1020.0,1014.0
1020.0,5038840.0,1024.0,2016-11-25,1024.0,1020.0
1020.0,683400.0,1020.0,2016-11-28,1020.0,1020.0
1022.0,8365670.0,1020.0,2016-11-29,1022.0,1020.0
1020.0,6162900.0,1030.0,2016-12-01,1030.0,1020.0
1030.0,683285.0,1021.0,2016-12-02,1030.0,1021.0
1021.0,2040500.0,1020.0,2016-12-05,1021.0,1020.0
1030.0,478585.0,1029.0,2016-12-06,1030.0,1029.0
1021.0,832115.0,1021.0,2016-12-07,1021.0,1021.0
1020.0,1240940.0,1021.0,2016-12-08,1028.0,1020.0
1030.0,5942600.0,1030.0,2016-12-09,1030.0,1020.0
1020.0,30600.0,1020.0,2016-12-13,1020.0,1020.0
1020.0,3427200.0,1020.0,2016-12-15,1020.0,1020.0
1028.0,14413900.0,1030.0,2016-12-16,1030.0,1028.0
1029.0,2555145.0,1020.0,2016-12-19,1029.0,1020.0
1025.0,18764400.0,1020.0,2016-12-20,1025.0,1020.0
1020.0,2060400.0,1020.0,2016-12-21,1020.0,1020.0
1030.0,72100.0,1030.0,2016-12-23,1030.0,1030.0
1020.0,107100.0,1020.0,2016-12-27,1020.0,1020.0
1020.0,1020000.0,1020.0,2016-12-28,1020.0,1020.0
1020.0,3914000.0,1020.0,2016-12-29,1030.0,1020.0
1020.0,102000.0,1020.0,2017-01-04,1020.0,1020.0
1025.0,748250.0,1025.0,2017-01-05,1025.0,1025.0
1023.0,9845525.0,1025.0,2017-01-06,1025.0,1020.0
1025.0,3885030.0,1025.0,2017-01-09,1029.0,1025.0
1028.0,719200.0,1026.0,2017-01-10,1030.0,1026.0
1026.0,34277310.0,1030.0,2017-01-11,1030.0,1024.0
1025.0,717500.0,1025.0,2017-01-12,1025.0,1025.0
1035.0,4376025.0,1035.0,2017-01-13,1035.0,1025.0
1030.0,1030000.0,1030.0,2017-01-16,1030.0,1030.0
1040.0,12792000.0,1040.0,2017-01-17,1040.0,1040.0
1030.0,51500.0,1030.0,2017-01-19,1030.0,1030.0
1030.0,848600.0,1035.0,2017-01-20,1035.0,1030.0
1040.0,20800.0,1040.0,2017-01-23,1040.0,1040.0
1040.0,3099200.0,1040.0,2017-01-24,1040.0,1040.0
1040.0,1383700.0,1041.0,2017-01-25,1041.0,1040.0
1040.0,5760620.0,1045.0,2017-01-26,1045.0,1040.0
1041.0,9454600.0,1040.0,2017-01-27,1041.0,1040.0
1040.0,63200800.0,1040.0,2017-01-30,1040.0,1040.0
1035.0,517500.0,1035.0,2017-01-31,1035.0,1035.0
1045.0,1045000.0,1045.0,2017-02-01,1045.0,1045.0
1045.0,62730.0,1048.0,2017-02-03,1048.0,1045.0
1036.0,2784350.0,1035.0,2017-02-07,1036.0,1035.0
1035.0,1914750.0,1035.0,2017-02-08,1035.0,1035.0
