OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.24,17920.0,2.24,2009-08-03,2.24,2.24
2.55,336250.0,2.34,2009-08-04,2.55,2.26
2.34,171420.0,2.36,2009-08-06,2.36,2.34
2.38,47400.0,2.36,2009-08-07,2.38,2.36
2.36,79120.0,2.2,2009-08-10,2.36,2.2
2.2,230960.0,2.18,2009-08-11,2.2,2.18
2.2,54700.0,2.18,2009-08-12,2.2,2.18
2.16,360180.0,2.2,2009-08-13,2.2,2.14
2.14,745600.0,2.08,2009-08-17,2.2,2.08
2.1,39900.0,2.1,2009-08-19,2.1,2.1
2.22,22200.0,2.22,2009-08-20,2.22,2.22
2.1,94460.0,2.1,2009-08-25,2.1,2.08
2.1,210000.0,2.1,2009-08-26,2.1,2.1
2.14,140300.0,2.16,2009-09-03,2.16,2.14
2.22,55500.0,2.22,2009-09-04,2.22,2.22
2.24,134400.0,2.24,2009-09-16,2.24,2.24
2.22,495200.0,2.2,2009-09-17,2.22,2.2
2.2,96720.0,2.2,2009-09-18,2.2,2.18
2.18,28360.0,2.22,2009-09-22,2.22,2.16
2.2,68200.0,2.2,2009-09-23,2.2,2.2
2.08,12480.0,2.08,2009-10-02,2.08,2.08
2.08,8320.0,2.08,2009-10-07,2.08,2.08
2.18,186000.0,2.2,2009-10-08,2.2,2.18
2.2,455460.0,2.2,2009-10-09,2.26,2.2
2.2,110000.0,2.2,2009-10-12,2.2,2.2
2.2,330000.0,2.2,2009-10-13,2.2,2.2
2.2,110000.0,2.2,2009-10-15,2.2,2.2
2.2,385000.0,2.2,2009-10-16,2.2,2.2
2.2,63800.0,2.2,2009-10-19,2.2,2.2
2.22,44400.0,2.22,2009-10-20,2.22,2.22
2.2,979000.0,2.2,2009-10-21,2.2,2.2
2.2,44000.0,2.2,2009-10-23,2.2,2.2
2.2,22000.0,2.2,2009-10-26,2.2,2.2
2.22,243500.0,2.2,2009-10-27,2.24,2.2
2.2,235400.0,2.2,2009-10-28,2.2,2.2
2.2,55000.0,2.2,2009-10-29,2.2,2.2
2.2,110000.0,2.2,2009-11-06,2.2,2.2
2.1,21000.0,2.1,2009-11-11,2.1,2.1
2.2,37400.0,2.2,2009-12-17,2.2,2.2
2.2,167200.0,2.2,2009-12-22,2.2,2.2
2.16,2160.0,2.16,2009-12-29,2.16,2.16
2.16,6480.0,2.16,2010-01-04,2.16,2.16
2.16,614960.0,2.18,2010-01-05,2.18,2.14
