OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.6,387500.0,3.55,2009-08-03,3.6,3.55
3.65,4009050.0,3.75,2009-08-04,3.8,3.65
3.8,1533800.0,3.8,2009-08-06,3.8,3.75
3.8,540450.0,3.7,2009-08-07,3.8,3.7
3.8,1976600.0,3.75,2009-08-10,3.8,3.75
3.75,1301250.0,3.75,2009-08-11,3.75,3.75
3.8,1823150.0,3.75,2009-08-12,3.8,3.75
3.8,1965500.0,3.85,2009-08-13,3.85,3.75
3.9,7092750.0,4.1,2009-08-14,4.1,3.9
4.1,1400800.0,4.0,2009-08-17,4.1,4.0
3.95,2432150.0,4.0,2009-08-18,4.0,3.9
4.0,20673950.0,4.2,2009-08-19,4.2,4.0
4.3,6793550.0,4.1,2009-08-20,4.35,4.1
4.1,1847700.0,4.15,2009-08-24,4.25,4.1
4.2,2837600.0,4.3,2009-08-25,4.3,4.15
4.3,6375550.0,4.55,2009-08-26,4.55,4.3
4.9,3355650.0,4.8,2009-09-03,4.9,4.8
4.85,4268450.0,4.85,2009-09-04,4.9,4.75
4.7,313200.0,4.6,2009-09-16,4.7,4.6
4.6,151850.0,4.6,2009-09-17,4.65,4.6
4.6,813850.0,4.75,2009-09-18,4.75,4.6
4.55,312900.0,4.7,2009-09-22,4.7,4.55
4.8,2412350.0,4.9,2009-09-23,4.9,4.8
4.7,51700.0,4.7,2009-09-30,4.7,4.7
4.75,4750.0,4.75,2009-10-01,4.75,4.75
4.75,632450.0,4.7,2009-10-02,4.8,4.7
4.85,74150.0,4.95,2009-10-05,4.95,4.85
4.95,2074900.0,5.0,2009-10-06,5.0,4.9
4.95,1377250.0,5.0,2009-10-07,5.2,4.95
5.1,185100.0,5.0,2009-10-08,5.1,5.0
5.0,1770000.0,5.0,2009-10-09,5.0,5.0
5.0,2574900.0,5.0,2009-10-12,5.0,4.95
5.0,226800.0,4.9,2009-10-13,5.0,4.9
4.9,1349700.0,4.95,2009-10-14,5.0,4.9
5.0,6881600.0,5.3,2009-10-15,5.3,5.0
5.3,900800.0,5.1,2009-10-16,5.3,4.95
5.1,428100.0,5.3,2009-10-19,5.4,5.1
5.2,897500.0,5.3,2009-10-20,5.3,5.2
5.2,832400.0,5.3,2009-10-21,5.3,5.2
5.2,1119600.0,5.3,2009-10-22,5.4,5.1
5.3,535300.0,5.3,2009-10-23,5.3,5.3
5.1,426300.0,5.2,2009-10-26,5.2,5.1
5.1,2430900.0,5.1,2009-10-27,5.2,5.0
5.0,150000.0,5.0,2009-10-28,5.0,5.0
4.95,103900.0,4.95,2009-10-29,4.95,4.9
4.9,1463600.0,4.85,2009-10-30,4.9,4.85
4.85,1314300.0,4.8,2009-11-03,4.85,4.8
4.8,9657400.0,4.8,2009-11-04,4.8,4.7
4.75,204250.0,4.75,2009-11-05,4.75,4.75
4.75,1283900.0,4.65,2009-11-06,4.75,4.65
4.65,4025050.0,4.7,2009-11-09,4.7,4.55
4.8,1335200.0,4.8,2009-11-10,4.85,4.8
4.8,995550.0,4.8,2009-11-11,4.9,4.8
4.6,161000.0,4.6,2009-12-15,4.6,4.6
4.5,148500.0,4.8,2009-12-16,4.8,4.5
4.8,109350.0,4.75,2009-12-17,4.8,4.65
4.8,24000.0,4.8,2009-12-18,4.8,4.8
4.8,24000.0,4.8,2009-12-21,4.8,4.8
4.8,446400.0,4.8,2009-12-22,4.8,4.8
4.8,100800.0,4.8,2009-12-23,4.8,4.8
4.8,134400.0,4.8,2009-12-29,4.8,4.8
4.75,62000.0,4.8,2010-01-04,4.8,4.75
4.8,1121850.0,4.8,2010-01-05,4.8,4.7
4.9,3068450.0,5.1,2010-01-06,5.1,4.9
5.1,1723000.0,5.1,2010-01-07,5.1,5.0
5.1,4484200.0,5.1,2010-01-08,5.3,5.1
5.1,7366000.0,5.1,2010-01-11,5.3,5.1
5.1,1912500.0,5.1,2010-01-12,5.1,5.1
5.1,451800.0,5.0,2010-01-13,5.1,4.9
4.95,44550.0,4.95,2010-01-14,4.95,4.95
4.95,458000.0,4.95,2010-01-15,4.95,4.9
4.85,43650.0,4.85,2010-01-18,4.85,4.85
4.95,108900.0,4.95,2010-01-19,4.95,4.95
4.9,558600.0,4.9,2010-01-20,4.9,4.9
4.9,269500.0,4.9,2010-01-21,4.9,4.9
4.85,1071800.0,4.9,2010-01-22,4.95,4.85
4.9,241100.0,4.8,2010-01-25,4.9,4.8
4.8,4800.0,4.8,2010-01-26,4.8,4.8
4.85,1629700.0,4.8,2010-01-27,4.85,4.8
4.8,216000.0,4.8,2010-01-28,4.8,4.8
4.8,24000.0,4.8,2010-01-29,4.8,4.8
4.7,263200.0,4.7,2010-02-03,4.7,4.7
4.7,132850.0,4.75,2010-02-04,4.75,4.7
4.65,93000.0,4.65,2010-02-09,4.65,4.65
4.65,1724100.0,4.75,2010-02-11,4.75,4.6
4.7,588850.0,4.6,2010-03-08,4.7,4.6
4.65,97650.0,4.65,2010-03-12,4.65,4.65
4.6,268750.0,4.55,2010-03-16,4.6,4.55
4.55,1035200.0,4.5,2010-03-17,4.55,4.5
4.75,335500.0,4.8,2010-03-31,4.8,4.75
4.95,3993250.0,4.85,2010-04-20,4.95,4.85
4.85,1038550.0,4.9,2010-04-21,4.9,4.85
4.9,3804100.0,4.95,2010-04-22,5.1,4.9
4.95,9404400.0,5.1,2010-04-23,5.2,4.95
5.3,1606000.0,5.1,2010-04-29,5.3,5.1
5.1,1731300.0,5.1,2010-04-30,5.2,5.1
5.1,4714100.0,5.2,2010-05-04,5.2,5.1
5.4,10289700.0,5.3,2010-05-05,5.4,5.3
5.8,2998300.0,5.8,2010-05-13,5.8,5.7
5.8,3851100.0,5.8,2010-05-14,5.9,5.7
5.8,1426800.0,5.8,2010-05-17,5.8,5.8
5.8,1509500.0,5.7,2010-05-18,5.8,5.7
5.7,891800.0,5.7,2010-05-19,5.8,5.7
5.7,3497900.0,5.5,2010-05-20,5.7,5.5
5.4,1918100.0,5.5,2010-05-21,5.5,5.4
5.5,3522000.0,5.5,2010-05-24,5.6,5.5
5.5,965200.0,5.4,2010-05-25,5.5,5.4
5.5,4777100.0,5.6,2010-05-26,5.7,5.5
5.6,2877800.0,5.6,2010-05-27,5.7,5.6
5.8,7518500.0,5.8,2010-05-28,5.8,5.7
5.1,4135100.0,5.3,2010-05-31,5.4,5.1
5.3,4046700.0,5.4,2010-06-01,5.5,5.3
5.4,2313700.0,5.5,2010-06-02,5.5,5.4
5.5,3195500.0,5.5,2010-06-03,5.5,5.5
5.5,7945600.0,5.5,2010-06-04,5.5,5.4
5.5,7253000.0,5.4,2010-06-07,5.5,5.3
5.4,3888000.0,5.4,2010-06-08,5.4,5.4
5.4,1188000.0,5.4,2010-06-09,5.4,5.4
5.2,3743300.0,5.3,2010-06-10,5.3,5.2
5.3,2271000.0,5.4,2010-06-11,5.5,5.3
5.3,63600.0,5.3,2010-06-15,5.3,5.3
5.3,3935900.0,5.6,2010-06-16,5.6,5.3
5.6,870600.0,5.7,2010-06-21,5.7,5.6
5.7,904300.0,5.6,2010-06-22,5.8,5.6
5.6,808400.0,5.5,2010-06-23,5.6,5.4
5.4,2078900.0,5.4,2010-06-24,5.4,5.3
