OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.22,112550.0,3.2,2010-12-22,3.23,3.2
3.2,296960.0,3.19,2010-12-23,3.22,3.19
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.18,183600.0,3.1,2010-12-28,3.18,3.1
3.1,743990.0,3.07,2010-12-29,3.1,3.07
3.1,743990.0,3.07,2010-12-29,3.1,3.07
2.96,194940.0,3.02,2011-01-03,3.02,2.96
2.96,194940.0,3.02,2011-01-03,3.02,2.96
2.96,194940.0,3.02,2011-01-03,3.02,2.96
3.05,631530.0,3.16,2011-01-04,3.23,3.05
3.05,167750.0,3.05,2011-01-05,3.05,3.05
3.0,831130.0,3.09,2011-01-06,3.15,3.0
3.02,33220.0,3.02,2011-01-07,3.02,3.02
3.05,81540.0,3.03,2011-01-10,3.05,3.01
3.0,1196780.0,3.0,2011-01-11,3.05,2.99
3.0,1196780.0,3.0,2011-01-11,3.05,2.99
3.0,514500.0,2.98,2011-01-12,3.0,2.98
3.0,556210.0,3.02,2011-01-13,3.03,3.0
3.0,165680.0,3.03,2011-01-14,3.09,3.0
3.0,809440.0,3.0,2011-01-17,3.0,2.9
3.0,417280.0,3.0,2011-01-18,3.03,3.0
2.99,191820.0,3.0,2011-01-19,3.0,2.99
2.99,191820.0,3.0,2011-01-19,3.0,2.99
2.99,8980.0,3.0,2011-01-20,3.0,2.99
2.99,8980.0,3.0,2011-01-20,3.0,2.99
3.05,225850.0,3.0,2011-01-25,3.05,3.0
3.0,156000.0,3.0,2011-01-26,3.0,3.0
3.0,175280.0,3.04,2011-01-27,3.04,3.0
3.04,99420.0,2.98,2011-01-28,3.04,2.98
3.04,99420.0,2.98,2011-01-28,3.04,2.98
2.98,141690.0,2.95,2011-01-31,2.98,2.95
2.98,141690.0,2.95,2011-01-31,2.98,2.95
2.95,333580.0,2.92,2011-02-01,2.95,2.92
2.95,333580.0,2.92,2011-02-01,2.95,2.92
2.92,175200.0,2.92,2011-02-02,2.92,2.92
2.88,20400.0,2.92,2011-02-03,2.92,2.88
2.99,269100.0,2.99,2011-02-16,2.99,2.99
2.99,269100.0,2.99,2011-02-16,2.99,2.99
2.86,31860.0,2.9,2011-02-18,2.9,2.86
2.8,267810.0,2.75,2011-02-21,2.8,2.75
2.8,267810.0,2.75,2011-02-21,2.8,2.75
2.76,11040.0,2.76,2011-02-24,2.76,2.76
2.76,11040.0,2.76,2011-02-24,2.76,2.76
2.76,217300.0,2.75,2011-02-25,2.76,2.75
2.75,96820.0,2.76,2011-02-28,2.77,2.75
2.76,60720.0,2.76,2011-03-04,2.76,2.76
2.76,60720.0,2.76,2011-03-04,2.76,2.76
2.75,33100.0,2.76,2011-03-07,2.76,2.75
2.75,74300.0,2.76,2011-03-08,2.76,2.75
2.75,74300.0,2.76,2011-03-08,2.76,2.75
2.71,243080.0,2.66,2011-03-11,2.71,2.66
2.71,243080.0,2.66,2011-03-11,2.71,2.66
2.7,67500.0,2.7,2011-03-16,2.7,2.7
2.68,21360.0,2.66,2011-03-17,2.68,2.66
2.7,10800.0,2.7,2011-03-18,2.7,2.7
2.7,335120.0,2.7,2011-03-21,2.7,2.68
2.7,257000.0,2.8,2011-03-22,2.8,2.7
2.89,31790.0,2.89,2011-03-23,2.89,2.89
2.87,25830.0,2.87,2011-03-24,2.87,2.87
2.87,152110.0,2.87,2011-03-25,2.87,2.87
2.85,212690.0,2.72,2011-03-28,2.85,2.72
2.8,86500.0,2.79,2011-03-29,2.8,2.79
2.78,150550.0,2.79,2011-03-30,2.79,2.78
2.79,22230.0,2.76,2011-03-31,2.79,2.76
2.79,3420850.0,2.79,2011-04-01,2.8,2.79
2.75,88000.0,2.75,2011-04-04,2.75,2.75
2.75,82500.0,2.75,2011-04-05,2.75,2.75
2.75,363760.0,2.72,2011-04-07,2.75,2.72
2.71,308940.0,2.71,2011-04-08,2.71,2.71
2.71,203250.0,2.71,2011-04-11,2.71,2.71
2.72,257490.0,2.71,2011-04-12,2.72,2.71
2.7,257150.0,2.75,2011-04-13,2.75,2.7
2.75,354600.0,2.71,2011-04-14,2.75,2.71
2.75,450930.0,2.73,2011-04-15,2.85,2.73
2.71,97280.0,2.69,2011-04-26,2.71,2.69
2.69,21520.0,2.69,2011-04-27,2.69,2.69
2.67,170870.0,2.66,2011-04-28,2.67,2.66
2.66,61220.0,2.7,2011-04-29,2.7,2.66
2.7,62100.0,2.7,2011-05-02,2.7,2.7
2.68,88440.0,2.68,2011-05-03,2.68,2.68
2.68,120130.0,2.67,2011-05-05,2.68,2.66
2.66,166290.0,2.5,2011-05-06,2.66,2.5
2.55,591700.0,2.5,2011-05-09,2.55,2.5
2.5,2500.0,2.5,2011-05-10,2.5,2.5
2.51,25100.0,2.51,2011-05-11,2.51,2.51
2.65,65250.0,2.6,2011-05-12,2.65,2.6
2.52,50400.0,2.52,2011-05-13,2.52,2.52
2.55,94350.0,2.55,2011-05-17,2.55,2.55
2.55,15280.0,2.53,2011-05-18,2.55,2.53
