OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
11.0,491378516.0,15.74,2016-06-29,15.74,10.82
20.0,581365895.0,20.3,2016-06-30,23.1,17.5
19.5,210061977.0,19.2,2016-07-01,21.85,18.1
19.1,71977814.0,17.72,2016-07-04,19.12,17.22
17.5,96036230.0,18.62,2016-07-05,18.9,16.2
19.04,48255328.0,17.9,2016-07-07,19.5,17.9
18.3,10081886.0,18.0,2016-07-08,18.38,17.8
18.0,16361724.0,17.48,2016-07-11,18.1,17.4
17.7,22249936.0,17.98,2016-07-12,18.2,16.8
18.0,12073648.0,17.7,2016-07-13,18.3,17.52
17.9,8380310.0,17.88,2016-07-14,18.0,17.58
17.9,9771122.0,17.04,2016-07-15,17.9,17.04
17.0,11856226.0,17.02,2016-07-18,17.3,16.6
17.14,6445686.0,16.9,2016-07-19,17.2,16.8
16.8,6441276.0,17.18,2016-07-20,17.26,16.44
17.0,4479370.0,17.0,2016-07-21,17.1,16.52
17.1,3481250.0,16.96,2016-07-22,17.2,16.8
16.96,5858866.0,16.7,2016-07-25,16.96,16.68
16.7,5484746.0,16.7,2016-07-26,16.92,16.64
16.96,10834196.0,16.6,2016-07-27,17.24,16.6
16.7,9530322.0,16.48,2016-07-28,16.7,16.06
16.12,2572338.0,16.18,2016-07-29,16.26,16.12
16.18,9537796.0,16.12,2016-08-01,16.18,15.6
16.16,4764218.0,15.66,2016-08-02,16.16,15.64
15.66,7621760.0,15.62,2016-08-03,15.66,15.2
15.52,4283486.0,16.08,2016-08-04,16.2,15.4
16.2,1589696.0,15.78,2016-08-05,16.2,15.78
16.0,1230540.0,15.7,2016-08-08,16.0,15.5
15.7,2721054.0,15.22,2016-08-09,15.9,15.2
15.22,966700.0,15.36,2016-08-10,15.46,15.22
15.36,4901348.0,15.42,2016-08-11,15.88,15.22
15.42,2505536.0,15.86,2016-08-12,15.86,15.3
15.86,5597028.0,15.9,2016-08-15,16.38,15.6
15.92,3311476.0,15.94,2016-08-16,16.14,15.46
16.0,19818022.0,16.7,2016-08-17,16.9,15.82
16.78,8735612.0,16.7,2016-08-18,17.0,16.7
16.5,7260884.0,15.8,2016-08-19,16.66,15.8
15.54,4277024.0,15.8,2016-08-22,16.0,15.46
15.8,1709322.0,15.6,2016-08-23,15.8,15.52
15.54,3360956.0,15.5,2016-08-24,15.84,15.4
15.36,1159102.0,15.7,2016-08-25,15.78,15.3
15.3,695788.0,15.7,2016-08-26,15.7,15.3
15.4,1422726.0,15.6,2016-08-30,15.6,15.34
15.34,5939036.0,15.6,2016-08-31,15.6,14.8
15.06,2390822.0,15.14,2016-09-01,15.46,15.06
15.14,2111728.0,15.14,2016-09-02,15.2,14.9
15.14,3582028.0,15.0,2016-09-05,15.14,14.74
15.14,3582028.0,15.0,2016-09-05,15.14,14.74
14.96,2613460.0,14.94,2016-09-06,14.96,14.52
14.92,3362914.0,14.38,2016-09-07,14.92,14.38
14.38,1945104.0,14.36,2016-09-08,14.38,13.6
14.3,523226.0,14.0,2016-09-09,14.3,14.0
14.1,1006024.0,13.7,2016-09-13,14.5,13.7
13.6,1359810.0,14.0,2016-09-14,14.0,13.4
14.0,1870260.0,13.72,2016-09-15,14.0,13.56
13.72,1453052.0,13.68,2016-09-16,13.74,13.5
13.72,1030768.0,13.82,2016-09-19,13.88,13.7
13.84,1290604.0,14.12,2016-09-20,14.14,13.84
14.1,874740.0,14.2,2016-09-21,14.2,14.08
14.18,594250.0,14.16,2016-09-22,14.18,14.02
14.16,954342.0,13.7,2016-09-23,14.16,13.7
13.72,663518.0,13.98,2016-09-26,14.0,13.58
13.96,720706.0,13.88,2016-09-27,13.96,13.34
