OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.95,36750.0,4.1,2009-08-03,4.1,3.95
4.15,8300.0,4.15,2009-08-04,4.15,4.15
4.0,132500.0,4.15,2009-08-10,4.15,4.0
4.15,1297950.0,4.15,2009-08-11,4.3,4.15
4.15,116100.0,4.15,2009-08-12,4.15,4.05
4.15,145250.0,4.15,2009-08-13,4.15,4.15
4.15,53200.0,4.1,2009-08-14,4.15,4.0
4.1,200700.0,4.0,2009-08-17,4.1,4.0
3.9,55250.0,4.05,2009-08-18,4.05,3.9
4.1,57400.0,4.1,2009-08-19,4.1,4.1
4.1,120200.0,4.0,2009-08-20,4.1,4.0
4.1,102100.0,4.1,2009-08-24,4.1,4.05
4.05,24350.0,4.1,2009-08-25,4.1,4.05
4.2,438550.0,4.25,2009-08-26,4.35,4.2
4.05,12200.0,4.05,2009-09-03,4.1,4.05
4.1,271650.0,4.1,2009-09-04,4.15,4.1
4.5,187450.0,4.35,2009-09-16,4.5,4.35
4.35,161700.0,4.25,2009-09-17,4.35,4.25
4.25,34000.0,4.25,2009-09-18,4.25,4.25
4.25,29550.0,4.2,2009-09-22,4.25,4.2
4.15,1360600.0,4.1,2009-09-23,4.15,4.0
4.0,80000.0,4.0,2009-09-30,4.0,4.0
4.0,296000.0,4.0,2009-10-01,4.0,4.0
3.95,125300.0,3.9,2009-10-05,3.95,3.9
4.0,20000.0,4.0,2009-10-06,4.0,4.0
4.0,142100.0,4.0,2009-10-07,4.0,3.9
4.0,231050.0,3.95,2009-10-08,4.0,3.9
3.95,130350.0,3.95,2009-10-09,3.95,3.95
3.95,327950.0,3.95,2009-10-12,4.0,3.95
3.95,493750.0,3.95,2009-10-13,3.95,3.95
3.95,70750.0,3.9,2009-10-14,3.95,3.9
3.9,228200.0,3.95,2009-10-15,4.0,3.9
3.7,18500.0,3.7,2009-10-16,3.7,3.7
3.8,150750.0,3.7,2009-10-19,3.8,3.7
3.9,80900.0,3.8,2009-10-20,3.9,3.8
3.8,114000.0,3.8,2009-10-21,3.8,3.8
3.9,77100.0,3.85,2009-10-22,3.9,3.8
3.85,156300.0,3.9,2009-10-23,4.0,3.85
3.9,144300.0,3.9,2009-10-26,3.9,3.9
3.9,74100.0,3.9,2009-10-27,3.9,3.9
3.9,202800.0,3.9,2009-10-28,3.9,3.9
3.8,57000.0,3.8,2009-10-29,3.8,3.8
3.85,34650.0,3.85,2009-10-30,3.85,3.85
3.85,53000.0,3.75,2009-11-03,3.85,3.75
3.8,3800.0,3.8,2009-11-04,3.8,3.8
3.9,39000.0,3.9,2009-11-06,3.9,3.9
3.9,107950.0,3.85,2009-11-09,3.9,3.85
3.85,69200.0,3.8,2009-11-10,3.85,3.8
3.8,94500.0,3.7,2009-11-11,3.8,3.7
6.1,35409500.0,6.2,2009-12-15,6.2,6.0
6.2,5160500.0,6.1,2009-12-16,6.2,6.0
6.1,2385100.0,6.1,2009-12-17,6.1,6.0
6.0,5654100.0,6.0,2009-12-18,6.2,5.9
6.0,9933400.0,6.0,2009-12-21,6.1,5.8
6.0,1567900.0,6.0,2009-12-22,6.0,5.9
6.0,147900.0,6.0,2009-12-23,6.0,5.8
6.1,22126200.0,6.1,2009-12-29,6.3,5.9
6.1,1574900.0,6.0,2010-01-04,6.1,5.9
6.0,1815100.0,6.0,2010-01-05,6.0,5.9
6.0,971900.0,5.9,2010-01-06,6.0,5.7
5.9,1602500.0,6.0,2010-01-07,6.2,5.8
6.0,1205000.0,6.0,2010-01-08,6.0,5.8
5.9,3086600.0,6.0,2010-01-11,6.0,5.8
6.0,2671700.0,5.9,2010-01-12,6.0,5.8
5.9,1129600.0,5.7,2010-01-13,5.9,5.7
5.8,3332400.0,5.7,2010-01-14,6.0,5.6
5.7,3093400.0,5.5,2010-01-15,5.7,5.5
5.6,2405200.0,5.5,2010-01-18,5.7,5.4
5.4,498400.0,5.5,2010-01-19,5.6,5.4
5.5,1629800.0,5.4,2010-01-20,5.5,5.3
5.3,9635700.0,5.7,2010-01-21,5.7,5.0
5.5,11424400.0,5.6,2010-01-22,5.7,5.5
5.6,1261400.0,5.6,2010-01-25,5.7,5.4
5.6,1264600.0,5.4,2010-01-26,5.6,5.3
5.4,902200.0,5.3,2010-01-27,5.5,5.1
