OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.4,195994640.0,4.22,2015-12-07,5.4,4.16
4.25,51273200.0,3.64,2015-12-08,4.25,3.57
3.71,33641920.0,3.86,2015-12-09,3.96,3.65
3.9,11952750.0,3.64,2015-12-10,3.95,3.62
3.7,8082200.0,3.64,2015-12-11,3.75,3.58
3.69,9080850.0,3.28,2015-12-14,3.69,3.26
3.24,4332500.0,3.28,2015-12-15,3.43,3.24
3.3,3447060.0,3.23,2015-12-16,3.4,3.22
3.25,4614700.0,3.17,2015-12-17,3.29,3.13
3.17,3511330.0,3.1,2015-12-18,3.22,3.07
3.11,2998690.0,2.97,2015-12-21,3.11,2.9
2.97,3192850.0,2.84,2015-12-22,2.97,2.84
2.84,2364610.0,2.97,2015-12-23,3.07,2.79
2.97,6850400.0,3.42,2015-12-28,3.42,2.92
3.43,2851830.0,3.25,2015-12-29,3.46,3.2
3.2,3172060.0,2.88,2016-01-04,3.2,2.88
2.9,536610.0,2.95,2016-01-05,2.97,2.88
2.9,225290.0,2.91,2016-01-06,3.0,2.9
2.92,806320.0,2.8,2016-01-07,2.92,2.8
2.8,640000.0,2.79,2016-01-08,2.8,2.7
2.75,1007630.0,2.59,2016-01-11,2.75,2.57
2.58,478420.0,2.63,2016-01-12,2.85,2.56
2.79,697660.0,2.61,2016-01-13,2.79,2.58
2.58,119090.0,2.51,2016-01-14,2.6,2.5
2.51,906750.0,2.6,2016-01-15,2.73,2.51
2.51,290570.0,2.4,2016-01-18,2.51,2.4
2.4,408470.0,2.39,2016-01-19,2.42,2.39
2.39,612610.0,2.35,2016-01-20,2.54,2.35
2.32,460750.0,2.14,2016-01-21,2.32,2.14
2.14,992480.0,2.02,2016-01-22,2.21,2.0
2.07,1301600.0,2.44,2016-01-25,2.45,2.07
2.4,480100.0,2.21,2016-01-26,2.4,2.2
2.23,115300.0,2.23,2016-01-27,2.23,2.21
2.2,581320.0,2.31,2016-01-28,2.37,2.19
2.39,3258200.0,2.51,2016-01-29,2.79,2.39
2.68,675260.0,2.54,2016-02-01,2.68,2.53
2.55,942510.0,2.57,2016-02-02,2.57,2.41
2.57,549070.0,2.5,2016-02-03,2.57,2.44
2.45,245150.0,2.46,2016-02-04,2.52,2.45
2.46,1040570.0,2.49,2016-02-05,2.51,2.42
2.49,1334210.0,2.49,2016-02-09,2.65,2.49
2.49,313320.0,2.45,2016-02-10,2.59,2.44
2.45,690190.0,2.4,2016-02-11,2.5,2.4
2.39,314310.0,2.39,2016-02-12,2.48,2.39
2.39,634660.0,2.39,2016-02-15,2.4,2.37
2.39,537540.0,2.46,2016-02-16,2.49,2.39
2.49,542740.0,2.5,2016-02-17,2.55,2.43
2.51,354510.0,2.5,2016-02-18,2.56,2.48
2.45,391560.0,2.45,2016-02-19,2.48,2.44
2.45,302610.0,2.48,2016-02-22,2.5,2.45
2.5,546720.0,2.57,2016-02-23,2.6,2.5
2.54,563390.0,2.5,2016-02-24,2.57,2.5
2.5,396420.0,2.53,2016-02-26,2.56,2.49
2.48,1151080.0,2.6,2016-02-29,2.69,2.48
2.54,914360.0,2.5,2016-03-01,2.58,2.45
2.45,533050.0,2.46,2016-03-02,2.55,2.41
2.48,285860.0,2.55,2016-03-03,2.55,2.47
2.5,448160.0,2.55,2016-03-04,2.55,2.5
2.58,1583600.0,2.65,2016-03-07,2.78,2.58
2.65,13499350.0,3.08,2016-03-08,3.24,2.65
3.2,17142300.0,3.12,2016-03-09,3.45,3.1
3.18,2379550.0,3.03,2016-03-10,3.18,2.9
3.04,2163690.0,3.11,2016-03-11,3.25,2.95
3.17,2021310.0,3.1,2016-03-14,3.17,3.0
3.04,6503810.0,3.28,2016-03-15,3.36,3.03
3.4,13413530.0,3.15,2016-03-16,3.6,3.12
3.18,1558110.0,3.36,2016-03-17,3.4,3.16
3.42,7503080.0,3.4,2016-03-18,3.6,3.38
3.42,4439960.0,3.5,2016-03-21,3.54,3.42
3.5,6012880.0,3.53,2016-03-22,3.65,3.48
3.58,1417160.0,3.57,2016-03-23,3.58,3.48
3.5,807690.0,3.48,2016-03-28,3.55,3.48
3.48,2978520.0,3.35,2016-03-29,3.51,3.34
3.32,1683670.0,3.2,2016-03-30,3.32,3.2
3.32,815650.0,3.2,2016-03-31,3.32,3.2
3.19,1202480.0,3.25,2016-04-01,3.4,3.18
3.22,1213730.0,3.16,2016-04-04,3.22,3.16
3.16,1228200.0,3.1,2016-04-05,3.16,3.1
3.1,765560.0,3.1,2016-04-06,3.11,3.09
3.1,590680.0,3.16,2016-04-07,3.24,3.1
3.12,915960.0,3.07,2016-04-08,3.12,3.07
3.08,330710.0,3.21,2016-04-11,3.21,3.08
3.14,370800.0,3.19,2016-04-12,3.19,3.08
3.19,1287620.0,3.19,2016-04-13,3.3,3.16
3.19,396160.0,3.24,2016-04-14,3.26,3.18
3.38,1013550.0,3.25,2016-04-15,3.4,3.21
3.5,1683660.0,3.26,2016-04-18,3.5,3.25
3.3,840320.0,3.22,2016-04-19,3.3,3.16
3.16,2130030.0,3.13,2016-04-20,3.2,3.09
3.13,204700.0,3.17,2016-04-21,3.17,3.13
3.12,515750.0,3.16,2016-04-22,3.17,3.08
3.1,575190.0,3.1,2016-04-25,3.1,3.07
3.07,876440.0,3.04,2016-04-26,3.07,3.04
3.04,929140.0,3.05,2016-04-27,3.05,3.01
3.09,569270.0,3.02,2016-04-28,3.15,3.02
3.09,543750.0,3.0,2016-04-29,3.15,3.0
3.0,385160.0,2.88,2016-05-02,3.0,2.87
2.95,193350.0,2.9,2016-05-03,2.95,2.88
2.88,284830.0,2.87,2016-05-04,2.88,2.87
2.9,64250.0,2.99,2016-05-05,2.99,2.9
3.12,722380.0,2.99,2016-05-06,3.12,2.88
3.12,722380.0,2.99,2016-05-06,3.12,2.88
3.12,1854960.0,3.06,2016-05-10,3.16,3.06
3.14,223080.0,3.15,2016-05-11,3.23,3.1
3.15,1289790.0,3.0,2016-05-12,3.18,3.0
3.02,76720.0,3.07,2016-05-13,3.1,3.02
3.18,202160.0,3.04,2016-05-16,3.18,3.04
3.04,772850.0,2.95,2016-05-17,3.09,2.95
2.95,190810.0,2.99,2016-05-18,2.99,2.95
3.0,138000.0,3.0,2016-05-19,3.0,3.0
3.05,84360.0,3.01,2016-05-20,3.05,3.0
3.01,116880.0,3.0,2016-05-23,3.01,2.96
3.0,91600.0,2.95,2016-05-24,3.0,2.95
2.94,142220.0,2.94,2016-05-25,3.0,2.94
2.94,231730.0,2.96,2016-05-26,2.96,2.92
2.93,49900.0,2.95,2016-05-27,2.96,2.93
2.92,206180.0,2.92,2016-05-30,2.92,2.8
2.92,857130.0,2.87,2016-05-31,2.96,2.84
3.1,159130.0,3.07,2016-06-01,3.1,2.95
3.05,192440.0,3.06,2016-06-02,3.07,3.01
3.0,269860.0,3.06,2016-06-03,3.06,3.0
2.95,132370.0,3.01,2016-06-06,3.06,2.87
3.04,827990.0,3.09,2016-06-07,3.14,3.0
3.09,1001170.0,3.1,2016-06-08,3.23,3.02
3.04,579930.0,3.13,2016-06-09,3.13,3.0
3.1,82830.0,3.03,2016-06-10,3.1,3.03
3.03,1881780.0,3.2,2016-06-13,3.25,3.03
3.21,4574600.0,3.34,2016-06-14,3.39,3.21
3.35,15387840.0,3.54,2016-06-15,3.66,3.35
3.58,74046860.0,4.39,2016-06-16,4.42,3.54
4.2,105999830.0,4.8,2016-06-17,5.6,4.01
4.9,26638260.0,4.96,2016-06-20,5.28,4.8
4.96,8020180.0,4.67,2016-06-21,4.96,4.5
4.75,23728500.0,5.18,2016-06-22,5.42,4.72
5.24,25012648.0,5.29,2016-06-23,5.53,5.06
5.29,71196924.0,4.5,2016-06-24,5.5,4.35
4.5,18865120.0,4.74,2016-06-27,4.95,4.2
4.77,3830140.0,4.7,2016-06-28,4.84,4.64
4.7,5311890.0,4.68,2016-06-29,4.72,4.49
4.69,3931070.0,4.57,2016-06-30,4.69,4.5
4.57,4467640.0,4.44,2016-07-01,4.61,4.44
4.43,13086960.0,4.12,2016-07-04,4.43,4.01
4.12,16617450.0,4.5,2016-07-05,4.7,4.02
4.56,5328210.0,4.41,2016-07-07,4.64,4.39
4.47,1465190.0,4.49,2016-07-08,4.49,4.41
4.5,4089850.0,4.3,2016-07-11,4.5,4.3
4.3,2177400.0,4.39,2016-07-12,4.49,4.3
4.4,3898490.0,4.46,2016-07-13,4.49,4.28
4.48,89348900.0,5.6,2016-07-14,5.7,4.39
5.55,42389370.0,5.79,2016-07-15,6.2,5.26
5.75,6866973.0,5.51,2016-07-18,5.76,5.4
5.55,9035814.0,5.75,2016-07-19,5.95,5.44
5.95,7099115.0,5.88,2016-07-20,6.04,5.85
5.86,3608536.0,5.7,2016-07-21,5.86,5.6
5.7,3871718.0,5.9,2016-07-22,5.98,5.68
5.9,2498254.0,5.78,2016-07-25,5.9,5.75
5.8,29764148.0,6.3,2016-07-26,6.33,5.61
6.33,55591061.0,5.8,2016-07-27,6.73,5.72
6.0,68479625.0,5.69,2016-07-28,6.28,5.45
5.69,5790203.0,5.55,2016-07-29,5.77,5.55
5.55,26672785.0,5.24,2016-08-01,5.62,5.0
5.24,3982384.0,5.3,2016-08-02,5.39,5.24
5.34,3314960.0,5.08,2016-08-03,5.4,5.05
5.08,2167531.0,5.15,2016-08-04,5.28,5.05
5.12,2514803.0,5.25,2016-08-05,5.35,5.12
5.35,2826540.0,5.23,2016-08-08,5.36,5.23
5.23,7586119.0,5.09,2016-08-09,5.35,5.0
5.1,2997041.0,5.14,2016-08-10,5.16,5.0
5.18,3692681.0,5.07,2016-08-11,5.27,5.03
5.08,2498835.0,5.18,2016-08-12,5.18,5.07
5.19,2316997.0,5.12,2016-08-15,5.2,5.05
5.15,10651609.0,5.58,2016-08-16,5.58,5.07
5.68,8187517.0,5.26,2016-08-17,5.68,5.23
5.27,5037989.0,5.21,2016-08-18,5.34,5.09
5.21,1886618.0,5.13,2016-08-19,5.21,5.1
5.15,1010333.0,5.18,2016-08-22,5.25,5.14
5.16,1734533.0,5.11,2016-08-23,5.21,5.09
5.11,2853200.0,5.05,2016-08-24,5.11,5.05
5.08,2403397.0,5.1,2016-08-25,5.17,5.03
5.1,9009221.0,5.01,2016-08-26,5.1,4.88
5.01,1910088.0,5.06,2016-08-30,5.1,5.0
5.01,3193515.0,5.09,2016-08-31,5.22,4.9
5.15,1200900.0,5.0,2016-09-01,5.15,5.0
5.0,1668449.0,4.98,2016-09-02,5.02,4.98
5.0,1654790.0,5.01,2016-09-05,5.02,4.9
5.0,1654790.0,5.01,2016-09-05,5.02,4.9
5.01,1083151.0,4.94,2016-09-06,5.07,4.9
