OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
9.3,65100.0,9.3,2010-01-21,9.3,9.3
13.75,27500.0,13.75,2010-01-22,13.75,13.75
20.5,1543650.0,20.5,2010-01-25,20.5,20.5
30.5,3095750.0,30.5,2010-01-26,30.5,30.5
45.5,4850300.0,45.5,2010-01-27,45.5,45.5
68.0,12729750.0,36.0,2010-01-28,68.0,34.0
36.0,2710650.0,36.0,2010-01-29,37.0,30.0
36.0,647550.0,35.0,2010-02-01,36.0,33.5
33.5,1242500.0,28.5,2010-02-02,33.5,25.0
25.0,1498350.0,20.5,2010-02-03,25.0,20.0
19.0,1669450.0,18.0,2010-02-04,19.0,16.0
15.25,6643250.0,22.0,2010-02-05,27.0,15.0
22.25,3856125.0,22.25,2010-02-08,25.0,22.0
22.0,211900.0,20.5,2010-02-09,22.0,20.5
21.0,3177100.0,18.0,2010-02-10,21.25,18.0
18.0,383400.0,18.75,2010-02-11,19.75,18.0
13.5,11964250.0,13.5,2010-03-08,14.5,13.25
12.25,2142075.0,12.5,2010-03-12,12.5,12.25
12.75,428150.0,12.25,2010-03-15,12.75,12.25
12.5,993400.0,12.0,2010-03-16,12.5,12.0
11.5,1585500.0,11.75,2010-03-17,12.0,11.0
11.0,760100.0,11.0,2010-03-31,11.0,11.0
14.25,4804900.0,14.25,2010-04-20,14.5,14.25
14.25,3309025.0,13.75,2010-04-21,14.25,13.75
14.0,11174725.0,14.5,2010-04-22,14.5,14.0
14.5,29167275.0,15.5,2010-04-23,15.75,14.5
14.5,10658425.0,14.5,2010-04-29,15.0,14.25
14.5,874350.0,14.5,2010-04-30,14.5,14.5
14.5,4821825.0,14.25,2010-05-04,14.5,14.0
14.0,6024250.0,13.75,2010-05-05,14.0,13.5
14.5,1948975.0,14.25,2010-05-13,14.5,14.25
14.5,1634675.0,14.25,2010-05-14,14.5,14.25
14.25,818000.0,14.0,2010-05-17,14.25,13.75
14.0,368150.0,14.0,2010-05-18,14.0,13.75
13.75,1299500.0,13.5,2010-05-19,13.75,13.5
13.75,45375.0,13.75,2010-05-20,13.75,13.75
13.5,1139025.0,13.5,2010-05-21,13.5,13.0
13.25,1397575.0,13.0,2010-05-24,13.25,13.0
12.5,3009975.0,12.5,2010-05-25,12.75,12.25
12.25,1174275.0,12.25,2010-05-26,12.5,12.25
12.5,550000.0,12.5,2010-05-27,12.5,12.5
12.5,4386000.0,13.0,2010-05-28,13.0,12.5
12.75,279275.0,12.75,2010-05-31,13.0,12.75
12.75,2155475.0,12.75,2010-06-01,13.0,12.5
12.75,377400.0,12.75,2010-06-02,12.75,12.75
12.75,2124725.0,13.0,2010-06-03,13.25,12.75
13.0,1183975.0,12.75,2010-06-04,13.0,12.75
12.5,481250.0,12.5,2010-06-07,12.75,12.5
12.5,400000.0,12.5,2010-06-08,12.5,12.5
12.5,681775.0,12.25,2010-06-09,12.75,12.25
12.5,726025.0,12.25,2010-06-10,12.5,12.25
12.25,967750.0,12.25,2010-06-11,12.25,12.25
12.25,1027375.0,12.25,2010-06-15,12.5,12.25
12.25,307475.0,12.25,2010-06-16,12.25,12.25
12.0,656725.0,12.25,2010-06-21,12.25,12.0
12.0,98650.0,12.0,2010-06-22,12.25,12.0
12.0,1518900.0,11.75,2010-06-23,12.0,11.75
12.0,509050.0,11.75,2010-06-24,12.0,11.75
11.5,1855025.0,11.5,2010-06-25,11.75,11.5
11.5,616400.0,11.5,2010-06-28,11.5,11.5
11.75,499875.0,11.75,2010-06-29,11.75,11.25
11.5,650975.0,11.75,2010-07-01,12.0,11.5
12.0,25125.0,11.75,2010-07-02,12.0,11.75
11.5,579600.0,11.5,2010-07-06,11.5,11.5
11.5,73875.0,11.5,2010-07-07,11.5,11.25
11.25,1177925.0,11.25,2010-07-08,11.5,11.25
11.25,1005550.0,11.25,2010-07-09,11.25,11.0
11.0,1366200.0,11.0,2010-07-13,11.25,10.75
11.0,1915100.0,11.0,2010-07-14,11.0,11.0
11.0,1466050.0,11.0,2010-07-15,11.0,10.75
