OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
12.5,1250.0,12.5,2009-08-06,12.5,12.5
10.0,4342000.0,10.0,2009-09-04,10.0,10.0
10.0,50000.0,10.0,2009-09-23,10.0,10.0
7.2,92800.0,8.0,2009-12-23,8.0,7.2
9.0,73000.0,9.0,2009-12-29,10.0,8.5
10.0,32500.0,12.5,2010-01-05,12.5,10.0
9.8,3920.0,9.8,2010-01-06,9.8,9.8
8.0,8000.0,8.0,2010-01-21,8.0,8.0
8.0,32000.0,8.0,2010-03-31,8.0,8.0
5.0,1000.0,5.0,2010-09-20,5.0,5.0
5.0,36000.0,5.0,2010-09-21,5.0,5.0
7.0,76300.0,7.0,2010-09-24,7.0,6.5
6.5,20900.0,6.0,2010-09-28,6.5,6.0
6.0,130000.0,6.0,2010-09-29,6.0,5.5
5.5,56100.0,5.5,2010-10-04,5.5,5.5
5.5,2200.0,5.5,2010-10-08,5.5,5.5
5.5,5500.0,5.5,2010-10-15,5.5,5.5
5.5,5500.0,5.5,2010-10-22,5.5,5.5
5.5,2200.0,5.5,2010-11-08,5.5,5.5
5.5,5500.0,5.5,2010-11-24,5.5,5.5
5.5,33550.0,5.5,2010-11-25,5.5,5.5
5.5,1100.0,5.5,2010-11-30,5.5,5.5
5.5,5500.0,5.5,2010-12-02,5.5,5.5
5.5,3850.0,5.5,2010-12-07,5.5,5.5
7.5,6000.0,7.5,2010-12-16,7.5,7.5
7.01,2802.0,7.0,2010-12-23,7.01,7.0
7.0,13300.0,7.0,2010-12-28,7.0,7.0
7.0,13300.0,7.0,2010-12-28,7.0,7.0
7.0,13300.0,7.0,2010-12-28,7.0,7.0
7.0,13300.0,7.0,2010-12-28,7.0,7.0
7.0,13300.0,7.0,2010-12-28,7.0,7.0
7.0,13300.0,7.0,2010-12-28,7.0,7.0
7.0,13300.0,7.0,2010-12-28,7.0,7.0
7.0,13300.0,7.0,2010-12-28,7.0,7.0
7.0,13300.0,7.0,2010-12-28,7.0,7.0
7.0,13300.0,7.0,2010-12-28,7.0,7.0
7.0,13300.0,7.0,2010-12-28,7.0,7.0
