OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.34,146840.0,1.32,2009-08-03,1.34,1.32
1.4,91160.0,1.36,2009-08-04,1.4,1.32
1.36,4080.0,1.36,2009-08-06,1.36,1.36
1.3,168360.0,1.36,2009-08-07,1.36,1.28
1.28,64000.0,1.28,2009-08-10,1.28,1.28
1.28,75720.0,1.3,2009-08-11,1.3,1.28
1.38,462180.0,1.3,2009-08-12,1.38,1.28
1.26,63000.0,1.26,2009-08-14,1.26,1.26
1.26,3780.0,1.26,2009-08-17,1.26,1.26
1.26,2242680.0,1.34,2009-08-18,1.36,1.26
1.26,79060.0,1.32,2009-08-19,1.32,1.24
1.28,194560.0,1.28,2009-08-20,1.28,1.28
1.38,244480.0,1.32,2009-08-24,1.38,1.24
1.28,493240.0,1.3,2009-08-25,1.32,1.28
1.26,139960.0,1.36,2009-08-26,1.36,1.26
1.22,36600.0,1.22,2009-09-03,1.22,1.22
1.34,41560.0,1.34,2009-09-04,1.34,1.2
1.28,93060.0,1.28,2009-09-17,1.28,1.2
1.2,1200.0,1.2,2009-09-18,1.2,1.2
1.2,24000.0,1.2,2009-09-22,1.2,1.2
1.3,9180.0,1.32,2009-09-23,1.32,1.3
1.32,197280.0,1.3,2009-09-30,1.32,1.22
1.32,1526160.0,1.4,2009-10-01,1.4,1.3
1.34,1091180.0,1.4,2009-10-02,1.4,1.34
1.42,177400.0,1.4,2009-10-05,1.42,1.4
1.36,238960.0,1.42,2009-10-06,1.42,1.36
1.42,7100.0,1.42,2009-10-07,1.42,1.42
1.4,1663440.0,1.54,2009-10-09,1.58,1.4
1.54,590720.0,1.5,2009-10-12,1.58,1.5
1.5,541080.0,1.52,2009-10-13,1.52,1.46
1.5,4984880.0,1.76,2009-10-14,1.76,1.5
1.8,2265580.0,1.76,2009-10-15,1.82,1.72
1.76,9001620.0,2.08,2009-10-16,2.26,1.76
2.08,1142060.0,2.0,2009-10-19,2.1,1.92
2.0,1143680.0,1.98,2009-10-20,2.08,1.94
1.98,1354880.0,1.9,2009-10-21,1.98,1.9
1.84,362600.0,1.84,2009-10-22,1.9,1.82
1.84,41400.0,1.88,2009-10-23,1.88,1.7
1.84,8960.0,1.84,2009-10-26,1.84,1.72
1.68,95760.0,1.68,2009-10-28,1.68,1.68
1.6,81800.0,1.8,2009-10-29,1.8,1.6
1.74,455980.0,1.78,2009-10-30,1.78,1.72
1.62,27740.0,1.72,2009-11-04,1.72,1.62
1.72,68800.0,1.72,2009-11-05,1.72,1.72
1.3,65000.0,1.3,2009-12-15,1.3,1.3
1.3,119000.0,1.34,2009-12-16,1.34,1.3
1.3,78000.0,1.3,2009-12-18,1.3,1.3
1.3,78000.0,1.3,2009-12-22,1.3,1.3
1.26,114660.0,1.26,2010-01-05,1.26,1.26
1.24,42160.0,1.24,2010-01-06,1.24,1.24
1.24,37200.0,1.24,2010-01-07,1.24,1.24
1.3,13000.0,1.3,2010-01-08,1.3,1.3
1.3,192000.0,1.4,2010-01-12,1.4,1.3
1.56,288680.0,1.5,2010-01-13,1.58,1.4
1.34,52460.0,1.36,2010-01-14,1.36,1.34
1.36,35360.0,1.36,2010-01-15,1.36,1.36
1.3,6500.0,1.3,2010-01-18,1.3,1.3
1.36,82960.0,1.36,2010-01-19,1.36,1.36
1.34,241800.0,1.36,2010-01-20,1.36,1.34
1.32,111100.0,1.3,2010-01-26,1.32,1.3
1.2,12200.0,1.3,2010-01-27,1.3,1.2
1.3,20940.0,1.44,2010-01-28,1.44,1.3
1.2,14600.0,1.3,2010-02-01,1.3,1.2
1.28,299520.0,1.28,2010-02-03,1.28,1.28
1.3,131800.0,1.32,2010-02-04,1.32,1.3
1.28,682400.0,1.2,2010-02-05,1.28,1.18
1.22,48400.0,1.2,2010-02-08,1.22,1.2
1.24,416200.0,1.22,2010-02-09,1.3,1.22
1.26,833500.0,1.3,2010-02-10,1.3,1.26
1.08,109480.0,1.08,2010-03-12,1.08,1.04
1.0,1280000.0,1.0,2010-03-15,1.0,1.0
1.0,30000.0,1.0,2010-03-16,1.0,1.0
1.0,259600.0,0.96,2010-03-17,1.0,0.96
1.16,34800.0,1.16,2010-04-20,1.16,1.16
1.2,39660.0,1.2,2010-04-21,1.22,1.2
1.2,2754600.0,1.22,2010-04-22,1.28,1.2
1.28,2721920.0,1.4,2010-04-23,1.44,1.28
1.36,473800.0,1.38,2010-04-29,1.44,1.36
1.36,150920.0,1.32,2010-04-30,1.36,1.32
1.34,67000.0,1.34,2010-05-04,1.34,1.34
1.3,74400.0,1.28,2010-05-05,1.3,1.28
1.24,168420.0,1.34,2010-05-13,1.34,1.24
1.34,94900.0,1.3,2010-05-14,1.34,1.28
1.38,273480.0,1.26,2010-05-17,1.38,1.26
1.26,51660.0,1.26,2010-05-18,1.26,1.26
1.28,61440.0,1.28,2010-05-19,1.28,1.28
1.28,38400.0,1.28,2010-05-20,1.28,1.28
1.22,146400.0,1.22,2010-05-21,1.22,1.22
1.22,8540.0,1.22,2010-05-25,1.22,1.22
1.18,85040.0,1.22,2010-05-27,1.22,1.18
1.26,41580.0,1.26,2010-05-31,1.26,1.26
1.24,135160.0,1.24,2010-06-01,1.24,1.24
1.24,334800.0,1.24,2010-06-02,1.24,1.24
1.24,49600.0,1.24,2010-06-03,1.24,1.24
1.2,48000.0,1.2,2010-06-07,1.2,1.2
1.2,42000.0,1.2,2010-06-11,1.2,1.2
1.2,324000.0,1.2,2010-06-15,1.2,1.2
1.2,210000.0,1.2,2010-06-21,1.2,1.2
1.24,190040.0,1.3,2010-06-22,1.3,1.24
1.32,133400.0,1.34,2010-06-23,1.34,1.32
1.28,114200.0,1.26,2010-06-24,1.28,1.26
1.28,11520.0,1.28,2010-06-25,1.28,1.28
1.28,130260.0,1.28,2010-06-28,1.3,1.28
1.3,1486380.0,1.38,2010-06-29,1.44,1.3
1.46,753580.0,1.38,2010-07-01,1.46,1.38
1.4,590040.0,1.42,2010-07-02,1.42,1.36
1.34,46900.0,1.34,2010-07-06,1.34,1.34
1.34,87100.0,1.34,2010-07-07,1.34,1.34
1.34,149820.0,1.3,2010-07-09,1.34,1.3
1.34,134000.0,1.34,2010-07-13,1.34,1.34
1.36,137000.0,1.38,2010-07-15,1.38,1.36
1.4,205400.0,1.32,2010-07-16,1.4,1.32
1.32,46200.0,1.32,2010-07-19,1.32,1.32
1.36,355000.0,1.34,2010-07-20,1.4,1.34
1.3,91000.0,1.3,2010-07-22,1.3,1.3
1.28,456800.0,1.32,2010-09-20,1.34,1.28
1.24,49600.0,1.24,2010-09-21,1.24,1.24
1.28,826250.0,1.35,2010-09-22,1.35,1.28
1.3,128790.0,1.39,2010-09-24,1.39,1.3
1.3,7800.0,1.3,2010-09-27,1.3,1.3
1.3,215800.0,1.3,2010-09-28,1.3,1.3
1.31,290620.0,1.28,2010-09-29,1.32,1.28
1.26,139840.0,1.24,2010-09-30,1.26,1.24
1.24,124000.0,1.24,2010-10-04,1.24,1.24
1.24,278340.0,1.29,2010-10-05,1.29,1.22
1.25,287500.0,1.25,2010-10-06,1.25,1.25
1.25,1250.0,1.25,2010-10-07,1.25,1.25
1.26,15120.0,1.26,2010-10-08,1.26,1.26
1.26,355660.0,1.22,2010-10-12,1.28,1.22
1.24,24800.0,1.24,2010-10-13,1.24,1.24
1.25,130000.0,1.25,2010-10-15,1.25,1.25
1.25,15000.0,1.25,2010-10-19,1.25,1.25
1.25,429000.0,1.2,2010-10-22,1.27,1.2
1.27,127390.0,1.28,2010-10-26,1.28,1.27
1.26,51380.0,1.3,2010-10-27,1.3,1.26
1.29,32940.0,1.26,2010-10-29,1.29,1.26
1.25,125000.0,1.25,2010-11-02,1.25,1.25
1.25,62500.0,1.25,2010-11-03,1.25,1.25
1.25,49050.0,1.22,2010-11-04,1.25,1.22
1.25,31070.0,1.24,2010-11-08,1.25,1.24
1.25,40760.0,1.23,2010-11-09,1.25,1.23
1.24,326950.0,1.23,2010-11-10,1.24,1.23
1.22,291600.0,1.2,2010-11-11,1.22,1.2
1.2,215100.0,1.16,2010-11-12,1.2,1.16
1.16,1160.0,1.16,2010-11-18,1.16,1.16
1.2,166400.0,1.16,2010-11-19,1.2,1.16
1.18,307800.0,1.16,2010-11-22,1.18,1.15
1.16,18570.0,1.17,2010-11-23,1.17,1.16
1.17,26910.0,1.17,2010-11-25,1.17,1.17
1.26,8820.0,1.26,2010-11-30,1.26,1.26
1.2,12000.0,1.2,2010-12-02,1.2,1.2
1.2,26400.0,1.2,2010-12-03,1.2,1.2
1.2,120000.0,1.2,2010-12-06,1.2,1.2
1.19,201100.0,1.18,2010-12-07,1.19,1.18
1.2,343150.0,1.18,2010-12-08,1.2,1.18
1.25,18750.0,1.25,2010-12-23,1.25,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,605300.0,1.31,2010-12-28,1.31,1.25
1.25,283000.0,1.29,2010-12-29,1.29,1.25
