OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.25,2006500.0,3.25,2009-08-03,3.3,3.15
3.3,1187750.0,3.2,2009-08-04,3.35,3.15
3.15,581300.0,3.2,2009-08-06,3.2,3.15
3.15,1439950.0,3.15,2009-08-07,3.2,3.1
3.05,705950.0,3.1,2009-08-10,3.1,3.0
3.1,1261700.0,3.2,2009-08-11,3.2,3.05
3.1,1096450.0,3.2,2009-08-12,3.2,3.1
3.25,3623450.0,3.2,2009-08-13,3.4,3.2
3.2,900300.0,3.1,2009-08-14,3.2,3.1
3.15,420700.0,3.15,2009-08-17,3.15,3.05
3.05,805950.0,3.15,2009-08-18,3.15,3.0
3.2,573050.0,3.1,2009-08-19,3.2,3.1
3.15,977650.0,3.1,2009-08-20,3.15,3.0
3.15,741850.0,3.15,2009-08-24,3.15,3.1
3.15,583300.0,3.0,2009-08-25,3.15,3.0
3.1,1064150.0,3.1,2009-08-26,3.15,3.05
3.55,23452700.0,3.85,2009-09-03,3.85,3.45
3.9,38326050.0,4.35,2009-09-04,4.4,3.9
5.1,6235550.0,4.9,2009-09-16,5.1,4.8
5.0,7294900.0,4.85,2009-09-17,5.1,4.85
4.9,6679500.0,4.85,2009-09-18,4.95,4.8
4.95,11382450.0,4.9,2009-09-22,5.1,4.85
5.0,5063750.0,4.8,2009-09-23,5.0,4.7
4.35,115550.0,4.25,2009-09-30,4.35,4.25
4.35,3222250.0,4.1,2009-10-01,4.4,4.1
3.95,2971700.0,4.1,2009-10-02,4.1,3.85
4.3,1070750.0,4.05,2009-10-05,4.3,4.05
4.15,14417300.0,4.3,2009-10-06,4.6,4.1
4.4,10596600.0,4.45,2009-10-07,4.5,4.3
4.45,2699200.0,4.25,2009-10-08,4.5,4.25
4.35,3493250.0,4.2,2009-10-09,4.35,4.2
4.3,4597750.0,4.05,2009-10-12,4.3,4.0
4.15,2727750.0,4.1,2009-10-13,4.2,4.0
4.05,2696400.0,4.15,2009-10-14,4.2,4.05
4.2,1539650.0,4.25,2009-10-15,4.25,4.15
4.25,839350.0,4.15,2009-10-16,4.35,4.05
4.25,2790000.0,4.05,2009-10-19,4.25,4.0
4.1,8791150.0,4.0,2009-10-20,4.35,4.0
4.05,1873600.0,4.0,2009-10-21,4.1,3.95
4.0,813700.0,4.1,2009-10-22,4.1,3.95
4.1,8565400.0,4.3,2009-10-23,4.35,4.0
4.35,5834450.0,4.4,2009-10-26,4.45,4.2
4.45,1831650.0,4.25,2009-10-27,4.45,4.2
4.25,4435150.0,4.05,2009-10-28,4.3,4.0
4.1,2287600.0,4.0,2009-10-29,4.1,3.95
4.1,1146850.0,4.0,2009-10-30,4.15,4.0
4.15,1401200.0,3.9,2009-11-03,4.15,3.85
4.0,1138250.0,3.85,2009-11-04,4.0,3.85
3.95,3751750.0,3.7,2009-11-05,4.0,3.55
3.7,1585000.0,3.65,2009-11-06,3.8,3.6
3.8,4588350.0,4.05,2009-11-09,4.1,3.8
4.15,10548750.0,4.15,2009-11-10,4.25,3.95
4.2,23849500.0,4.45,2009-11-11,4.45,4.2
