OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.95,281850.0,3.0,2009-08-06,3.0,2.95
3.05,762500.0,3.05,2009-08-07,3.05,3.05
3.0,846000.0,3.0,2009-08-10,3.0,3.0
3.0,198000.0,3.0,2009-08-11,3.0,3.0
3.05,552550.0,3.3,2009-08-13,3.3,3.05
3.15,315000.0,3.15,2009-08-18,3.15,3.15
3.15,630000.0,3.15,2009-08-19,3.15,3.15
3.15,18900.0,3.15,2009-08-20,3.15,3.15
3.15,3150.0,3.15,2009-08-24,3.15,3.15
3.2,1223750.0,3.4,2009-08-25,3.4,3.15
3.25,984950.0,3.4,2009-08-26,3.4,3.25
3.4,812600.0,3.4,2009-09-04,3.4,3.4
3.1,31000.0,3.1,2009-09-30,3.1,3.1
3.2,40800.0,3.1,2009-10-05,3.2,3.1
3.1,1432200.0,3.1,2009-10-09,3.1,3.1
3.1,15500.0,3.1,2009-10-12,3.1,3.1
3.1,34100.0,3.1,2009-10-13,3.1,3.1
3.1,96100.0,3.1,2009-10-14,3.1,3.1
3.1,424700.0,3.1,2009-10-15,3.1,3.1
3.1,49600.0,3.1,2009-10-16,3.1,3.1
3.1,24800.0,3.1,2009-10-20,3.1,3.1
3.1,34100.0,3.1,2009-10-22,3.1,3.1
3.1,1069500.0,3.1,2009-10-23,3.1,3.1
3.1,465000.0,3.1,2009-10-28,3.1,3.1
3.25,162500.0,3.25,2009-12-18,3.25,3.25
3.25,32500.0,3.25,2009-12-22,3.25,3.25
3.25,130000.0,3.25,2009-12-23,3.25,3.25
3.3,214500.0,3.3,2010-01-05,3.3,3.3
3.35,351100.0,3.4,2010-01-06,3.4,3.35
3.4,1337350.0,3.5,2010-01-08,3.5,3.4
3.6,720000.0,3.6,2010-01-11,3.6,3.6
3.6,39600.0,3.6,2010-01-12,3.6,3.6
3.6,10800.0,3.6,2010-01-13,3.6,3.6
3.5,350000.0,3.5,2010-01-14,3.5,3.5
3.45,41400.0,3.45,2010-01-19,3.45,3.45
3.55,10650.0,3.55,2010-01-22,3.55,3.55
3.45,1035000.0,3.45,2010-01-27,3.45,3.45
3.45,115850.0,3.55,2010-02-03,3.55,3.45
3.45,772800.0,3.45,2010-02-05,3.45,3.45
3.45,189750.0,3.45,2010-02-09,3.45,3.45
3.45,386400.0,3.45,2010-02-10,3.45,3.45
3.45,1207500.0,3.45,2010-02-11,3.45,3.45
3.55,204800.0,3.55,2010-03-08,3.6,3.55
3.55,71000.0,3.55,2010-03-16,3.55,3.55
3.6,21300.0,3.5,2010-03-31,3.6,3.5
3.5,91000.0,3.5,2010-05-14,3.5,3.5
3.6,18000.0,3.6,2010-05-17,3.6,3.6
3.6,61200.0,3.6,2010-05-18,3.6,3.6
3.6,18000.0,3.6,2010-05-19,3.6,3.6
3.05,3050.0,3.05,2010-05-21,3.05,3.05
3.1,18600.0,3.1,2010-05-26,3.1,3.1
3.1,15350.0,3.05,2010-05-28,3.1,3.05
3.25,95500.0,3.6,2010-05-31,3.6,3.25
3.6,28800.0,3.6,2010-06-07,3.6,3.6
3.6,18000.0,3.6,2010-06-08,3.6,3.6
3.6,10800.0,3.6,2010-06-16,3.6,3.6
3.45,6900.0,3.45,2010-06-22,3.45,3.45
3.45,27600.0,3.45,2010-06-23,3.45,3.45
3.3,6600.0,3.3,2010-06-24,3.3,3.3
3.15,18900.0,3.15,2010-07-01,3.15,3.15
3.25,9750.0,3.25,2010-07-02,3.25,3.25
3.5,35000.0,3.5,2010-07-06,3.5,3.5
3.3,46200.0,3.3,2010-07-19,3.3,3.3
3.25,9750.0,3.25,2010-07-20,3.25,3.25
3.25,3250.0,3.25,2010-07-22,3.25,3.25
3.25,9750.0,3.25,2010-07-23,3.25,3.25
3.25,29250.0,3.25,2010-09-21,3.25,3.25
3.9,245700.0,3.9,2010-09-22,3.9,3.9
3.9,538200.0,3.9,2010-09-23,3.9,3.9
3.9,358800.0,3.9,2010-09-24,3.9,3.9
3.9,62400.0,3.9,2010-09-27,3.9,3.9
3.6,7200.0,3.6,2010-10-07,3.6,3.6
3.9,39000.0,3.9,2010-10-08,3.9,3.9
3.4,3400.0,3.4,2010-10-12,3.4,3.4
3.5,7000.0,3.5,2010-10-13,3.5,3.5
3.9,39000.0,3.9,2010-10-14,3.9,3.9
3.8,38000.0,3.8,2010-10-18,3.8,3.8
3.8,570000.0,3.8,2010-10-20,3.8,3.8
3.7,37000.0,3.7,2010-10-21,3.7,3.7
3.8,304900.0,3.9,2010-10-22,3.9,3.8
3.75,26250.0,3.75,2010-10-28,3.75,3.75
3.75,37500.0,3.75,2010-10-29,3.75,3.75
3.9,2765100.0,3.9,2010-11-03,3.9,3.9
3.75,3750.0,3.75,2010-11-09,3.75,3.75
3.75,7500.0,3.75,2010-11-10,3.75,3.75
3.75,30000.0,3.75,2010-11-11,3.75,3.75
3.75,286700.0,3.8,2010-11-12,3.8,3.7
3.8,11400.0,3.8,2010-11-15,3.8,3.8
3.8,19000.0,3.8,2010-11-17,3.8,3.8
4.0,1644000.0,4.0,2010-11-18,4.0,4.0
4.0,103950.0,4.0,2010-11-19,4.0,3.95
4.0,32000.0,4.0,2010-11-22,4.0,4.0
4.0,4000.0,4.0,2010-11-25,4.0,4.0
4.0,8000.0,4.0,2010-11-26,4.0,4.0
4.0,40000.0,4.0,2010-11-30,4.0,4.0
4.0,112000.0,4.0,2010-12-03,4.0,4.0
3.95,51350.0,3.95,2010-12-06,3.95,3.95
4.0,119990.0,4.0,2010-12-07,4.0,3.99
4.0,8000.0,4.0,2010-12-08,4.0,4.0
3.55,3550.0,3.55,2010-12-16,3.55,3.55
3.5,63000.0,3.5,2010-12-28,3.5,3.5
3.5,63000.0,3.5,2010-12-28,3.5,3.5
3.5,63000.0,3.5,2010-12-28,3.5,3.5
3.5,63000.0,3.5,2010-12-28,3.5,3.5
3.5,63000.0,3.5,2010-12-28,3.5,3.5
3.5,63000.0,3.5,2010-12-28,3.5,3.5
3.5,63000.0,3.5,2010-12-28,3.5,3.5
3.5,63000.0,3.5,2010-12-28,3.5,3.5
3.5,63000.0,3.5,2010-12-28,3.5,3.5
3.5,63000.0,3.5,2010-12-28,3.5,3.5
3.5,63000.0,3.5,2010-12-28,3.5,3.5
3.5,63000.0,3.5,2010-12-28,3.5,3.5
