OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.028,4975800.0,0.028,2009-08-03,0.028,0.027
0.028,8865200.0,0.029,2009-08-04,0.029,0.027
0.028,2091300.0,0.029,2009-08-06,0.029,0.028
0.028,5111100.0,0.029,2009-08-07,0.029,0.028
0.029,4880300.0,0.03,2009-08-10,0.03,0.028
0.03,7176500.0,0.031,2009-08-11,0.031,0.03
0.032,27355200.0,0.038,2009-08-12,0.039,0.032
0.039,15529500.0,0.038,2009-08-13,0.04,0.037
0.038,34115500.0,0.04,2009-08-14,0.041,0.038
0.039,11488800.0,0.039,2009-08-17,0.04,0.038
0.038,30205600.0,0.038,2009-08-18,0.038,0.036
0.038,16478600.0,0.039,2009-08-19,0.039,0.038
0.038,10054000.0,0.039,2009-08-20,0.039,0.038
0.039,15900700.0,0.04,2009-08-24,0.04,0.039
0.039,8625300.0,0.04,2009-08-25,0.04,0.039
0.039,6644100.0,0.04,2009-08-26,0.04,0.039
0.039,5418900.0,0.04,2009-09-03,0.04,0.039
0.04,13581300.0,0.041,2009-09-04,0.041,0.039
0.043,17479800.0,0.042,2009-09-16,0.043,0.041
0.042,26628300.0,0.043,2009-09-17,0.043,0.042
0.042,8486600.0,0.041,2009-09-18,0.042,0.04
0.041,10000900.0,0.04,2009-09-22,0.041,0.039
0.04,12269200.0,0.039,2009-09-23,0.04,0.038
0.036,33331700.0,0.039,2009-09-30,0.039,0.036
0.039,8598000.0,0.039,2009-10-01,0.039,0.038
0.037,11010600.0,0.039,2009-10-02,0.039,0.037
0.039,1636900.0,0.039,2009-10-05,0.039,0.038
0.039,2498000.0,0.038,2009-10-06,0.039,0.038
0.038,4044300.0,0.038,2009-10-07,0.038,0.037
0.037,276100.0,0.038,2009-10-08,0.038,0.037
0.038,7573700.0,0.039,2009-10-09,0.039,0.037
0.039,4140400.0,0.039,2009-10-12,0.039,0.038
0.038,287400.0,0.038,2009-10-13,0.038,0.037
0.037,320700.0,0.038,2009-10-14,0.038,0.037
0.038,759700.0,0.038,2009-10-15,0.038,0.037
0.038,862000.0,0.037,2009-10-16,0.038,0.036
0.037,1234600.0,0.037,2009-10-19,0.037,0.036
0.037,652500.0,0.038,2009-10-20,0.038,0.036
0.037,1255800.0,0.038,2009-10-21,0.038,0.037
0.037,1111100.0,0.038,2009-10-22,0.038,0.037
0.037,227900.0,0.038,2009-10-23,0.038,0.037
0.037,2186800.0,0.038,2009-10-26,0.038,0.037
0.037,794900.0,0.038,2009-10-27,0.038,0.037
0.038,506200.0,0.038,2009-10-28,0.038,0.037
0.038,905200.0,0.038,2009-10-29,0.038,0.037
