OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.34,2903820.0,2.99,2013-07-25,5.99,0.01
2.9,147610.0,2.64,2013-07-26,2.9,2.5
2.52,2558430.0,2.19,2013-07-29,2.52,1.7
2.19,297570.0,1.96,2013-07-30,2.19,1.94
1.78,18260.0,1.99,2013-07-31,1.99,1.78
1.79,158080.0,1.96,2013-08-05,1.96,1.77
1.98,10380.0,1.68,2013-08-07,1.98,1.68
1.95,1950.0,1.95,2013-08-08,1.95,1.95
1.94,16140.0,1.93,2013-08-12,1.94,1.72
1.73,101790.0,1.75,2013-08-14,1.75,1.7
1.88,69380.0,1.89,2013-08-15,1.89,1.86
1.73,5170.0,1.72,2013-08-16,1.73,1.72
1.9,187550.0,1.75,2013-08-22,1.92,1.75
1.86,131550.0,2.3,2013-08-23,2.3,1.82
2.2,22300.0,2.2,2013-08-28,2.25,2.2
2.06,67590.0,1.9,2013-08-29,2.06,1.9
2.2,2200.0,2.2,2013-08-30,2.2,2.2
2.1,2598890.0,2.2,2013-09-03,3.04,2.05
2.2,180250.0,2.19,2013-09-04,2.2,2.02
2.07,28500.0,2.02,2013-09-05,2.07,2.02
2.03,324090.0,2.02,2013-09-06,2.29,2.0
2.42,111720.0,2.13,2013-09-09,2.42,2.0
2.02,72310.0,2.03,2013-09-10,2.13,2.02
2.02,79190.0,2.1,2013-09-11,2.23,2.0
2.03,66740.0,2.01,2013-09-13,2.19,2.01
2.01,40820.0,2.15,2013-09-16,2.2,2.0
2.0,4000.0,2.0,2013-09-17,2.0,2.0
2.0,184150.0,1.99,2013-09-18,2.0,1.93
2.15,2150.0,2.15,2013-09-19,2.15,2.15
1.95,11700.0,1.95,2013-09-20,1.95,1.95
2.0,23900.0,1.95,2013-09-25,2.0,1.95
2.03,10240.0,2.03,2013-09-26,2.12,2.03
2.03,12179.999999999998,2.03,2013-09-27,2.03,2.03
1.99,15860.0,1.98,2013-09-30,1.99,1.98
1.96,5880.0,1.96,2013-10-01,1.96,1.96
1.98,5940.0,1.98,2013-10-04,1.98,1.98
1.96,3910.0,1.95,2013-10-07,1.96,1.95
2.0,44790.0,2.09,2013-10-09,2.09,2.0
2.09,40140.0,2.15,2013-10-10,2.2,2.05
2.2,12640.0,2.06,2013-10-11,2.2,2.06
2.2,41760.0,2.2,2013-10-14,2.2,2.19
2.1,21000.0,2.1,2013-10-16,2.1,2.1
2.09,45870.0,2.08,2013-10-18,2.09,2.08
2.09,8179.999999999999,2.03,2013-10-21,2.09,2.03
2.05,14410.0,2.08,2013-10-22,2.08,2.05
2.12,540190.0,2.18,2013-10-24,2.5,2.12
2.22,104340.00000000001,2.22,2013-10-25,2.22,2.22
2.17,68070.0,2.16,2013-10-29,2.35,2.16
2.2,318640.0,2.39,2013-10-30,2.39,2.2
2.48,66760.0,2.34,2013-10-31,2.48,2.23
2.23,18160.0,2.25,2013-11-04,2.34,2.23
2.24,170210.0,2.34,2013-11-05,2.48,2.24
2.46,219360.0,2.31,2013-11-06,2.46,2.25
2.26,35100.0,2.36,2013-11-07,2.36,2.26
2.3,4237510.0,3.0,2013-11-08,3.45,2.3
3.05,4870730.0,4.47,2013-11-11,4.5,3.05
4.65,6532980.0,6.02,2013-11-12,6.5,4.65
6.03,7086931.0,5.1,2013-11-13,6.99,5.04
5.09,2503650.0,4.07,2013-11-14,5.09,4.02
4.1,323100.0,3.51,2013-11-15,4.1,3.51
2.7,192180.0,3.18,2013-11-18,3.51,2.7
3.48,167240.0,3.2,2013-11-19,3.79,3.2
3.12,201820.0,3.3,2013-11-20,3.55,3.12
3.28,178580.0,2.96,2013-11-21,3.28,2.9
2.9,308940.0,2.7,2013-11-22,2.9,2.7
2.8,84090.0,2.79,2013-11-25,2.83,2.79
2.75,81200.0,2.2,2013-11-26,2.75,2.2
2.0,271870.0,2.2,2013-11-27,2.35,2.0
2.2,39260.0,2.1,2013-11-28,2.2,2.01
2.2,68450.0,2.2,2013-11-29,2.25,2.2
2.1,139480.0,2.6,2013-12-02,3.0,2.02
2.98,64300.0,2.6,2013-12-03,3.0,2.6
2.9,34400.0,2.55,2013-12-04,2.9,2.4
2.55,31000.0,2.4,2013-12-10,2.55,2.3
2.22,133180.0,2.1,2013-12-12,2.3,2.1
2.12,33540.0,2.22,2013-12-13,2.39,2.12
2.24,24560.0,2.28,2013-12-16,2.28,2.19
2.2,2200.0,2.2,2013-12-17,2.2,2.2
2.14,4610.0,2.47,2013-12-18,2.47,2.14
2.39,16880.0,2.45,2013-12-19,2.45,2.39
2.2,4400.0,2.2,2013-12-20,2.2,2.2
2.21,56580.0,2.02,2013-12-26,2.21,2.02
2.02,174040.0,2.17,2013-12-27,2.19,2.02
2.2,6720.0,2.25,2014-01-02,2.27,2.2
2.05,16980.0,2.24,2014-01-07,2.24,2.05
2.2,606740.0,2.14,2014-01-08,2.7,2.11
