OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
50.5,78423700.0,51.0,2009-08-03,51.0,50.5
51.5,25574700.0,51.5,2009-08-04,52.0,51.0
51.5,46603700.0,51.5,2009-08-06,52.0,51.5
51.0,11389600.0,51.0,2009-08-07,51.5,51.0
51.0,8875300.0,51.0,2009-08-10,51.0,50.5
51.0,28067150.0,51.5,2009-08-11,51.5,50.5
51.0,36669500.0,51.0,2009-08-12,51.0,50.5
51.0,58983050.0,51.0,2009-08-13,51.0,50.0
51.0,9512850.0,51.5,2009-08-14,52.0,50.5
52.0,6642150.0,51.0,2009-08-17,52.0,50.5
51.0,12092000.0,52.0,2009-08-18,52.0,50.0
52.0,40834350.0,51.5,2009-08-19,52.0,51.0
51.5,23999700.0,50.0,2009-08-20,51.5,50.0
51.0,51920350.0,52.0,2009-08-24,52.0,50.5
51.5,23281300.0,51.5,2009-08-25,51.5,51.0
51.5,18830400.0,51.0,2009-08-26,51.5,50.5
50.0,17642350.0,50.0,2009-09-03,50.0,49.5
50.0,47746700.0,49.5,2009-09-04,50.0,49.5
49.5,15669000.0,50.0,2009-09-16,50.0,49.5
50.0,39531400.0,50.5,2009-09-17,50.5,50.0
50.0,14361550.0,50.5,2009-09-18,50.5,49.5
50.0,66807750.0,51.5,2009-09-22,51.5,50.0
51.5,62483150.0,51.5,2009-09-23,51.5,51.0
51.0,22038050.0,49.5,2009-09-30,51.0,49.0
49.5,41134500.0,50.0,2009-10-01,51.0,49.5
49.5,11778450.0,50.0,2009-10-02,50.0,49.5
49.5,10912000.0,50.0,2009-10-05,50.0,49.5
50.5,6603150.0,51.0,2009-10-06,51.0,50.5
51.0,66022850.0,52.5,2009-10-07,52.5,51.0
51.5,10668600.0,51.5,2009-10-08,52.0,51.5
52.0,41343800.0,52.5,2009-10-09,52.5,52.0
52.5,9684950.0,51.0,2009-10-12,52.5,51.0
51.0,31584300.0,51.0,2009-10-13,51.0,51.0
51.0,33129600.0,51.0,2009-10-14,51.0,51.0
52.0,19201550.0,52.0,2009-10-15,52.0,51.5
52.0,67775550.0,52.0,2009-10-16,52.5,52.0
52.0,43619250.0,52.5,2009-10-19,52.5,52.0
52.5,57759000.0,53.0,2009-10-20,53.0,52.5
53.0,38112300.0,53.0,2009-10-21,53.0,52.0
53.0,11628450.0,53.0,2009-10-22,53.0,52.5
53.5,13696950.0,52.5,2009-10-23,53.5,52.5
52.0,1242800.0,52.0,2009-10-26,52.0,52.0
52.0,29119900.0,52.0,2009-10-27,52.5,51.5
51.5,1172800.0,52.5,2009-10-28,52.5,51.5
51.5,60868050.0,51.5,2009-10-29,52.0,50.5
51.5,12958150.0,51.0,2009-10-30,52.5,51.0
51.0,84357150.0,49.5,2009-11-03,51.0,49.0
50.0,7886300.0,49.5,2009-11-04,50.5,49.5
49.5,16115000.0,50.5,2009-11-05,50.5,49.5
51.0,11185500.0,51.0,2009-11-06,51.0,50.5
50.5,3250850.0,50.0,2009-11-09,51.0,50.0
50.5,33710400.0,52.0,2009-11-10,52.0,50.5
52.5,33388900.0,52.5,2009-11-11,52.5,52.0
53.0,31552800.0,53.5,2009-12-15,55.0,53.0
53.5,6649250.0,54.0,2009-12-16,54.5,53.5
53.5,2812350.0,55.0,2009-12-17,55.0,53.5
55.0,21002900.0,54.5,2009-12-18,55.0,54.5
54.5,37152900.0,55.0,2009-12-21,55.0,54.5
55.0,12368200.0,54.0,2009-12-22,55.0,54.0
55.0,6847800.0,54.0,2009-12-23,55.0,54.0
54.5,24115800.0,55.0,2009-12-29,55.0,54.5
55.5,14598650.0,55.5,2010-01-04,55.5,55.0
55.5,99016300.0,59.0,2010-01-05,59.0,55.5
59.0,25933550.0,59.0,2010-01-06,59.0,58.5
59.0,23334500.0,59.0,2010-01-07,59.0,59.0
59.5,12325150.0,59.0,2010-01-08,59.5,59.0
59.0,6760000.0,56.5,2010-01-11,59.0,56.5
56.5,17541400.0,58.0,2010-01-12,58.5,56.5
57.5,79477600.0,57.5,2010-01-13,57.5,56.0
58.0,37915250.0,58.0,2010-01-14,58.0,57.5
58.0,78754250.0,58.5,2010-01-15,58.5,58.0
58.5,5944050.0,57.5,2010-01-18,58.5,57.5
57.5,2024400.0,57.0,2010-01-19,57.5,57.0
57.5,26015700.0,56.5,2010-01-20,57.5,56.5
56.5,13966850.0,56.5,2010-01-21,57.0,56.5
56.5,46894050.0,55.0,2010-01-22,56.5,55.0
55.0,11837750.0,54.5,2010-01-25,55.0,54.0
54.5,23264250.0,53.0,2010-01-26,55.0,53.0
54.0,40154400.0,55.0,2010-01-27,55.0,53.5
54.0,21965700.0,54.0,2010-01-28,54.5,54.0
54.0,43569050.0,52.5,2010-01-29,54.0,52.5
52.5,80164800.0,52.0,2010-02-01,52.5,51.5
53.0,13146750.0,52.5,2010-02-02,53.0,52.5
53.0,22062500.0,53.0,2010-02-03,53.0,52.5
53.5,37405900.0,54.5,2010-02-04,55.0,53.5
52.5,28528000.0,54.5,2010-02-05,54.5,52.5
53.5,66776300.0,54.0,2010-02-08,54.5,53.5
53.0,61940100.0,52.5,2010-02-09,53.0,52.0
53.5,50956150.0,54.0,2010-02-10,54.0,53.5
54.5,6723150.0,54.0,2010-02-11,54.5,54.0
56.5,2193700.0,57.5,2010-03-08,57.5,56.5
57.5,26102250.0,57.0,2010-03-12,57.5,57.0
57.0,18902050.0,57.0,2010-03-15,57.5,57.0
57.5,15620450.0,58.5,2010-03-16,58.5,57.0
58.5,53896050.0,58.5,2010-03-17,58.5,58.5
59.0,51151350.0,59.0,2010-03-31,60.0,59.0
59.0,15147800.0,57.0,2010-04-20,59.0,57.0
58.0,23184600.0,57.0,2010-04-21,58.0,57.0
57.5,22919300.0,58.0,2010-04-22,58.0,57.0
57.5,10259700.0,58.0,2010-04-23,58.0,57.5
55.5,51589900.0,57.0,2010-04-29,57.5,55.5
58.5,35839600.0,58.5,2010-04-30,58.5,58.0
58.5,34582650.0,57.5,2010-05-04,58.5,57.5
57.5,15087150.0,57.5,2010-05-05,58.0,56.5
60.0,39756150.0,60.0,2010-05-13,60.5,59.5
60.0,10328600.0,59.5,2010-05-14,60.0,59.5
59.0,31342850.0,60.5,2010-05-17,61.0,59.0
60.0,75210300.0,61.0,2010-05-18,61.0,60.0
61.0,2599450.0,60.0,2010-05-19,61.0,60.0
60.0,15533750.0,58.0,2010-05-20,60.0,58.0
57.5,12327400.0,59.0,2010-05-21,59.0,57.5
59.0,125083650.0,59.0,2010-05-24,60.0,58.0
59.0,3317200.0,59.0,2010-05-25,59.0,58.0
59.5,54087600.0,58.5,2010-05-26,60.0,58.5
58.5,22222350.0,59.0,2010-05-27,59.5,58.5
60.0,91230150.0,61.0,2010-05-28,61.5,60.0
61.0,54746050.0,60.0,2010-05-31,61.5,60.0
60.0,11410550.0,60.0,2010-06-01,60.5,60.0
60.0,48536900.0,60.0,2010-06-02,60.5,60.0
60.0,64334600.0,63.0,2010-06-03,63.0,60.0
63.0,49313450.0,64.5,2010-06-04,64.5,62.5
63.5,5280050.0,62.0,2010-06-07,63.5,61.5
62.0,30052300.0,60.5,2010-06-08,62.0,60.0
61.0,19124500.0,62.0,2010-06-09,62.0,60.5
62.0,18801200.0,62.0,2010-06-10,62.0,61.5
62.0,5487850.0,62.5,2010-06-11,63.0,61.0
62.5,7663150.0,63.5,2010-06-15,63.5,62.0
63.5,29828650.0,64.0,2010-06-16,64.0,63.5
67.0,54199700.0,68.5,2010-06-21,69.0,67.0
68.5,26558400.0,68.5,2010-06-22,68.5,68.0
68.5,36500250.0,70.0,2010-06-23,70.0,68.5
70.0,20774700.0,69.5,2010-06-24,70.0,68.0
69.0,59066500.0,70.0,2010-06-25,71.0,69.0
70.5,5111250.0,70.5,2010-06-28,70.5,70.5
71.0,29090750.0,70.5,2010-06-29,71.0,70.0
70.0,52215500.0,70.0,2010-07-01,70.0,69.5
69.5,18297450.0,70.0,2010-07-02,70.0,69.5
69.5,5726200.0,69.0,2010-07-06,70.5,69.0
70.0,55286700.0,70.0,2010-07-07,70.0,69.5
70.0,19127750.0,70.5,2010-07-08,70.5,70.0
70.0,13440900.0,70.5,2010-07-09,70.5,69.5
70.5,47318300.0,72.5,2010-07-13,72.5,70.5
72.5,18710100.0,74.0,2010-07-14,74.0,72.5
74.0,44430750.0,77.0,2010-07-15,77.0,74.0
77.0,49514250.0,77.0,2010-07-16,77.0,76.5
77.0,8902700.0,75.0,2010-07-19,77.0,75.0
75.0,33253500.0,73.5,2010-07-20,75.0,73.0
73.5,33109850.0,74.0,2010-07-21,74.5,73.5
74.0,86891000.0,74.5,2010-07-22,75.0,73.0
74.5,25785950.0,73.0,2010-07-23,75.0,73.0
88.0,18896380.5,87.0,2010-09-20,91.5,87.0
89.95,14151531.5,88.0,2010-09-21,89.95,87.5
89.95,19586005.0,89.6,2010-09-22,90.0,88.0
89.6,35943662.5,89.5,2010-09-23,89.6,89.0
88.5,27655600.5,89.5,2010-09-24,89.5,88.0
89.55,38538309.0,89.75,2010-09-27,90.5,89.55
89.6,39110061.5,88.6,2010-09-28,89.75,88.5
88.3,36559990.5,87.95,2010-09-29,88.8,87.95
88.6,132524526.0,92.0,2010-09-30,92.0,88.3
90.0,57517502.0,91.5,2010-10-01,91.5,88.5
91.9,26702217.0,92.0,2010-10-04,92.5,91.9
92.0,26202353.0,90.5,2010-10-05,92.0,90.5
92.0,27830744.0,90.0,2010-10-06,92.0,90.0
90.0,55796142.5,91.8,2010-10-07,92.0,89.75
91.85,14114276.5,91.0,2010-10-08,91.85,89.0
91.0,15177643.5,86.35,2010-10-12,91.0,86.35
87.45,7224548.0,89.95,2010-10-13,90.0,87.0
90.05,23276935.0,90.0,2010-10-14,90.5,89.9
