OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.4,3292000.0,5.3,2009-08-03,5.4,5.2
5.4,9849000.0,5.4,2009-08-04,5.5,5.3
5.3,2723500.0,5.2,2009-08-06,5.3,5.2
5.3,2193300.0,5.1,2009-08-07,5.3,5.1
5.2,4357200.0,5.2,2009-08-10,5.2,5.1
5.1,265200.0,5.1,2009-08-11,5.1,5.1
5.1,535500.0,5.1,2009-08-12,5.1,5.1
5.2,2059700.0,5.1,2009-08-13,5.2,5.1
5.1,1362800.0,5.2,2009-08-14,5.2,5.1
5.3,5756500.0,5.1,2009-08-17,5.4,5.1
5.0,5807500.0,5.1,2009-08-18,5.1,4.95
5.1,6985100.0,5.1,2009-08-19,5.2,5.1
5.2,12847200.0,5.3,2009-08-20,5.6,5.2
5.7,5833600.0,5.6,2009-08-24,5.7,5.5
5.6,15295500.0,6.1,2009-08-25,6.1,5.6
6.2,8788600.0,6.3,2009-08-26,6.4,6.2
6.0,2329900.0,6.0,2009-09-03,6.0,5.9
6.1,3351200.0,5.9,2009-09-04,6.1,5.9
5.8,574300.0,5.8,2009-09-16,5.9,5.8
5.9,4881100.0,5.9,2009-09-17,5.9,5.8
5.8,1868500.0,6.0,2009-09-18,6.0,5.8
6.1,485900.0,5.9,2009-09-22,6.1,5.9
5.9,4985900.0,6.1,2009-09-23,6.1,5.9
6.0,31641900.0,6.6,2009-09-30,6.7,6.0
6.6,10806400.0,6.5,2009-10-01,6.8,6.5
6.5,2567300.0,6.4,2009-10-02,6.5,6.3
6.4,2134100.0,6.4,2009-10-05,6.5,6.4
6.5,4686300.0,6.6,2009-10-06,6.6,6.4
6.6,3302100.0,6.5,2009-10-07,6.6,6.4
6.5,7018700.0,6.6,2009-10-08,6.7,6.5
6.6,349800.0,6.6,2009-10-09,6.6,6.6
6.6,1283600.0,6.5,2009-10-12,6.6,6.5
6.5,305500.0,6.5,2009-10-13,6.5,6.5
6.6,208100.0,6.5,2009-10-14,6.6,6.5
6.6,1211200.0,6.6,2009-10-15,6.6,6.5
6.5,370500.0,6.5,2009-10-16,6.5,6.5
6.5,798300.0,6.4,2009-10-19,6.5,6.4
6.4,1726000.0,6.6,2009-10-20,6.6,6.4
6.5,591500.0,6.5,2009-10-21,6.5,6.5
6.4,1664000.0,6.4,2009-10-22,6.4,6.4
6.4,3688500.0,6.5,2009-10-23,6.6,6.4
6.5,1852500.0,6.5,2009-10-26,6.5,6.5
6.4,3462900.0,6.7,2009-10-27,6.7,6.4
6.6,2204800.0,6.5,2009-10-28,6.6,6.5
6.3,8465400.0,6.4,2009-10-29,6.4,6.2
6.4,2366100.0,6.4,2009-10-30,6.5,6.4
6.4,9125800.0,6.1,2009-11-03,6.4,6.0
6.1,7831200.0,6.1,2009-11-04,6.3,6.1
6.1,6230300.0,6.2,2009-11-05,6.3,6.1
6.2,14531000.0,6.4,2009-11-06,6.5,6.2
6.1,4995800.0,6.3,2009-11-09,6.3,6.1
6.3,3133800.0,6.2,2009-11-10,6.3,6.2
6.2,731600.0,6.2,2009-11-11,6.2,6.2
6.1,4101000.0,6.0,2009-12-15,6.1,6.0
6.0,12000.0,6.0,2009-12-16,6.0,6.0
6.0,6576000.0,6.0,2009-12-17,6.0,6.0
6.0,4506000.0,6.0,2009-12-18,6.0,6.0
6.0,61434000.0,6.0,2009-12-21,6.0,6.0
6.0,8304000.0,6.0,2009-12-22,6.0,6.0
6.0,22564900.0,6.0,2009-12-23,6.0,5.9
6.1,9361400.0,6.6,2009-12-29,6.6,6.1
6.5,1095400.0,6.3,2010-01-04,6.6,6.3
6.2,496000.0,6.2,2010-01-05,6.2,6.2
6.1,7277000.0,6.3,2010-01-06,6.3,6.1
6.4,3497200.0,6.4,2010-01-07,6.4,6.3
6.4,3185100.0,6.4,2010-01-08,6.5,6.3
6.4,16107900.0,6.5,2010-01-11,6.5,6.4
6.5,6725900.0,6.4,2010-01-12,6.5,6.4
6.4,17462800.0,6.4,2010-01-13,6.5,6.4
6.5,2593400.0,6.5,2010-01-14,6.5,6.4
6.5,10315000.0,6.5,2010-01-15,6.5,6.4
6.4,3091200.0,6.4,2010-01-18,6.4,6.4
6.4,6905600.0,6.4,2010-01-19,6.4,6.4
6.4,2258000.0,6.3,2010-01-20,6.4,6.3
6.4,6796800.0,6.4,2010-01-21,6.4,6.4
6.4,7506400.0,6.2,2010-01-22,6.4,6.2
6.2,3447200.0,6.0,2010-01-25,6.2,6.0
6.1,3964100.0,5.9,2010-01-26,6.1,5.8
5.9,3922500.0,5.9,2010-01-27,5.9,5.6
6.0,2814500.0,5.9,2010-01-28,6.0,5.8
5.9,1826100.0,5.9,2010-01-29,5.9,5.8
5.8,464000.0,5.8,2010-02-01,5.8,5.8
5.9,3913200.0,5.8,2010-02-02,5.9,5.8
5.8,4620300.0,5.7,2010-02-03,5.8,5.6
5.7,3483700.0,5.7,2010-02-04,5.8,5.7
5.6,6775700.0,5.5,2010-02-05,5.6,5.2
5.6,3796500.0,5.6,2010-02-08,5.7,5.6
5.7,2959700.0,5.6,2010-02-09,5.7,5.5
5.7,3169200.0,5.7,2010-02-10,5.7,5.7
5.7,614700.0,5.8,2010-02-11,5.8,5.7
7.1,10940000.0,7.4,2010-03-08,7.4,7.1
8.0,2414600.0,8.0,2010-03-12,8.0,7.9
7.9,13935500.0,8.0,2010-03-15,8.0,7.8
7.9,15481600.0,8.3,2010-03-16,8.4,7.9
8.3,1444300.0,8.3,2010-03-17,8.3,8.1
10.5,57891925.0,10.25,2010-03-31,10.5,10.0
9.7,4931700.0,9.3,2010-04-20,9.7,9.3
9.4,8725500.0,9.6,2010-04-21,9.7,9.4
9.5,42222150.0,10.0,2010-04-22,10.5,9.5
10.0,10411400.0,10.0,2010-04-23,10.25,9.9
10.25,32427250.0,10.25,2010-04-29,10.5,10.0
10.25,28857025.0,9.9,2010-04-30,10.25,9.9
9.9,1395500.0,9.9,2010-05-04,9.9,9.8
9.8,14859100.0,9.4,2010-05-05,9.8,9.4
11.0,58674750.0,11.5,2010-05-13,11.5,11.0
11.5,61172750.0,12.0,2010-05-14,12.0,11.25
12.0,127672450.0,12.75,2010-05-17,13.0,12.0
12.75,72410325.0,12.5,2010-05-18,13.25,12.25
12.25,31254450.0,12.0,2010-05-19,12.25,11.75
12.0,23120325.0,12.5,2010-05-20,12.5,12.0
11.75,36566750.0,12.0,2010-05-21,12.25,11.75
12.25,36012150.0,12.0,2010-05-24,12.5,12.0
12.0,23208500.0,11.5,2010-05-25,12.0,11.0
11.5,16309925.0,11.75,2010-05-26,11.75,11.25
11.25,57381025.0,11.25,2010-05-27,11.75,11.25
11.75,133244750.0,12.75,2010-05-28,12.75,11.5
12.75,138131450.0,13.75,2010-05-31,14.0,12.5
13.75,87763225.0,13.75,2010-06-01,13.75,13.25
13.5,154450175.0,14.5,2010-06-02,14.5,13.5
14.75,199689850.0,15.5,2010-06-03,15.5,14.5
15.75,114778475.0,15.5,2010-06-04,16.0,15.5
14.75,49599725.0,14.75,2010-06-07,15.25,14.5
14.25,51409525.0,15.0,2010-06-08,15.25,14.25
15.25,64204575.0,14.75,2010-06-09,15.5,14.75
15.0,3929900.0,15.0,2010-06-10,15.0,14.75
15.25,24884225.0,14.75,2010-06-11,15.5,14.75
14.75,67336200.0,15.5,2010-06-15,15.5,14.5
15.75,131430175.0,16.5,2010-06-16,16.5,15.75
16.5,73956525.0,16.5,2010-06-21,17.0,16.25
16.25,42674575.0,16.25,2010-06-22,16.25,16.0
16.0,56078425.0,16.25,2010-06-23,16.5,16.0
