OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.48,43640.0,1.5,2009-08-04,2.1,1.48
2.0,24500.0,1.5,2009-08-06,2.0,1.5
1.54,397320.0,1.54,2009-08-07,1.54,1.54
1.6,342400.0,1.6,2009-08-10,1.6,1.6
1.6,4800.0,1.6,2009-08-11,1.6,1.6
1.62,32580.0,1.8,2009-08-12,1.8,1.62
1.6,388800.0,1.6,2009-08-17,1.6,1.6
1.8,435600.0,1.8,2009-08-18,1.8,1.8
1.8,968540.0,1.9,2009-08-19,2.18,1.8
1.98,71020.0,2.08,2009-08-20,2.08,1.98
2.06,6100.0,2.02,2009-08-24,2.06,2.02
2.0,2000.0,2.0,2009-08-26,2.0,2.0
1.5,22500.0,1.5,2009-09-04,1.5,1.5
1.5,1500.0,1.5,2009-10-01,1.5,1.5
1.5,3000.0,1.5,2009-10-05,1.5,1.5
1.4,53840.0,1.7,2009-10-09,1.7,1.4
1.7,32600.0,1.9,2009-10-12,1.9,1.7
1.42,2840.0,1.42,2009-10-14,1.42,1.42
1.78,5340.0,1.78,2009-10-16,1.78,1.78
1.5,27000.0,1.5,2009-10-23,1.5,1.5
1.5,30000.0,1.5,2009-10-27,1.5,1.5
1.76,1760.0,1.76,2009-10-28,1.76,1.76
1.52,10640.0,1.52,2009-10-29,1.52,1.52
1.56,7640.0,1.52,2009-10-30,1.56,1.52
1.86,279480.0,1.98,2009-11-05,1.98,1.86
1.6,11200.0,1.6,2009-11-11,1.6,1.6
1.9,228000.0,1.9,2009-12-15,1.9,1.9
1.98,30480.0,1.9,2009-12-16,1.98,1.9
1.9,130900.0,1.8,2009-12-17,1.9,1.8
1.8,10800.0,1.8,2009-12-18,1.8,1.8
1.7,56400.0,1.8,2009-12-22,1.8,1.7
1.86,1860.0,1.86,2009-12-23,1.86,1.86
1.86,59520.0,1.86,2009-12-29,1.86,1.86
1.72,29200.0,1.7,2010-01-05,1.72,1.7
1.76,38720.0,1.76,2010-01-06,1.76,1.76
1.76,59840.0,1.76,2010-01-07,1.76,1.76
1.76,46320.0,1.8,2010-01-08,1.8,1.76
1.72,143460.0,1.7,2010-01-11,1.74,1.68
1.84,90000.0,1.56,2010-01-13,1.84,1.52
1.6,48000.0,1.6,2010-01-14,1.6,1.6
2.1,1206300.0,2.4,2010-01-19,2.4,2.02
2.7,11058060.0,2.5,2010-01-20,3.25,2.42
2.4,543600.0,2.4,2010-01-21,2.4,2.0
2.22,205880.0,2.1,2010-01-22,2.44,2.1
2.0,533100.0,2.0,2010-01-25,2.0,1.98
2.0,203240.0,1.92,2010-01-26,2.0,1.9
1.9,51300.0,1.9,2010-01-27,1.9,1.9
1.92,34560.0,1.92,2010-01-28,1.92,1.92
1.92,116100.0,1.94,2010-01-29,1.94,1.92
