OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.0,20000.0,1.0,2009-09-17,1.0,1.0
1.3,527000.0,1.4,2009-10-13,1.4,1.3
1.38,364380.0,1.5,2009-10-14,1.5,1.38
1.5,46500.0,1.5,2009-10-15,1.5,1.5
1.2,1200.0,1.2,2009-10-29,1.2,1.2
1.2,85200.0,1.2,2009-11-09,1.2,1.2
1.2,8400.0,1.2,2009-12-17,1.2,1.2
1.22,39040.0,1.22,2010-01-13,1.22,1.22
1.5,450000.0,1.5,2010-04-22,1.5,1.5
1.46,167900.0,1.46,2010-05-04,1.46,1.46
1.46,301460.0,1.5,2010-05-13,1.5,1.46
1.42,35500.0,1.42,2010-05-20,1.42,1.42
1.24,1240.0,1.24,2010-05-21,1.24,1.24
1.38,13800.0,1.38,2010-07-02,1.38,1.38
1.32,132000.0,1.32,2010-07-06,1.32,1.32
1.32,270520.0,1.48,2010-07-07,1.48,1.32
1.32,132000.0,1.32,2010-07-13,1.32,1.32
1.38,1380.0,1.38,2010-10-05,1.38,1.38
1.38,124200.0,1.38,2010-10-13,1.38,1.38
1.38,26220.0,1.38,2010-10-21,1.38,1.38
1.48,20720.0,1.48,2010-11-03,1.48,1.48
1.4,21320.0,1.48,2010-11-09,1.48,1.4
1.46,11680.0,1.46,2010-12-08,1.46,1.46
2.0,26000.0,2.0,2010-12-16,2.0,2.0
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,1460.0,1.46,2010-12-28,1.46,1.46
1.46,2920.0,1.46,2010-12-29,1.46,1.46
1.46,2920.0,1.46,2010-12-29,1.46,1.46
1.5,1500.0,1.5,2011-01-10,1.5,1.5
1.64,76640.0,2.0,2011-01-12,2.0,1.64
2.05,49200.0,2.05,2011-01-18,2.05,2.05
2.0,2000.0,2.0,2011-02-14,2.0,2.0
2.15,75250.0,2.15,2011-02-16,2.15,2.15
2.15,75250.0,2.15,2011-02-16,2.15,2.15
1.8,1800.0,1.8,2011-02-18,1.8,1.8
1.81,3620.0,1.81,2011-03-02,1.81,1.81
1.88,75200.0,1.88,2011-03-16,1.88,1.88
1.9,99460.0,1.8,2011-03-21,1.9,1.8
1.81,19810.0,1.8,2011-03-23,1.81,1.8
1.8,18000.0,1.8,2011-03-28,1.8,1.8
2.0,178000.0,2.0,2011-03-30,2.0,2.0
1.85,45400.0,1.95,2011-04-07,1.95,1.85
1.83,199940.0,1.75,2011-04-13,1.83,1.75
1.75,17500.0,1.75,2011-04-15,1.75,1.75
1.75,52500.0,1.75,2011-04-29,1.75,1.75
1.8,30600.0,1.8,2011-05-03,1.8,1.8
1.76,35200.0,1.76,2011-05-04,1.76,1.76
1.8,1800.0,1.8,2011-05-05,1.8,1.8
1.8,16200.0,1.8,2011-05-09,1.8,1.8
1.76,17600.0,1.76,2011-05-12,1.76,1.76
1.78,21360.0,1.78,2011-05-23,1.78,1.78
1.72,81820.0,1.78,2011-05-26,1.78,1.72
1.72,22360.0,1.72,2011-06-17,1.72,1.72
1.72,1720.0,1.72,2011-06-30,1.72,1.72
1.72,8600.0,1.72,2011-07-12,1.72,1.72
1.72,1720.0,1.72,2011-07-15,1.72,1.72
1.72,6880.0,1.72,2011-07-19,1.72,1.72
1.72,17200.0,1.72,2011-07-22,1.72,1.72
1.72,3440.0,1.72,2011-07-25,1.72,1.72
1.72,5160.0,1.72,2011-07-27,1.72,1.72
1.81,112820.0,1.82,2011-08-01,1.82,1.81
1.72,6880.0,1.72,2011-08-08,1.72,1.72
1.72,18920.0,1.72,2011-08-18,1.72,1.72
1.72,137600.0,1.72,2011-08-22,1.72,1.72
1.72,1720.0,1.72,2011-08-23,1.72,1.72
1.72,49880.0,1.72,2011-08-31,1.72,1.72
1.72,65360.0,1.72,2011-09-13,1.72,1.72
1.76,28160.0,1.76,2011-09-28,1.76,1.76
1.72,34400.0,1.72,2011-10-10,1.72,1.72
1.76,17600.0,1.76,2011-10-11,1.76,1.76
1.68,16800.0,1.68,2011-10-13,1.68,1.68
1.7,21600.0,1.5,2011-10-25,1.7,1.5
1.6,56700.0,1.82,2011-11-16,1.82,1.6
1.88,3760.0,1.88,2011-11-21,1.88,1.88
1.6,12800.0,1.6,2011-11-29,1.6,1.6
1.6,56000.0,1.6,2011-12-05,1.6,1.6
1.6,1600.0,1.6,2011-12-06,1.6,1.6
1.6,6400.0,1.6,2011-12-08,1.6,1.6
1.6,31700.0,1.5,2011-12-13,1.6,1.5
1.6,33600.0,1.6,2011-12-16,1.6,1.6
1.68,16800.0,1.68,2011-12-19,1.68,1.68
1.6,22400.0,1.6,2011-12-26,1.6,1.6
1.6,79300.0,1.66,2011-12-28,1.66,1.6
1.62,32400.0,1.62,2011-12-29,1.62,1.62
1.6,28800.0,1.6,2012-01-02,1.6,1.6
1.6,65600.0,1.6,2012-01-03,1.6,1.6
1.68,18400.0,1.6,2012-01-19,1.68,1.6
1.78,492500.0,2.4,2012-02-03,2.4,1.78
3.6,326300.0,3.6,2012-02-06,3.6,3.1
4.34,761550.0,3.6,2012-02-07,4.5,3.6
2.01,17830.0,2.96,2012-02-08,2.96,2.01
2.11,20030.0,2.9,2012-02-09,2.9,2.1
1.8,1069430.0,2.8,2012-02-10,2.8,1.8
2.96,100690.0,2.9,2012-02-13,2.97,2.49
2.7,26050.0,2.6,2012-02-14,2.7,2.5
2.03,8120.0,2.03,2012-02-15,2.03,2.03
2.07,103490.0,2.2,2012-02-16,2.47,2.03
2.06,45540.0,2.04,2012-02-17,2.3,2.04
2.06,28740.0,2.1,2012-02-20,2.1,2.04
1.83,72420.0,2.03,2012-02-21,2.08,1.7
1.8,42050.0,2.01,2012-02-22,2.01,1.8
1.99,17910.0,1.99,2012-02-23,1.99,1.99
1.79,65950.0,1.9,2012-02-27,1.9,1.79
1.9,11400.0,1.9,2012-02-28,1.9,1.9
2.05,18980.0,2.0,2012-02-29,2.25,2.0
2.0,6000.0,2.0,2012-03-01,2.0,2.0
1.99,18010.0,2.03,2012-03-02,2.03,1.99
2.2,2200.0,2.2,2012-03-07,2.2,2.2
1.82,40280.0,1.8,2012-03-12,1.85,1.8
1.97,34880.0,1.82,2012-03-13,1.97,1.82
1.8,16200.0,1.8,2012-03-14,1.8,1.8
1.82,14560.0,1.82,2012-03-15,1.82,1.82
2.0,25950.0,2.0,2012-03-21,2.0,1.99
2.24,59320.0,2.2,2012-03-22,2.25,2.01
2.01,10049.999999999998,2.01,2012-03-26,2.01,2.01
1.95,17430.0,1.92,2012-03-27,1.95,1.92
2.05,2050.0,2.05,2012-03-28,2.05,2.05
2.05,10250.0,2.05,2012-03-29,2.05,2.05
2.05,67640.0,2.05,2012-03-30,2.05,2.04
2.05,32750.0,2.3,2012-04-02,2.3,2.05
2.15,34400.0,2.15,2012-04-03,2.15,2.15
2.15,46100.0,2.2,2012-04-04,2.2,2.15
1.8,62890.0,1.78,2012-04-13,1.82,1.78
1.92,23090.0,1.92,2012-04-16,1.93,1.92
1.92,1920.0,1.92,2012-04-17,1.92,1.92
1.84,16560.0,1.84,2012-04-19,1.84,1.84
1.82,21730.0,1.81,2012-04-24,1.82,1.81
