OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.0,2000.0,2.0,2010-01-22,2.0,2.0
1.8,108000.0,1.8,2010-01-25,1.8,1.8
2.44,12200.0,2.44,2010-03-12,2.44,2.44
1.84,55200.0,1.84,2010-06-04,1.84,1.84
2.1,279340.0,2.28,2010-06-11,2.4,2.1
2.4,352290.0,2.44,2010-06-16,2.55,2.3
2.34,4680.0,2.34,2010-06-21,2.34,2.34
2.8,34200.0,2.9,2010-06-23,2.9,2.8
3.0,180000.0,3.0,2010-06-24,3.0,3.0
3.0,35100.0,3.35,2010-06-25,3.35,3.0
3.3,6600.0,3.3,2010-07-01,3.3,3.3
3.2,145610.0,2.8,2010-10-14,3.2,2.8
2.8,19600.0,2.8,2010-10-20,2.8,2.8
2.85,171000.0,2.85,2010-10-21,2.85,2.85
2.85,418950.0,2.85,2010-10-22,2.85,2.85
3.0,9000.0,3.0,2010-11-03,3.0,3.0
2.9,232350.0,2.85,2010-11-10,2.9,2.85
2.6,52000.0,2.6,2010-12-01,2.6,2.6
2.6,104000.0,2.6,2010-12-07,2.6,2.6
2.55,63750.0,2.55,2010-12-16,2.55,2.55
2.55,89250.0,2.55,2011-01-05,2.55,2.55
2.4,19200.0,2.4,2011-01-26,2.4,2.4
2.45,4950.0,2.5,2011-01-28,2.5,2.45
2.45,4950.0,2.5,2011-01-28,2.5,2.45
2.5,7500.0,2.5,2011-02-02,2.5,2.5
2.46,34440.0,2.46,2011-03-17,2.46,2.46
2.48,24800.0,2.48,2011-03-21,2.48,2.48
2.44,73200.0,2.44,2011-03-22,2.44,2.44
2.44,24400.0,2.44,2011-03-23,2.44,2.44
2.42,2420.0,2.42,2011-03-25,2.42,2.42
2.44,24400.0,2.44,2011-03-28,2.44,2.44
2.44,51840.0,2.48,2011-03-30,2.48,2.44
2.5,25000.0,2.5,2011-04-07,2.5,2.5
2.32,55680.0,2.32,2011-04-29,2.32,2.32
2.3,20700.0,2.3,2011-05-10,2.3,2.3
2.5,50000.0,2.5,2011-05-30,2.5,2.5
2.6,52000.0,2.6,2011-05-31,2.6,2.6
2.7,50000.0,2.3,2011-06-03,2.7,2.3
2.7,116900.0,2.8,2011-06-08,2.8,2.7
2.5,80000.0,2.5,2011-07-22,2.5,2.5
2.75,220540.0,3.4,2011-08-01,3.4,2.75
2.8,94300.0,3.4,2011-08-02,3.4,2.8
3.25,206430.0,3.5,2011-08-12,3.5,3.25
3.5,91990.0,3.8,2011-08-15,3.99,3.5
3.3,16500.0,3.3,2011-08-26,3.3,3.3
3.3,29700.0,3.3,2011-09-01,3.3,3.3
3.2,32000.0,3.2,2011-09-02,3.2,3.2
3.4,34450.0,3.45,2011-09-08,3.45,3.4
3.45,34500.0,3.45,2011-09-09,3.45,3.45
3.45,108200.0,3.5,2011-09-12,3.5,3.45
3.3,221000.0,3.5,2011-09-14,3.5,3.3
3.5,70000.0,3.5,2011-09-15,3.5,3.5
3.21,3210.0,3.21,2011-09-16,3.21,3.21
3.3,82480.0,3.8,2011-09-19,3.8,3.3
3.8,7600.0,3.8,2011-09-20,3.8,3.8
3.25,97500.0,3.25,2011-10-05,3.25,3.25
3.6,28800.0,3.6,2011-10-11,3.6,3.6
3.25,549250.0,3.25,2011-10-14,3.25,3.25
3.3,33000.0,3.3,2011-10-21,3.3,3.3
3.28,65500.0,3.27,2011-10-26,3.28,3.27
3.3,33000.0,3.3,2011-10-27,3.3,3.3
3.59,35900.0,3.59,2011-11-16,3.59,3.59
3.6,25200.0,3.6,2011-11-17,3.6,3.6
3.27,35970.0,3.27,2011-11-29,3.27,3.27
3.29,9870.0,3.29,2011-12-01,3.29,3.29
3.45,10350.0,3.45,2011-12-06,3.45,3.45
3.33,53040.0,3.3,2011-12-13,3.33,3.3
3.3,62790.0,3.31,2011-12-16,3.31,3.3
3.3,3300.0,3.3,2011-12-19,3.3,3.3
3.3,3300.0,3.3,2011-12-22,3.3,3.3
3.4,27460.0,3.49,2011-12-23,3.49,3.4
3.29,32900.0,3.29,2011-12-26,3.29,3.29
